City/Municipality, Number of Households* , Electricity , Kerosene (Gaas) , Liquified Petroleum Gas (LPG) , Oil (vegetable animal and others) , Solar panel , Solar lamp , Others , None , Not Reported 
 SAN JUAN ,  2.217 ,  2.022 ,  176 ,  -   ,  -   ,  1 ,  16 ,  2 ,  -   ,  -   
 SAN QUINTIN ,  1.249 ,  1.162 ,  85 ,  -   ,  -   ,  -   ,  2 ,  -   ,  -   ,  -   
 TAYUM ,  3.140 ,  2.862 ,  265 ,  -   ,  -   ,  -   ,  13 ,  -   ,  -   ,  -   
 TINEG ,  980 ,  -   ,  54 ,  -   ,  -   ,  414 ,  117 ,  395 ,  -   ,  -   
 TUBO ,  984 ,  867 ,  67 ,  -   ,  -   ,  44 ,  6 ,  -   ,  -   ,  -   
 VILLAVICIOSA ,  1.087 ,  975 ,  94 ,  3 ,  -   ,  1 ,  9 ,  5 ,  -   ,  -   
 APAYAO ,  25.560 ,  17.343 ,  4.650 ,  16 ,  1 ,  2.484 ,  604 ,  445 ,  17 ,  -   
 CALANASAN (BAYAG) ,  2.384 ,  340 ,  680 ,  1 ,  1 ,  1.212 ,  47 ,  102 ,  1 ,  -   
 CONNER ,  5.469 ,  4.571 ,  580 ,  9 ,  -   ,  109 ,  36 ,  158 ,  6 ,  -   
 FLORA ,  4.056 ,  2.881 ,  940 ,  3 ,  -   ,  125 ,  47 ,  54 ,  6 ,  -   
 KABUGAO (Capital) ,  3.142 ,  1.546 ,  753 ,  -   ,  -   ,  577 ,  260 ,  4 ,  2 ,  -   
 LUNA ,  4.174 ,  3.436 ,  473 ,  -   ,  -   ,  200 ,  37 ,  26 ,  2 ,  -   
 PUDTOL ,  3.207 ,  1.983 ,  710 ,  3 ,  -   ,  246 ,  168 ,  97 ,  -   ,  -   
 SANTA MARCELA ,  3.128 ,  2.586 ,  514 ,  -   ,  -   ,  15 ,  9 ,  4 ,  -   ,  -   
 BENGUET (excluding Baguio City) ,  106.838 ,  98.650 ,  3.511 ,  77 ,  182 ,  716 ,  812 ,  2.890 ,  -   ,  -   
 ATOK ,  4.378 ,  3.561 ,  304 ,  6 ,  27 ,  77 ,  81 ,  322 ,  -   ,  -   
 BAKUN ,  3.350 ,  2.963 ,  84 ,  2 ,  8 ,  34 ,  11 ,  248 ,  -   ,  -   
 BOKOD ,  2.877 ,  2.598 ,  130 ,  -   ,  1 ,  34 ,  12 ,  102 ,  -   ,  -   
 BUGUIAS ,  10.874 ,  10.035 ,  186 ,  6 ,  8 ,  3 ,  62 ,  574 ,  -   ,  -   
 ITOGON ,  14.226 ,  13.574 ,  156 ,  17 ,  1 ,  100 ,  41 ,  337 ,  -   ,  -   
 KABAYAN ,  3.489 ,  2.725 ,  166 ,  8 ,  130 ,  139 ,  181 ,  140 ,  -   ,  -   
 KAPANGAN ,  4.198 ,  3.439 ,  481 ,  6 ,  -   ,  45 ,  36 ,  191 ,  -   ,  -   
 KIBUNGAN ,  3.587 ,  2.675 ,  421 ,  3 ,  -   ,  112 ,  69 ,  307 ,  -   ,  -   
 LA TRINIDAD (Capital) ,  34.157 ,  33.607 ,  134 ,  16 ,  5 ,  35 ,  133 ,  227 ,  -   ,  -   
 MANKAYAN ,  8.088 ,  7.884 ,  92 ,  2 ,  2 ,  -   ,  7 ,  101 ,  -   ,  -   
 SABLAN ,  2.603 ,  2.271 ,  264 ,  2 ,  -   ,  27 ,  19 ,  20 ,  -   ,  -   
 TUBA ,  11.152 ,  9.793 ,  915 ,  5 ,  -   ,  102 ,  155 ,  182 ,  -   ,  -   
 TUBLAY ,  3.859 ,  3.525 ,  178 ,  4 ,  -   ,  8 ,  5 ,  139 ,  -   ,  -   
 BAGUIO CITY,  89.987 ,  89.273 ,  259 ,  206 ,  6 ,  29 ,  43 ,  171 ,  -   ,  -   
 IFUGAO ,  43.281 ,  36.693 ,  3.572 ,  82 ,  3 ,  1.129 ,  928 ,  842 ,  32 ,  -   
 BANAUE ,  3.929 ,  3.501 ,  335 ,  -   ,  -   ,  20 ,  28 ,  45 ,  -   ,  -   
 HUNGDUAN ,  1.941 ,  1.761 ,  112 ,  58 ,  -   ,  1 ,  5 ,  1 ,  3 ,  -   
 KIANGAN ,  3.485 ,  3.282 ,  185 ,  3 ,  -   ,  -   ,  9 ,  6 ,  -   ,  -   
 LAGAWE (Capital) ,  3.952 ,  3.807 ,  116 ,  3 ,  -   ,  4 ,  11 ,  9 ,  2 ,  -   
 LAMUT ,  5.600 ,  5.209 ,  312 ,  1 ,  1 ,  27 ,  37 ,  12 ,  1 ,  -   
 MAYOYAO ,  4.079 ,  3.447 ,  586 ,  -   ,  -   ,  20 ,  23 ,  2 ,  1 ,  -   
 ALFONSO LISTA (POTIA) ,  7.149 ,  6.431 ,  531 ,  -   ,  2 ,  49 ,  91 ,  41 ,  4 ,  -   
 AGUINALDO ,  4.661 ,  3.579 ,  673 ,  -   ,  -   ,  350 ,  41 ,  15 ,  3 ,  -   
 HINGYON ,  2.045 ,  1.870 ,  171 ,  -   ,  -   ,  -   ,  2 ,  1 ,  1 ,  -   
 TINOC ,  3.607 ,  2.446 ,  276 ,  13 ,  -   ,  143 ,  267 ,  450 ,  12 ,  -   
 ASIPULO ,  2.833 ,  1.360 ,  275 ,  4 ,  -   ,  515 ,  414 ,  260 ,  5 ,  -   
 KALINGA ,  42.115 ,  38.747 ,  2.687 ,  30 ,  10 ,  498 ,  74 ,  56 ,  13 ,  -   
 BALBALAN ,  2.302 ,  2.052 ,  225 ,  1 ,  -   ,  17 ,  6 ,  1 ,  -   ,  -   
 LUBUAGAN ,  1.731 ,  1.638 ,  88 ,  -   ,  -   ,  2 ,  -   ,  -   ,  3 ,  -   
 PASIL ,  1.800 ,  1.696 ,  95 ,  -   ,  -   ,  -   ,  -   ,  9 ,  -   ,  -   
 PINUKPUK ,  6.279 ,  4.830 ,  1.242 ,  1 ,  1 ,  186 ,  17 ,  -   ,  2 ,  -   
 RIZAL (LIWAN) ,  3.723 ,  3.475 ,  212 ,  7 ,  2 ,  17 ,  4 ,  6 ,  -   ,  -   
 CITY OF TABUK (Capital) ,  22.439 ,  21.657 ,  585 ,  21 ,  7 ,  121 ,  28 ,  14 ,  6 ,  -   
 TANUDAN ,  1.568 ,  1.199 ,  206 ,  -   ,  -   ,  147 ,  14 ,  -   ,  2 ,  -   
 TINGLAYAN ,  2.273 ,  2.200 ,  34 ,  -   ,  -   ,  8 ,  5 ,  26 ,  -   ,  -   
 MOUNTAIN PROVINCE ,  35.038 ,  33.336 ,  1.177 ,  20 ,  10 ,  175 ,  126 ,  168 ,  26 ,  -   
 BARLIG ,  1.190 ,  1.094 ,  86 ,  1 ,  -   ,  -   ,  3 ,  6 ,  -   ,  -   
 BAUKO ,  6.800 ,  6.671 ,  53 ,  4 ,  4 ,  -   ,  13 ,  53 ,  2 ,  -   
 BESAO ,  1.712 ,  1.668 ,  25 ,  -   ,  3 ,  -   ,  -   ,  13 ,  3 ,  -   
 BONTOC (Capital) ,  6.462 ,  6.376 ,  12 ,  5 ,  3 ,  -   ,  -   ,  54 ,  12 ,  -   
 NATONIN ,  2.189 ,  1.961 ,  217 ,  -   ,  -   ,  -   ,  5 ,  2 ,  4 ,  -   
 PARACELIS ,  5.834 ,  4.929 ,  617 ,  7 ,  -   ,  175 ,  103 ,  -   ,  3 ,  -   
 SABANGAN ,  2.215 ,  2.163 ,  41 ,  -   ,  -   ,  -   ,  -   ,  11 ,  -   ,  -   
 SADANGA ,  1.765 ,  1.712 ,  43 ,  3 ,  -   ,  -   ,  2 ,  5 ,  -   ,  -   
 SAGADA ,  2.644 ,  2.637 ,  7 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
 TADIAN ,  4.227 ,  4.125 ,  76 ,  -   ,  -   ,  -   ,  -   ,  24 ,  2 ,  -   
,,,,,,,,,,
REGION I - ILOCOS,  1.151.629 ,  1.102.034 ,  41.627 ,  1.009 ,  168 ,  1.223 ,  1.610 ,  2.711 ,  1.247 ,  -   
ILOCOS NORTE,  139.336 ,  137.511 ,  1.433 ,  14 ,  12 ,  22 ,  38 ,  243 ,  63 ,  -   
ADAMS,  411 ,  366 ,  44 ,  -   ,  -   ,  1 ,  -   ,  -   ,  -   ,  -   
BACARRA,  8.269 ,  8.202 ,  36 ,  2 ,  1 ,  2 ,  1 ,  20 ,  5 ,  -   
BADOC,  7.375 ,  7.275 ,  79 ,  -   ,  -   ,  1 ,  -   ,  12 ,  8 ,  -   
BANGUI,  3.568 ,  3.529 ,  15 ,  -   ,  -   ,  2 ,  3 ,  19 ,  -   ,  -   
CITY OF BATAC,  12.797 ,  12.713 ,  65 ,  3 ,  -   ,  1 ,  2 ,  7 ,  6 ,  -   
BURGOS,  2.403 ,  2.357 ,  24 ,  1 ,  -   ,  -   ,  1 ,  20 ,  -   ,  -   
CARASI,  304 ,  293 ,  11 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
CURRIMAO,  2.805 ,  2.741 ,  53 ,  -   ,  -   ,  -   ,  1 ,  6 ,  4 ,  -   
DINGRAS,  8.757 ,  8.678 ,  55 ,  -   ,  3 ,  -   ,  3 ,  12 ,  6 ,  -   
DUMALNEG,  574 ,  569 ,  5 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
BANNA (ESPIRITU),  4.532 ,  4.427 ,  92 ,  -   ,  2 ,  -   ,  1 ,  8 ,  2 ,  -   
LAOAG CITY (Capital),  25.285 ,  25.203 ,  55 ,  2 ,  2 ,  3 ,  1 ,  16 ,  3 ,  -   
MARCOS,  4.563 ,  4.468 ,  79 ,  -   ,  -   ,  -   ,  -   ,  12 ,  4 ,  -   
NUEVA ERA,  2.453 ,  2.259 ,  180 ,  -   ,  1 ,  -   ,  1 ,  11 ,  1 ,  -   
PAGUDPUD,  5.807 ,  5.580 ,  208 ,  1 ,  -   ,  2 ,  7 ,  7 ,  2 ,  -   
PAOAY,  5.822 ,  5.726 ,  76 ,  2 ,  1 ,  1 ,  3 ,  8 ,  5 ,  -   
PASUQUIN,  6.698 ,  6.588 ,  89 ,  -   ,  -   ,  2 ,  -   ,  17 ,  2 ,  -   
PIDDIG,  5.040 ,  4.973 ,  49 ,  -   ,  -   ,  4 ,  1 ,  13 ,  -   ,  -   
PINILI,  3.932 ,  3.889 ,  34 ,  -   ,  -   ,  -   ,  1 ,  6 ,  2 ,  -   
SAN NICOLAS,  8.516 ,  8.443 ,  44 ,  -   ,  1 ,  1 ,  2 ,  21 ,  4 ,  -   
SARRAT,  5.749 ,  5.699 ,  36 ,  -   ,  -   ,  -   ,  1 ,  10 ,  3 ,  -   
SOLSONA,  5.497 ,  5.382 ,  86 ,  3 ,  -   ,  1 ,  8 ,  13 ,  4 ,  -   
VINTAR,  8.179 ,  8.151 ,  18 ,  -   ,  1 ,  1 ,  1 ,  5 ,  2 ,  -   
ILOCOS SUR,  157.043 ,  153.735 ,  1.921 ,  44 ,  8 ,  332 ,  477 ,  274 ,  252 ,  -   
ALILEM,  1.476 ,  1.437 ,  34 ,  -   ,  -   ,  -   ,  4 ,  1 ,  -   ,  -   
BANAYOYO,  1.782 ,  1.700 ,  39 ,  -   ,  -   ,  1 ,  38 ,  2 ,  2 ,  -   
BANTAY,  8.229 ,  8.169 ,  46 ,  1 ,  1 ,  1 ,  -   ,  8 ,  3 ,  -   
BURGOS,  2.785 ,  2.707 ,  48 ,  -   ,  -   ,  -   ,  1 ,  5 ,  24 ,  -   
CABUGAO,  8.188 ,  8.028 ,  112 ,  2 ,  -   ,  5 ,  12 ,  19 ,  10 ,  -   
CITY OF CANDON,  13.812 ,  13.388 ,  178 ,  11 ,  -   ,  111 ,  63 ,  37 ,  24 ,  -   
CAOAYAN,  4.604 ,  4.541 ,  56 ,  2 ,  -   ,  -   ,  3 ,  1 ,  1 ,  -   
CERVANTES,  3.682 ,  3.575 ,  73 ,  -   ,  -   ,  5 ,  14 ,  14 ,  1 ,  -   
GALIMUYOD,  2.326 ,  2.223 ,  55 ,  -   ,  -   ,  8 ,  38 ,  -   ,  2 ,  -   
GREGORIO DEL PILAR (CONCEPCION),  908 ,  889 ,  11 ,  -   ,  -   ,  1 ,  5 ,  1 ,  1 ,  -   
LIDLIDDA,  1.004 ,  985 ,  8 ,  -   ,  -   ,  3 ,  6 ,  -   ,  2 ,  -   
MAGSINGAL,  7.943 ,  7.690 ,  227 ,  6 ,  -   ,  1 ,  7 ,  10 ,  2 ,  -   
NAGBUKEL,  1.182 ,  1.170 ,  11 ,  -   ,  -   ,  -   ,  -   ,  -   ,  1 ,  -   
NARVACAN,  9.856 ,  9.688 ,  118 ,  6 ,  -   ,  5 ,  2 ,  23 ,  14 ,  -   
QUIRINO (ANGKAKI),  1.830 ,  1.809 ,  16 ,  -   ,  1 ,  -   ,  -   ,  4 ,  -   ,  -   
SALCEDO (BAUGEN),  2.683 ,  2.619 ,  30 ,  1 ,  -   ,  22 ,  11 ,  -   ,  -   ,  -   
SAN EMILIO,  1.537 ,  1.514 ,  14 ,  -   ,  -   ,  8 ,  -   ,  1 ,  -   ,  -   
SAN ESTEBAN,  2.001 ,  1.959 ,  9 ,  -   ,  -   ,  1 ,  20 ,  11 ,  1 ,  -   
SAN ILDEFONSO,  1.760 ,  1.735 ,  14 ,  1 ,  4 ,  -   ,  -   ,  6 ,  -   ,  -   
SAN JUAN (LAPOG),  6.477 ,  6.322 ,  76 ,  2 ,  -   ,  12 ,  23 ,  23 ,  19 ,  -   
SAN VICENTE,  2.971 ,  2.933 ,  22 ,  -   ,  -   ,  2 ,  4 ,  8 ,  2 ,  -   
SANTA,  3.509 ,  3.443 ,  5 ,  -   ,  1 ,  25 ,  27 ,  4 ,  4 ,  -   
SANTA CATALINA,  2.844 ,  2.829 ,  10 ,  -   ,  -   ,  -   ,  1 ,  4 ,  -   ,  -   
SANTA CRUZ,  8.982 ,  8.858 ,  83 ,  2 ,  -   ,  9 ,  21 ,  2 ,  7 ,  -   
SANTA LUCIA,  5.930 ,  5.818 ,  68 ,  3 ,  -   ,  1 ,  4 ,  4 ,  32 ,  -   
SANTA MARIA,  6.944 ,  6.819 ,  70 ,  1 ,  -   ,  25 ,  21 ,  6 ,  2 ,  -   
SANTIAGO,  4.387 ,  4.200 ,  79 ,  1 ,  -   ,  12 ,  60 ,  28 ,  7 ,  -   
SANTO DOMINGO,  6.777 ,  6.666 ,  57 ,  3 ,  1 ,  14 ,  21 ,  7 ,  8 ,  -   
SIGAY,  515 ,  514 ,  1 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
SINAIT,  6.138 ,  5.930 ,  109 ,  1 ,  -   ,  7 ,  17 ,  7 ,  67 ,  -   
SUGPON,  972 ,  914 ,  45 ,  -   ,  -   ,  7 ,  4 ,  2 ,  -   ,  -   
SUYO,  2.505 ,  2.437 ,  41 ,  -   ,  -   ,  -   ,  23 ,  4 ,  -   ,  -   
TAGUDIN,  8.644 ,  8.474 ,  80 ,  1 ,  -   ,  46 ,  22 ,  13 ,  8 ,  -   
CITY OF VIGAN (Capital),  11.860 ,  11.752 ,  76 ,  -   ,  -   ,  -   ,  5 ,  19 ,  8 ,  -   
LA UNION,  180.675 ,  172.840 ,  6.809 ,  70 ,  10 ,  135 ,  198 ,  443 ,  170 ,  -   
AGOO,  13.850 ,  13.494 ,  309 ,  -   ,  1 ,  1 ,  7 ,  27 ,  11 ,  -   
ARINGAY,  10.817 ,  10.160 ,  608 ,  8 ,  -   ,  1 ,  6 ,  9 ,  25 ,  -   
BACNOTAN,  9.963 ,  9.642 ,  290 ,  -   ,  -   ,  2 ,  3 ,  19 ,  7 ,  -   
BAGULIN,  2.978 ,  2.593 ,  369 ,  -   ,  -   ,  -   ,  11 ,  5 ,  -   ,  -   
BALAOAN,  8.963 ,  8.569 ,  354 ,  3 ,  -   ,  -   ,  4 ,  26 ,  7 ,  -   
BANGAR,  8.078 ,  7.659 ,  363 ,  1 ,  -   ,  2 ,  14 ,  36 ,  3 ,  -   
BAUANG,  17.254 ,  16.749 ,  404 ,  2 ,  -   ,  3 ,  21 ,  47 ,  28 ,  -   
BURGOS,  1.750 ,  1.567 ,  169 ,  -   ,  -   ,  -   ,  2 ,  10 ,  2 ,  -   
CABA,  5.227 ,  4.929 ,  256 ,  3 ,  -   ,  4 ,  4 ,  25 ,  6 ,  -   
LUNA,  8.490 ,  8.178 ,  266 ,  4 ,  -   ,  -   ,  10 ,  21 ,  11 ,  -   
NAGUILIAN,  12.161 ,  11.494 ,  588 ,  3 ,  -   ,  5 ,  9 ,  57 ,  5 ,  -   
PUGO,  4.811 ,  4.533 ,  251 ,  1 ,  1 ,  2 ,  5 ,  3 ,  15 ,  -   
ROSARIO,  13.171 ,  12.681 ,  414 ,  3 ,  3 ,  4 ,  26 ,  28 ,  12 ,  -   
CITY OF SAN FERNANDO (Capital),  28.505 ,  28.216 ,  199 ,  20 ,  1 ,  2 ,  10 ,  45 ,  12 ,  -   
SAN GABRIEL,  3.907 ,  3.139 ,  705 ,  3 ,  -   ,  25 ,  14 ,  18 ,  3 ,  -   
SAN JUAN,  8.714 ,  8.470 ,  189 ,  13 ,  -   ,  -   ,  5 ,  32 ,  5 ,  -   
SANTO TOMAS,  8.996 ,  8.725 ,  227 ,  5 ,  1 ,  -   ,  19 ,  5 ,  14 ,  -   
SANTOL,  2.789 ,  2.345 ,  342 ,  1 ,  1 ,  79 ,  14 ,  7 ,  -   ,  -   
SUDIPEN,  3.810 ,  3.484 ,  305 ,  -   ,  -   ,  2 ,  8 ,  8 ,  3 ,  -   
TUBAO,  6.441 ,  6.213 ,  201 ,  -   ,  2 ,  3 ,  6 ,  15 ,  1 ,  -   
PANGASINAN,  674.575 ,  637.948 ,  31.464 ,  881 ,  138 ,  734 ,  897 ,  1.751 ,  762 ,  -   
AGNO,  6.624 ,  5.730 ,  838 ,  2 ,  1 ,  3 ,  2 ,  43 ,  5 ,  -   
AGUILAR,  8.777 ,  8.190 ,  506 ,  12 ,  -   ,  8 ,  18 ,  33 ,  10 ,  -   
CITY OF ALAMINOS,  21.576 ,  20.557 ,  892 ,  8 ,  2 ,  5 ,  11 ,  65 ,  36 ,  -   
ALCALA,  10.174 ,  9.540 ,  583 ,  5 ,  -   ,  3 ,  10 ,  15 ,  18 ,  -   
ANDA,  9.376 ,  8.822 ,  454 ,  47 ,  -   ,  3 ,  7 ,  38 ,  5 ,  -   
ASINGAN,  13.623 ,  12.618 ,  926 ,  3 ,  -   ,  4 ,  7 ,  60 ,  5 ,  -   
BALUNGAO,  7.606 ,  6.832 ,  746 ,  -   ,  -   ,  5 ,  8 ,  6 ,  9 ,  -   
BANI,  12.337 ,  11.675 ,  601 ,  13 ,  -   ,  2 ,  6 ,  8 ,  32 ,  -   
BASISTA,  6.904 ,  6.694 ,  137 ,  42 ,  -   ,  1 ,  -   ,  25 ,  5 ,  -   
BAUTISTA,  6.892 ,  6.444 ,  412 ,  2 ,  -   ,  -   ,  11 ,  20 ,  3 ,  -   
BAYAMBANG,  25.596 ,  24.547 ,  907 ,  15 ,  3 ,  1 ,  31 ,  24 ,  68 ,  -   
BINALONAN,  12.849 ,  11.925 ,  760 ,  6 ,  1 ,  16 ,  38 ,  88 ,  15 ,  -   
BINMALEY,  20.160 ,  19.581 ,  501 ,  33 ,  1 ,  -   ,  7 ,  23 ,  14 ,  -   
BOLINAO,  17.681 ,  16.180 ,  1.250 ,  66 ,  4 ,  17 ,  49 ,  42 ,  73 ,  -   
BUGALLON,  14.587 ,  13.881 ,  612 ,  12 ,  11 ,  1 ,  33 ,  31 ,  6 ,  -   
BURGOS,  4.800 ,  4.154 ,  624 ,  1 ,  2 ,  6 ,  1 ,  8 ,  4 ,  -   
CALASIAO,  22.542 ,  22.342 ,  143 ,  11 ,  9 ,  1 ,  6 ,  9 ,  21 ,  -   
DAGUPAN CITY,  38.168 ,  37.528 ,  484 ,  39 ,  8 ,  8 ,  27 ,  56 ,  18 ,  -   
DASOL,  6.785 ,  6.079 ,  670 ,  3 ,  -   ,  3 ,  11 ,  17 ,  2 ,  -   
INFANTA,  5.621 ,  4.994 ,  317 ,  6 ,  -   ,  265 ,  17 ,  21 ,  1 ,  -   
LABRADOR,  5.480 ,  5.283 ,  172 ,  -   ,  1 ,  6 ,  7 ,  8 ,  3 ,  -   
LINGAYEN (Capital),  21.780 ,  21.146 ,  557 ,  20 ,  -   ,  2 ,  20 ,  14 ,  21 ,  -   
MABINI,  5.917 ,  5.106 ,  688 ,  2 ,  1 ,  85 ,  24 ,  6 ,  5 ,  -   
MALASIQUI,  29.047 ,  27.699 ,  1.192 ,  29 ,  4 ,  6 ,  30 ,  27 ,  60 ,  -   
MANAOAG,  14.939 ,  14.559 ,  298 ,  10 ,  2 ,  1 ,  11 ,  43 ,  15 ,  -   
MANGALDAN,  23.437 ,  22.852 ,  546 ,  4 ,  1 ,  1 ,  4 ,  17 ,  12 ,  -   
MANGATAREM,  16.554 ,  15.394 ,  1.005 ,  25 ,  -   ,  60 ,  12 ,  53 ,  5 ,  -   
MAPANDAN,  8.667 ,  8.440 ,  216 ,  1 ,  1 ,  1 ,  4 ,  1 ,  3 ,  -   
NATIVIDAD,  5.794 ,  5.363 ,  343 ,  25 ,  3 ,  9 ,  25 ,  19 ,  7 ,  -   
POZORRUBIO,  16.856 ,  15.752 ,  1.017 ,  9 ,  3 ,  7 ,  19 ,  43 ,  6 ,  -   
ROSALES,  14.576 ,  12.923 ,  1.519 ,  7 ,  -   ,  14 ,  59 ,  43 ,  11 ,  -   
SAN CARLOS CITY,  42.049 ,  40.783 ,  883 ,  228 ,  5 ,  3 ,  20 ,  87 ,  40 ,  -   
SAN FABIAN,  19.886 ,  19.340 ,  454 ,  8 ,  3 ,  2 ,  16 ,  40 ,  23 ,  -   
SAN JACINTO,  9.211 ,  9.044 ,  152 ,  1 ,  3 ,  -   ,  4 ,  7 ,  -   ,  -   
SAN MANUEL,  12.552 ,  11.272 ,  1.152 ,  7 ,  2 ,  4 ,  53 ,  51 ,  11 ,  -   
