City/Municipality,Number of Households*,Own use faucet community water system,Shared faucet community water system,Own use tubed/piped deep well,Shared tubed/piped deep well,Tubed/piped shallow well,Dug well,Protected spring,Unprotected spring,Lake river rain and others,Peddler,Bottled water,Others,Not Reported
SALLAPADAN,  1.341 ,  6 ,  5 ,  2 ,  -   ,  -   ,  -   ,  1.328 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
SAN ISIDRO,  1.082 ,  2 ,  1 ,  5 ,  90 ,  306 ,  12 ,  244 ,  421 ,  -   ,  -   ,  1 ,  -   ,  -   
SAN JUAN,  2.217 ,  287 ,  118 ,  291 ,  780 ,  -   ,  19 ,  507 ,  201 ,  7 ,  -   ,  7 ,  -   ,  -   
SAN QUINTIN,  1.249 ,  469 ,  205 ,  53 ,  161 ,  138 ,  45 ,  99 ,  4 ,  75 ,  -   ,  -   ,  -   ,  -   
TAYUM,  3.140 ,  952 ,  450 ,  144 ,  840 ,  174 ,  82 ,  486 ,  3 ,  5 ,  -   ,  4 ,  -   ,  -   
TINEG,  980 ,  2 ,  -   ,  1 ,  2 ,  -   ,  -   ,  790 ,  185 ,  -   ,  -   ,  -   ,  -   ,  -   
TUBO,  984 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  984 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
VILLAVICIOSA,  1.087 ,  30 ,  1 ,  14 ,  97 ,  46 ,  -   ,  770 ,  128 ,  1 ,  -   ,  -   ,  -   ,  -   
APAYAO,  25.560 ,  522 ,  494 ,  4.314 ,  4.329 ,  1.062 ,  7.856 ,  5.049 ,  1.423 ,  322 ,  34 ,  155 ,  -   ,  -   
CALANASAN (BAYAG),  2.384 ,  75 ,  162 ,  60 ,  14 ,  74 ,  136 ,  1.752 ,  94 ,  16 ,  -   ,  1 ,  -   ,  -   
CONNER,  5.469 ,  38 ,  25 ,  628 ,  633 ,  301 ,  2.264 ,  1.131 ,  448 ,  -   ,  1 ,  -   ,  -   ,  -   
FLORA,  4.056 ,  275 ,  56 ,  603 ,  679 ,  285 ,  2.033 ,  52 ,  35 ,  11 ,  27 ,  -   ,  -   ,  -   
KABUGAO (Capital),  3.142 ,  49 ,  68 ,  73 ,  7 ,  45 ,  452 ,  1.763 ,  559 ,  126 ,  -   ,  -   ,  -   ,  -   
LUNA,  4.174 ,  58 ,  98 ,  1.322 ,  1.244 ,  254 ,  800 ,  111 ,  46 ,  118 ,  1 ,  122 ,  -   ,  -   
PUDTOL,  3.207 ,  13 ,  9 ,  1.234 ,  997 ,  50 ,  371 ,  238 ,  240 ,  51 ,  -   ,  4 ,  -   ,  -   
SANTA MARCELA,  3.128 ,  14 ,  76 ,  394 ,  755 ,  53 ,  1.800 ,  2 ,  1 ,  -   ,  5 ,  28 ,  -   ,  -   
BENGUET (excluding Baguio City),  106.838 ,  36.313 ,  12.296 ,  2.250 ,  2.479 ,  266 ,  569 ,  21.318 ,  23.309 ,  1.235 ,  3.722 ,  3.017 ,  64 ,  -   
ATOK,  4.378 ,  31 ,  157 ,  10 ,  33 ,  3 ,  7 ,  956 ,  2.937 ,  227 ,  8 ,  9 ,  -   ,  -   
BAKUN,  3.350 ,  1.335 ,  694 ,  18 ,  10 ,  2 ,  -   ,  394 ,  859 ,  35 ,  -   ,  3 ,  -   ,  -   
BOKOD,  2.877 ,  1.894 ,  489 ,  3 ,  2 ,  -   ,  -   ,  277 ,  189 ,  22 ,  -   ,  1 ,  -   ,  -   
BUGUIAS,  10.874 ,  1.177 ,  796 ,  106 ,  189 ,  7 ,  127 ,  2.949 ,  4.949 ,  12 ,  535 ,  27 ,  -   ,  -   
ITOGON,  14.226 ,  1.191 ,  3.886 ,  389 ,  446 ,  6 ,  13 ,  5.146 ,  1.149 ,  27 ,  1.166 ,  807 ,  -   ,  -   
KABAYAN,  3.489 ,  8 ,  3 ,  1 ,  9 ,  -   ,  5 ,  1.946 ,  1.515 ,  1 ,  -   ,  1 ,  -   ,  -   
KAPANGAN,  4.198 ,  1.830 ,  285 ,  138 ,  185 ,  -   ,  111 ,  399 ,  1.082 ,  131 ,  17 ,  20 ,  -   ,  -   
KIBUNGAN,  3.587 ,  631 ,  152 ,  53 ,  9 ,  4 ,  2 ,  1.462 ,  1.093 ,  181 ,  -   ,  -   ,  -   ,  -   
LA TRINIDAD (Capital),  34.157 ,  19.925 ,  4.382 ,  1.236 ,  1.264 ,  45 ,  246 ,  2.571 ,  1.638 ,  83 ,  997 ,  1.709 ,  61 ,  -   
MANKAYAN,  8.088 ,  421 ,  187 ,  17 ,  23 ,  114 ,  24 ,  1.397 ,  5.675 ,  18 ,  107 ,  104 ,  1 ,  -   
SABLAN,  2.603 ,  1.513 ,  75 ,  13 ,  8 ,  2 ,  5 ,  702 ,  253 ,  12 ,  -   ,  20 ,  -   ,  -   
TUBA,  11.152 ,  5.373 ,  966 ,  175 ,  20 ,  3 ,  3 ,  2.352 ,  1.336 ,  218 ,  446 ,  258 ,  2 ,  -   
TUBLAY,  3.859 ,  984 ,  224 ,  91 ,  281 ,  80 ,  26 ,  767 ,  634 ,  268 ,  446 ,  58 ,  -   ,  -   
BAGUIO CITY,  89.987 ,  52.386 ,  8.187 ,  1.370 ,  2.556 ,  219 ,  444 ,  8.119 ,  914 ,  144 ,  8.829 ,  6.696 ,  123 ,  -   
IFUGAO,  43.281 ,  9.069 ,  6.835 ,  4.354 ,  6.467 ,  159 ,  241 ,  13.768 ,  1.880 ,  81 ,  210 ,  204 ,  13 ,  -   
BANAUE,  3.929 ,  109 ,  99 ,  58 ,  17 ,  1 ,  1 ,  2.880 ,  762 ,  1 ,  1 ,  -   ,  -   ,  -   
HUNGDUAN,  1.941 ,  17 ,  13 ,  6 ,  -   ,  -   ,  -   ,  1.815 ,  89 ,  1 ,  -   ,  -   ,  -   ,  -   
KIANGAN,  3.485 ,  1.153 ,  835 ,  60 ,  24 ,  17 ,  1 ,  1.028 ,  318 ,  5 ,  5 ,  39 ,  -   ,  -   
LAGAWE (Capital),  3.952 ,  1.838 ,  945 ,  144 ,  54 ,  10 ,  26 ,  474 ,  187 ,  11 ,  183 ,  74 ,  6 ,  -   
LAMUT,  5.600 ,  432 ,  320 ,  2.164 ,  1.635 ,  19 ,  90 ,  724 ,  123 ,  6 ,  17 ,  70 ,  -   ,  -   
MAYOYAO,  4.079 ,  711 ,  93 ,  4 ,  3 ,  21 ,  3 ,  3.226 ,  14 ,  -   ,  4 ,  -   ,  -   ,  -   
ALFONSO LISTA (POTIA),  7.149 ,  870 ,  437 ,  1.317 ,  4.152 ,  22 ,  98 ,  194 ,  37 ,  1 ,  -   ,  19 ,  2 ,  -   
AGUINALDO,  4.661 ,  2.183 ,  1.858 ,  127 ,  302 ,  53 ,  21 ,  101 ,  6 ,  6 ,  -   ,  -   ,  4 ,  -   
HINGYON,  2.045 ,  578 ,  971 ,  6 ,  4 ,  -   ,  1 ,  300 ,  153 ,  32 ,  -   ,  -   ,  -   ,  -   
TINOC,  3.607 ,  270 ,  267 ,  25 ,  14 ,  11 ,  -   ,  2.831 ,  172 ,  16 ,  -   ,  -   ,  1 ,  -   
ASIPULO,  2.833 ,  908 ,  997 ,  443 ,  262 ,  5 ,  -   ,  195 ,  19 ,  2 ,  -   ,  2 ,  -   ,  -   
KALINGA,  42.115 ,  6.713 ,  3.726 ,  5.150 ,  8.836 ,  2.435 ,  333 ,  13.054 ,  1.348 ,  240 ,  139 ,  133 ,  8 ,  -   
BALBALAN,  2.302 ,  7 ,  -   ,  1 ,  3 ,  -   ,  -   ,  2.158 ,  133 ,  -   ,  -   ,  -   ,  -   ,  -   
LUBUAGAN,  1.731 ,  17 ,  140 ,  -   ,  3 ,  9 ,  4 ,  1.266 ,  292 ,  -   ,  -   ,  -   ,  -   ,  -   
PASIL,  1.800 ,  65 ,  1 ,  5 ,  -   ,  -   ,  -   ,  1.720 ,  9 ,  -   ,  -   ,  -   ,  -   ,  -   
PINUKPUK,  6.279 ,  423 ,  1.058 ,  671 ,  808 ,  521 ,  228 ,  2.022 ,  514 ,  29 ,  -   ,  5 ,  -   ,  -   
RIZAL (LIWAN),  3.723 ,  1.065 ,  203 ,  163 ,  417 ,  1.828 ,  6 ,  39 ,  -   ,  1 ,  -   ,  1 ,  -   ,  -   
CITY OF TABUK (Capital),  22.439 ,  5.063 ,  2.291 ,  4.302 ,  7.595 ,  77 ,  89 ,  2.252 ,  350 ,  146 ,  139 ,  127 ,  8 ,  -   
TANUDAN,  1.568 ,  6 ,  22 ,  6 ,  10 ,  -   ,  6 ,  1.435 ,  19 ,  64 ,  -   ,  -   ,  -   ,  -   
TINGLAYAN,  2.273 ,  67 ,  11 ,  2 ,  -   ,  -   ,  -   ,  2.162 ,  31 ,  -   ,  -   ,  -   ,  -   ,  -   
MOUNTAIN PROVINCE,  35.038 ,  773 ,  258 ,  753 ,  1.555 ,  2.103 ,  391 ,  15.679 ,  12.993 ,  -   ,  474 ,  59 ,  -   ,  -   
BARLIG,  1.190 ,  -   ,  -   ,  2 ,  3 ,  1 ,  -   ,  741 ,  443 ,  -   ,  -   ,  -   ,  -   ,  -   
BAUKO,  6.800 ,  -   ,  -   ,  49 ,  33 ,  3 ,  5 ,  1.726 ,  4.968 ,  -   ,  2 ,  14 ,  -   ,  -   
BESAO,  1.712 ,  -   ,  -   ,  1 ,  -   ,  -   ,  -   ,  1.559 ,  152 ,  -   ,  -   ,  -   ,  -   ,  -   
BONTOC (Capital),  6.462 ,  742 ,  211 ,  20 ,  55 ,  9 ,  29 ,  3.876 ,  1.081 ,  -   ,  401 ,  38 ,  -   ,  -   
NATONIN,  2.189 ,  -   ,  -   ,  1 ,  7 ,  12 ,  1 ,  1.656 ,  512 ,  -   ,  -   ,  -   ,  -   ,  -   
PARACELIS,  5.834 ,  31 ,  47 ,  638 ,  1.341 ,  1.998 ,  348 ,  997 ,  357 ,  -   ,  71 ,  6 ,  -   ,  -   
SABANGAN,  2.215 ,  -   ,  -   ,  -   ,  1 ,  -   ,  -   ,  388 ,  1.826 ,  -   ,  -   ,  -   ,  -   ,  -   
SADANGA,  1.765 ,  -   ,  -   ,  -   ,  2 ,  -   ,  1 ,  1.158 ,  604 ,  -   ,  -   ,  -   ,  -   ,  -   
SAGADA,  2.644 ,  -   ,  -   ,  35 ,  66 ,  80 ,  1 ,  1.236 ,  1.226 ,  -   ,  -   ,  -   ,  -   ,  -   
TADIAN,  4.227 ,  -   ,  -   ,  7 ,  47 ,  -   ,  6 ,  2.342 ,  1.824 ,  -   ,  -   ,  1 ,  -   ,  -   
,,,,,,,,,,,,,,
REGION I - ILOCOS,  1.151.629 ,  278.660 ,  61.957 ,  281.590 ,  296.460 ,  100.493 ,  56.586 ,  37.827 ,  5.856 ,  573 ,  3.451 ,  27.579 ,  597 ,  -   
ILOCOS NORTE,  139.336 ,  40.166 ,  6.219 ,  29.240 ,  19.890 ,  8.972 ,  25.347 ,  4.680 ,  561 ,  199 ,  51 ,  3.995 ,  16 ,  -   
ADAMS,  411 ,  380 ,  31 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
BACARRA,  8.269 ,  3.720 ,  394 ,  2.501 ,  793 ,  172 ,  616 ,  1 ,  1 ,  -   ,  1 ,  69 ,  1 ,  -   
BADOC,  7.375 ,  899 ,  233 ,  1.991 ,  2.182 ,  222 ,  1.545 ,  179 ,  69 ,  -   ,  -   ,  55 ,  -   ,  -   
BANGUI,  3.568 ,  1.727 ,  113 ,  835 ,  545 ,  6 ,  17 ,  277 ,  4 ,  13 ,  -   ,  31 ,  -   ,  -   
CITY OF BATAC,  12.797 ,  1.356 ,  135 ,  2.259 ,  1.213 ,  3.899 ,  2.623 ,  241 ,  286 ,  1 ,  4 ,  777 ,  3 ,  -   
BURGOS,  2.403 ,  369 ,  131 ,  34 ,  37 ,  645 ,  836 ,  334 ,  2 ,  -   ,  -   ,  15 ,  -   ,  -   
CARASI,  304 ,  1 ,  -   ,  3 ,  -   ,  1 ,  70 ,  229 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
CURRIMAO,  2.805 ,  593 ,  313 ,  525 ,  600 ,  228 ,  481 ,  9 ,  7 ,  -   ,  -   ,  47 ,  2 ,  -   
DINGRAS,  8.757 ,  1.526 ,  339 ,  2.437 ,  2.056 ,  103 ,  1.976 ,  183 ,  10 ,  24 ,  1 ,  102 ,  -   ,  -   
DUMALNEG,  574 ,  573 ,  1 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
BANNA (ESPIRITU),  4.532 ,  393 ,  97 ,  468 ,  283 ,  24 ,  2.873 ,  333 ,  8 ,  -   ,  2 ,  51 ,  -   ,  -   
LAOAG CITY (Capital),  25.285 ,  10.588 ,  1.359 ,  6.988 ,  3.428 ,  781 ,  952 ,  22 ,  1 ,  -   ,  30 ,  1.133 ,  3 ,  -   
MARCOS,  4.563 ,  494 ,  96 ,  788 ,  266 ,  59 ,  2.602 ,  241 ,  3 ,  -   ,  -   ,  14 ,  -   ,  -   
NUEVA ERA,  2.453 ,  183 ,  275 ,  281 ,  527 ,  6 ,  642 ,  504 ,  1 ,  29 ,  1 ,  4 ,  -   ,  -   
PAGUDPUD,  5.807 ,  2.919 ,  806 ,  434 ,  482 ,  316 ,  514 ,  150 ,  139 ,  27 ,  -   ,  20 ,  -   ,  -   
PAOAY,  5.822 ,  1.904 ,  307 ,  2.029 ,  783 ,  125 ,  462 ,  3 ,  -   ,  59 ,  -   ,  149 ,  1 ,  -   
PASUQUIN,  6.698 ,  2.704 ,  270 ,  1.454 ,  960 ,  260 ,  752 ,  242 ,  5 ,  -   ,  -   ,  49 ,  2 ,  -   
PIDDIG,  5.040 ,  677 ,  109 ,  575 ,  459 ,  1.171 ,  1.669 ,  293 ,  3 ,  16 ,  -   ,  68 ,  -   ,  -   
PINILI,  3.932 ,  494 ,  69 ,  629 ,  1.498 ,  155 ,  884 ,  148 ,  1 ,  3 ,  -   ,  48 ,  3 ,  -   
SAN NICOLAS,  8.516 ,  2.982 ,  242 ,  1.757 ,  1.387 ,  379 ,  668 ,  29 ,  1 ,  -   ,  2 ,  1.069 ,  -   ,  -   
SARRAT,  5.749 ,  982 ,  529 ,  1.922 ,  1.213 ,  222 ,  581 ,  34 ,  1 ,  24 ,  -   ,  241 ,  -   ,  -   
SOLSONA,  5.497 ,  423 ,  29 ,  154 ,  257 ,  90 ,  4.146 ,  332 ,  18 ,  3 ,  9 ,  36 ,  -   ,  -   
VINTAR,  8.179 ,  4.279 ,  341 ,  1.176 ,  921 ,  108 ,  438 ,  896 ,  1 ,  -   ,  1 ,  17 ,  1 ,  -   
ILOCOS SUR,  157.043 ,  30.444 ,  7.047 ,  23.572 ,  18.884 ,  60.548 ,  5.140 ,  6.919 ,  1.397 ,  64 ,  374 ,  2.528 ,  126 ,  -   
ALILEM,  1.476 ,  392 ,  29 ,  103 ,  402 ,  -   ,  1 ,  492 ,  55 ,  -   ,  -   ,  2 ,  -   ,  -   
BANAYOYO,  1.782 ,  335 ,  20 ,  528 ,  721 ,  153 ,  1 ,  -   ,  1 ,  1 ,  -   ,  22 ,  -   ,  -   
BANTAY,  8.229 ,  1.997 ,  774 ,  122 ,  644 ,  4.481 ,  35 ,  97 ,  29 ,  -   ,  1 ,  49 ,  -   ,  -   
BURGOS,  2.785 ,  207 ,  234 ,  536 ,  604 ,  1.160 ,  7 ,  3 ,  -   ,  1 ,  1 ,  32 ,  -   ,  -   
CABUGAO,  8.188 ,  3.570 ,  366 ,  960 ,  1.185 ,  203 ,  1.630 ,  134 ,  13 ,  4 ,  33 ,  89 ,  1 ,  -   
CITY OF CANDON,  13.812 ,  1.720 ,  444 ,  4.547 ,  2.423 ,  4.306 ,  55 ,  6 ,  -   ,  1 ,  1 ,  228 ,  81 ,  -   
CAOAYAN,  4.604 ,  1.612 ,  196 ,  379 ,  151 ,  1.821 ,  378 ,  9 ,  4 ,  5 ,  -   ,  48 ,  1 ,  -   
CERVANTES,  3.682 ,  2.901 ,  209 ,  51 ,  89 ,  52 ,  -   ,  314 ,  36 ,  19 ,  4 ,  6 ,  1 ,  -   
GALIMUYOD,  2.326 ,  977 ,  246 ,  130 ,  828 ,  16 ,  23 ,  63 ,  3 ,  -   ,  8 ,  32 ,  -   ,  -   
GREGORIO DEL PILAR (CONCEPCION),  908 ,  822 ,  75 ,  -   ,  -   ,  1 ,  -   ,  9 ,  1 ,  -   ,  -   ,  -   ,  -   ,  -   
LIDLIDDA,  1.004 ,  8 ,  -   ,  25 ,  217 ,  21 ,  -   ,  699 ,  24 ,  -   ,  -   ,  3 ,  7 ,  -   
MAGSINGAL,  7.943 ,  392 ,  44 ,  393 ,  658 ,  5.951 ,  226 ,  48 ,  102 ,  -   ,  -   ,  129 ,  -   ,  -   
NAGBUKEL,  1.182 ,  37 ,  2 ,  215 ,  351 ,  502 ,  5 ,  62 ,  1 ,  -   ,  -   ,  7 ,  -   ,  -   
NARVACAN,  9.856 ,  1.118 ,  265 ,  1.698 ,  929 ,  5.283 ,  72 ,  248 ,  4 ,  -   ,  1 ,  235 ,  3 ,  -   
QUIRINO (ANGKAKI),  1.830 ,  1.453 ,  186 ,  1 ,  4 ,  5 ,  3 ,  46 ,  130 ,  1 ,  -   ,  -   ,  1 ,  -   
SALCEDO (BAUGEN),  2.683 ,  525 ,  1.001 ,  212 ,  260 ,  298 ,  19 ,  325 ,  31 ,  1 ,  -   ,  4 ,  7 ,  -   
SAN EMILIO,  1.537 ,  162 ,  512 ,  3 ,  1 ,  -   ,  -   ,  134 ,  706 ,  17 ,  -   ,  2 ,  -   ,  -   
SAN ESTEBAN,  2.001 ,  135 ,  138 ,  1.038 ,  460 ,  175 ,  8 ,  4 ,  -   ,  -   ,  -   ,  41 ,  2 ,  -   
SAN ILDEFONSO,  1.760 ,  13 ,  -   ,  2 ,  26 ,  1.705 ,  -   ,  -   ,  -   ,  -   ,  -   ,  14 ,  -   ,  -   
SAN JUAN (LAPOG),  6.477 ,  1.005 ,  212 ,  524 ,  314 ,  3.768 ,  546 ,  68 ,  7 ,  -   ,  -   ,  33 ,  -   ,  -   
SAN VICENTE,  2.971 ,  360 ,  7 ,  37 ,  17 ,  1.697 ,  689 ,  -   ,  -   ,  -   ,  -   ,  164 ,  -   ,  -   
SANTA,  3.509 ,  974 ,  246 ,  375 ,  787 ,  736 ,  16 ,  369 ,  -   ,  -   ,  1 ,  5 ,  -   ,  -   
SANTA CATALINA,  2.844 ,  650 ,  171 ,  568 ,  192 ,  550 ,  622 ,  -   ,  1 ,  -   ,  -   ,  90 ,  -   ,  -   
SANTA CRUZ,  8.982 ,  587 ,  711 ,  1.211 ,  999 ,  5.308 ,  58 ,  43 ,  1 ,  3 ,  -   ,  59 ,  2 ,  -   
SANTA LUCIA,  5.930 ,  701 ,  72 ,  2.896 ,  1.680 ,  377 ,  25 ,  106 ,  1 ,  1 ,  3 ,  67 ,  1 ,  -   
SANTA MARIA,  6.944 ,  267 ,  16 ,  739 ,  773 ,  4.663 ,  37 ,  49 ,  -   ,  4 ,  2 ,  394 ,  -   ,  -   
SANTIAGO,  4.387 ,  117 ,  93 ,  870 ,  913 ,  2.062 ,  7 ,  49 ,  16 ,  -   ,  213 ,  45 ,  2 ,  -   
SANTO DOMINGO,  6.777 ,  564 ,  125 ,  271 ,  27 ,  5.661 ,  12 ,  1 ,  -   ,  -   ,  1 ,  115 ,  -   ,  -   
SIGAY,  515 ,  2 ,  -   ,  2 ,  -   ,  -   ,  -   ,  511 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
SINAIT,  6.138 ,  1.101 ,  178 ,  2.225 ,  1.537 ,  395 ,  367 ,  175 ,  -   ,  -   ,  40 ,  114 ,  6 ,  -   
SUGPON,  972 ,  11 ,  1 ,  -   ,  1 ,  90 ,  -   ,  806 ,  63 ,  -   ,  -   ,  -   ,  -   ,  -   
SUYO,  2.505 ,  234 ,  6 ,  15 ,  11 ,  264 ,  7 ,  1.903 ,  62 ,  1 ,  -   ,  2 ,  -   ,  -   
TAGUDIN,  8.644 ,  762 ,  79 ,  648 ,  896 ,  5.566 ,  201 ,  141 ,  106 ,  5 ,  1 ,  239 ,  -   ,  -   
CITY OF VIGAN (Capital),  11.860 ,  4.733 ,  389 ,  2.248 ,  784 ,  3.278 ,  90 ,  5 ,  -   ,  -   ,  64 ,  258 ,  11 ,  -   
