,city,region_name,province,Own use faucet community water system_count,Shared faucet community water system_count,Own use tubed/piped deep well_count,Shared tubed/piped deep well_count,Tubed/piped shallow well_count,Dug well_count,Protected spring_count,Unprotected spring_count,Lake river rain and others_count,Peddler_count,Bottled water_count,Others_count,Not Reported_count,year
364,LANGIDEN,CAR - Cordillera Administrative Region,ABRA,12.0,173.0,16.0,234.0,,,114.0,153.0,3.0,,,,,2015
377,LICUAN-BAAY (LICUAN),CAR - Cordillera Administrative Region,ABRA,,,6.0,2.0,1.0,,909.0,49.0,1.0,,,,,2015
390,LUBA,CAR - Cordillera Administrative Region,ABRA,,,,,,,1364.0,5.0,1.0,,,,,2015
403,MALIBCONG,CAR - Cordillera Administrative Region,ABRA,2.0,,,,,,712.0,32.0,,,,,,2015
416,MANABO,CAR - Cordillera Administrative Region,ABRA,3.0,10.0,140.0,65.0,940.0,1.0,1246.0,56.0,3.0,,11.0,,,2015
429,PEÑARRUBIA,CAR - Cordillera Administrative Region,ABRA,586.0,116.0,21.0,85.0,,8.0,652.0,8.0,,,2.0,,,2015
442,PIDIGAN,CAR - Cordillera Administrative Region,ABRA,921.0,251.0,225.0,925.0,5.0,126.0,227.0,26.0,5.0,15.0,2.0,,,2015
455,PILAR,CAR - Cordillera Administrative Region,ABRA,22.0,3.0,232.0,1392.0,22.0,37.0,471.0,106.0,1.0,,3.0,,,2015
468,SALLAPADAN,CAR - Cordillera Administrative Region,ABRA,6.0,5.0,2.0,,,,1328.0,,,,,,,2015
481,SAN ISIDRO,CAR - Cordillera Administrative Region,ABRA,2.0,1.0,5.0,90.0,306.0,12.0,244.0,421.0,,,1.0,,,2015
494,SAN JUAN,CAR - Cordillera Administrative Region,ABRA,287.0,118.0,291.0,780.0,,19.0,507.0,201.0,7.0,,7.0,,,2015
507,SAN QUINTIN,CAR - Cordillera Administrative Region,ABRA,469.0,205.0,53.0,161.0,138.0,45.0,99.0,4.0,75.0,,,,,2015
520,TAYUM,CAR - Cordillera Administrative Region,ABRA,952.0,450.0,144.0,840.0,174.0,82.0,486.0,3.0,5.0,,4.0,,,2015
533,TINEG,CAR - Cordillera Administrative Region,ABRA,2.0,,1.0,2.0,,,790.0,185.0,,,,,,2015
546,TUBO,CAR - Cordillera Administrative Region,ABRA,,,,,,,984.0,,,,,,,2015
559,VILLAVICIOSA,CAR - Cordillera Administrative Region,ABRA,30.0,1.0,14.0,97.0,46.0,,770.0,128.0,1.0,,,,,2015
572,CALANASAN (BAYAG),CAR - Cordillera Administrative Region,APAYAO,75.0,162.0,60.0,14.0,74.0,136.0,1752.0,94.0,16.0,,1.0,,,2015
585,CONNER,CAR - Cordillera Administrative Region,APAYAO,38.0,25.0,628.0,633.0,301.0,2264.0,1131.0,448.0,,1.0,,,,2015
598,FLORA,CAR - Cordillera Administrative Region,APAYAO,275.0,56.0,603.0,679.0,285.0,2033.0,52.0,35.0,11.0,27.0,,,,2015
611,KABUGAO (Capital),CAR - Cordillera Administrative Region,APAYAO,49.0,68.0,73.0,7.0,45.0,452.0,1763.0,559.0,126.0,,,,,2015
624,LUNA,CAR - Cordillera Administrative Region,APAYAO,58.0,98.0,1322.0,1244.0,254.0,800.0,111.0,46.0,118.0,1.0,122.0,,,2015
637,PUDTOL,CAR - Cordillera Administrative Region,APAYAO,13.0,9.0,1234.0,997.0,50.0,371.0,238.0,240.0,51.0,,4.0,,,2015
650,SANTA MARCELA,CAR - Cordillera Administrative Region,APAYAO,14.0,76.0,394.0,755.0,53.0,1800.0,2.0,1.0,,5.0,28.0,,,2015
663,ATOK,CAR - Cordillera Administrative Region,BENGUET (excluding Baguio City),31.0,157.0,10.0,33.0,3.0,7.0,956.0,2937.0,227.0,8.0,9.0,,,2015
676,BAKUN,CAR - Cordillera Administrative Region,BENGUET (excluding Baguio City),1335.0,694.0,18.0,10.0,2.0,,394.0,859.0,35.0,,3.0,,,2015
689,BOKOD,CAR - Cordillera Administrative Region,BENGUET (excluding Baguio City),1894.0,489.0,3.0,2.0,,,277.0,189.0,22.0,,1.0,,,2015
702,BUGUIAS,CAR - Cordillera Administrative Region,BENGUET (excluding Baguio City),1177.0,796.0,106.0,189.0,7.0,127.0,2949.0,4949.0,12.0,535.0,27.0,,,2015
715,ITOGON,CAR - Cordillera Administrative Region,BENGUET (excluding Baguio City),1191.0,3886.0,389.0,446.0,6.0,13.0,5146.0,1149.0,27.0,1166.0,807.0,,,2015
728,KABAYAN,CAR - Cordillera Administrative Region,BENGUET (excluding Baguio City),8.0,3.0,1.0,9.0,,5.0,1946.0,1515.0,1.0,,1.0,,,2015
741,KAPANGAN,CAR - Cordillera Administrative Region,BENGUET (excluding Baguio City),1830.0,285.0,138.0,185.0,,111.0,399.0,1082.0,131.0,17.0,20.0,,,2015
754,KIBUNGAN,CAR - Cordillera Administrative Region,BENGUET (excluding Baguio City),631.0,152.0,53.0,9.0,4.0,2.0,1462.0,1093.0,181.0,,,,,2015
767,LA TRINIDAD (Capital),CAR - Cordillera Administrative Region,BENGUET (excluding Baguio City),19925.0,4382.0,1236.0,1264.0,45.0,246.0,2571.0,1638.0,83.0,997.0,1709.0,61.0,,2015
780,MANKAYAN,CAR - Cordillera Administrative Region,BENGUET (excluding Baguio City),421.0,187.0,17.0,23.0,114.0,24.0,1397.0,5675.0,18.0,107.0,104.0,1.0,,2015
793,SABLAN,CAR - Cordillera Administrative Region,BENGUET (excluding Baguio City),1513.0,75.0,13.0,8.0,2.0,5.0,702.0,253.0,12.0,,20.0,,,2015
806,TUBA,CAR - Cordillera Administrative Region,BENGUET (excluding Baguio City),5373.0,966.0,175.0,20.0,3.0,3.0,2352.0,1336.0,218.0,446.0,258.0,2.0,,2015
819,TUBLAY,CAR - Cordillera Administrative Region,BENGUET (excluding Baguio City),984.0,224.0,91.0,281.0,80.0,26.0,767.0,634.0,268.0,446.0,58.0,,,2015
832,BAGUIO CITY,CAR - Cordillera Administrative Region,BENGUET (excluding Baguio City),52386.0,8187.0,1370.0,2556.0,219.0,444.0,8119.0,914.0,144.0,8829.0,6696.0,123.0,,2015
845,BANAUE,CAR - Cordillera Administrative Region,IFUGAO,109.0,99.0,58.0,17.0,1.0,1.0,2880.0,762.0,1.0,1.0,,,,2015
858,HUNGDUAN,CAR - Cordillera Administrative Region,IFUGAO,17.0,13.0,6.0,,,,1815.0,89.0,1.0,,,,,2015
871,KIANGAN,CAR - Cordillera Administrative Region,IFUGAO,1153.0,835.0,60.0,24.0,17.0,1.0,1028.0,318.0,5.0,5.0,39.0,,,2015
884,LAGAWE (Capital),CAR - Cordillera Administrative Region,IFUGAO,1838.0,945.0,144.0,54.0,10.0,26.0,474.0,187.0,11.0,183.0,74.0,6.0,,2015
897,LAMUT,CAR - Cordillera Administrative Region,IFUGAO,432.0,320.0,2164.0,1635.0,19.0,90.0,724.0,123.0,6.0,17.0,70.0,,,2015
910,MAYOYAO,CAR - Cordillera Administrative Region,IFUGAO,711.0,93.0,4.0,3.0,21.0,3.0,3226.0,14.0,,4.0,,,,2015
923,ALFONSO LISTA (POTIA),CAR - Cordillera Administrative Region,IFUGAO,870.0,437.0,1317.0,4152.0,22.0,98.0,194.0,37.0,1.0,,19.0,2.0,,2015
936,AGUINALDO,CAR - Cordillera Administrative Region,IFUGAO,2183.0,1858.0,127.0,302.0,53.0,21.0,101.0,6.0,6.0,,,4.0,,2015
949,HINGYON,CAR - Cordillera Administrative Region,IFUGAO,578.0,971.0,6.0,4.0,,1.0,300.0,153.0,32.0,,,,,2015
962,TINOC,CAR - Cordillera Administrative Region,IFUGAO,270.0,267.0,25.0,14.0,11.0,,2831.0,172.0,16.0,,,1.0,,2015
975,ASIPULO,CAR - Cordillera Administrative Region,IFUGAO,908.0,997.0,443.0,262.0,5.0,,195.0,19.0,2.0,,2.0,,,2015
988,BALBALAN,CAR - Cordillera Administrative Region,KALINGA,7.0,,1.0,3.0,,,2158.0,133.0,,,,,,2015
1001,LUBUAGAN,CAR - Cordillera Administrative Region,KALINGA,17.0,140.0,,3.0,9.0,4.0,1266.0,292.0,,,,,,2015
1014,PASIL,CAR - Cordillera Administrative Region,KALINGA,65.0,1.0,5.0,,,,1720.0,9.0,,,,,,2015
1027,PINUKPUK,CAR - Cordillera Administrative Region,KALINGA,423.0,1058.0,671.0,808.0,521.0,228.0,2022.0,514.0,29.0,,5.0,,,2015
1040,RIZAL (LIWAN),CAR - Cordillera Administrative Region,KALINGA,1065.0,203.0,163.0,417.0,1828.0,6.0,39.0,,1.0,,1.0,,,2015
1053,CITY OF TABUK (Capital),CAR - Cordillera Administrative Region,KALINGA,5063.0,2291.0,4302.0,7595.0,77.0,89.0,2252.0,350.0,146.0,139.0,127.0,8.0,,2015
1066,TANUDAN,CAR - Cordillera Administrative Region,KALINGA,6.0,22.0,6.0,10.0,,6.0,1435.0,19.0,64.0,,,,,2015
1079,TINGLAYAN,CAR - Cordillera Administrative Region,KALINGA,67.0,11.0,2.0,,,,2162.0,31.0,,,,,,2015
1092,BARLIG,CAR - Cordillera Administrative Region,MOUNTAIN PROVINCE,,,2.0,3.0,1.0,,741.0,443.0,,,,,,2015
1105,BAUKO,CAR - Cordillera Administrative Region,MOUNTAIN PROVINCE,,,49.0,33.0,3.0,5.0,1726.0,4968.0,,2.0,14.0,,,2015
1118,BESAO,CAR - Cordillera Administrative Region,MOUNTAIN PROVINCE,,,1.0,,,,1559.0,152.0,,,,,,2015
1131,BONTOC (Capital),CAR - Cordillera Administrative Region,MOUNTAIN PROVINCE,742.0,211.0,20.0,55.0,9.0,29.0,3876.0,1081.0,,401.0,38.0,,,2015
1144,NATONIN,CAR - Cordillera Administrative Region,MOUNTAIN PROVINCE,,,1.0,7.0,12.0,1.0,1656.0,512.0,,,,,,2015
1157,PARACELIS,CAR - Cordillera Administrative Region,MOUNTAIN PROVINCE,31.0,47.0,638.0,1341.0,1998.0,348.0,997.0,357.0,,71.0,6.0,,,2015
1170,SABANGAN,CAR - Cordillera Administrative Region,MOUNTAIN PROVINCE,,,,1.0,,,388.0,1826.0,,,,,,2015
1183,SADANGA,CAR - Cordillera Administrative Region,MOUNTAIN PROVINCE,,,,2.0,,1.0,1158.0,604.0,,,,,,2015
1196,SAGADA,CAR - Cordillera Administrative Region,MOUNTAIN PROVINCE,,,35.0,66.0,80.0,1.0,1236.0,1226.0,,,,,,2015
1209,TADIAN,CAR - Cordillera Administrative Region,MOUNTAIN PROVINCE,,,7.0,47.0,,6.0,2342.0,1824.0,,,1.0,,,2015
1222,ADAMS,REGION I (Ilocos Region),ILOCOS NORTE,380.0,31.0,,,,,,,,,,,,2015
1235,BACARRA,REGION I (Ilocos Region),ILOCOS NORTE,3720.0,394.0,2501.0,793.0,172.0,616.0,1.0,1.0,,1.0,69.0,1.0,,2015
1248,BADOC,REGION I (Ilocos Region),ILOCOS NORTE,899.0,233.0,1991.0,2182.0,222.0,1545.0,179.0,69.0,,,55.0,,,2015
1261,BANGUI,REGION I (Ilocos Region),ILOCOS NORTE,1727.0,113.0,835.0,545.0,6.0,17.0,277.0,4.0,13.0,,31.0,,,2015
1274,CITY OF BATAC,REGION I (Ilocos Region),ILOCOS NORTE,1356.0,135.0,2259.0,1213.0,3899.0,2623.0,241.0,286.0,1.0,4.0,777.0,3.0,,2015
1287,BURGOS,REGION I (Ilocos Region),ILOCOS NORTE,369.0,131.0,34.0,37.0,645.0,836.0,334.0,2.0,,,15.0,,,2015
1300,CARASI,REGION I (Ilocos Region),ILOCOS NORTE,1.0,,3.0,,1.0,70.0,229.0,,,,,,,2015
1313,CURRIMAO,REGION I (Ilocos Region),ILOCOS NORTE,593.0,313.0,525.0,600.0,228.0,481.0,9.0,7.0,,,47.0,2.0,,2015
1326,DINGRAS,REGION I (Ilocos Region),ILOCOS NORTE,1526.0,339.0,2437.0,2056.0,103.0,1976.0,183.0,10.0,24.0,1.0,102.0,,,2015
1339,DUMALNEG,REGION I (Ilocos Region),ILOCOS NORTE,573.0,1.0,,,,,,,,,,,,2015
1352,BANNA (ESPIRITU),REGION I (Ilocos Region),ILOCOS NORTE,393.0,97.0,468.0,283.0,24.0,2873.0,333.0,8.0,,2.0,51.0,,,2015
1365,LAOAG CITY (Capital),REGION I (Ilocos Region),ILOCOS NORTE,10588.0,1359.0,6988.0,3428.0,781.0,952.0,22.0,1.0,,30.0,1133.0,3.0,,2015
1378,MARCOS,REGION I (Ilocos Region),ILOCOS NORTE,494.0,96.0,788.0,266.0,59.0,2602.0,241.0,3.0,,,14.0,,,2015
1391,NUEVA ERA,REGION I (Ilocos Region),ILOCOS NORTE,183.0,275.0,281.0,527.0,6.0,642.0,504.0,1.0,29.0,1.0,4.0,,,2015
1404,PAGUDPUD,REGION I (Ilocos Region),ILOCOS NORTE,2919.0,806.0,434.0,482.0,316.0,514.0,150.0,139.0,27.0,,20.0,,,2015
1417,PAOAY,REGION I (Ilocos Region),ILOCOS NORTE,1904.0,307.0,2029.0,783.0,125.0,462.0,3.0,,59.0,,149.0,1.0,,2015
1430,PASUQUIN,REGION I (Ilocos Region),ILOCOS NORTE,2704.0,270.0,1454.0,960.0,260.0,752.0,242.0,5.0,,,49.0,2.0,,2015
1443,PIDDIG,REGION I (Ilocos Region),ILOCOS NORTE,677.0,109.0,575.0,459.0,1171.0,1669.0,293.0,3.0,16.0,,68.0,,,2015
1456,PINILI,REGION I (Ilocos Region),ILOCOS NORTE,494.0,69.0,629.0,1498.0,155.0,884.0,148.0,1.0,3.0,,48.0,3.0,,2015
1469,SAN NICOLAS,REGION I (Ilocos Region),ILOCOS NORTE,2982.0,242.0,1757.0,1387.0,379.0,668.0,29.0,1.0,,2.0,1069.0,,,2015
1482,SARRAT,REGION I (Ilocos Region),ILOCOS NORTE,982.0,529.0,1922.0,1213.0,222.0,581.0,34.0,1.0,24.0,,241.0,,,2015
1495,SOLSONA,REGION I (Ilocos Region),ILOCOS NORTE,423.0,29.0,154.0,257.0,90.0,4146.0,332.0,18.0,3.0,9.0,36.0,,,2015
1508,VINTAR,REGION I (Ilocos Region),ILOCOS NORTE,4279.0,341.0,1176.0,921.0,108.0,438.0,896.0,1.0,,1.0,17.0,1.0,,2015
1521,ALILEM,REGION I (Ilocos Region),ILOCOS SUR,392.0,29.0,103.0,402.0,,1.0,492.0,55.0,,,2.0,,,2015
1534,BANAYOYO,REGION I (Ilocos Region),ILOCOS SUR,335.0,20.0,528.0,721.0,153.0,1.0,,1.0,1.0,,22.0,,,2015
1547,BANTAY,REGION I (Ilocos Region),ILOCOS SUR,1997.0,774.0,122.0,644.0,4481.0,35.0,97.0,29.0,,1.0,49.0,,,2015
1560,BURGOS,REGION I (Ilocos Region),ILOCOS SUR,207.0,234.0,536.0,604.0,1160.0,7.0,3.0,,1.0,1.0,32.0,,,2015
1573,CABUGAO,REGION I (Ilocos Region),ILOCOS SUR,3570.0,366.0,960.0,1185.0,203.0,1630.0,134.0,13.0,4.0,33.0,89.0,1.0,,2015
1586,CITY OF CANDON,REGION I (Ilocos Region),ILOCOS SUR,1720.0,444.0,4547.0,2423.0,4306.0,55.0,6.0,,1.0,1.0,228.0,81.0,,2015
1599,CAOAYAN,REGION I (Ilocos Region),ILOCOS SUR,1612.0,196.0,379.0,151.0,1821.0,378.0,9.0,4.0,5.0,,48.0,1.0,,2015
1612,CERVANTES,REGION I (Ilocos Region),ILOCOS SUR,2901.0,209.0,51.0,89.0,52.0,,314.0,36.0,19.0,4.0,6.0,1.0,,2015
1625,GALIMUYOD,REGION I (Ilocos Region),ILOCOS SUR,977.0,246.0,130.0,828.0,16.0,23.0,63.0,3.0,,8.0,32.0,,,2015
1638,GREGORIO DEL PILAR (CONCEPCION),REGION I (Ilocos Region),ILOCOS SUR,822.0,75.0,,,1.0,,9.0,1.0,,,,,,2015
1651,LIDLIDDA,REGION I (Ilocos Region),ILOCOS SUR,8.0,,25.0,217.0,21.0,,699.0,24.0,,,3.0,7.0,,2015
1664,MAGSINGAL,REGION I (Ilocos Region),ILOCOS SUR,392.0,44.0,393.0,658.0,5951.0,226.0,48.0,102.0,,,129.0,,,2015
1677,NAGBUKEL,REGION I (Ilocos Region),ILOCOS SUR,37.0,2.0,215.0,351.0,502.0,5.0,62.0,1.0,,,7.0,,,2015
1690,NARVACAN,REGION I (Ilocos Region),ILOCOS SUR,1118.0,265.0,1698.0,929.0,5283.0,72.0,248.0,4.0,,1.0,235.0,3.0,,2015
1703,QUIRINO (ANGKAKI),REGION I (Ilocos Region),ILOCOS SUR,1453.0,186.0,1.0,4.0,5.0,3.0,46.0,130.0,1.0,,,1.0,,2015
1716,SALCEDO (BAUGEN),REGION I (Ilocos Region),ILOCOS SUR,525.0,1001.0,212.0,260.0,298.0,19.0,325.0,31.0,1.0,,4.0,7.0,,2015
1729,SAN EMILIO,REGION I (Ilocos Region),ILOCOS SUR,162.0,512.0,3.0,1.0,,,134.0,706.0,17.0,,2.0,,,2015
1742,SAN ESTEBAN,REGION I (Ilocos Region),ILOCOS SUR,135.0,138.0,1038.0,460.0,175.0,8.0,4.0,,,,41.0,2.0,,2015
1755,SAN ILDEFONSO,REGION I (Ilocos Region),ILOCOS SUR,13.0,,2.0,26.0,1705.0,,,,,,14.0,,,2015
1768,SAN JUAN (LAPOG),REGION I (Ilocos Region),ILOCOS SUR,1005.0,212.0,524.0,314.0,3768.0,546.0,68.0,7.0,,,33.0,,,2015
1781,SAN VICENTE,REGION I (Ilocos Region),ILOCOS SUR,360.0,7.0,37.0,17.0,1697.0,689.0,,,,,164.0,,,2015
1794,SANTA,REGION I (Ilocos Region),ILOCOS SUR,974.0,246.0,375.0,787.0,736.0,16.0,369.0,,,1.0,5.0,,,2015
1807,SANTA CATALINA,REGION I (Ilocos Region),ILOCOS SUR,650.0,171.0,568.0,192.0,550.0,622.0,,1.0,,,90.0,,,2015
1820,SANTA CRUZ,REGION I (Ilocos Region),ILOCOS SUR,587.0,711.0,1211.0,999.0,5308.0,58.0,43.0,1.0,3.0,,59.0,2.0,,2015
1833,SANTA LUCIA,REGION I (Ilocos Region),ILOCOS SUR,701.0,72.0,2896.0,1680.0,377.0,25.0,106.0,1.0,1.0,3.0,67.0,1.0,,2015
1846,SANTA MARIA,REGION I (Ilocos Region),ILOCOS SUR,267.0,16.0,739.0,773.0,4663.0,37.0,49.0,,4.0,2.0,394.0,,,2015
1859,SANTIAGO,REGION I (Ilocos Region),ILOCOS SUR,117.0,93.0,870.0,913.0,2062.0,7.0,49.0,16.0,,213.0,45.0,2.0,,2015
1872,SANTO DOMINGO,REGION I (Ilocos Region),ILOCOS SUR,564.0,125.0,271.0,27.0,5661.0,12.0,1.0,,,1.0,115.0,,,2015
1885,SIGAY,REGION I (Ilocos Region),ILOCOS SUR,2.0,,2.0,,,,511.0,,,,,,,2015
1898,SINAIT,REGION I (Ilocos Region),ILOCOS SUR,1101.0,178.0,2225.0,1537.0,395.0,367.0,175.0,,,40.0,114.0,6.0,,2015
1911,SUGPON,REGION I (Ilocos Region),ILOCOS SUR,11.0,1.0,,1.0,90.0,,806.0,63.0,,,,,,2015
1924,SUYO,REGION I (Ilocos Region),ILOCOS SUR,234.0,6.0,15.0,11.0,264.0,7.0,1903.0,62.0,1.0,,2.0,,,2015
1937,TAGUDIN,REGION I (Ilocos Region),ILOCOS SUR,762.0,79.0,648.0,896.0,5566.0,201.0,141.0,106.0,5.0,1.0,239.0,,,2015
1950,CITY OF VIGAN (Capital),REGION I (Ilocos Region),ILOCOS SUR,4733.0,389.0,2248.0,784.0,3278.0,90.0,5.0,,,64.0,258.0,11.0,,2015
1963,AGOO,REGION I (Ilocos Region),LA UNION,371.0,707.0,4243.0,4515.0,375.0,982.0,724.0,5.0,13.0,1057.0,847.0,11.0,,2015
1976,ARINGAY,REGION I (Ilocos Region),LA UNION,555.0,375.0,3730.0,3758.0,20.0,275.0,1293.0,178.0,,126.0,507.0,,,2015
1989,BACNOTAN,REGION I (Ilocos Region),LA UNION,830.0,284.0,4301.0,2647.0,562.0,345.0,468.0,138.0,1.0,1.0,386.0,,,2015
2002,BAGULIN,REGION I (Ilocos Region),LA UNION,313.0,10.0,7.0,16.0,141.0,2.0,1213.0,1269.0,2.0,,5.0,,,2015
2015,BALAOAN,REGION I (Ilocos Region),LA UNION,1795.0,278.0,4017.0,2169.0,57.0,17.0,509.0,4.0,7.0,,109.0,1.0,,2015
2028,BANGAR,REGION I (Ilocos Region),LA UNION,199.0,8.0,936.0,788.0,6009.0,17.0,35.0,,,,85.0,1.0,,2015
2041,BAUANG,REGION I (Ilocos Region),LA UNION,3107.0,988.0,4484.0,3930.0,520.0,2497.0,729.0,2.0,,3.0,966.0,28.0,,2015
2054,BURGOS,REGION I (Ilocos Region),LA UNION,6.0,4.0,3.0,3.0,5.0,16.0,1573.0,111.0,18.0,,11.0,,,2015
2067,CABA,REGION I (Ilocos Region),LA UNION,119.0,28.0,2128.0,1904.0,28.0,101.0,757.0,10.0,,1.0,151.0,,,2015
2080,LUNA,REGION I (Ilocos Region),LA UNION,525.0,482.0,4214.0,2452.0,83.0,344.0,257.0,,,1.0,131.0,1.0,,2015
2093,NAGUILIAN,REGION I (Ilocos Region),LA UNION,3455.0,357.0,2638.0,2279.0,542.0,476.0,2189.0,13.0,1.0,,207.0,4.0,,2015
2106,PUGO,REGION I (Ilocos Region),LA UNION,1940.0,773.0,897.0,858.0,25.0,,241.0,42.0,8.0,,27.0,,,2015
2119,ROSARIO,REGION I (Ilocos Region),LA UNION,2338.0,1344.0,1929.0,4638.0,240.0,418.0,1927.0,11.0,17.0,68.0,236.0,5.0,,2015
2132,CITY OF SAN FERNANDO (Capital),REGION I (Ilocos Region),LA UNION,3748.0,558.0,6861.0,6327.0,1238.0,2045.0,2081.0,98.0,13.0,274.0,5249.0,13.0,,2015
2145,SAN GABRIEL,REGION I (Ilocos Region),LA UNION,107.0,192.0,617.0,504.0,35.0,253.0,1630.0,512.0,22.0,,26.0,9.0,,2015
2158,SAN JUAN,REGION I (Ilocos Region),LA UNION,1091.0,320.0,3028.0,2876.0,35.0,203.0,665.0,118.0,,1.0,375.0,2.0,,2015
2171,SANTO TOMAS,REGION I (Ilocos Region),LA UNION,546.0,1000.0,1897.0,3864.0,265.0,235.0,235.0,5.0,,468.0,479.0,2.0,,2015
2184,SANTOL,REGION I (Ilocos Region),LA UNION,427.0,46.0,438.0,359.0,4.0,133.0,1232.0,133.0,4.0,5.0,8.0,,,2015
2197,SUDIPEN,REGION I (Ilocos Region),LA UNION,434.0,446.0,982.0,1117.0,78.0,13.0,576.0,138.0,2.0,1.0,22.0,1.0,,2015
2210,TUBAO,REGION I (Ilocos Region),LA UNION,236.0,135.0,2148.0,2476.0,13.0,46.0,1238.0,26.0,2.0,2.0,95.0,24.0,,2015
2223,AGNO,REGION I (Ilocos Region),PANGASINAN,411.0,105.0,1432.0,1231.0,60.0,2977.0,257.0,54.0,14.0,,82.0,1.0,,2015
