,city,region_name,province,Electricity_count,Kerosene (Gaas)_count,Liquified Petroleum Gas (LPG)_count,Oil (vegetable animal and others)_count,Solar panel_count,Solar lamp_count,Others_count,None_count,Not Reported_count,year
261,LICUAN-BAAY (LICUAN),CAR - Cordillera Administrative Region,ABRA,677.0,219.0,1.0,,32.0,4.0,35.0,,,2015
270,LUBA,CAR - Cordillera Administrative Region,ABRA,1284.0,66.0,,,4.0,10.0,6.0,,,2015
279,MALIBCONG,CAR - Cordillera Administrative Region,ABRA,219.0,41.0,,,3.0,,483.0,,,2015
288,MANABO,CAR - Cordillera Administrative Region,ABRA,2248.0,178.0,,,11.0,26.0,12.0,,,2015
297,PEÑARRUBIA,CAR - Cordillera Administrative Region,ABRA,1280.0,188.0,,,,10.0,,,,2015
306,PIDIGAN,CAR - Cordillera Administrative Region,ABRA,2527.0,168.0,2.0,4.0,2.0,23.0,2.0,,,2015
315,PILAR,CAR - Cordillera Administrative Region,ABRA,2044.0,234.0,,,1.0,10.0,,,,2015
324,SALLAPADAN,CAR - Cordillera Administrative Region,ABRA,1115.0,98.0,,,,26.0,102.0,,,2015
333,SAN ISIDRO,CAR - Cordillera Administrative Region,ABRA,956.0,112.0,,,1.0,13.0,,,,2015
342,SAN JUAN,CAR - Cordillera Administrative Region,ABRA,2022.0,176.0,,,1.0,16.0,2.0,,,2015
351,SAN QUINTIN,CAR - Cordillera Administrative Region,ABRA,1162.0,85.0,,,,2.0,,,,2015
360,TAYUM,CAR - Cordillera Administrative Region,ABRA,2862.0,265.0,,,,13.0,,,,2015
369,TINEG,CAR - Cordillera Administrative Region,ABRA,,54.0,,,414.0,117.0,395.0,,,2015
378,TUBO,CAR - Cordillera Administrative Region,ABRA,867.0,67.0,,,44.0,6.0,,,,2015
387,VILLAVICIOSA,CAR - Cordillera Administrative Region,ABRA,975.0,94.0,3.0,,1.0,9.0,5.0,,,2015
396,CALANASAN (BAYAG),CAR - Cordillera Administrative Region,APAYAO,340.0,680.0,1.0,1.0,1212.0,47.0,102.0,1.0,,2015
405,CONNER,CAR - Cordillera Administrative Region,APAYAO,4571.0,580.0,9.0,,109.0,36.0,158.0,6.0,,2015
414,FLORA,CAR - Cordillera Administrative Region,APAYAO,2881.0,940.0,3.0,,125.0,47.0,54.0,6.0,,2015
423,KABUGAO (Capital),CAR - Cordillera Administrative Region,APAYAO,1546.0,753.0,,,577.0,260.0,4.0,2.0,,2015
432,LUNA,CAR - Cordillera Administrative Region,APAYAO,3436.0,473.0,,,200.0,37.0,26.0,2.0,,2015
441,PUDTOL,CAR - Cordillera Administrative Region,APAYAO,1983.0,710.0,3.0,,246.0,168.0,97.0,,,2015
450,SANTA MARCELA,CAR - Cordillera Administrative Region,APAYAO,2586.0,514.0,,,15.0,9.0,4.0,,,2015
459,ATOK,CAR - Cordillera Administrative Region,BENGUET (excluding Baguio City),3561.0,304.0,6.0,27.0,77.0,81.0,322.0,,,2015
468,BAKUN,CAR - Cordillera Administrative Region,BENGUET (excluding Baguio City),2963.0,84.0,2.0,8.0,34.0,11.0,248.0,,,2015
477,BOKOD,CAR - Cordillera Administrative Region,BENGUET (excluding Baguio City),2598.0,130.0,,1.0,34.0,12.0,102.0,,,2015
486,BUGUIAS,CAR - Cordillera Administrative Region,BENGUET (excluding Baguio City),10035.0,186.0,6.0,8.0,3.0,62.0,574.0,,,2015
495,ITOGON,CAR - Cordillera Administrative Region,BENGUET (excluding Baguio City),13574.0,156.0,17.0,1.0,100.0,41.0,337.0,,,2015
504,KABAYAN,CAR - Cordillera Administrative Region,BENGUET (excluding Baguio City),2725.0,166.0,8.0,130.0,139.0,181.0,140.0,,,2015
513,KAPANGAN,CAR - Cordillera Administrative Region,BENGUET (excluding Baguio City),3439.0,481.0,6.0,,45.0,36.0,191.0,,,2015
522,KIBUNGAN,CAR - Cordillera Administrative Region,BENGUET (excluding Baguio City),2675.0,421.0,3.0,,112.0,69.0,307.0,,,2015
531,LA TRINIDAD (Capital),CAR - Cordillera Administrative Region,BENGUET (excluding Baguio City),33607.0,134.0,16.0,5.0,35.0,133.0,227.0,,,2015
540,MANKAYAN,CAR - Cordillera Administrative Region,BENGUET (excluding Baguio City),7884.0,92.0,2.0,2.0,,7.0,101.0,,,2015
549,SABLAN,CAR - Cordillera Administrative Region,BENGUET (excluding Baguio City),2271.0,264.0,2.0,,27.0,19.0,20.0,,,2015
558,TUBA,CAR - Cordillera Administrative Region,BENGUET (excluding Baguio City),9793.0,915.0,5.0,,102.0,155.0,182.0,,,2015
567,TUBLAY,CAR - Cordillera Administrative Region,BENGUET (excluding Baguio City),3525.0,178.0,4.0,,8.0,5.0,139.0,,,2015
576,BAGUIO CITY,CAR - Cordillera Administrative Region,BENGUET (excluding Baguio City),89273.0,259.0,206.0,6.0,29.0,43.0,171.0,,,2015
585,BANAUE,CAR - Cordillera Administrative Region,IFUGAO,3501.0,335.0,,,20.0,28.0,45.0,,,2015
594,HUNGDUAN,CAR - Cordillera Administrative Region,IFUGAO,1761.0,112.0,58.0,,1.0,5.0,1.0,3.0,,2015
603,KIANGAN,CAR - Cordillera Administrative Region,IFUGAO,3282.0,185.0,3.0,,,9.0,6.0,,,2015
612,LAGAWE (Capital),CAR - Cordillera Administrative Region,IFUGAO,3807.0,116.0,3.0,,4.0,11.0,9.0,2.0,,2015
621,LAMUT,CAR - Cordillera Administrative Region,IFUGAO,5209.0,312.0,1.0,1.0,27.0,37.0,12.0,1.0,,2015
630,MAYOYAO,CAR - Cordillera Administrative Region,IFUGAO,3447.0,586.0,,,20.0,23.0,2.0,1.0,,2015
639,ALFONSO LISTA (POTIA),CAR - Cordillera Administrative Region,IFUGAO,6431.0,531.0,,2.0,49.0,91.0,41.0,4.0,,2015
648,AGUINALDO,CAR - Cordillera Administrative Region,IFUGAO,3579.0,673.0,,,350.0,41.0,15.0,3.0,,2015
657,HINGYON,CAR - Cordillera Administrative Region,IFUGAO,1870.0,171.0,,,,2.0,1.0,1.0,,2015
666,TINOC,CAR - Cordillera Administrative Region,IFUGAO,2446.0,276.0,13.0,,143.0,267.0,450.0,12.0,,2015
675,ASIPULO,CAR - Cordillera Administrative Region,IFUGAO,1360.0,275.0,4.0,,515.0,414.0,260.0,5.0,,2015
684,BALBALAN,CAR - Cordillera Administrative Region,KALINGA,2052.0,225.0,1.0,,17.0,6.0,1.0,,,2015
693,LUBUAGAN,CAR - Cordillera Administrative Region,KALINGA,1638.0,88.0,,,2.0,,,3.0,,2015
702,PASIL,CAR - Cordillera Administrative Region,KALINGA,1696.0,95.0,,,,,9.0,,,2015
711,PINUKPUK,CAR - Cordillera Administrative Region,KALINGA,4830.0,1242.0,1.0,1.0,186.0,17.0,,2.0,,2015
720,RIZAL (LIWAN),CAR - Cordillera Administrative Region,KALINGA,3475.0,212.0,7.0,2.0,17.0,4.0,6.0,,,2015
729,CITY OF TABUK (Capital),CAR - Cordillera Administrative Region,KALINGA,21657.0,585.0,21.0,7.0,121.0,28.0,14.0,6.0,,2015
738,TANUDAN,CAR - Cordillera Administrative Region,KALINGA,1199.0,206.0,,,147.0,14.0,,2.0,,2015
747,TINGLAYAN,CAR - Cordillera Administrative Region,KALINGA,2200.0,34.0,,,8.0,5.0,26.0,,,2015
756,BARLIG,CAR - Cordillera Administrative Region,MOUNTAIN PROVINCE,1094.0,86.0,1.0,,,3.0,6.0,,,2015
765,BAUKO,CAR - Cordillera Administrative Region,MOUNTAIN PROVINCE,6671.0,53.0,4.0,4.0,,13.0,53.0,2.0,,2015
774,BESAO,CAR - Cordillera Administrative Region,MOUNTAIN PROVINCE,1668.0,25.0,,3.0,,,13.0,3.0,,2015
783,BONTOC (Capital),CAR - Cordillera Administrative Region,MOUNTAIN PROVINCE,6376.0,12.0,5.0,3.0,,,54.0,12.0,,2015
792,NATONIN,CAR - Cordillera Administrative Region,MOUNTAIN PROVINCE,1961.0,217.0,,,,5.0,2.0,4.0,,2015
801,PARACELIS,CAR - Cordillera Administrative Region,MOUNTAIN PROVINCE,4929.0,617.0,7.0,,175.0,103.0,,3.0,,2015
810,SABANGAN,CAR - Cordillera Administrative Region,MOUNTAIN PROVINCE,2163.0,41.0,,,,,11.0,,,2015
819,SADANGA,CAR - Cordillera Administrative Region,MOUNTAIN PROVINCE,1712.0,43.0,3.0,,,2.0,5.0,,,2015
828,SAGADA,CAR - Cordillera Administrative Region,MOUNTAIN PROVINCE,2637.0,7.0,,,,,,,,2015
837,TADIAN,CAR - Cordillera Administrative Region,MOUNTAIN PROVINCE,4125.0,76.0,,,,,24.0,2.0,,2015
846,ADAMS,REGION I (Ilocos Region),ILOCOS NORTE,366.0,44.0,,,1.0,,,,,2015
855,BACARRA,REGION I (Ilocos Region),ILOCOS NORTE,8202.0,36.0,2.0,1.0,2.0,1.0,20.0,5.0,,2015
864,BADOC,REGION I (Ilocos Region),ILOCOS NORTE,7275.0,79.0,,,1.0,,12.0,8.0,,2015
873,BANGUI,REGION I (Ilocos Region),ILOCOS NORTE,3529.0,15.0,,,2.0,3.0,19.0,,,2015
882,CITY OF BATAC,REGION I (Ilocos Region),ILOCOS NORTE,12713.0,65.0,3.0,,1.0,2.0,7.0,6.0,,2015
891,BURGOS,REGION I (Ilocos Region),ILOCOS NORTE,2357.0,24.0,1.0,,,1.0,20.0,,,2015
900,CARASI,REGION I (Ilocos Region),ILOCOS NORTE,293.0,11.0,,,,,,,,2015
909,CURRIMAO,REGION I (Ilocos Region),ILOCOS NORTE,2741.0,53.0,,,,1.0,6.0,4.0,,2015
918,DINGRAS,REGION I (Ilocos Region),ILOCOS NORTE,8678.0,55.0,,3.0,,3.0,12.0,6.0,,2015
927,DUMALNEG,REGION I (Ilocos Region),ILOCOS NORTE,569.0,5.0,,,,,,,,2015
936,BANNA (ESPIRITU),REGION I (Ilocos Region),ILOCOS NORTE,4427.0,92.0,,2.0,,1.0,8.0,2.0,,2015
945,LAOAG CITY (Capital),REGION I (Ilocos Region),ILOCOS NORTE,25203.0,55.0,2.0,2.0,3.0,1.0,16.0,3.0,,2015
954,MARCOS,REGION I (Ilocos Region),ILOCOS NORTE,4468.0,79.0,,,,,12.0,4.0,,2015
963,NUEVA ERA,REGION I (Ilocos Region),ILOCOS NORTE,2259.0,180.0,,1.0,,1.0,11.0,1.0,,2015
972,PAGUDPUD,REGION I (Ilocos Region),ILOCOS NORTE,5580.0,208.0,1.0,,2.0,7.0,7.0,2.0,,2015
981,PAOAY,REGION I (Ilocos Region),ILOCOS NORTE,5726.0,76.0,2.0,1.0,1.0,3.0,8.0,5.0,,2015
990,PASUQUIN,REGION I (Ilocos Region),ILOCOS NORTE,6588.0,89.0,,,2.0,,17.0,2.0,,2015
999,PIDDIG,REGION I (Ilocos Region),ILOCOS NORTE,4973.0,49.0,,,4.0,1.0,13.0,,,2015
1008,PINILI,REGION I (Ilocos Region),ILOCOS NORTE,3889.0,34.0,,,,1.0,6.0,2.0,,2015
1017,SAN NICOLAS,REGION I (Ilocos Region),ILOCOS NORTE,8443.0,44.0,,1.0,1.0,2.0,21.0,4.0,,2015
1026,SARRAT,REGION I (Ilocos Region),ILOCOS NORTE,5699.0,36.0,,,,1.0,10.0,3.0,,2015
1035,SOLSONA,REGION I (Ilocos Region),ILOCOS NORTE,5382.0,86.0,3.0,,1.0,8.0,13.0,4.0,,2015
1044,VINTAR,REGION I (Ilocos Region),ILOCOS NORTE,8151.0,18.0,,1.0,1.0,1.0,5.0,2.0,,2015
1053,ALILEM,REGION I (Ilocos Region),ILOCOS SUR,1437.0,34.0,,,,4.0,1.0,,,2015
1062,BANAYOYO,REGION I (Ilocos Region),ILOCOS SUR,1700.0,39.0,,,1.0,38.0,2.0,2.0,,2015
1071,BANTAY,REGION I (Ilocos Region),ILOCOS SUR,8169.0,46.0,1.0,1.0,1.0,,8.0,3.0,,2015
1080,BURGOS,REGION I (Ilocos Region),ILOCOS SUR,2707.0,48.0,,,,1.0,5.0,24.0,,2015
1089,CABUGAO,REGION I (Ilocos Region),ILOCOS SUR,8028.0,112.0,2.0,,5.0,12.0,19.0,10.0,,2015
1098,CITY OF CANDON,REGION I (Ilocos Region),ILOCOS SUR,13388.0,178.0,11.0,,111.0,63.0,37.0,24.0,,2015
1107,CAOAYAN,REGION I (Ilocos Region),ILOCOS SUR,4541.0,56.0,2.0,,,3.0,1.0,1.0,,2015
1116,CERVANTES,REGION I (Ilocos Region),ILOCOS SUR,3575.0,73.0,,,5.0,14.0,14.0,1.0,,2015
1125,GALIMUYOD,REGION I (Ilocos Region),ILOCOS SUR,2223.0,55.0,,,8.0,38.0,,2.0,,2015
1134,GREGORIO DEL PILAR (CONCEPCION),REGION I (Ilocos Region),ILOCOS SUR,889.0,11.0,,,1.0,5.0,1.0,1.0,,2015
1143,LIDLIDDA,REGION I (Ilocos Region),ILOCOS SUR,985.0,8.0,,,3.0,6.0,,2.0,,2015
1152,MAGSINGAL,REGION I (Ilocos Region),ILOCOS SUR,7690.0,227.0,6.0,,1.0,7.0,10.0,2.0,,2015
1161,NAGBUKEL,REGION I (Ilocos Region),ILOCOS SUR,1170.0,11.0,,,,,,1.0,,2015
1170,NARVACAN,REGION I (Ilocos Region),ILOCOS SUR,9688.0,118.0,6.0,,5.0,2.0,23.0,14.0,,2015
1179,QUIRINO (ANGKAKI),REGION I (Ilocos Region),ILOCOS SUR,1809.0,16.0,,1.0,,,4.0,,,2015
1188,SALCEDO (BAUGEN),REGION I (Ilocos Region),ILOCOS SUR,2619.0,30.0,1.0,,22.0,11.0,,,,2015
1197,SAN EMILIO,REGION I (Ilocos Region),ILOCOS SUR,1514.0,14.0,,,8.0,,1.0,,,2015
1206,SAN ESTEBAN,REGION I (Ilocos Region),ILOCOS SUR,1959.0,9.0,,,1.0,20.0,11.0,1.0,,2015
1215,SAN ILDEFONSO,REGION I (Ilocos Region),ILOCOS SUR,1735.0,14.0,1.0,4.0,,,6.0,,,2015
1224,SAN JUAN (LAPOG),REGION I (Ilocos Region),ILOCOS SUR,6322.0,76.0,2.0,,12.0,23.0,23.0,19.0,,2015
1233,SAN VICENTE,REGION I (Ilocos Region),ILOCOS SUR,2933.0,22.0,,,2.0,4.0,8.0,2.0,,2015
1242,SANTA,REGION I (Ilocos Region),ILOCOS SUR,3443.0,5.0,,1.0,25.0,27.0,4.0,4.0,,2015
1251,SANTA CATALINA,REGION I (Ilocos Region),ILOCOS SUR,2829.0,10.0,,,,1.0,4.0,,,2015
1260,SANTA CRUZ,REGION I (Ilocos Region),ILOCOS SUR,8858.0,83.0,2.0,,9.0,21.0,2.0,7.0,,2015
1269,SANTA LUCIA,REGION I (Ilocos Region),ILOCOS SUR,5818.0,68.0,3.0,,1.0,4.0,4.0,32.0,,2015
1278,SANTA MARIA,REGION I (Ilocos Region),ILOCOS SUR,6819.0,70.0,1.0,,25.0,21.0,6.0,2.0,,2015
1287,SANTIAGO,REGION I (Ilocos Region),ILOCOS SUR,4200.0,79.0,1.0,,12.0,60.0,28.0,7.0,,2015
1296,SANTO DOMINGO,REGION I (Ilocos Region),ILOCOS SUR,6666.0,57.0,3.0,1.0,14.0,21.0,7.0,8.0,,2015
1305,SIGAY,REGION I (Ilocos Region),ILOCOS SUR,514.0,1.0,,,,,,,,2015
1314,SINAIT,REGION I (Ilocos Region),ILOCOS SUR,5930.0,109.0,1.0,,7.0,17.0,7.0,67.0,,2015
1323,SUGPON,REGION I (Ilocos Region),ILOCOS SUR,914.0,45.0,,,7.0,4.0,2.0,,,2015
1332,SUYO,REGION I (Ilocos Region),ILOCOS SUR,2437.0,41.0,,,,23.0,4.0,,,2015
1341,TAGUDIN,REGION I (Ilocos Region),ILOCOS SUR,8474.0,80.0,1.0,,46.0,22.0,13.0,8.0,,2015
1350,CITY OF VIGAN (Capital),REGION I (Ilocos Region),ILOCOS SUR,11752.0,76.0,,,,5.0,19.0,8.0,,2015
1359,AGOO,REGION I (Ilocos Region),LA UNION,13494.0,309.0,,1.0,1.0,7.0,27.0,11.0,,2015
1368,ARINGAY,REGION I (Ilocos Region),LA UNION,10160.0,608.0,8.0,,1.0,6.0,9.0,25.0,,2015
1377,BACNOTAN,REGION I (Ilocos Region),LA UNION,9642.0,290.0,,,2.0,3.0,19.0,7.0,,2015
1386,BAGULIN,REGION I (Ilocos Region),LA UNION,2593.0,369.0,,,,11.0,5.0,,,2015
1395,BALAOAN,REGION I (Ilocos Region),LA UNION,8569.0,354.0,3.0,,,4.0,26.0,7.0,,2015
1404,BANGAR,REGION I (Ilocos Region),LA UNION,7659.0,363.0,1.0,,2.0,14.0,36.0,3.0,,2015
1413,BAUANG,REGION I (Ilocos Region),LA UNION,16749.0,404.0,2.0,,3.0,21.0,47.0,28.0,,2015
1422,BURGOS,REGION I (Ilocos Region),LA UNION,1567.0,169.0,,,,2.0,10.0,2.0,,2015
1431,CABA,REGION I (Ilocos Region),LA UNION,4929.0,256.0,3.0,,4.0,4.0,25.0,6.0,,2015
1440,LUNA,REGION I (Ilocos Region),LA UNION,8178.0,266.0,4.0,,,10.0,21.0,11.0,,2015
1449,NAGUILIAN,REGION I (Ilocos Region),LA UNION,11494.0,588.0,3.0,,5.0,9.0,57.0,5.0,,2015
1458,PUGO,REGION I (Ilocos Region),LA UNION,4533.0,251.0,1.0,1.0,2.0,5.0,3.0,15.0,,2015
1467,ROSARIO,REGION I (Ilocos Region),LA UNION,12681.0,414.0,3.0,3.0,4.0,26.0,28.0,12.0,,2015
1476,CITY OF SAN FERNANDO (Capital),REGION I (Ilocos Region),LA UNION,28216.0,199.0,20.0,1.0,2.0,10.0,45.0,12.0,,2015
1485,SAN GABRIEL,REGION I (Ilocos Region),LA UNION,3139.0,705.0,3.0,,25.0,14.0,18.0,3.0,,2015
1494,SAN JUAN,REGION I (Ilocos Region),LA UNION,8470.0,189.0,13.0,,,5.0,32.0,5.0,,2015
1503,SANTO TOMAS,REGION I (Ilocos Region),LA UNION,8725.0,227.0,5.0,1.0,,19.0,5.0,14.0,,2015
1512,SANTOL,REGION I (Ilocos Region),LA UNION,2345.0,342.0,1.0,1.0,79.0,14.0,7.0,,,2015
1521,SUDIPEN,REGION I (Ilocos Region),LA UNION,3484.0,305.0,,,2.0,8.0,8.0,3.0,,2015
1530,TUBAO,REGION I (Ilocos Region),LA UNION,6213.0,201.0,,2.0,3.0,6.0,15.0,1.0,,2015
1539,AGNO,REGION I (Ilocos Region),PANGASINAN,5730.0,838.0,2.0,1.0,3.0,2.0,43.0,5.0,,2015
1548,AGUILAR,REGION I (Ilocos Region),PANGASINAN,8190.0,506.0,12.0,,8.0,18.0,33.0,10.0,,2015
1557,CITY OF ALAMINOS,REGION I (Ilocos Region),PANGASINAN,20557.0,892.0,8.0,2.0,5.0,11.0,65.0,36.0,,2015
1566,ALCALA,REGION I (Ilocos Region),PANGASINAN,9540.0,583.0,5.0,,3.0,10.0,15.0,18.0,,2015
1575,ANDA,REGION I (Ilocos Region),PANGASINAN,8822.0,454.0,47.0,,3.0,7.0,38.0,5.0,,2015
1584,ASINGAN,REGION I (Ilocos Region),PANGASINAN,12618.0,926.0,3.0,,4.0,7.0,60.0,5.0,,2015
1593,BALUNGAO,REGION I (Ilocos Region),PANGASINAN,6832.0,746.0,,,5.0,8.0,6.0,9.0,,2015
1602,BANI,REGION I (Ilocos Region),PANGASINAN,11675.0,601.0,13.0,,2.0,6.0,8.0,32.0,,2015
1611,BASISTA,REGION I (Ilocos Region),PANGASINAN,6694.0,137.0,42.0,,1.0,,25.0,5.0,,2015
1620,BAUTISTA,REGION I (Ilocos Region),PANGASINAN,6444.0,412.0,2.0,,,11.0,20.0,3.0,,2015
1629,BAYAMBANG,REGION I (Ilocos Region),PANGASINAN,24547.0,907.0,15.0,3.0,1.0,31.0,24.0,68.0,,2015
1638,BINALONAN,REGION I (Ilocos Region),PANGASINAN,11925.0,760.0,6.0,1.0,16.0,38.0,88.0,15.0,,2015
1647,BINMALEY,REGION I (Ilocos Region),PANGASINAN,19581.0,501.0,33.0,1.0,,7.0,23.0,14.0,,2015
1656,BOLINAO,REGION I (Ilocos Region),PANGASINAN,16180.0,1250.0,66.0,4.0,17.0,49.0,42.0,73.0,,2015
1665,BUGALLON,REGION I (Ilocos Region),PANGASINAN,13881.0,612.0,12.0,11.0,1.0,33.0,31.0,6.0,,2015
1674,BURGOS,REGION I (Ilocos Region),PANGASINAN,4154.0,624.0,1.0,2.0,6.0,1.0,8.0,4.0,,2015
1683,CALASIAO,REGION I (Ilocos Region),PANGASINAN,22342.0,143.0,11.0,9.0,1.0,6.0,9.0,21.0,,2015
1692,DAGUPAN CITY,REGION I (Ilocos Region),PANGASINAN,37528.0,484.0,39.0,8.0,8.0,27.0,56.0,18.0,,2015
1701,DASOL,REGION I (Ilocos Region),PANGASINAN,6079.0,670.0,3.0,,3.0,11.0,17.0,2.0,,2015
1710,INFANTA,REGION I (Ilocos Region),PANGASINAN,4994.0,317.0,6.0,,265.0,17.0,21.0,1.0,,2015
1719,LABRADOR,REGION I (Ilocos Region),PANGASINAN,5283.0,172.0,,1.0,6.0,7.0,8.0,3.0,,2015
1728,LINGAYEN (Capital),REGION I (Ilocos Region),PANGASINAN,21146.0,557.0,20.0,,2.0,20.0,14.0,21.0,,2015
1737,MABINI,REGION I (Ilocos Region),PANGASINAN,5106.0,688.0,2.0,1.0,85.0,24.0,6.0,5.0,,2015
1746,MALASIQUI,REGION I (Ilocos Region),PANGASINAN,27699.0,1192.0,29.0,4.0,6.0,30.0,27.0,60.0,,2015
1755,MANAOAG,REGION I (Ilocos Region),PANGASINAN,14559.0,298.0,10.0,2.0,1.0,11.0,43.0,15.0,,2015
1764,MANGALDAN,REGION I (Ilocos Region),PANGASINAN,22852.0,546.0,4.0,1.0,1.0,4.0,17.0,12.0,,2015
1773,MANGATAREM,REGION I (Ilocos Region),PANGASINAN,15394.0,1005.0,25.0,,60.0,12.0,53.0,5.0,,2015
1782,MAPANDAN,REGION I (Ilocos Region),PANGASINAN,8440.0,216.0,1.0,1.0,1.0,4.0,1.0,3.0,,2015
1791,NATIVIDAD,REGION I (Ilocos Region),PANGASINAN,5363.0,343.0,25.0,3.0,9.0,25.0,19.0,7.0,,2015
1800,POZORRUBIO,REGION I (Ilocos Region),PANGASINAN,15752.0,1017.0,9.0,3.0,7.0,19.0,43.0,6.0,,2015
1809,ROSALES,REGION I (Ilocos Region),PANGASINAN,12923.0,1519.0,7.0,,14.0,59.0,43.0,11.0,,2015
1818,SAN CARLOS CITY,REGION I (Ilocos Region),PANGASINAN,40783.0,883.0,228.0,5.0,3.0,20.0,87.0,40.0,,2015
1827,SAN FABIAN,REGION I (Ilocos Region),PANGASINAN,19340.0,454.0,8.0,3.0,2.0,16.0,40.0,23.0,,2015
1836,SAN JACINTO,REGION I (Ilocos Region),PANGASINAN,9044.0,152.0,1.0,3.0,,4.0,7.0,,,2015
1845,SAN MANUEL,REGION I (Ilocos Region),PANGASINAN,11272.0,1152.0,7.0,2.0,4.0,53.0,51.0,11.0,,2015
1854,SAN NICOLAS,REGION I (Ilocos Region),PANGASINAN,6894.0,916.0,69.0,,120.0,20.0,240.0,18.0,,2015
1863,SAN QUINTIN,REGION I (Ilocos Region),PANGASINAN,7817.0,671.0,4.0,19.0,1.0,17.0,48.0,7.0,,2015
1872,SANTA BARBARA,REGION I (Ilocos Region),PANGASINAN,18445.0,145.0,7.0,3.0,2.0,1.0,22.0,11.0,,2015
1881,SANTA MARIA,REGION I (Ilocos Region),PANGASINAN,6918.0,527.0,3.0,,1.0,16.0,23.0,3.0,,2015
