Tenure Status of the Housing Unit and Lot and City/Municipality, Number of Households* , Single house , Duplex , Multi-unit residential , Commercial/ industrial/ agricultural , Institutional living quarter , Others , Not Reported 
 SAN TEODORO,,,,,,,,
Total,  4.058 ,  3.916 ,  110 ,  20 ,  9 ,  -   ,  -   ,  3 
Own or owner like possession of house and lot,  1.694 ,  1.639 ,  48 ,  2 ,  4 ,  -   ,  -   ,  1 
Rent house/room including lot,  99 ,  81 ,  7 ,  11 ,  -   ,  -   ,  -   ,  -   
Own house rent lot,  48 ,  47 ,  -   ,  -   ,  1 ,  -   ,  -   ,  -   
Own house rent-free lot with consent of owner,  1.853 ,  1.797 ,  43 ,  7 ,  4 ,  -   ,  -   ,  2 
Own house rent-free lot without consent of owner,  7 ,  7 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Rent-free house and lot with consent of owner,  353 ,  341 ,  12 ,  -   ,  -   ,  -   ,  -   ,  -   
Rent-free house and lot without consent of owner,  4 ,  4 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Not Applicable,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Not Reported,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
 SOCORRO,,,,,,,,
Total,  9.108 ,  8.784 ,  216 ,  101 ,  6 ,  -   ,  -   ,  1 
Own or owner like possession of house and lot,  5.062 ,  4.929 ,  109 ,  23 ,  1 ,  -   ,  -   ,  -   
Rent house/room including lot,  334 ,  247 ,  31 ,  53 ,  3 ,  -   ,  -   ,  -   
Own house rent lot,  129 ,  129 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Own house rent-free lot with consent of owner,  2.666 ,  2.626 ,  35 ,  3 ,  1 ,  -   ,  -   ,  1 
Own house rent-free lot without consent of owner,  65 ,  63 ,  1 ,  1 ,  -   ,  -   ,  -   ,  -   
Rent-free house and lot with consent of owner,  840 ,  779 ,  40 ,  20 ,  1 ,  -   ,  -   ,  -   
Rent-free house and lot without consent of owner,  12 ,  11 ,  -   ,  1 ,  -   ,  -   ,  -   ,  -   
Not Applicable,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Not Reported,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
 VICTORIA,,,,,,,,
Total,  11.208 ,  10.691 ,  310 ,  176 ,  23 ,  1 ,  1 ,  6 
Own or owner like possession of house and lot,  6.591 ,  6.426 ,  132 ,  24 ,  7 ,  1 ,  -   ,  1 
Rent house/room including lot,  487 ,  302 ,  42 ,  129 ,  14 ,  -   ,  -   ,  -   
Own house rent lot,  104 ,  99 ,  4 ,  1 ,  -   ,  -   ,  -   ,  -   
Own house rent-free lot with consent of owner,  2.871 ,  2.771 ,  85 ,  10 ,  1 ,  -   ,  1 ,  3 
Own house rent-free lot without consent of owner,  159 ,  157 ,  2 ,  -   ,  -   ,  -   ,  -   ,  -   
Rent-free house and lot with consent of owner,  969 ,  909 ,  45 ,  12 ,  1 ,  -   ,  -   ,  2 
Rent-free house and lot without consent of owner,  27 ,  27 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Not Applicable,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Not Reported,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
 PALAWAN (excluding Puerto Princesa City),,,,,,,,
Total,  195.074 ,  183.297 ,  6.400 ,  4.651 ,  243 ,  16 ,  2 ,  465 
Own or owner like possession of house and lot,  112.339 ,  108.834 ,  2.517 ,  691 ,  105 ,  9 ,  -   ,  183 
Rent house/room including lot,  8.768 ,  5.067 ,  1.264 ,  2.297 ,  51 ,  1 ,  -   ,  88 
Own house rent lot,  6.113 ,  5.777 ,  241 ,  68 ,  9 ,  -   ,  -   ,  18 
Own house rent-free lot with consent of owner,  51.674 ,  50.019 ,  1.205 ,  306 ,  25 ,  1 ,  1 ,  117 
Own house rent-free lot without consent of owner,  3.036 ,  2.891 ,  99 ,  30 ,  5 ,  -   ,  -   ,  11 
Rent-free house and lot with consent of owner,  12.800 ,  10.402 ,  1.051 ,  1.245 ,  48 ,  5 ,  1 ,  48 
Rent-free house and lot without consent of owner,  344 ,  307 ,  23 ,  14 ,  -   ,  -   ,  -   ,  -   
Not Applicable,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Not Reported,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
 ABORLAN,,,,,,,,
Total,  8.294 ,  7.644 ,  276 ,  360 ,  5 ,  1 ,  -   ,  8 
Own or owner like possession of house and lot,  4.968 ,  4.785 ,  118 ,  61 ,  1 ,  -   ,  -   ,  3 
Rent house/room including lot,  424 ,  130 ,  56 ,  233 ,  3 ,  -   ,  -   ,  2 
Own house rent lot,  29 ,  27 ,  2 ,  -   ,  -   ,  -   ,  -   ,  -   
Own house rent-free lot with consent of owner,  2.134 ,  2.013 ,  70 ,  50 ,  -   ,  -   ,  -   ,  1 
Own house rent-free lot without consent of owner,  137 ,  134 ,  3 ,  -   ,  -   ,  -   ,  -   ,  -   
Rent-free house and lot with consent of owner,  598 ,  551 ,  27 ,  16 ,  1 ,  1 ,  -   ,  2 
Rent-free house and lot without consent of owner,  4 ,  4 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Not Applicable,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Not Reported,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
 AGUTAYA,,,,,,,,
Total,  3.045 ,  2.996 ,  38 ,  10 ,  -   ,  -   ,  -   ,  1 
Own or owner like possession of house and lot,  1.509 ,  1.491 ,  17 ,  1 ,  -   ,  -   ,  -   ,  -   
Rent house/room including lot,  39 ,  34 ,  1 ,  4 ,  -   ,  -   ,  -   ,  -   
Own house rent lot,  632 ,  614 ,  13 ,  4 ,  -   ,  -   ,  -   ,  1 
Own house rent-free lot with consent of owner,  787 ,  782 ,  5 ,  -   ,  -   ,  -   ,  -   ,  -   
Own house rent-free lot without consent of owner,  26 ,  25 ,  1 ,  -   ,  -   ,  -   ,  -   ,  -   
Rent-free house and lot with consent of owner,  51 ,  49 ,  1 ,  1 ,  -   ,  -   ,  -   ,  -   
Rent-free house and lot without consent of owner,  1 ,  1 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Not Applicable,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Not Reported,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
 ARACELI,,,,,,,,
Total,  3.294 ,  3.244 ,  42 ,  3 ,  -   ,  -   ,  -   ,  5 
Own or owner like possession of house and lot,  2.404 ,  2.374 ,  26 ,  -   ,  -   ,  -   ,  -   ,  4 
Rent house/room including lot,  53 ,  46 ,  3 ,  3 ,  -   ,  -   ,  -   ,  1 
Own house rent lot,  70 ,  70 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Own house rent-free lot with consent of owner,  608 ,  600 ,  8 ,  -   ,  -   ,  -   ,  -   ,  -   
Own house rent-free lot without consent of owner,  17 ,  17 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Rent-free house and lot with consent of owner,  142 ,  137 ,  5 ,  -   ,  -   ,  -   ,  -   ,  -   
Rent-free house and lot without consent of owner,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Not Applicable,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Not Reported,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
 BALABAC,,,,,,,,
Total,  8.445 ,  7.960 ,  303 ,  167 ,  2 ,  -   ,  -   ,  13 
Own or owner like possession of house and lot,  2.497 ,  2.435 ,  42 ,  14 ,  -   ,  -   ,  -   ,  6 
Rent house/room including lot,  165 ,  70 ,  25 ,  70 ,  -   ,  -   ,  -   ,  -   
Own house rent lot,  1.747 ,  1.648 ,  89 ,  10 ,  -   ,  -   ,  -   ,  -   
Own house rent-free lot with consent of owner,  3.571 ,  3.491 ,  58 ,  16 ,  2 ,  -   ,  -   ,  4 
Own house rent-free lot without consent of owner,  100 ,  97 ,  3 ,  -   ,  -   ,  -   ,  -   ,  -   
Rent-free house and lot with consent of owner,  362 ,  216 ,  86 ,  57 ,  -   ,  -   ,  -   ,  3 
Rent-free house and lot without consent of owner,  3 ,  3 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Not Applicable,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Not Reported,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
 BATARAZA,,,,,,,,
Total,  17.983 ,  14.838 ,  1.318 ,  1.688 ,  42 ,  1 ,  -   ,  96 
Own or owner like possession of house and lot,  8.841 ,  8.296 ,  409 ,  102 ,  17 ,  -   ,  -   ,  17 
Rent house/room including lot,  1.570 ,  607 ,  277 ,  638 ,  13 ,  -   ,  -   ,  35 
Own house rent lot,  657 ,  569 ,  47 ,  32 ,  2 ,  -   ,  -   ,  7 
Own house rent-free lot with consent of owner,  4.774 ,  4.399 ,  278 ,  68 ,  5 ,  -   ,  -   ,  24 
Own house rent-free lot without consent of owner,  100 ,  85 ,  8 ,  7 ,  -   ,  -   ,  -   ,  -   
Rent-free house and lot with consent of owner,  2.025 ,  866 ,  299 ,  841 ,  5 ,  1 ,  -   ,  13 
Rent-free house and lot without consent of owner,  16 ,  16 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Not Applicable,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Not Reported,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
 BROOKE'S POINT,,,,,,,,
Total,  15.474 ,  14.757 ,  445 ,  228 ,  17 ,  1 ,  -   ,  26 
Own or owner like possession of house and lot,  8.583 ,  8.316 ,  199 ,  56 ,  3 ,  1 ,  -   ,  8 
Rent house/room including lot,  664 ,  418 ,  101 ,  137 ,  5 ,  -   ,  -   ,  3 
Own house rent lot,  115 ,  111 ,  3 ,  -   ,  1 ,  -   ,  -   ,  -   
Own house rent-free lot with consent of owner,  4.520 ,  4.426 ,  73 ,  14 ,  1 ,  -   ,  -   ,  6 
Own house rent-free lot without consent of owner,  216 ,  204 ,  7 ,  1 ,  -   ,  -   ,  -   ,  4 
Rent-free house and lot with consent of owner,  1.351 ,  1.262 ,  57 ,  20 ,  7 ,  -   ,  -   ,  5 
Rent-free house and lot without consent of owner,  25 ,  20 ,  5 ,  -   ,  -   ,  -   ,  -   ,  -   
Not Applicable,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Not Reported,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
 BUSUANGA,,,,,,,,
Total,  5.051 ,  4.841 ,  138 ,  56 ,  2 ,  -   ,  -   ,  14 
Own or owner like possession of house and lot,  3.183 ,  3.100 ,  61 ,  12 ,  2 ,  -   ,  -   ,  8 
Rent house/room including lot,  114 ,  86 ,  8 ,  16 ,  -   ,  -   ,  -   ,  4 
Own house rent lot,  98 ,  94 ,  4 ,  -   ,  -   ,  -   ,  -   ,  -   
Own house rent-free lot with consent of owner,  1.409 ,  1.365 ,  34 ,  9 ,  -   ,  -   ,  -   ,  1 
Own house rent-free lot without consent of owner,  72 ,  71 ,  1 ,  -   ,  -   ,  -   ,  -   ,  -   
Rent-free house and lot with consent of owner,  159 ,  111 ,  28 ,  19 ,  -   ,  -   ,  -   ,  1 
Rent-free house and lot without consent of owner,  16 ,  14 ,  2 ,  -   ,  -   ,  -   ,  -   ,  -   
Not Applicable,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Not Reported,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
 CAGAYANCILLO,,,,,,,,
Total,  1.184 ,  1.164 ,  16 ,  3 ,  1 ,  -   ,  -   ,  -   
Own or owner like possession of house and lot,  1.094 ,  1.075 ,  16 ,  3 ,  -   ,  -   ,  -   ,  -   
Rent house/room including lot,  8 ,  8 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Own house rent lot,  8 ,  8 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Own house rent-free lot with consent of owner,  55 ,  55 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Own house rent-free lot without consent of owner,  3 ,  3 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Rent-free house and lot with consent of owner,  16 ,  15 ,  -   ,  -   ,  1 ,  -   ,  -   ,  -   
Rent-free house and lot without consent of owner,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Not Applicable,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Not Reported,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
 CORON,,,,,,,,
Total,  11.512 ,  10.766 ,  387 ,  331 ,  8 ,  4 ,  -   ,  16 
Own or owner like possession of house and lot,  7.059 ,  6.762 ,  182 ,  91 ,  6 ,  4 ,  -   ,  14 
Rent house/room including lot,  781 ,  519 ,  78 ,  183 ,  1 ,  -   ,  -   ,  -   
Own house rent lot,  403 ,  382 ,  17 ,  4 ,  -   ,  -   ,  -   ,  -   
Own house rent-free lot with consent of owner,  2.167 ,  2.084 ,  53 ,  28 ,  -   ,  -   ,  -   ,  2 
Own house rent-free lot without consent of owner,  699 ,  660 ,  27 ,  11 ,  1 ,  -   ,  -   ,  -   
Rent-free house and lot with consent of owner,  376 ,  339 ,  23 ,  14 ,  -   ,  -   ,  -   ,  -   
Rent-free house and lot without consent of owner,  27 ,  20 ,  7 ,  -   ,  -   ,  -   ,  -   ,  -   
Not Applicable,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Not Reported,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
 CUYO,,,,,,,,
Total,  5.103 ,  4.935 ,  100 ,  57 ,  4 ,  -   ,  -   ,  7 
Own or owner like possession of house and lot,  3.301 ,  3.253 ,  38 ,  8 ,  1 ,  -   ,  -   ,  1 
Rent house/room including lot,  247 ,  175 ,  29 ,  40 ,  1 ,  -   ,  -   ,  2 
Own house rent lot,  514 ,  498 ,  14 ,  -   ,  -   ,  -   ,  -   ,  2 
Own house rent-free lot with consent of owner,  744 ,  721 ,  13 ,  8 ,  1 ,  -   ,  -   ,  1 
Own house rent-free lot without consent of owner,  35 ,  35 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Rent-free house and lot with consent of owner,  262 ,  253 ,  6 ,  1 ,  1 ,  -   ,  -   ,  1 
Rent-free house and lot without consent of owner,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Not Applicable,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Not Reported,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
 DUMARAN,,,,,,,,
Total,  5.812 ,  5.172 ,  476 ,  142 ,  2 ,  -   ,  -   ,  20 
Own or owner like possession of house and lot,  4.024 ,  3.669 ,  269 ,  78 ,  -   ,  -   ,  -   ,  8 
Rent house/room including lot,  43 ,  28 ,  7 ,  8 ,  -   ,  -   ,  -   ,  -   
Own house rent lot,  156 ,  150 ,  5 ,  1 ,  -   ,  -   ,  -   ,  -   
Own house rent-free lot with consent of owner,  1.220 ,  1.083 ,  108 ,  20 ,  2 ,  -   ,  -   ,  7 
Own house rent-free lot without consent of owner,  9 ,  8 ,  1 ,  -   ,  -   ,  -   ,  -   ,  -   
Rent-free house and lot with consent of owner,  359 ,  233 ,  86 ,  35 ,  -   ,  -   ,  -   ,  5 
Rent-free house and lot without consent of owner,  1 ,  1 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Not Applicable,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Not Reported,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
 EL NIDO (BACUIT),,,,,,,,
Total,  9.490 ,  8.855 ,  284 ,  316 ,  23 ,  -   ,  -   ,  12 
Own or owner like possession of house and lot,  5.807 ,  5.664 ,  86 ,  46 ,  6 ,  -   ,  -   ,  5 
Rent house/room including lot,  765 ,  422 ,  107 ,  225 ,  7 ,  -   ,  -   ,  4 
Own house rent lot,  228 ,  202 ,  14 ,  9 ,  2 ,  -   ,  -   ,  1 
Own house rent-free lot with consent of owner,  1.883 ,  1.830 ,  35 ,  15 ,  3 ,  -   ,  -   ,  -   
Own house rent-free lot without consent of owner,  216 ,  212 ,  4 ,  -   ,  -   ,  -   ,  -   ,  -   
Rent-free house and lot with consent of owner,  549 ,  486 ,  37 ,  19 ,  5 ,  -   ,  -   ,  2 
Rent-free house and lot without consent of owner,  42 ,  39 ,  1 ,  2 ,  -   ,  -   ,  -   ,  -   
Not Applicable,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Not Reported,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
 LINAPACAN,,,,,,,,
Total,  3.370 ,  3.284 ,  52 ,  27 ,  2 ,  -   ,  1 ,  4 
Own or owner like possession of house and lot,  1.808 ,  1.788 ,  12 ,  4 ,  2 ,  -   ,  -   ,  2 
Rent house/room including lot,  70 ,  40 ,  9 ,  21 ,  -   ,  -   ,  -   ,  -   
Own house rent lot,  113 ,  113 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Own house rent-free lot with consent of owner,  1.097 ,  1.078 ,  16 ,  1 ,  -   ,  -   ,  1 ,  1 
Own house rent-free lot without consent of owner,  102 ,  92 ,  9 ,  -   ,  -   ,  -   ,  -   ,  1 
Rent-free house and lot with consent of owner,  175 ,  169 ,  5 ,  1 ,  -   ,  -   ,  -   ,  -   
Rent-free house and lot without consent of owner,  5 ,  4 ,  1 ,  -   ,  -   ,  -   ,  -   ,  -   
Not Applicable,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Not Reported,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
 MAGSAYSAY,,,,,,,,
Total,  2.733 ,  2.709 ,  22 ,  -   ,  2 ,  -   ,  -   ,  -   
Own or owner like possession of house and lot,  1.865 ,  1.848 ,  16 ,  -   ,  1 ,  -   ,  -   ,  -   
Rent house/room including lot,  7 ,  7 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Own house rent lot,  15 ,  15 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Own house rent-free lot with consent of owner,  760 ,  753 ,  6 ,  -   ,  1 ,  -   ,  -   ,  -   
Own house rent-free lot without consent of owner,  7 ,  7 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Rent-free house and lot with consent of owner,  78 ,  78 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Rent-free house and lot without consent of owner,  1 ,  1 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Not Applicable,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Not Reported,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
 NARRA,,,,,,,,
Total,  16.922 ,  16.299 ,  413 ,  161 ,  22 ,  1 ,  -   ,  26 
Own or owner like possession of house and lot,  10.341 ,  10.132 ,  172 ,  20 ,  8 ,  -   ,  -   ,  9 
Rent house/room including lot,  732 ,  557 ,  97 ,  71 ,  2 ,  -   ,  -   ,  5 
Own house rent lot,  216 ,  202 ,  8 ,  4 ,  1 ,  -   ,  -   ,  1 
Own house rent-free lot with consent of owner,  3.875 ,  3.783 ,  73 ,  10 ,  1 ,  1 ,  -   ,  7 
Own house rent-free lot without consent of owner,  101 ,  99 ,  2 ,  -   ,  -   ,  -   ,  -   ,  -   
Rent-free house and lot with consent of owner,  1.617 ,  1.486 ,  61 ,  56 ,  10 ,  -   ,  -   ,  4 
Rent-free house and lot without consent of owner,  40 ,  40 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Not Applicable,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Not Reported,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
 QUEZON,,,,,,,,
Total,  13.941 ,  13.015 ,  512 ,  338 ,  24 ,  3 ,  1 ,  48 
Own or owner like possession of house and lot,  7.716 ,  7.450 ,  190 ,  49 ,  7 ,  1 ,  -   ,  19 
Rent house/room including lot,  881 ,  494 ,  142 ,  229 ,  4 ,  1 ,  -   ,  11 
Own house rent lot,  88 ,  83 ,  2 ,  1 ,  2 ,  -   ,  -   ,  -   
Own house rent-free lot with consent of owner,  4.168 ,  4.048 ,  95 ,  8 ,  5 ,  -   ,  -   ,  12 
Own house rent-free lot without consent of owner,  171 ,  156 ,  9 ,  2 ,  -   ,  -   ,  -   ,  4 
Rent-free house and lot with consent of owner,  886 ,  753 ,  74 ,  49 ,  6 ,  1 ,  1 ,  2 
Rent-free house and lot without consent of owner,  31 ,  31 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Not Applicable,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Not Reported,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
 ROXAS,,,,,,,,
Total,  15.377 ,  14.717 ,  388 ,  212 ,  18 ,  2 ,  -   ,  40 
Own or owner like possession of house and lot,  8.201 ,  8.010 ,  150 ,  19 ,  7 ,  2 ,  -   ,  13 
Rent house/room including lot,  687 ,  382 ,  120 ,  171 ,  6 ,  -   ,  -   ,  8 
Own house rent lot,  401 ,  384 ,  11 ,  3 ,  -   ,  -   ,  -   ,  3 
Own house rent-free lot with consent of owner,  5.005 ,  4.918 ,  62 ,  10 ,  1 ,  -   ,  -   ,  14 
Own house rent-free lot without consent of owner,  319 ,  313 ,  6 ,  -   ,  -   ,  -   ,  -   ,  -   
Rent-free house and lot with consent of owner,  752 ,  699 ,  38 ,  9 ,  4 ,  -   ,  -   ,  2 
Rent-free house and lot without consent of owner,  12 ,  11 ,  1 ,  -   ,  -   ,  -   ,  -   ,  -   
Not Applicable,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Not Reported,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
 SAN VICENTE,,,,,,,,
Total,  6.711 ,  6.473 ,  166 ,  32 ,  30 ,  -   ,  -   ,  10 
Own or owner like possession of house and lot,  3.283 ,  3.188 ,  69 ,  6 ,  18 ,  -   ,  -   ,  2 
Rent house/room including lot,  288 ,  240 ,  26 ,  16 ,  2 ,  -   ,  -   ,  4 
Own house rent lot,  174 ,  172 ,  2 ,  -   ,  -   ,  -   ,  -   ,  -   
Own house rent-free lot with consent of owner,  2.182 ,  2.138 ,  40 ,  -   ,  2 ,  -   ,  -   ,  2 
Own house rent-free lot without consent of owner,  190 ,  176 ,  3 ,  6 ,  4 ,  -   ,  -   ,  1 
Rent-free house and lot with consent of owner,  577 ,  545 ,  24 ,  3 ,  4 ,  -   ,  -   ,  1 
Rent-free house and lot without consent of owner,  17 ,  14 ,  2 ,  1 ,  -   ,  -   ,  -   ,  -   
Not Applicable,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Not Reported,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
 TAYTAY,,,,,,,,
Total,  16.137 ,  15.470 ,  391 ,  195 ,  13 ,  3 ,  -   ,  65 
Own or owner like possession of house and lot,  9.169 ,  8.933 ,  152 ,  43 ,  10 ,  1 ,  -   ,  30 
Rent house/room including lot,  560 ,  351 ,  95 ,  109 ,  2 ,  -   ,  -   ,  3 
Own house rent lot,  317 ,  309 ,  5 ,  -   ,  -   ,  -   ,  -   ,  3 
Own house rent-free lot with consent of owner,  4.685 ,  4.577 ,  68 ,  16 ,  -   ,  -   ,  -   ,  24 
Own house rent-free lot without consent of owner,  239 ,  231 ,  7 ,  -   ,  -   ,  -   ,  -   ,  1 
Rent-free house and lot with consent of owner,  1.123 ,  1.032 ,  63 ,  21 ,  1 ,  2 ,  -   ,  4 
Rent-free house and lot without consent of owner,  44 ,  37 ,  1 ,  6 ,  -   ,  -   ,  -   ,  -   
Not Applicable,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Not Reported,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
 KALAYAAN,,,,,,,,
Total,  31 ,  31 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Own or owner like possession of house and lot,  10 ,  10 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Rent house/room including lot,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Own house rent lot,  1 ,  1 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Own house rent-free lot with consent of owner,  1 ,  1 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Own house rent-free lot without consent of owner,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Rent-free house and lot with consent of owner,  19 ,  19 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Rent-free house and lot without consent of owner,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Not Applicable,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Not Reported,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
 CULION,,,,,,,,
Total,  4.652 ,  4.285 ,  172 ,  180 ,  11 ,  -   ,  -   ,  4 
Own or owner like possession of house and lot,  3.339 ,  3.182 ,  95 ,  52 ,  7 ,  -   ,  -   ,  3 
Rent house/room including lot,  225 ,  140 ,  19 ,  63 ,  3 ,  -   ,  -   ,  -   
Own house rent lot,  13 ,  13 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Own house rent-free lot with consent of owner,  618 ,  607 ,  2 ,  8 ,  -   ,  -   ,  -   ,  1 
Own house rent-free lot without consent of owner,  79 ,  75 ,  4 ,  -   ,  -   ,  -   ,  -   ,  -   
Rent-free house and lot with consent of owner,  368 ,  263 ,  50 ,  54 ,  1 ,  -   ,  -   ,  -   
Rent-free house and lot without consent of owner,  10 ,  5 ,  2 ,  3 ,  -   ,  -   ,  -   ,  -   
Not Applicable,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Not Reported,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
 RIZAL (MARCOS),,,,,,,,
Total,  12.826 ,  12.344 ,  327 ,  116 ,  10 ,  -   ,  -   ,  29 
Own or owner like possession of house and lot,  8.548 ,  8.368 ,  133 ,  26 ,  5 ,  -   ,  -   ,  16 
Rent house/room including lot,  262 ,  166 ,  47 ,  46 ,  1 ,  -   ,  -   ,  2 
Own house rent lot,  85 ,  79 ,  5 ,  -   ,  1 ,  -   ,  -   ,  -   
Own house rent-free lot with consent of owner,  3.168 ,  3.062 ,  78 ,  19 ,  1 ,  -   ,  -   ,  8 
Own house rent-free lot without consent of owner,  170 ,  164 ,  3 ,  3 ,  -   ,  -   ,  -   ,  -   
Rent-free house and lot with consent of owner,  553 ,  467 ,  61 ,  20 ,  2 ,  -   ,  -   ,  3 
Rent-free house and lot without consent of owner,  40 ,  38 ,  -   ,  2 ,  -   ,  -   ,  -   ,  -   
Not Applicable,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Not Reported,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
 SOFRONIO ESPAÑOLA,,,,,,,,
Total,  7.687 ,  7.498 ,  134 ,  29 ,  5 ,  -   ,  -   ,  21 
