,city,region_name,bldg_type,province,Occupied Housing Units,Number of Households*,Household Population*,Average Household Size,Ratio of Households to Occupied Housing Units,Ratio of Household Population to Occupied Housing Units,year
23,CITY OF PASIG,NCR - National Capital Region,Multi-unit residential, METROPOLITAN MANILA,70960.0,72476.0,264939.0,3.66,1.02,3.73,2015
24,CITY OF PASIG,NCR - National Capital Region,Commercial/industrial/agricultural, METROPOLITAN MANILA,508.0,536.0,1888.0,3.52,1.06,3.72,2015
25,CITY OF PASIG,NCR - National Capital Region,Institutional living quarter, METROPOLITAN MANILA,15.0,15.0,80.0,5.33,1.0,5.33,2015
26,CITY OF PASIG,NCR - National Capital Region,Others, METROPOLITAN MANILA,33.0,33.0,153.0,4.64,1.0,4.64,2015
27,CITY OF PASIG,NCR - National Capital Region,Not Reported, METROPOLITAN MANILA,107.0,109.0,377.0,3.46,1.02,3.52,2015
28,QUEZON CITY,NCR - National Capital Region,Single house, METROPOLITAN MANILA,332729.0,344812.0,1643132.0,4.77,1.04,4.94,2015
29,QUEZON CITY,NCR - National Capital Region,Duplex, METROPOLITAN MANILA,100028.0,103517.0,416908.0,4.03,1.03,4.17,2015
30,QUEZON CITY,NCR - National Capital Region,Multi-unit residential, METROPOLITAN MANILA,223917.0,230832.0,845689.0,3.66,1.03,3.78,2015
31,QUEZON CITY,NCR - National Capital Region,Commercial/industrial/agricultural, METROPOLITAN MANILA,2371.0,2631.0,8513.0,3.24,1.11,3.59,2015
32,QUEZON CITY,NCR - National Capital Region,Institutional living quarter, METROPOLITAN MANILA,142.0,149.0,556.0,3.73,1.05,3.92,2015
33,QUEZON CITY,NCR - National Capital Region,Others, METROPOLITAN MANILA,179.0,182.0,704.0,3.87,1.02,3.93,2015
34,QUEZON CITY,NCR - National Capital Region,Not Reported, METROPOLITAN MANILA,883.0,921.0,3818.0,4.15,1.04,4.32,2015
35,CITY OF SAN JUAN,NCR - National Capital Region,Single house, METROPOLITAN MANILA,8219.0,8808.0,45667.0,5.18,1.07,5.56,2015
36,CITY OF SAN JUAN,NCR - National Capital Region,Duplex, METROPOLITAN MANILA,3052.0,3303.0,13788.0,4.17,1.08,4.52,2015
37,CITY OF SAN JUAN,NCR - National Capital Region,Multi-unit residential, METROPOLITAN MANILA,15364.0,16327.0,60908.0,3.73,1.06,3.96,2015
38,CITY OF SAN JUAN,NCR - National Capital Region,Commercial/industrial/agricultural, METROPOLITAN MANILA,113.0,161.0,382.0,2.37,1.42,3.38,2015
39,CITY OF SAN JUAN,NCR - National Capital Region,Institutional living quarter, METROPOLITAN MANILA,1.0,1.0,1.0,1.0,1.0,1.0,2015
40,CITY OF SAN JUAN,NCR - National Capital Region,Others, METROPOLITAN MANILA,3.0,3.0,4.0,1.33,1.0,1.33,2015
41,CITY OF SAN JUAN,NCR - National Capital Region,Not Reported, METROPOLITAN MANILA,16.0,20.0,65.0,3.25,1.25,4.06,2015
42,CALOOCAN CITY,NCR - National Capital Region,Single house, METROPOLITAN MANILA,191800.0,201425.0,909032.0,4.51,1.05,4.74,2015
43,CALOOCAN CITY,NCR - National Capital Region,Duplex, METROPOLITAN MANILA,48828.0,50634.0,213232.0,4.21,1.04,4.37,2015
44,CALOOCAN CITY,NCR - National Capital Region,Multi-unit residential, METROPOLITAN MANILA,111286.0,114300.0,453470.0,3.97,1.03,4.07,2015
45,CALOOCAN CITY,NCR - National Capital Region,Commercial/industrial/agricultural, METROPOLITAN MANILA,1142.0,1211.0,4000.0,3.3,1.06,3.5,2015
46,CALOOCAN CITY,NCR - National Capital Region,Institutional living quarter, METROPOLITAN MANILA,34.0,36.0,131.0,3.64,1.06,3.85,2015
47,CALOOCAN CITY,NCR - National Capital Region,Others, METROPOLITAN MANILA,34.0,34.0,114.0,3.35,1.0,3.35,2015
48,CALOOCAN CITY,NCR - National Capital Region,Not Reported, METROPOLITAN MANILA,233.0,238.0,1046.0,4.39,1.02,4.49,2015
49,CITY OF MALABON,NCR - National Capital Region,Single house, METROPOLITAN MANILA,43931.0,47190.0,206867.0,4.38,1.07,4.71,2015
50,CITY OF MALABON,NCR - National Capital Region,Duplex, METROPOLITAN MANILA,12670.0,13167.0,54382.0,4.13,1.04,4.29,2015
51,CITY OF MALABON,NCR - National Capital Region,Multi-unit residential, METROPOLITAN MANILA,24823.0,25509.0,101933.0,4.0,1.03,4.11,2015
52,CITY OF MALABON,NCR - National Capital Region,Commercial/industrial/agricultural, METROPOLITAN MANILA,230.0,255.0,817.0,3.2,1.11,3.55,2015
53,CITY OF MALABON,NCR - National Capital Region,Institutional living quarter, METROPOLITAN MANILA,2.0,2.0,7.0,3.5,1.0,3.5,2015
54,CITY OF MALABON,NCR - National Capital Region,Others, METROPOLITAN MANILA,13.0,13.0,52.0,4.0,1.0,4.0,2015
55,CITY OF MALABON,NCR - National Capital Region,Not Reported, METROPOLITAN MANILA,55.0,55.0,225.0,4.09,1.0,4.09,2015
56,CITY OF NAVOTAS,NCR - National Capital Region,Single house, METROPOLITAN MANILA,24553.0,27562.0,118609.0,4.3,1.12,4.83,2015
57,CITY OF NAVOTAS,NCR - National Capital Region,Duplex, METROPOLITAN MANILA,10508.0,11157.0,44715.0,4.01,1.06,4.26,2015
58,CITY OF NAVOTAS,NCR - National Capital Region,Multi-unit residential, METROPOLITAN MANILA,20821.0,21786.0,84431.0,3.88,1.05,4.06,2015
59,CITY OF NAVOTAS,NCR - National Capital Region,Commercial/industrial/agricultural, METROPOLITAN MANILA,190.0,196.0,691.0,3.53,1.03,3.64,2015
60,CITY OF NAVOTAS,NCR - National Capital Region,Institutional living quarter, METROPOLITAN MANILA,8.0,8.0,37.0,4.63,1.0,4.63,2015
61,CITY OF NAVOTAS,NCR - National Capital Region,Others, METROPOLITAN MANILA,79.0,81.0,294.0,3.63,1.03,3.72,2015
62,CITY OF NAVOTAS,NCR - National Capital Region,Not Reported, METROPOLITAN MANILA,101.0,114.0,399.0,3.5,1.13,3.95,2015
63,CITY OF VALENZUELA,NCR - National Capital Region,Single house, METROPOLITAN MANILA,64804.0,67998.0,292673.0,4.3,1.05,4.52,2015
64,CITY OF VALENZUELA,NCR - National Capital Region,Duplex, METROPOLITAN MANILA,18948.0,19671.0,79120.0,4.02,1.04,4.18,2015
65,CITY OF VALENZUELA,NCR - National Capital Region,Multi-unit residential, METROPOLITAN MANILA,62514.0,64376.0,244388.0,3.8,1.03,3.91,2015
66,CITY OF VALENZUELA,NCR - National Capital Region,Commercial/industrial/agricultural, METROPOLITAN MANILA,812.0,910.0,2798.0,3.07,1.12,3.45,2015
67,CITY OF VALENZUELA,NCR - National Capital Region,Institutional living quarter, METROPOLITAN MANILA,9.0,9.0,34.0,3.78,1.0,3.78,2015
68,CITY OF VALENZUELA,NCR - National Capital Region,Others, METROPOLITAN MANILA,5.0,5.0,26.0,5.2,1.0,5.2,2015
69,CITY OF VALENZUELA,NCR - National Capital Region,Not Reported, METROPOLITAN MANILA,69.0,72.0,285.0,3.96,1.04,4.13,2015
70,CITY OF LAS PIÑAS,NCR - National Capital Region,Single house, METROPOLITAN MANILA,85771.0,88464.0,385521.0,4.36,1.03,4.49,2015
71,CITY OF LAS PIÑAS,NCR - National Capital Region,Duplex, METROPOLITAN MANILA,17515.0,18014.0,72862.0,4.04,1.03,4.16,2015
72,CITY OF LAS PIÑAS,NCR - National Capital Region,Multi-unit residential, METROPOLITAN MANILA,34061.0,34885.0,127224.0,3.65,1.02,3.74,2015
73,CITY OF LAS PIÑAS,NCR - National Capital Region,Commercial/industrial/agricultural, METROPOLITAN MANILA,266.0,274.0,952.0,3.47,1.03,3.58,2015
74,CITY OF LAS PIÑAS,NCR - National Capital Region,Institutional living quarter, METROPOLITAN MANILA,11.0,11.0,71.0,6.45,1.0,6.45,2015
75,CITY OF LAS PIÑAS,NCR - National Capital Region,Others, METROPOLITAN MANILA,111.0,113.0,389.0,3.44,1.02,3.5,2015
76,CITY OF LAS PIÑAS,NCR - National Capital Region,Not Reported, METROPOLITAN MANILA,162.0,164.0,656.0,4.0,1.01,4.05,2015
77,CITY OF MAKATI,NCR - National Capital Region,Single house, METROPOLITAN MANILA,48866.0,50295.0,236875.0,4.71,1.03,4.85,2015
78,CITY OF MAKATI,NCR - National Capital Region,Duplex, METROPOLITAN MANILA,14444.0,14976.0,57019.0,3.81,1.04,3.95,2015
79,CITY OF MAKATI,NCR - National Capital Region,Multi-unit residential, METROPOLITAN MANILA,84171.0,87851.0,282274.0,3.21,1.04,3.35,2015
80,CITY OF MAKATI,NCR - National Capital Region,Commercial/industrial/agricultural, METROPOLITAN MANILA,721.0,742.0,2367.0,3.19,1.03,3.28,2015
81,CITY OF MAKATI,NCR - National Capital Region,Institutional living quarter, METROPOLITAN MANILA,14.0,14.0,56.0,4.0,1.0,4.0,2015
82,CITY OF MAKATI,NCR - National Capital Region,Others, METROPOLITAN MANILA,62.0,65.0,239.0,3.68,1.05,3.85,2015
83,CITY OF MAKATI,NCR - National Capital Region,Not Reported, METROPOLITAN MANILA,152.0,152.0,603.0,3.97,1.0,3.97,2015
84,CITY OF MUNTINLUPA,NCR - National Capital Region,Single house, METROPOLITAN MANILA,62427.0,66131.0,278427.0,4.21,1.06,4.46,2015
85,CITY OF MUNTINLUPA,NCR - National Capital Region,Duplex, METROPOLITAN MANILA,13859.0,14549.0,54666.0,3.76,1.05,3.94,2015
86,CITY OF MUNTINLUPA,NCR - National Capital Region,Multi-unit residential, METROPOLITAN MANILA,38771.0,41100.0,146970.0,3.58,1.06,3.79,2015
87,CITY OF MUNTINLUPA,NCR - National Capital Region,Commercial/industrial/agricultural, METROPOLITAN MANILA,98.0,108.0,371.0,3.44,1.1,3.79,2015
88,CITY OF MUNTINLUPA,NCR - National Capital Region,Institutional living quarter, METROPOLITAN MANILA,23.0,23.0,88.0,3.83,1.0,3.83,2015
89,CITY OF MUNTINLUPA,NCR - National Capital Region,Others, METROPOLITAN MANILA,91.0,100.0,325.0,3.25,1.1,3.57,2015
90,CITY OF MUNTINLUPA,NCR - National Capital Region,Not Reported, METROPOLITAN MANILA,246.0,275.0,915.0,3.33,1.12,3.72,2015
91,CITY OF PARAÑAQUE,NCR - National Capital Region,Single house, METROPOLITAN MANILA,89690.0,91793.0,411094.0,4.48,1.02,4.58,2015
92,CITY OF PARAÑAQUE,NCR - National Capital Region,Duplex, METROPOLITAN MANILA,18446.0,18899.0,75917.0,4.02,1.02,4.12,2015
93,CITY OF PARAÑAQUE,NCR - National Capital Region,Multi-unit residential, METROPOLITAN MANILA,50874.0,51799.0,174453.0,3.37,1.02,3.43,2015
94,CITY OF PARAÑAQUE,NCR - National Capital Region,Commercial/industrial/agricultural, METROPOLITAN MANILA,316.0,320.0,1188.0,3.71,1.01,3.76,2015
95,CITY OF PARAÑAQUE,NCR - National Capital Region,Institutional living quarter, METROPOLITAN MANILA,22.0,22.0,77.0,3.5,1.0,3.5,2015
96,CITY OF PARAÑAQUE,NCR - National Capital Region,Others, METROPOLITAN MANILA,109.0,109.0,424.0,3.89,1.0,3.89,2015
97,CITY OF PARAÑAQUE,NCR - National Capital Region,Not Reported, METROPOLITAN MANILA,130.0,132.0,580.0,4.39,1.02,4.46,2015
98,PASAY CITY,NCR - National Capital Region,Single house, METROPOLITAN MANILA,27795.0,29623.0,136354.0,4.6,1.07,4.91,2015
99,PASAY CITY,NCR - National Capital Region,Duplex, METROPOLITAN MANILA,13174.0,14071.0,54018.0,3.84,1.07,4.1,2015
100,PASAY CITY,NCR - National Capital Region,Multi-unit residential, METROPOLITAN MANILA,59850.0,63122.0,219314.0,3.47,1.05,3.66,2015
101,PASAY CITY,NCR - National Capital Region,Commercial/industrial/agricultural, METROPOLITAN MANILA,441.0,500.0,1661.0,3.32,1.13,3.77,2015
102,PASAY CITY,NCR - National Capital Region,Institutional living quarter, METROPOLITAN MANILA,17.0,17.0,69.0,4.06,1.0,4.06,2015
103,PASAY CITY,NCR - National Capital Region,Others, METROPOLITAN MANILA,194.0,195.0,750.0,3.85,1.01,3.87,2015
104,PASAY CITY,NCR - National Capital Region,Not Reported, METROPOLITAN MANILA,86.0,91.0,331.0,3.64,1.06,3.85,2015
105,PATEROS,NCR - National Capital Region,Single house, METROPOLITAN MANILA,6819.0,7385.0,34535.0,4.68,1.08,5.06,2015
106,PATEROS,NCR - National Capital Region,Duplex, METROPOLITAN MANILA,2046.0,2160.0,9530.0,4.41,1.06,4.66,2015
107,PATEROS,NCR - National Capital Region,Multi-unit residential, METROPOLITAN MANILA,4511.0,4626.0,19513.0,4.22,1.03,4.33,2015
108,PATEROS,NCR - National Capital Region,Commercial/industrial/agricultural, METROPOLITAN MANILA,9.0,9.0,36.0,4.0,1.0,4.0,2015
109,PATEROS,NCR - National Capital Region,Institutional living quarter, METROPOLITAN MANILA,,,,,,,2015
110,PATEROS,NCR - National Capital Region,Others, METROPOLITAN MANILA,,,,,,,2015
111,PATEROS,NCR - National Capital Region,Not Reported, METROPOLITAN MANILA,8.0,8.0,29.0,3.63,1.0,3.63,2015
112,TAGUIG CITY,NCR - National Capital Region,Single house, METROPOLITAN MANILA,71508.0,74237.0,329607.0,4.44,1.04,4.61,2015
113,TAGUIG CITY,NCR - National Capital Region,Duplex, METROPOLITAN MANILA,28731.0,29532.0,120222.0,4.07,1.03,4.18,2015
114,TAGUIG CITY,NCR - National Capital Region,Multi-unit residential, METROPOLITAN MANILA,92170.0,94007.0,349744.0,3.72,1.02,3.79,2015
115,TAGUIG CITY,NCR - National Capital Region,Commercial/industrial/agricultural, METROPOLITAN MANILA,254.0,265.0,792.0,2.99,1.04,3.12,2015
116,TAGUIG CITY,NCR - National Capital Region,Institutional living quarter, METROPOLITAN MANILA,14.0,16.0,45.0,2.81,1.14,3.21,2015
117,TAGUIG CITY,NCR - National Capital Region,Others, METROPOLITAN MANILA,24.0,24.0,79.0,3.29,1.0,3.29,2015
118,TAGUIG CITY,NCR - National Capital Region,Not Reported, METROPOLITAN MANILA,161.0,175.0,654.0,3.74,1.09,4.06,2015
119,BANGUED (Capital),CAR - Cordillera Administrative Region,Single house, ABRA,9048.0,9266.0,41134.0,4.44,1.02,4.55,2015
120,BANGUED (Capital),CAR - Cordillera Administrative Region,Duplex, ABRA,992.0,1003.0,4092.0,4.08,1.01,4.13,2015
121,BANGUED (Capital),CAR - Cordillera Administrative Region,Multi-unit residential, ABRA,717.0,725.0,2467.0,3.4,1.01,3.44,2015
122,BANGUED (Capital),CAR - Cordillera Administrative Region,Commercial/industrial/agricultural, ABRA,22.0,22.0,94.0,4.27,1.0,4.27,2015
123,BANGUED (Capital),CAR - Cordillera Administrative Region,Institutional living quarter, ABRA,2.0,2.0,7.0,3.5,1.0,3.5,2015
124,BANGUED (Capital),CAR - Cordillera Administrative Region,Others, ABRA,,,,,,,2015
125,BANGUED (Capital),CAR - Cordillera Administrative Region,Not Reported, ABRA,6.0,6.0,26.0,4.33,1.0,4.33,2015
126,BOLINEY,CAR - Cordillera Administrative Region,Single house, ABRA,739.0,741.0,3455.0,4.66,1.0,4.68,2015
127,BOLINEY,CAR - Cordillera Administrative Region,Duplex, ABRA,17.0,17.0,75.0,4.41,1.0,4.41,2015
128,BOLINEY,CAR - Cordillera Administrative Region,Multi-unit residential, ABRA,2.0,2.0,10.0,5.0,1.0,5.0,2015
129,BOLINEY,CAR - Cordillera Administrative Region,Commercial/industrial/agricultural, ABRA,,,,,,,2015
130,BOLINEY,CAR - Cordillera Administrative Region,Institutional living quarter, ABRA,,,,,,,2015
131,BOLINEY,CAR - Cordillera Administrative Region,Others, ABRA,,,,,,,2015
132,BOLINEY,CAR - Cordillera Administrative Region,Not Reported, ABRA,,,,,,,2015
133,BUCAY,CAR - Cordillera Administrative Region,Single house, ABRA,3538.0,3585.0,15934.0,4.44,1.01,4.5,2015
134,BUCAY,CAR - Cordillera Administrative Region,Duplex, ABRA,251.0,254.0,1043.0,4.11,1.01,4.16,2015
135,BUCAY,CAR - Cordillera Administrative Region,Multi-unit residential, ABRA,17.0,17.0,61.0,3.59,1.0,3.59,2015
136,BUCAY,CAR - Cordillera Administrative Region,Commercial/industrial/agricultural, ABRA,2.0,2.0,14.0,7.0,1.0,7.0,2015
137,BUCAY,CAR - Cordillera Administrative Region,Institutional living quarter, ABRA,,,,,,,2015
138,BUCAY,CAR - Cordillera Administrative Region,Others, ABRA,,,,,,,2015
139,BUCAY,CAR - Cordillera Administrative Region,Not Reported, ABRA,5.0,5.0,27.0,5.4,1.0,5.4,2015
140,BUCLOC,CAR - Cordillera Administrative Region,Single house, ABRA,424.0,431.0,2436.0,5.65,1.02,5.75,2015
141,BUCLOC,CAR - Cordillera Administrative Region,Duplex, ABRA,8.0,8.0,44.0,5.5,1.0,5.5,2015
142,BUCLOC,CAR - Cordillera Administrative Region,Multi-unit residential, ABRA,3.0,3.0,21.0,7.0,1.0,7.0,2015
143,BUCLOC,CAR - Cordillera Administrative Region,Commercial/industrial/agricultural, ABRA,,,,,,,2015
144,BUCLOC,CAR - Cordillera Administrative Region,Institutional living quarter, ABRA,,,,,,,2015
145,BUCLOC,CAR - Cordillera Administrative Region,Others, ABRA,,,,,,,2015
146,BUCLOC,CAR - Cordillera Administrative Region,Not Reported, ABRA,,,,,,,2015
147,DAGUIOMAN,CAR - Cordillera Administrative Region,Single house, ABRA,360.0,360.0,2028.0,5.63,1.0,5.63,2015
148,DAGUIOMAN,CAR - Cordillera Administrative Region,Duplex, ABRA,15.0,15.0,60.0,4.0,1.0,4.0,2015
149,DAGUIOMAN,CAR - Cordillera Administrative Region,Multi-unit residential, ABRA,,,,,,,2015
150,DAGUIOMAN,CAR - Cordillera Administrative Region,Commercial/industrial/agricultural, ABRA,,,,,,,2015
151,DAGUIOMAN,CAR - Cordillera Administrative Region,Institutional living quarter, ABRA,,,,,,,2015
152,DAGUIOMAN,CAR - Cordillera Administrative Region,Others, ABRA,,,,,,,2015
153,DAGUIOMAN,CAR - Cordillera Administrative Region,Not Reported, ABRA,,,,,,,2015
154,DANGLAS,CAR - Cordillera Administrative Region,Single house, ABRA,832.0,868.0,4038.0,4.65,1.04,4.85,2015
155,DANGLAS,CAR - Cordillera Administrative Region,Duplex, ABRA,41.0,42.0,152.0,3.62,1.02,3.71,2015
156,DANGLAS,CAR - Cordillera Administrative Region,Multi-unit residential, ABRA,,,,,,,2015
157,DANGLAS,CAR - Cordillera Administrative Region,Commercial/industrial/agricultural, ABRA,,,,,,,2015
158,DANGLAS,CAR - Cordillera Administrative Region,Institutional living quarter, ABRA,,,,,,,2015
159,DANGLAS,CAR - Cordillera Administrative Region,Others, ABRA,,,,,,,2015
160,DANGLAS,CAR - Cordillera Administrative Region,Not Reported, ABRA,,,,,,,2015
161,DOLORES,CAR - Cordillera Administrative Region,Single house, ABRA,2361.0,2424.0,10783.0,4.45,1.03,4.57,2015
162,DOLORES,CAR - Cordillera Administrative Region,Duplex, ABRA,98.0,99.0,424.0,4.28,1.01,4.33,2015
163,DOLORES,CAR - Cordillera Administrative Region,Multi-unit residential, ABRA,18.0,18.0,71.0,3.94,1.0,3.94,2015
164,DOLORES,CAR - Cordillera Administrative Region,Commercial/industrial/agricultural, ABRA,7.0,7.0,23.0,3.29,1.0,3.29,2015
165,DOLORES,CAR - Cordillera Administrative Region,Institutional living quarter, ABRA,,,,,,,2015
166,DOLORES,CAR - Cordillera Administrative Region,Others, ABRA,,,,,,,2015
167,DOLORES,CAR - Cordillera Administrative Region,Not Reported, ABRA,,,,,,,2015
168,LA PAZ,CAR - Cordillera Administrative Region,Single house, ABRA,3103.0,3213.0,14425.0,4.49,1.04,4.65,2015
169,LA PAZ,CAR - Cordillera Administrative Region,Duplex, ABRA,179.0,186.0,837.0,4.5,1.04,4.68,2015
170,LA PAZ,CAR - Cordillera Administrative Region,Multi-unit residential, ABRA,42.0,42.0,168.0,4.0,1.0,4.0,2015
171,LA PAZ,CAR - Cordillera Administrative Region,Commercial/industrial/agricultural, ABRA,,,,,,,2015
172,LA PAZ,CAR - Cordillera Administrative Region,Institutional living quarter, ABRA,,,,,,,2015
173,LA PAZ,CAR - Cordillera Administrative Region,Others, ABRA,,,,,,,2015
174,LA PAZ,CAR - Cordillera Administrative Region,Not Reported, ABRA,1.0,1.0,3.0,3.0,1.0,3.0,2015
175,LACUB,CAR - Cordillera Administrative Region,Single house, ABRA,611.0,611.0,3177.0,5.2,1.0,5.2,2015
176,LACUB,CAR - Cordillera Administrative Region,Duplex, ABRA,34.0,34.0,180.0,5.29,1.0,5.29,2015
177,LACUB,CAR - Cordillera Administrative Region,Multi-unit residential, ABRA,,,,,,,2015
178,LACUB,CAR - Cordillera Administrative Region,Commercial/industrial/agricultural, ABRA,,,,,,,2015
179,LACUB,CAR - Cordillera Administrative Region,Institutional living quarter, ABRA,1.0,1.0,5.0,5.0,1.0,5.0,2015
180,LACUB,CAR - Cordillera Administrative Region,Others, ABRA,,,,,,,2015
181,LACUB,CAR - Cordillera Administrative Region,Not Reported, ABRA,1.0,1.0,7.0,7.0,1.0,7.0,2015
182,LAGANGILANG,CAR - Cordillera Administrative Region,Single house, ABRA,2859.0,2947.0,13394.0,4.54,1.03,4.68,2015
183,LAGANGILANG,CAR - Cordillera Administrative Region,Duplex, ABRA,129.0,138.0,588.0,4.26,1.07,4.56,2015
184,LAGANGILANG,CAR - Cordillera Administrative Region,Multi-unit residential, ABRA,54.0,56.0,191.0,3.41,1.04,3.54,2015
185,LAGANGILANG,CAR - Cordillera Administrative Region,Commercial/industrial/agricultural, ABRA,5.0,5.0,26.0,5.2,1.0,5.2,2015
186,LAGANGILANG,CAR - Cordillera Administrative Region,Institutional living quarter, ABRA,,,,,,,2015
187,LAGANGILANG,CAR - Cordillera Administrative Region,Others, ABRA,,,,,,,2015
188,LAGANGILANG,CAR - Cordillera Administrative Region,Not Reported, ABRA,1.0,1.0,1.0,1.0,1.0,1.0,2015
189,LAGAYAN,CAR - Cordillera Administrative Region,Single house, ABRA,878.0,878.0,4267.0,4.86,1.0,4.86,2015
190,LAGAYAN,CAR - Cordillera Administrative Region,Duplex, ABRA,48.0,48.0,200.0,4.17,1.0,4.17,2015
191,LAGAYAN,CAR - Cordillera Administrative Region,Multi-unit residential, ABRA,6.0,6.0,32.0,5.33,1.0,5.33,2015
192,LAGAYAN,CAR - Cordillera Administrative Region,Commercial/industrial/agricultural, ABRA,,,,,,,2015
193,LAGAYAN,CAR - Cordillera Administrative Region,Institutional living quarter, ABRA,,,,,,,2015
194,LAGAYAN,CAR - Cordillera Administrative Region,Others, ABRA,,,,,,,2015
195,LAGAYAN,CAR - Cordillera Administrative Region,Not Reported, ABRA,,,,,,,2015
196,LANGIDEN,CAR - Cordillera Administrative Region,Single house, ABRA,627.0,672.0,3060.0,4.55,1.07,4.88,2015
197,LANGIDEN,CAR - Cordillera Administrative Region,Duplex, ABRA,28.0,28.0,122.0,4.36,1.0,4.36,2015
198,LANGIDEN,CAR - Cordillera Administrative Region,Multi-unit residential, ABRA,3.0,3.0,9.0,3.0,1.0,3.0,2015
199,LANGIDEN,CAR - Cordillera Administrative Region,Commercial/industrial/agricultural, ABRA,1.0,1.0,1.0,1.0,1.0,1.0,2015
200,LANGIDEN,CAR - Cordillera Administrative Region,Institutional living quarter, ABRA,,,,,,,2015
201,LANGIDEN,CAR - Cordillera Administrative Region,Others, ABRA,,,,,,,2015
202,LANGIDEN,CAR - Cordillera Administrative Region,Not Reported, ABRA,1.0,1.0,5.0,5.0,1.0,5.0,2015
203,LICUAN-BAAY (LICUAN),CAR - Cordillera Administrative Region,Single house, ABRA,902.0,926.0,4435.0,4.79,1.03,4.92,2015
204,LICUAN-BAAY (LICUAN),CAR - Cordillera Administrative Region,Duplex, ABRA,40.0,41.0,161.0,3.93,1.03,4.03,2015
205,LICUAN-BAAY (LICUAN),CAR - Cordillera Administrative Region,Multi-unit residential, ABRA,1.0,1.0,3.0,3.0,1.0,3.0,2015
206,LICUAN-BAAY (LICUAN),CAR - Cordillera Administrative Region,Commercial/industrial/agricultural, ABRA,,,,,,,2015
207,LICUAN-BAAY (LICUAN),CAR - Cordillera Administrative Region,Institutional living quarter, ABRA,,,,,,,2015
208,LICUAN-BAAY (LICUAN),CAR - Cordillera Administrative Region,Others, ABRA,,,,,,,2015
