Type of Building and City/Municipality, Occupied Housing Units , Number of Households* , Household Population* , Average Household Size , Ratio of Households to Occupied Housing Units , Ratio of Household Population to Occupied Housing Units ,,,,,,,,,,,,
Duplex,  50 ,  50 ,  223 ,"  4,46 ","  1,00 ","  4,46 ",,,,,,,,,,,,
Multi-unit residential,  9 ,  9 ,  27 ,"  3,00 ","  1,00 ","  3,00 ",,,,,,,,,,,,
Commercial/industrial/agricultural,  2 ,  2 ,  12 ,"  6,00 ","  1,00 ","  6,00 ",,,,,,,,,,,,
Institutional living quarter,  -   ,  -   ,  -   ,  -   ,,,,,,,,,,,,,,
Others,  -   ,  -   ,  -   ,  -   ,,,,,,,,,,,,,,
Not Reported,  6 ,  6 ,  35 ,"  5,83 ","  1,00 ","  5,83 ",,,,,,,,,,,,
 LEGAZPI CITY (Capital),,,,,,,,,,,,,,,,,,
Total,  41.437 ,  41.742 ,  195.872 ,"  4,69 ","  1,01 ","  4,73 ",,,,,,,,,,,,
Single house,  36.397 ,  36.656 ,  174.429 ,"  4,76 ","  1,01 ","  4,79 ",,,,,,,,,,,,
Duplex,  3.084 ,  3.114 ,  13.615 ,"  4,37 ","  1,01 ","  4,41 ",,,,,,,,,,,,
Multi-unit residential,  1.879 ,  1.892 ,  7.477 ,"  3,95 ","  1,01 ","  3,98 ",,,,,,,,,,,,
Commercial/industrial/agricultural,  60 ,  61 ,  276 ,"  4,52 ","  1,02 ","  4,60 ",,,,,,,,,,,,
Institutional living quarter,  9 ,  9 ,  41 ,"  4,56 ","  1,00 ","  4,56 ",,,,,,,,,,,,
Others,  -   ,  -   ,  -   ,  -   ,,,,,,,,,,,,,,
Not Reported,  8 ,  10 ,  34 ,"  3,40 ","  1,25 ","  4,25 ",,,,,,,,,,,,
 LIBON,,,,,,,,,,,,,,,,,,
Total,  15.461 ,  15.528 ,  75.165 ,"  4,84 ","  1,00 ","  4,86 ",,,,,,,,,,,,
Single house,  15.132 ,  15.195 ,  73.560 ,"  4,84 ","  1,00 ","  4,86 ",,,,,,,,,,,,
Duplex,  270 ,  273 ,  1.349 ,"  4,94 ","  1,01 ","  5,00 ",,,,,,,,,,,,
Multi-unit residential,  54 ,  54 ,  231 ,"  4,28 ","  1,00 ","  4,28 ",,,,,,,,,,,,
Commercial/industrial/agricultural,  -   ,  -   ,  -   ,  -   ,,,,,,,,,,,,,,
Institutional living quarter,  -   ,  -   ,  -   ,  -   ,,,,,,,,,,,,,,
Others,  -   ,  -   ,  -   ,  -   ,,,,,,,,,,,,,,
Not Reported,  5 ,  6 ,  25 ,"  4,17 ","  1,20 ","  5,00 ",,,,,,,,,,,,
 CITY OF LIGAO,,,,,,,,,,,,,,,,,,
Total,  22.491 ,  22.552 ,  111.241 ,"  4,93 ","  1,00 ","  4,95 ",,,,,,,,,,,,
Single house,  21.675 ,  21.727 ,  107.492 ,"  4,95 ","  1,00 ","  4,96 ",,,,,,,,,,,,
Duplex,  655 ,  657 ,  2.996 ,"  4,56 ","  1,00 ","  4,57 ",,,,,,,,,,,,
Multi-unit residential,  131 ,  134 ,  601 ,"  4,49 ","  1,02 ","  4,59 ",,,,,,,,,,,,
Commercial/industrial/agricultural,  17 ,  17 ,  75 ,"  4,41 ","  1,00 ","  4,41 ",,,,,,,,,,,,
Institutional living quarter,  1 ,  1 ,  6 ,"  6,00 ","  1,00 ","  6,00 ",,,,,,,,,,,,
Others,  -   ,  -   ,  -   ,  -   ,,,,,,,,,,,,,,
Not Reported,  12 ,  16 ,  71 ,"  4,44 ","  1,33 ","  5,92 ",,,,,,,,,,,,
 MALILIPOT,,,,,,,,,,,,,,,,,,
Total,  8.059 ,  8.104 ,  37.761 ,"  4,66 ","  1,01 ","  4,69 ",,,,,,,,,,,,
Single house,  7.520 ,  7.560 ,  35.479 ,"  4,69 ","  1,01 ","  4,72 ",,,,,,,,,,,,
Duplex,  419 ,  421 ,  1.788 ,"  4,25 ","  1,00 ","  4,27 ",,,,,,,,,,,,
Multi-unit residential,  117 ,  118 ,  474 ,"  4,02 ","  1,01 ","  4,05 ",,,,,,,,,,,,
Commercial/industrial/agricultural,  2 ,  4 ,  13 ,"  3,25 ","  2,00 ","  6,50 ",,,,,,,,,,,,
Institutional living quarter,  -   ,  -   ,  -   ,  -   ,,,,,,,,,,,,,,
Others,  -   ,  -   ,  -   ,  -   ,,,,,,,,,,,,,,
Not Reported,  1 ,  1 ,  7 ,"  7,00 ","  1,00 ","  7,00 ",,,,,,,,,,,,
 MALINAO,,,,,,,,,,,,,,,,,,
Total,  9.748 ,  9.765 ,  45.210 ,"  4,63 ","  1,00 ","  4,64 ",,,,,,,,,,,,
Single house,  9.077 ,  9.092 ,  42.341 ,"  4,66 ","  1,00 ","  4,66 ",,,,,,,,,,,,
Duplex,  530 ,  532 ,  2.296 ,"  4,32 ","  1,00 ","  4,33 ",,,,,,,,,,,,
Multi-unit residential,  120 ,  120 ,  485 ,"  4,04 ","  1,00 ","  4,04 ",,,,,,,,,,,,
Commercial/industrial/agricultural,  9 ,  9 ,  43 ,"  4,78 ","  1,00 ","  4,78 ",,,,,,,,,,,,
Institutional living quarter,  -   ,  -   ,  -   ,  -   ,,,,,,,,,,,,,,
Others,  -   ,  -   ,  -   ,  -   ,,,,,,,,,,,,,,
Not Reported,  12 ,  12 ,  45 ,"  3,75 ","  1,00 ","  3,75 ",,,,,,,,,,,,
 MANITO,,,,,,,,,,,,,,,,,,
Total,  5.056 ,  5.066 ,  24.558 ,"  4,85 ","  1,00 ","  4,86 ",,,,,,,,,,,,
Single house,  4.848 ,  4.858 ,  23.611 ,"  4,86 ","  1,00 ","  4,87 ",,,,,,,,,,,,
Duplex,  162 ,  162 ,  726 ,"  4,48 ","  1,00 ","  4,48 ",,,,,,,,,,,,
Multi-unit residential,  6 ,  6 ,  31 ,"  5,17 ","  1,00 ","  5,17 ",,,,,,,,,,,,
Commercial/industrial/agricultural,  32 ,  32 ,  158 ,"  4,94 ","  1,00 ","  4,94 ",,,,,,,,,,,,
Institutional living quarter,  -   ,  -   ,  -   ,  -   ,,,,,,,,,,,,,,
Others,  -   ,  -   ,  -   ,  -   ,,,,,,,,,,,,,,
Not Reported,  8 ,  8 ,  32 ,"  4,00 ","  1,00 ","  4,00 ",,,,,,,,,,,,
 OAS,,,,,,,,,,,,,,,,,,
Total,  14.036 ,  14.068 ,  67.925 ,"  4,83 ","  1,00 ","  4,84 ",,,,,,,,,,,,
Single house,  13.637 ,  13.669 ,  66.108 ,"  4,84 ","  1,00 ","  4,85 ",,,,,,,,,,,,
Duplex,  316 ,  316 ,  1.446 ,"  4,58 ","  1,00 ","  4,58 ",,,,,,,,,,,,
Multi-unit residential,  46 ,  46 ,  200 ,"  4,35 ","  1,00 ","  4,35 ",,,,,,,,,,,,
Commercial/industrial/agricultural,  16 ,  16 ,  74 ,"  4,63 ","  1,00 ","  4,63 ",,,,,,,,,,,,
Institutional living quarter,  -   ,  -   ,  -   ,  -   ,,,,,,,,,,,,,,
Others,  -   ,  -   ,  -   ,  -   ,,,,,,,,,,,,,,
Not Reported,  21 ,  21 ,  97 ,"  4,62 ","  1,00 ","  4,62 ",,,,,,,,,,,,
 PIO DURAN,,,,,,,,,,,,,,,,,,
Total,  9.452 ,  9.467 ,  46.673 ,"  4,93 ","  1,00 ","  4,94 ",,,,,,,,,,,,
Single house,  9.130 ,  9.145 ,  45.207 ,"  4,94 ","  1,00 ","  4,95 ",,,,,,,,,,,,
Duplex,  190 ,  190 ,  836 ,"  4,40 ","  1,00 ","  4,40 ",,,,,,,,,,,,
Multi-unit residential,  44 ,  44 ,  177 ,"  4,02 ","  1,00 ","  4,02 ",,,,,,,,,,,,
Commercial/industrial/agricultural,  54 ,  54 ,  273 ,"  5,06 ","  1,00 ","  5,06 ",,,,,,,,,,,,
Institutional living quarter,  -   ,  -   ,  -   ,  -   ,,,,,,,,,,,,,,
Others,  -   ,  -   ,  -   ,  -   ,,,,,,,,,,,,,,
Not Reported,  34 ,  34 ,  180 ,"  5,29 ","  1,00 ","  5,29 ",,,,,,,,,,,,
 POLANGUI,,,,,,,,,,,,,,,,,,
Total,  18.188 ,  18.313 ,  87.996 ,"  4,81 ","  1,01 ","  4,84 ",,,,,,,,,,,,
Single house,  16.951 ,  17.070 ,  82.563 ,"  4,84 ","  1,01 ","  4,87 ",,,,,,,,,,,,
Duplex,  888 ,  894 ,  3.873 ,"  4,33 ","  1,01 ","  4,36 ",,,,,,,,,,,,
Multi-unit residential,  320 ,  320 ,  1.435 ,"  4,48 ","  1,00 ","  4,48 ",,,,,,,,,,,,
Commercial/industrial/agricultural,  3 ,  3 ,  16 ,"  5,33 ","  1,00 ","  5,33 ",,,,,,,,,,,,
Institutional living quarter,  3 ,  3 ,  13 ,"  4,33 ","  1,00 ","  4,33 ",,,,,,,,,,,,
Others,  -   ,  -   ,  -   ,  -   ,,,,,,,,,,,,,,
Not Reported,  23 ,  23 ,  96 ,"  4,17 ","  1,00 ","  4,17 ",,,,,,,,,,,,
 RAPU-RAPU,,,,,,,,,,,,,,,,,,
Total,  7.395 ,  7.401 ,  36.910 ,"  4,99 ","  1,00 ","  4,99 ",,,,,,,,,,,,
Single house,  7.231 ,  7.237 ,  36.245 ,"  5,01 ","  1,00 ","  5,01 ",,,,,,,,,,,,
Duplex,  136 ,  136 ,  569 ,"  4,18 ","  1,00 ","  4,18 ",,,,,,,,,,,,
Multi-unit residential,  25 ,  25 ,  85 ,"  3,40 ","  1,00 ","  3,40 ",,,,,,,,,,,,
Commercial/industrial/agricultural,  2 ,  2 ,  7 ,"  3,50 ","  1,00 ","  3,50 ",,,,,,,,,,,,
Institutional living quarter,  1 ,  1 ,  4 ,"  4,00 ","  1,00 ","  4,00 ",,,,,,,,,,,,
Others,  -   ,  -   ,  -   ,  -   ,,,,,,,,,,,,,,
Not Reported,  -   ,  -   ,  -   ,  -   ,,,,,,,,,,,,,,
 SANTO DOMINGO (LIBOG),,,,,,,,,,,,,,,,,,
Total,  7.415 ,  7.516 ,  34.930 ,"  4,65 ","  1,01 ","  4,71 ",,,,,,,,,,,,
Single house,  6.888 ,  6.984 ,  32.760 ,"  4,69 ","  1,01 ","  4,76 ",,,,,,,,,,,,
Duplex,  368 ,  372 ,  1.587 ,"  4,27 ","  1,01 ","  4,31 ",,,,,,,,,,,,
Multi-unit residential,  147 ,  148 ,  553 ,"  3,74 ","  1,01 ","  3,76 ",,,,,,,,,,,,
Commercial/industrial/agricultural,  7 ,  7 ,  18 ,"  2,57 ","  1,00 ","  2,57 ",,,,,,,,,,,,
Institutional living quarter,  3 ,  3 ,  8 ,"  2,67 ","  1,00 ","  2,67 ",,,,,,,,,,,,
Others,  -   ,  -   ,  -   ,  -   ,,,,,,,,,,,,,,
Not Reported,  2 ,  2 ,  4 ,"  2,00 ","  1,00 ","  2,00 ",,,,,,,,,,,,
 CITY OF TABACO,,,,,,,,,,,,,,,,,,
Total,  27.533 ,  27.702 ,  133.508 ,"  4,82 ","  1,01 ","  4,85 ",,,,,,,,,,,,
Single house,  24.475 ,  24.632 ,  120.253 ,"  4,88 ","  1,01 ","  4,91 ",,,,,,,,,,,,
Duplex,  1.922 ,  1.930 ,  8.545 ,"  4,43 ","  1,00 ","  4,45 ",,,,,,,,,,,,
Multi-unit residential,  1.097 ,  1.100 ,  4.550 ,"  4,14 ","  1,00 ","  4,15 ",,,,,,,,,,,,
Commercial/industrial/agricultural,  26 ,  27 ,  117 ,"  4,33 ","  1,04 ","  4,50 ",,,,,,,,,,,,
Institutional living quarter,  2 ,  2 ,  10 ,"  5,00 ","  1,00 ","  5,00 ",,,,,,,,,,,,
Others,  2 ,  2 ,  6 ,"  3,00 ","  1,00 ","  3,00 ",,,,,,,,,,,,
Not Reported,  9 ,  9 ,  27 ,"  3,00 ","  1,00 ","  3,00 ",,,,,,,,,,,,
 TIWI,,,,,,,,,,,,,,,,,,
Total,  10.975 ,  11.016 ,  53.068 ,"  4,82 ","  1,00 ","  4,84 ",,,,,,,,,,,,
Single house,  10.512 ,  10.552 ,  50.952 ,"  4,83 ","  1,00 ","  4,85 ",,,,,,,,,,,,
Duplex,  367 ,  368 ,  1.708 ,"  4,64 ","  1,00 ","  4,65 ",,,,,,,,,,,,
Multi-unit residential,  87 ,  87 ,  365 ,"  4,20 ","  1,00 ","  4,20 ",,,,,,,,,,,,
Commercial/industrial/agricultural,  4 ,  4 ,  15 ,"  3,75 ","  1,00 ","  3,75 ",,,,,,,,,,,,
Institutional living quarter,  -   ,  -   ,  -   ,  -   ,,,,,,,,,,,,,,
Others,  -   ,  -   ,  -   ,  -   ,,,,,,,,,,,,,,
Not Reported,  5 ,  5 ,  28 ,"  5,60 ","  1,00 ","  5,60 ",,,,,,,,,,,,
 CAMARINES NORTE,,,,,,,,,,,,,,,,,,
Total,  128.679 ,  129.994 ,  581.787 ,"  4,48 ","  1,01 ","  4,52 ",,,,,,,,,,,,
Single house,  117.542 ,  118.699 ,  536.240 ,"  4,52 ","  1,01 ","  4,56 ",,,,,,,,,,,,
Duplex,  7.291 ,  7.385 ,  30.537 ,"  4,14 ","  1,01 ","  4,19 ",,,,,,,,,,,,
Multi-unit residential,  3.437 ,  3.491 ,  13.456 ,"  3,85 ","  1,02 ","  3,92 ",,,,,,,,,,,,
Commercial/industrial/agricultural,  261 ,  270 ,  950 ,"  3,52 ","  1,03 ","  3,64 ",,,,,,,,,,,,
Institutional living quarter,  21 ,  21 ,  93 ,"  4,43 ","  1,00 ","  4,43 ",,,,,,,,,,,,
Others,  5 ,  5 ,  8 ,"  1,60 ","  1,00 ","  1,60 ",,,,,,,,,,,,
Not Reported,  122 ,  123 ,  503 ,"  4,09 ","  1,01 ","  4,12 ",,,,,,,,,,,,
 BASUD,,,,,,,,,,,,,,,,,,
Total,  9.078 ,  9.123 ,  40.991 ,"  4,49 ","  1,00 ","  4,52 ",,,,,,,,,,,,
Single house,  8.766 ,  8.811 ,  39.695 ,"  4,51 ","  1,01 ","  4,53 ",,,,,,,,,,,,
Duplex,  214 ,  214 ,  906 ,"  4,23 ","  1,00 ","  4,23 ",,,,,,,,,,,,
Multi-unit residential,  87 ,  87 ,  343 ,"  3,94 ","  1,00 ","  3,94 ",,,,,,,,,,,,
Commercial/industrial/agricultural,  5 ,  5 ,  17 ,"  3,40 ","  1,00 ","  3,40 ",,,,,,,,,,,,
Institutional living quarter,  1 ,  1 ,  5 ,"  5,00 ","  1,00 ","  5,00 ",,,,,,,,,,,,
Others,  -   ,  -   ,  -   ,  -   ,,,,,,,,,,,,,,
Not Reported,  5 ,  5 ,  25 ,"  5,00 ","  1,00 ","  5,00 ",,,,,,,,,,,,
 CAPALONGA,,,,,,,,,,,,,,,,,,
Total,  7.091 ,  7.169 ,  32.213 ,"  4,49 ","  1,01 ","  4,54 ",,,,,,,,,,,,
Single house,  6.864 ,  6.942 ,  31.297 ,"  4,51 ","  1,01 ","  4,56 ",,,,,,,,,,,,
Duplex,  152 ,  152 ,  628 ,"  4,13 ","  1,00 ","  4,13 ",,,,,,,,,,,,
Multi-unit residential,  53 ,  53 ,  211 ,"  3,98 ","  1,00 ","  3,98 ",,,,,,,,,,,,
Commercial/industrial/agricultural,  19 ,  19 ,  61 ,"  3,21 ","  1,00 ","  3,21 ",,,,,,,,,,,,
Institutional living quarter,  1 ,  1 ,  6 ,"  6,00 ","  1,00 ","  6,00 ",,,,,,,,,,,,
Others,  -   ,  -   ,  -   ,  -   ,,,,,,,,,,,,,,
Not Reported,  2 ,  2 ,  10 ,"  5,00 ","  1,00 ","  5,00 ",,,,,,,,,,,,
 DAET (Capital),,,,,,,,,,,,,,,,,,
Total,  22.803 ,  23.270 ,  104.175 ,"  4,48 ","  1,02 ","  4,57 ",,,,,,,,,,,,
Single house,  18.752 ,  19.111 ,  87.824 ,"  4,60 ","  1,02 ","  4,68 ",,,,,,,,,,,,
Duplex,  2.331 ,  2.391 ,  9.720 ,"  4,07 ","  1,03 ","  4,17 ",,,,,,,,,,,,
Multi-unit residential,  1.564 ,  1.603 ,  6.053 ,"  3,78 ","  1,02 ","  3,87 ",,,,,,,,,,,,
Commercial/industrial/agricultural,  133 ,  142 ,  482 ,"  3,39 ","  1,07 ","  3,62 ",,,,,,,,,,,,
Institutional living quarter,  11 ,  11 ,  45 ,"  4,09 ","  1,00 ","  4,09 ",,,,,,,,,,,,
Others,  1 ,  1 ,  2 ,"  2,00 ","  1,00 ","  2,00 ",,,,,,,,,,,,
Not Reported,  11 ,  11 ,  49 ,"  4,45 ","  1,00 ","  4,45 ",,,,,,,,,,,,
 SAN LORENZO RUIZ (IMELDA),,,,,,,,,,,,,,,,,,
Total,  3.154 ,  3.184 ,  14.063 ,"  4,42 ","  1,01 ","  4,46 ",,,,,,,,,,,,
Single house,  3.072 ,  3.102 ,  13.683 ,"  4,41 ","  1,01 ","  4,45 ",,,,,,,,,,,,
Duplex,  68 ,  68 ,  317 ,"  4,66 ","  1,00 ","  4,66 ",,,,,,,,,,,,
Multi-unit residential,  13 ,  13 ,  59 ,"  4,54 ","  1,00 ","  4,54 ",,,,,,,,,,,,
Commercial/industrial/agricultural,  -   ,  -   ,  -   ,  -   ,,,,,,,,,,,,,,
Institutional living quarter,  -   ,  -   ,  -   ,  -   ,,,,,,,,,,,,,,
Others,  -   ,  -   ,  -   ,  -   ,,,,,,,,,,,,,,
Not Reported,  1 ,  1 ,  4 ,"  4,00 ","  1,00 ","  4,00 ",,,,,,,,,,,,
 JOSE PANGANIBAN,,,,,,,,,,,,,,,,,,
Total,  13.381 ,  13.855 ,  59.593 ,"  4,30 ","  1,04 ","  4,45 ",,,,,,,,,,,,
Single house,  11.897 ,  12.331 ,  53.658 ,"  4,35 ","  1,04 ","  4,51 ",,,,,,,,,,,,
Duplex,  951 ,  978 ,  3.896 ,"  3,98 ","  1,03 ","  4,10 ",,,,,,,,,,,,
Multi-unit residential,  497 ,  510 ,  1.915 ,"  3,75 ","  1,03 ","  3,85 ",,,,,,,,,,,,
Commercial/industrial/agricultural,  6 ,  6 ,  21 ,"  3,50 ","  1,00 ","  3,50 ",,,,,,,,,,,,
Institutional living quarter,  1 ,  1 ,  4 ,"  4,00 ","  1,00 ","  4,00 ",,,,,,,,,,,,
Others,  2 ,  2 ,  4 ,"  2,00 ","  1,00 ","  2,00 ",,,,,,,,,,,,
Not Reported,  27 ,  27 ,  95 ,"  3,52 ","  1,00 ","  3,52 ",,,,,,,,,,,,
 LABO,,,,,,,,,,,,,,,,,,
Total,  22.201 ,  22.256 ,  100.369 ,"  4,51 ","  1,00 ","  4,52 ",,,,,,,,,,,,
Single house,  20.662 ,  20.715 ,  93.997 ,"  4,54 ","  1,00 ","  4,55 ",,,,,,,,,,,,
Duplex,  1.020 ,  1.021 ,  4.301 ,"  4,21 ","  1,00 ","  4,22 ",,,,,,,,,,,,
Multi-unit residential,  442 ,  442 ,  1.773 ,"  4,01 ","  1,00 ","  4,01 ",,,,,,,,,,,,
Commercial/industrial/agricultural,  48 ,  48 ,  174 ,"  3,63 ","  1,00 ","  3,63 ",,,,,,,,,,,,
Institutional living quarter,  3 ,  3 ,  16 ,"  5,33 ","  1,00 ","  5,33 ",,,,,,,,,,,,
Others,  1 ,  1 ,  1 ,"  1,00 ","  1,00 ","  1,00 ",,,,,,,,,,,,
Not Reported,  25 ,  26 ,  107 ,"  4,12 ","  1,04 ","  4,28 ",,,,,,,,,,,,
 MERCEDES,,,,,,,,,,,,,,,,,,
Total,  10.866 ,  10.899 ,  50.821 ,"  4,66 ","  1,00 ","  4,68 ",,,,,,,,,,,,
Single house,  9.734 ,  9.767 ,  46.145 ,"  4,72 ","  1,00 ","  4,74 ",,,,,,,,,,,,
Duplex,  878 ,  878 ,  3.625 ,"  4,13 ","  1,00 ","  4,13 ",,,,,,,,,,,,
Multi-unit residential,  233 ,  233 ,  956 ,"  4,10 ","  1,00 ","  4,10 ",,,,,,,,,,,,
Commercial/industrial/agricultural,  3 ,  3 ,  10 ,"  3,33 ","  1,00 ","  3,33 ",,,,,,,,,,,,
Institutional living quarter,  -   ,  -   ,  -   ,  -   ,,,,,,,,,,,,,,
Others,  -   ,  -   ,  -   ,  -   ,,,,,,,,,,,,,,
Not Reported,  18 ,  18 ,  85 ,"  4,72 ","  1,00 ","  4,72 ",,,,,,,,,,,,
 PARACALE,,,,,,,,,,,,,,,,,,
Total,  13.096 ,  13.171 ,  59.125 ,"  4,49 ","  1,01 ","  4,51 ",,,,,,,,,,,,
Single house,  12.322 ,  12.393 ,  55.989 ,"  4,52 ","  1,01 ","  4,54 ",,,,,,,,,,,,
Duplex,  594 ,  597 ,  2.448 ,"  4,10 ","  1,01 ","  4,12 ",,,,,,,,,,,,
Multi-unit residential,  166 ,  167 ,  648 ,"  3,88 ","  1,01 ","  3,90 ",,,,,,,,,,,,
Commercial/industrial/agricultural,  8 ,  8 ,  22 ,"  2,75 ","  1,00 ","  2,75 ",,,,,,,,,,,,
Institutional living quarter,  -   ,  -   ,  -   ,  -   ,,,,,,,,,,,,,,
Others,  1 ,  1 ,  1 ,"  1,00 ","  1,00 ","  1,00 ",,,,,,,,,,,,
Not Reported,  5 ,  5 ,  17 ,"  3,40 ","  1,00 ","  3,40 ",,,,,,,,,,,,
 SAN VICENTE,,,,,,,,,,,,,,,,,,
Total,  2.394 ,  2.400 ,  10.390 ,"  4,33 ","  1,00 ","  4,34 ",,,,,,,,,,,,
Single house,  2.324 ,  2.330 ,  10.108 ,"  4,34 ","  1,00 ","  4,35 ",,,,,,,,,,,,
Duplex,  56 ,  56 ,  233 ,"  4,16 ","  1,00 ","  4,16 ",,,,,,,,,,,,
Multi-unit residential,  9 ,  9 ,  27 ,"  3,00 ","  1,00 ","  3,00 ",,,,,,,,,,,,
Commercial/industrial/agricultural,  4 ,  4 ,  18 ,"  4,50 ","  1,00 ","  4,50 ",,,,,,,,,,,,
Institutional living quarter,  -   ,  -   ,  -   ,  -   ,,,,,,,,,,,,,,
Others,  -   ,  -   ,  -   ,  -   ,,,,,,,,,,,,,,
Not Reported,  1 ,  1 ,  4 ,"  4,00 ","  1,00 ","  4,00 ",,,,,,,,,,,,
 SANTA ELENA,,,,,,,,,,,,,,,,,,
Total,  9.182 ,  9.214 ,  40.763 ,"  4,42 ","  1,00 ","  4,44 ",,,,,,,,,,,,
Single house,  8.683 ,  8.713 ,  38.623 ,"  4,43 ","  1,00 ","  4,45 ",,,,,,,,,,,,
Duplex,  358 ,  360 ,  1.582 ,"  4,39 ","  1,01 ","  4,42 ",,,,,,,,,,,,
Multi-unit residential,  111 ,  111 ,  445 ,"  4,01 ","  1,00 ","  4,01 ",,,,,,,,,,,,
Commercial/industrial/agricultural,  15 ,  15 ,  64 ,"  4,27 ","  1,00 ","  4,27 ",,,,,,,,,,,,
Institutional living quarter,  -   ,  -   ,  -   ,  -   ,,,,,,,,,,,,,,
Others,  -   ,  -   ,  -   ,  -   ,,,,,,,,,,,,,,
Not Reported,  15 ,  15 ,  49 ,"  3,27 ","  1,00 ","  3,27 ",,,,,,,,,,,,
 TALISAY,,,,,,,,,,,,,,,,,,
Total,  5.801 ,  5.803 ,  25.841 ,"  4,45 ","  1,00 ","  4,45 ",,,,,,,,,,,,
Single house,  5.314 ,  5.315 ,  23.830 ,"  4,48 ","  1,00 ","  4,48 ",,,,,,,,,,,,
Duplex,  330 ,  331 ,  1.407 ,"  4,25 ","  1,00 ","  4,26 ",,,,,,,,,,,,
Multi-unit residential,  148 ,  148 ,  567 ,"  3,83 ","  1,00 ","  3,83 ",,,,,,,,,,,,
Commercial/industrial/agricultural,  2 ,  2 ,  4 ,"  2,00 ","  1,00 ","  2,00 ",,,,,,,,,,,,
Institutional living quarter,  1 ,  1 ,  6 ,"  6,00 ","  1,00 ","  6,00 ",,,,,,,,,,,,
Others,  -   ,  -   ,  -   ,  -   ,,,,,,,,,,,,,,
Not Reported,  6 ,  6 ,  27 ,"  4,50 ","  1,00 ","  4,50 ",,,,,,,,,,,,
 VINZONS,,,,,,,,,,,,,,,,,,
Total,  9.632 ,  9.650 ,  43.443 ,"  4,50 ","  1,00 ","  4,51 ",,,,,,,,,,,,
Single house,  9.152 ,  9.169 ,  41.391 ,"  4,51 ","  1,00 ","  4,52 ",,,,,,,,,,,,
Duplex,  339 ,  339 ,  1.474 ,"  4,35 ","  1,00 ","  4,35 ",,,,,,,,,,,,
Multi-unit residential,  114 ,  115 ,  459 ,"  3,99 ","  1,01 ","  4,03 ",,,,,,,,,,,,
Commercial/industrial/agricultural,  18 ,  18 ,  77 ,"  4,28 ","  1,00 ","  4,28 ",,,,,,,,,,,,
Institutional living quarter,  3 ,  3 ,  11 ,"  3,67 ","  1,00 ","  3,67 ",,,,,,,,,,,,
Others,  -   ,  -   ,  -   ,  -   ,,,,,,,,,,,,,,
Not Reported,  6 ,  6 ,  31 ,"  5,17 ","  1,00 ","  5,17 ",,,,,,,,,,,,
 CAMARINES SUR,,,,,,,,,,,,,,,,,,
Total,  396.642 ,  400.615 ,  1.947.487 ,"  4,86 ","  1,01 ","  4,91 ",,,,,,,,,,,,
Single house,  366.538 ,  370.082 ,  1.816.291 ,"  4,91 ","  1,01 ","  4,96 ",,,,,,,,,,,,
Duplex,  17.383 ,  17.637 ,  78.510 ,"  4,45 ","  1,01 ","  4,52 ",,,,,,,,,,,,
Multi-unit residential,  11.690 ,  11.796 ,  48.025 ,"  4,07 ","  1,01 ","  4,11 ",,,,,,,,,,,,
Commercial/industrial/agricultural,  531 ,  537 ,  2.214 ,"  4,12 ","  1,01 ","  4,17 ",,,,,,,,,,,,
Institutional living quarter,  59 ,  76 ,  262 ,"  3,45 ","  1,29 ","  4,44 ",,,,,,,,,,,,
Others,  15 ,  15 ,  55 ,"  3,67 ","  1,00 ","  3,67 ",,,,,,,,,,,,
Not Reported,  426 ,  472 ,  2.130 ,"  4,51 ","  1,11 ","  5,00 ",,,,,,,,,,,,
 BAAO,,,,,,,,,,,,,,,,,,
Total,  11.390 ,  11.443 ,  58.784 ,"  5,14 ","  1,00 ","  5,16 ",,,,,,,,,,,,
Single house,  10.773 ,  10.826 ,  55.789 ,"  5,15 ","  1,00 ","  5,18 ",,,,,,,,,,,,
Duplex,  428 ,  428 ,  2.128 ,"  4,97 ","  1,00 ","  4,97 ",,,,,,,,,,,,
Multi-unit residential,  183 ,  183 ,  835 ,"  4,56 ","  1,00 ","  4,56 ",,,,,,,,,,,,
Commercial/industrial/agricultural,  5 ,  5 ,  25 ,"  5,00 ","  1,00 ","  5,00 ",,,,,,,,,,,,
Institutional living quarter,  -   ,  -   ,  -   ,  -   ,,,,,,,,,,,,,,
Others,  -   ,  -   ,  -   ,  -   ,,,,,,,,,,,,,,
Not Reported,  1 ,  1 ,  7 ,"  7,00 ","  1,00 ","  7,00 ",,,,,,,,,,,,
 BALATAN,,,,,,,,,,,,,,,,,,
Total,  5.801 ,  5.881 ,  30.900 ,"  5,25 ","  1,01 ","  5,33 ",,,,,,,,,,,,
Single house,  5.550 ,  5.628 ,  29.737 ,"  5,28 ","  1,01 ","  5,36 ",,,,,,,,,,,,
Duplex,  174 ,  175 ,  815 ,"  4,66 ","  1,01 ","  4,68 ",,,,,,,,,,,,
Multi-unit residential,  51 ,  51 ,  226 ,"  4,43 ","  1,00 ","  4,43 ",,,,,,,,,,,,
Commercial/industrial/agricultural,  2 ,  2 ,  9 ,"  4,50 ","  1,00 ","  4,50 ",,,,,,,,,,,,
Institutional living quarter,  -   ,  -   ,  -   ,  -   ,,,,,,,,,,,,,,
Others,  -   ,  -   ,  -   ,  -   ,,,,,,,,,,,,,,
Not Reported,  24 ,  25 ,  113 ,"  4,52 ","  1,04 ","  4,71 ",,,,,,,,,,,,
 BATO,,,,,,,,,,,,,,,,,,
