City/Municipality,Number of Households*,Own use faucet community water system,Shared faucet community water system,Own use tubed/piped deep well,Shared tubed/piped deep well,Tubed/piped shallow well,Dug well,Protected spring,Unprotected spring,"Lake, river, rain and others",Peddler,Bottled water,Others,Not Reported,,,,,,,,,,,,,,
TANUDAN,  1.568 ,  5 ,  29 ,  8 ,  10 ,  -   ,  7 ,  1.423 ,  18 ,  65 ,  -   ,  3 ,  -   ,  -   ,,,,,,,,,,,,,,
TINGLAYAN,  2.273 ,  62 ,  16 ,  -   ,  -   ,  -   ,  -   ,  2.165 ,  30 ,  -   ,  -   ,  -   ,  -   ,  -   ,,,,,,,,,,,,,,
MOUNTAIN PROVINCE,  35.038 ,  505 ,  236 ,  687 ,  1.605 ,  2.045 ,  380 ,  14.890 ,  12.739 ,  -   ,  51 ,  1.900 ,  -   ,  -   ,,,,,,,,,,,,,,
BARLIG,  1.190 ,  -   ,  -   ,  1 ,  1 ,  1 ,  -   ,  744 ,  443 ,  -   ,  -   ,  -   ,  -   ,  -   ,,,,,,,,,,,,,,
BAUKO,  6.800 ,  -   ,  -   ,  35 ,  78 ,  2 ,  15 ,  1.691 ,  4.825 ,  -   ,  -   ,  154 ,  -   ,  -   ,,,,,,,,,,,,,,
BESAO,  1.712 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  1.548 ,  158 ,  -   ,  -   ,  6 ,  -   ,  -   ,,,,,,,,,,,,,,
BONTOC (Capital),  6.462 ,  481 ,  202 ,  11 ,  9 ,  4 ,  12 ,  3.108 ,  1.077 ,  -   ,  19 ,  1.539 ,  -   ,  -   ,,,,,,,,,,,,,,
NATONIN,  2.189 ,  -   ,  -   ,  1 ,  4 ,  5 ,  1 ,  1.663 ,  515 ,  -   ,  -   ,  -   ,  -   ,  -   ,,,,,,,,,,,,,,
PARACELIS,  5.834 ,  24 ,  34 ,  599 ,  1.368 ,  1.955 ,  347 ,  940 ,  351 ,  -   ,  25 ,  191 ,  -   ,  -   ,,,,,,,,,,,,,,
SABANGAN,  2.215 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  468 ,  1.747 ,  -   ,  -   ,  -   ,  -   ,  -   ,,,,,,,,,,,,,,
SADANGA,  1.765 ,  -   ,  -   ,  -   ,  1 ,  -   ,  1 ,  1.156 ,  606 ,  -   ,  1 ,  -   ,  -   ,  -   ,,,,,,,,,,,,,,
SAGADA,  2.644 ,  -   ,  -   ,  34 ,  64 ,  77 ,  -   ,  1.254 ,  1.214 ,  -   ,  -   ,  1 ,  -   ,  -   ,,,,,,,,,,,,,,
TADIAN,  4.227 ,  -   ,  -   ,  6 ,  80 ,  1 ,  4 ,  2.318 ,  1.803 ,  -   ,  6 ,  9 ,  -   ,  -   ,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGION I - ILOCOS,  1.151.629 ,  144.857 ,  49.354 ,  166.943 ,  234.617 ,  63.435 ,  39.631 ,  36.491 ,  5.570 ,  604 ,  8.241 ,  400.470 ,  1.416 ,  -   ,,,,,,,,,,,,,,
ILOCOS NORTE,  139.336 ,  19.518 ,  4.530 ,  14.554 ,  13.865 ,  4.668 ,  18.475 ,  4.688 ,  499 ,  257 ,  305 ,  57.946 ,  31 ,  -   ,,,,,,,,,,,,,,
ADAMS,  411 ,  380 ,  31 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,,,,,,,,,,,,,,
BACARRA,  8.269 ,  2.010 ,  261 ,  1.605 ,  504 ,  76 ,  428 ,  14 ,  -   ,  1 ,  3 ,  3.363 ,  4 ,  -   ,,,,,,,,,,,,,,
BADOC,  7.375 ,  459 ,  193 ,  1.319 ,  1.868 ,  181 ,  1.170 ,  265 ,  62 ,  -   ,  2 ,  1.856 ,  -   ,  -   ,,,,,,,,,,,,,,
BANGUI,  3.568 ,  1.476 ,  110 ,  550 ,  454 ,  3 ,  15 ,  280 ,  4 ,  37 ,  -   ,  639 ,  -   ,  -   ,,,,,,,,,,,,,,
CITY OF BATAC,  12.797 ,  173 ,  24 ,  635 ,  508 ,  1.531 ,  1.400 ,  243 ,  273 ,  3 ,  4 ,  8.000 ,  3 ,  -   ,,,,,,,,,,,,,,
BURGOS,  2.403 ,  334 ,  125 ,  11 ,  21 ,  438 ,  460 ,  315 ,  2 ,  -   ,  -   ,  697 ,  -   ,  -   ,,,,,,,,,,,,,,
CARASI,  304 ,  1 ,  -   ,  3 ,  -   ,  1 ,  60 ,  193 ,  -   ,  -   ,  -   ,  46 ,  -   ,  -   ,,,,,,,,,,,,,,
CURRIMAO,  2.805 ,  254 ,  252 ,  255 ,  381 ,  83 ,  245 ,  10 ,  4 ,  1 ,  -   ,  1.319 ,  1 ,  -   ,,,,,,,,,,,,,,
DINGRAS,  8.757 ,  523 ,  469 ,  1.645 ,  1.751 ,  46 ,  1.498 ,  174 ,  2 ,  24 ,  -   ,  2.623 ,  2 ,  -   ,,,,,,,,,,,,,,
DUMALNEG,  574 ,  571 ,  1 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  2 ,  -   ,  -   ,,,,,,,,,,,,,,
BANNA (ESPIRITU),  4.532 ,  152 ,  71 ,  279 ,  194 ,  13 ,  2.166 ,  327 ,  7 ,  -   ,  68 ,  1.255 ,  -   ,  -   ,,,,,,,,,,,,,,
LAOAG CITY (Capital),  25.285 ,  2.142 ,  513 ,  2.289 ,  1.702 ,  225 ,  429 ,  40 ,  -   ,  -   ,  113 ,  17.829 ,  3 ,  -   ,,,,,,,,,,,,,,
MARCOS,  4.563 ,  220 ,  56 ,  517 ,  226 ,  53 ,  2.377 ,  333 ,  3 ,  6 ,  1 ,  771 ,  -   ,  -   ,,,,,,,,,,,,,,
NUEVA ERA,  2.453 ,  140 ,  258 ,  256 ,  518 ,  7 ,  622 ,  442 ,  -   ,  31 ,  25 ,  154 ,  -   ,  -   ,,,,,,,,,,,,,,
PAGUDPUD,  5.807 ,  2.662 ,  917 ,  308 ,  432 ,  240 ,  306 ,  157 ,  113 ,  28 ,  -   ,  639 ,  5 ,  -   ,,,,,,,,,,,,,,
PAOAY,  5.822 ,  871 ,  198 ,  962 ,  514 ,  104 ,  259 ,  5 ,  1 ,  30 ,  2 ,  2.874 ,  2 ,  -   ,,,,,,,,,,,,,,
PASUQUIN,  6.698 ,  1.954 ,  217 ,  937 ,  744 ,  188 ,  504 ,  199 ,  4 ,  -   ,  1 ,  1.946 ,  4 ,  -   ,,,,,,,,,,,,,,
PIDDIG,  5.040 ,  346 ,  84 ,  404 ,  408 ,  916 ,  1.329 ,  286 ,  9 ,  31 ,  2 ,  1.225 ,  -   ,  -   ,,,,,,,,,,,,,,
PINILI,  3.932 ,  233 ,  59 ,  447 ,  1.377 ,  134 ,  678 ,  144 ,  1 ,  3 ,  2 ,  851 ,  3 ,  -   ,,,,,,,,,,,,,,
SAN NICOLAS,  8.516 ,  237 ,  51 ,  358 ,  543 ,  112 ,  274 ,  20 ,  -   ,  1 ,  -   ,  6.918 ,  2 ,  -   ,,,,,,,,,,,,,,
SARRAT,  5.749 ,  141 ,  297 ,  656 ,  686 ,  161 ,  245 ,  31 ,  1 ,  54 ,  3 ,  3.473 ,  1 ,  -   ,,,,,,,,,,,,,,
SOLSONA,  5.497 ,  315 ,  23 ,  128 ,  241 ,  78 ,  3.614 ,  321 ,  13 ,  7 ,  64 ,  693 ,  -   ,  -   ,,,,,,,,,,,,,,
VINTAR,  8.179 ,  3.924 ,  320 ,  990 ,  793 ,  78 ,  396 ,  889 ,  -   ,  -   ,  15 ,  773 ,  1 ,  -   ,,,,,,,,,,,,,,
ILOCOS SUR,  157.043 ,  18.699 ,  6.006 ,  14.336 ,  15.232 ,  39.222 ,  2.999 ,  6.494 ,  1.332 ,  79 ,  1.746 ,  50.805 ,  93 ,  -   ,,,,,,,,,,,,,,
ALILEM,  1.476 ,  390 ,  28 ,  97 ,  387 ,  -   ,  1 ,  491 ,  55 ,  -   ,  -   ,  27 ,  -   ,  -   ,,,,,,,,,,,,,,
BANAYOYO,  1.782 ,  147 ,  13 ,  345 ,  533 ,  117 ,  1 ,  1 ,  2 ,  -   ,  -   ,  623 ,  -   ,  -   ,,,,,,,,,,,,,,
BANTAY,  8.229 ,  1.141 ,  696 ,  90 ,  495 ,  3.608 ,  17 ,  101 ,  28 ,  1 ,  7 ,  2.044 ,  1 ,  -   ,,,,,,,,,,,,,,
BURGOS,  2.785 ,  158 ,  219 ,  253 ,  399 ,  728 ,  5 ,  3 ,  -   ,  1 ,  1 ,  1.018 ,  -   ,  -   ,,,,,,,,,,,,,,
CABUGAO,  8.188 ,  2.946 ,  338 ,  440 ,  844 ,  126 ,  970 ,  138 ,  11 ,  3 ,  28 ,  2.344 ,  -   ,  -   ,,,,,,,,,,,,,,
CITY OF CANDON,  13.812 ,  582 ,  258 ,  2.365 ,  1.693 ,  2.704 ,  12 ,  11 ,  -   ,  1 ,  1 ,  6.121 ,  64 ,  -   ,,,,,,,,,,,,,,
