,city,region_name,province,Own use faucet community water system_count,Shared faucet community water system_count,Own use tubed/piped deep well_count,Shared tubed/piped deep well_count,Tubed/piped shallow well_count,Dug well_count,Protected spring_count,Unprotected spring_count,"Lake, river, rain and others_count",Peddler_count,Bottled water_count,Others_count,Not Reported_count,year
910,MAYOYAO,CAR - Cordillera Administrative Region,IFUGAO,525.0,72.0,3.0,3.0,21.0,2.0,3435.0,14.0,,1.0,3.0,,,2015
923,ALFONSO LISTA (POTIA),CAR - Cordillera Administrative Region,IFUGAO,216.0,189.0,1287.0,4489.0,18.0,95.0,197.0,38.0,1.0,,619.0,,,2015
936,AGUINALDO,CAR - Cordillera Administrative Region,IFUGAO,2189.0,1854.0,124.0,300.0,54.0,21.0,103.0,5.0,6.0,,2.0,3.0,,2015
949,HINGYON,CAR - Cordillera Administrative Region,IFUGAO,535.0,1024.0,6.0,4.0,,1.0,365.0,104.0,1.0,,5.0,,,2015
962,TINOC,CAR - Cordillera Administrative Region,IFUGAO,270.0,267.0,25.0,16.0,10.0,1.0,2837.0,176.0,4.0,,1.0,,,2015
975,ASIPULO,CAR - Cordillera Administrative Region,IFUGAO,908.0,1001.0,433.0,259.0,6.0,,199.0,14.0,2.0,,11.0,,,2015
988,BALBALAN,CAR - Cordillera Administrative Region,KALINGA,15.0,14.0,2.0,1.0,,,2078.0,191.0,,,1.0,,,2015
1001,LUBUAGAN,CAR - Cordillera Administrative Region,KALINGA,21.0,136.0,,2.0,8.0,4.0,1308.0,250.0,,,2.0,,,2015
1014,PASIL,CAR - Cordillera Administrative Region,KALINGA,6.0,,,,,,1785.0,8.0,,,1.0,,,2015
1027,PINUKPUK,CAR - Cordillera Administrative Region,KALINGA,426.0,1058.0,661.0,811.0,527.0,227.0,2024.0,496.0,20.0,,29.0,,,2015
1040,RIZAL (LIWAN),CAR - Cordillera Administrative Region,KALINGA,967.0,199.0,158.0,506.0,1769.0,6.0,40.0,,1.0,,77.0,,,2015
1053,CITY OF TABUK (Capital),CAR - Cordillera Administrative Region,KALINGA,3751.0,2027.0,3180.0,7324.0,70.0,75.0,2193.0,345.0,109.0,163.0,3197.0,5.0,,2015
1066,TANUDAN,CAR - Cordillera Administrative Region,KALINGA,5.0,29.0,8.0,10.0,,7.0,1423.0,18.0,65.0,,3.0,,,2015
1079,TINGLAYAN,CAR - Cordillera Administrative Region,KALINGA,62.0,16.0,,,,,2165.0,30.0,,,,,,2015
1092,BARLIG,CAR - Cordillera Administrative Region,MOUNTAIN PROVINCE,,,1.0,1.0,1.0,,744.0,443.0,,,,,,2015
1105,BAUKO,CAR - Cordillera Administrative Region,MOUNTAIN PROVINCE,,,35.0,78.0,2.0,15.0,1691.0,4825.0,,,154.0,,,2015
1118,BESAO,CAR - Cordillera Administrative Region,MOUNTAIN PROVINCE,,,,,,,1548.0,158.0,,,6.0,,,2015
1131,BONTOC (Capital),CAR - Cordillera Administrative Region,MOUNTAIN PROVINCE,481.0,202.0,11.0,9.0,4.0,12.0,3108.0,1077.0,,19.0,1539.0,,,2015
1144,NATONIN,CAR - Cordillera Administrative Region,MOUNTAIN PROVINCE,,,1.0,4.0,5.0,1.0,1663.0,515.0,,,,,,2015
1157,PARACELIS,CAR - Cordillera Administrative Region,MOUNTAIN PROVINCE,24.0,34.0,599.0,1368.0,1955.0,347.0,940.0,351.0,,25.0,191.0,,,2015
1170,SABANGAN,CAR - Cordillera Administrative Region,MOUNTAIN PROVINCE,,,,,,,468.0,1747.0,,,,,,2015
1183,SADANGA,CAR - Cordillera Administrative Region,MOUNTAIN PROVINCE,,,,1.0,,1.0,1156.0,606.0,,1.0,,,,2015
1196,SAGADA,CAR - Cordillera Administrative Region,MOUNTAIN PROVINCE,,,34.0,64.0,77.0,,1254.0,1214.0,,,1.0,,,2015
1209,TADIAN,CAR - Cordillera Administrative Region,MOUNTAIN PROVINCE,,,6.0,80.0,1.0,4.0,2318.0,1803.0,,6.0,9.0,,,2015
1222,ADAMS,REGION I (Ilocos Region),ILOCOS NORTE,380.0,31.0,,,,,,,,,,,,2015
1235,BACARRA,REGION I (Ilocos Region),ILOCOS NORTE,2010.0,261.0,1605.0,504.0,76.0,428.0,14.0,,1.0,3.0,3363.0,4.0,,2015
1248,BADOC,REGION I (Ilocos Region),ILOCOS NORTE,459.0,193.0,1319.0,1868.0,181.0,1170.0,265.0,62.0,,2.0,1856.0,,,2015
1261,BANGUI,REGION I (Ilocos Region),ILOCOS NORTE,1476.0,110.0,550.0,454.0,3.0,15.0,280.0,4.0,37.0,,639.0,,,2015
1274,CITY OF BATAC,REGION I (Ilocos Region),ILOCOS NORTE,173.0,24.0,635.0,508.0,1531.0,1400.0,243.0,273.0,3.0,4.0,8000.0,3.0,,2015
1287,BURGOS,REGION I (Ilocos Region),ILOCOS NORTE,334.0,125.0,11.0,21.0,438.0,460.0,315.0,2.0,,,697.0,,,2015
1300,CARASI,REGION I (Ilocos Region),ILOCOS NORTE,1.0,,3.0,,1.0,60.0,193.0,,,,46.0,,,2015
1313,CURRIMAO,REGION I (Ilocos Region),ILOCOS NORTE,254.0,252.0,255.0,381.0,83.0,245.0,10.0,4.0,1.0,,1319.0,1.0,,2015
1326,DINGRAS,REGION I (Ilocos Region),ILOCOS NORTE,523.0,469.0,1645.0,1751.0,46.0,1498.0,174.0,2.0,24.0,,2623.0,2.0,,2015
1339,DUMALNEG,REGION I (Ilocos Region),ILOCOS NORTE,571.0,1.0,,,,,,,,,2.0,,,2015
1352,BANNA (ESPIRITU),REGION I (Ilocos Region),ILOCOS NORTE,152.0,71.0,279.0,194.0,13.0,2166.0,327.0,7.0,,68.0,1255.0,,,2015
1365,LAOAG CITY (Capital),REGION I (Ilocos Region),ILOCOS NORTE,2142.0,513.0,2289.0,1702.0,225.0,429.0,40.0,,,113.0,17829.0,3.0,,2015
1378,MARCOS,REGION I (Ilocos Region),ILOCOS NORTE,220.0,56.0,517.0,226.0,53.0,2377.0,333.0,3.0,6.0,1.0,771.0,,,2015
1391,NUEVA ERA,REGION I (Ilocos Region),ILOCOS NORTE,140.0,258.0,256.0,518.0,7.0,622.0,442.0,,31.0,25.0,154.0,,,2015
1404,PAGUDPUD,REGION I (Ilocos Region),ILOCOS NORTE,2662.0,917.0,308.0,432.0,240.0,306.0,157.0,113.0,28.0,,639.0,5.0,,2015
1417,PAOAY,REGION I (Ilocos Region),ILOCOS NORTE,871.0,198.0,962.0,514.0,104.0,259.0,5.0,1.0,30.0,2.0,2874.0,2.0,,2015
1430,PASUQUIN,REGION I (Ilocos Region),ILOCOS NORTE,1954.0,217.0,937.0,744.0,188.0,504.0,199.0,4.0,,1.0,1946.0,4.0,,2015
1443,PIDDIG,REGION I (Ilocos Region),ILOCOS NORTE,346.0,84.0,404.0,408.0,916.0,1329.0,286.0,9.0,31.0,2.0,1225.0,,,2015
1456,PINILI,REGION I (Ilocos Region),ILOCOS NORTE,233.0,59.0,447.0,1377.0,134.0,678.0,144.0,1.0,3.0,2.0,851.0,3.0,,2015
1469,SAN NICOLAS,REGION I (Ilocos Region),ILOCOS NORTE,237.0,51.0,358.0,543.0,112.0,274.0,20.0,,1.0,,6918.0,2.0,,2015
1482,SARRAT,REGION I (Ilocos Region),ILOCOS NORTE,141.0,297.0,656.0,686.0,161.0,245.0,31.0,1.0,54.0,3.0,3473.0,1.0,,2015
1495,SOLSONA,REGION I (Ilocos Region),ILOCOS NORTE,315.0,23.0,128.0,241.0,78.0,3614.0,321.0,13.0,7.0,64.0,693.0,,,2015
1508,VINTAR,REGION I (Ilocos Region),ILOCOS NORTE,3924.0,320.0,990.0,793.0,78.0,396.0,889.0,,,15.0,773.0,1.0,,2015
1521,ALILEM,REGION I (Ilocos Region),ILOCOS SUR,390.0,28.0,97.0,387.0,,1.0,491.0,55.0,,,27.0,,,2015
1534,BANAYOYO,REGION I (Ilocos Region),ILOCOS SUR,147.0,13.0,345.0,533.0,117.0,1.0,1.0,2.0,,,623.0,,,2015
1547,BANTAY,REGION I (Ilocos Region),ILOCOS SUR,1141.0,696.0,90.0,495.0,3608.0,17.0,101.0,28.0,1.0,7.0,2044.0,1.0,,2015
1560,BURGOS,REGION I (Ilocos Region),ILOCOS SUR,158.0,219.0,253.0,399.0,728.0,5.0,3.0,,1.0,1.0,1018.0,,,2015
1573,CABUGAO,REGION I (Ilocos Region),ILOCOS SUR,2946.0,338.0,440.0,844.0,126.0,970.0,138.0,11.0,3.0,28.0,2344.0,,,2015
1586,CITY OF CANDON,REGION I (Ilocos Region),ILOCOS SUR,582.0,258.0,2365.0,1693.0,2704.0,12.0,11.0,,1.0,1.0,6121.0,64.0,,2015
1599,CAOAYAN,REGION I (Ilocos Region),ILOCOS SUR,732.0,237.0,148.0,65.0,1129.0,346.0,5.0,9.0,20.0,1.0,1911.0,1.0,,2015
1612,CERVANTES,REGION I (Ilocos Region),ILOCOS SUR,2768.0,205.0,51.0,85.0,54.0,,329.0,38.0,20.0,5.0,126.0,1.0,,2015
1625,GALIMUYOD,REGION I (Ilocos Region),ILOCOS SUR,554.0,234.0,104.0,747.0,14.0,13.0,63.0,3.0,,24.0,570.0,,,2015
1638,GREGORIO DEL PILAR (CONCEPCION),REGION I (Ilocos Region),ILOCOS SUR,827.0,76.0,,,3.0,,1.0,1.0,,,,,,2015
1651,LIDLIDDA,REGION I (Ilocos Region),ILOCOS SUR,5.0,,9.0,305.0,21.0,,437.0,19.0,,,206.0,2.0,,2015
1664,MAGSINGAL,REGION I (Ilocos Region),ILOCOS SUR,360.0,48.0,347.0,528.0,3281.0,215.0,51.0,101.0,5.0,49.0,2958.0,,,2015
1677,NAGBUKEL,REGION I (Ilocos Region),ILOCOS SUR,43.0,3.0,216.0,350.0,376.0,2.0,62.0,1.0,,,129.0,,,2015
1690,NARVACAN,REGION I (Ilocos Region),ILOCOS SUR,561.0,126.0,1436.0,932.0,3684.0,62.0,234.0,3.0,1.0,19.0,2797.0,1.0,,2015
1703,QUIRINO (ANGKAKI),REGION I (Ilocos Region),ILOCOS SUR,1454.0,186.0,2.0,4.0,4.0,3.0,46.0,129.0,1.0,,,1.0,,2015
1716,SALCEDO (BAUGEN),REGION I (Ilocos Region),ILOCOS SUR,433.0,978.0,205.0,255.0,280.0,13.0,326.0,30.0,1.0,,154.0,8.0,,2015
1729,SAN EMILIO,REGION I (Ilocos Region),ILOCOS SUR,151.0,501.0,2.0,4.0,,2.0,122.0,651.0,7.0,,97.0,,,2015
1742,SAN ESTEBAN,REGION I (Ilocos Region),ILOCOS SUR,43.0,60.0,662.0,331.0,107.0,4.0,3.0,,,,791.0,,,2015
1755,SAN ILDEFONSO,REGION I (Ilocos Region),ILOCOS SUR,7.0,,,19.0,871.0,,,,,,863.0,,,2015
1768,SAN JUAN (LAPOG),REGION I (Ilocos Region),ILOCOS SUR,745.0,121.0,269.0,257.0,2227.0,318.0,69.0,7.0,,6.0,2458.0,,,2015
1781,SAN VICENTE,REGION I (Ilocos Region),ILOCOS SUR,20.0,1.0,9.0,12.0,720.0,315.0,,,,2.0,1892.0,,,2015
1794,SANTA,REGION I (Ilocos Region),ILOCOS SUR,794.0,218.0,317.0,762.0,647.0,14.0,298.0,,,163.0,296.0,,,2015
1807,SANTA CATALINA,REGION I (Ilocos Region),ILOCOS SUR,181.0,72.0,183.0,169.0,227.0,223.0,,,1.0,1.0,1787.0,,,2015
1820,SANTA CRUZ,REGION I (Ilocos Region),ILOCOS SUR,391.0,642.0,964.0,931.0,4172.0,43.0,37.0,2.0,3.0,1.0,1792.0,4.0,,2015
1833,SANTA LUCIA,REGION I (Ilocos Region),ILOCOS SUR,299.0,62.0,2150.0,1490.0,300.0,16.0,112.0,,,131.0,1369.0,1.0,,2015
1846,SANTA MARIA,REGION I (Ilocos Region),ILOCOS SUR,110.0,6.0,258.0,516.0,2545.0,12.0,47.0,1.0,3.0,2.0,3444.0,,,2015
1859,SANTIAGO,REGION I (Ilocos Region),ILOCOS SUR,55.0,69.0,446.0,725.0,1625.0,5.0,41.0,16.0,2.0,136.0,1266.0,1.0,,2015
1872,SANTO DOMINGO,REGION I (Ilocos Region),ILOCOS SUR,172.0,71.0,77.0,13.0,2919.0,6.0,8.0,,,2.0,3508.0,1.0,,2015
1885,SIGAY,REGION I (Ilocos Region),ILOCOS SUR,2.0,,1.0,,,,509.0,,,,3.0,,,2015
1898,SINAIT,REGION I (Ilocos Region),ILOCOS SUR,413.0,80.0,964.0,1009.0,307.0,197.0,167.0,,,,3000.0,1.0,,2015
1911,SUGPON,REGION I (Ilocos Region),ILOCOS SUR,8.0,1.0,1.0,1.0,93.0,,803.0,61.0,,,4.0,,,2015
1924,SUYO,REGION I (Ilocos Region),ILOCOS SUR,190.0,6.0,9.0,8.0,240.0,1.0,1840.0,63.0,1.0,,147.0,,,2015
1937,TAGUDIN,REGION I (Ilocos Region),ILOCOS SUR,301.0,51.0,514.0,849.0,4208.0,154.0,134.0,101.0,6.0,2.0,2324.0,,,2015
1950,CITY OF VIGAN (Capital),REGION I (Ilocos Region),ILOCOS SUR,1716.0,400.0,1402.0,514.0,1885.0,29.0,5.0,,2.0,1165.0,4736.0,6.0,,2015
1963,AGOO,REGION I (Ilocos Region),LA UNION,111.0,791.0,1539.0,2505.0,73.0,491.0,627.0,4.0,13.0,780.0,6906.0,10.0,,2015
1976,ARINGAY,REGION I (Ilocos Region),LA UNION,308.0,144.0,1492.0,2122.0,10.0,154.0,1153.0,180.0,1.0,105.0,5143.0,5.0,,2015
1989,BACNOTAN,REGION I (Ilocos Region),LA UNION,407.0,254.0,1783.0,1565.0,218.0,168.0,444.0,88.0,,1.0,5032.0,3.0,,2015
2002,BAGULIN,REGION I (Ilocos Region),LA UNION,313.0,10.0,3.0,15.0,113.0,2.0,1187.0,1258.0,2.0,,75.0,,,2015
2015,BALAOAN,REGION I (Ilocos Region),LA UNION,863.0,252.0,2156.0,1688.0,42.0,17.0,528.0,3.0,7.0,4.0,3377.0,26.0,,2015
2028,BANGAR,REGION I (Ilocos Region),LA UNION,149.0,6.0,657.0,669.0,4433.0,10.0,33.0,,3.0,,2116.0,2.0,,2015
2041,BAUANG,REGION I (Ilocos Region),LA UNION,1401.0,603.0,1474.0,1656.0,234.0,1129.0,652.0,2.0,1.0,10.0,10086.0,6.0,,2015
2054,BURGOS,REGION I (Ilocos Region),LA UNION,7.0,3.0,1.0,,3.0,13.0,1318.0,106.0,14.0,,284.0,1.0,,2015
2067,CABA,REGION I (Ilocos Region),LA UNION,41.0,23.0,1006.0,1334.0,17.0,86.0,688.0,11.0,,6.0,2014.0,1.0,,2015
2080,LUNA,REGION I (Ilocos Region),LA UNION,189.0,504.0,2060.0,1954.0,56.0,173.0,268.0,1.0,,1.0,3282.0,2.0,,2015
2093,NAGUILIAN,REGION I (Ilocos Region),LA UNION,1473.0,230.0,1702.0,1855.0,404.0,314.0,2057.0,11.0,1.0,3.0,4108.0,3.0,,2015
2106,PUGO,REGION I (Ilocos Region),LA UNION,1519.0,520.0,490.0,648.0,12.0,,133.0,39.0,6.0,1.0,1443.0,,,2015
2119,ROSARIO,REGION I (Ilocos Region),LA UNION,1079.0,820.0,987.0,3078.0,214.0,326.0,1548.0,8.0,17.0,450.0,4641.0,3.0,,2015
2132,CITY OF SAN FERNANDO (Capital),REGION I (Ilocos Region),LA UNION,618.0,136.0,1112.0,1886.0,676.0,691.0,1920.0,97.0,12.0,854.0,20496.0,7.0,,2015
2145,SAN GABRIEL,REGION I (Ilocos Region),LA UNION,110.0,190.0,448.0,469.0,20.0,174.0,1597.0,518.0,3.0,1.0,327.0,50.0,,2015
2158,SAN JUAN,REGION I (Ilocos Region),LA UNION,250.0,182.0,1281.0,1763.0,16.0,111.0,599.0,65.0,,,4446.0,1.0,,2015
2171,SANTO TOMAS,REGION I (Ilocos Region),LA UNION,420.0,779.0,731.0,2630.0,185.0,160.0,215.0,3.0,1.0,479.0,3387.0,6.0,,2015
2184,SANTOL,REGION I (Ilocos Region),LA UNION,319.0,32.0,334.0,330.0,1.0,108.0,1227.0,127.0,6.0,6.0,299.0,,,2015
2197,SUDIPEN,REGION I (Ilocos Region),LA UNION,321.0,379.0,679.0,991.0,46.0,13.0,554.0,122.0,2.0,1.0,701.0,1.0,,2015
