,city_munic,economic_ind,disaster_ind,industry_ind,healthcare_ind,poverty_ind,cluster_id,population,hospital,doctor,nurse,midwife,dentist,nutritioni,pharmacist,occupation,medical_techs,physical_techs,radiology,x-ray_techs
46,Almeria,-0.14667150146369798,0.31900765171222706,-0.30400036211183706,-15.650695190591394,-0.5268522846965951,1,"17,954",0,10,10,8,1,0,0,0,1,0,0,0
47,Aloguinsan,-0.05651503913096429,1.2842487324134433,-0.5018390388836906,-5.7559419581963684,-0.1942820321318517,1,"32,100",0,10,80,9,0,0,0,0,1,0,0,0
48,Aloran,-0.30126892432593516,-0.44543216116047507,-0.44276884362220514,-14.686752888594857,0.319298770496116,1,"27,934",0,10,50,1,0,0,0,0,0,0,0,0
49,Altavas,0.9388439054124305,-0.049083126289042385,0.3811309001436598,-14.68839992715984,-0.024435610606361822,2,"25,639",0,70,100,5,1,1,2,0,2,0,1,0
50,Alubijid,-0.8673027049135625,-0.31002207548894023,-0.22195515706770114,-4.733726971563337,-0.02555567749468549,1,"35,973",0,0,0,0,0,0,0,0,0,0,0,0
51,Amadeo,-0.8405623385569062,-0.2729007387796547,-0.4111603542679661,5.195107226874936,0.0373537724075778,1,"41,901",0,0,0,0,0,0,0,0,0,0,0,0
52,Amai Manabilang,-0.6871179690413172,-0.4096035348830574,0.180512661655079,-19.62886542734769,-0.15414491306800981,1,"12,124",0,0,0,0,0,0,0,0,0,0,0,0
53,Ambaguio,-0.6541039374316181,-0.3035747980428542,0.09066486763045087,-13.659532208336284,0.5284732546474662,1,"15,250",0,10,10,8,0,0,0,0,0,0,0,0
54,Amlan,1.1001455656546189,-0.47407154358342596,-0.46031747816956436,-13.658106765351084,-0.24551864051211061,1,"23,624",0,0,30,9,0,0,0,0,0,0,0,0
55,Ampatuan,-0.7553474201558896,-0.4361193634707123,-0.09535042133168459,-17.58043130334092,0.568705560525803,1,"28,941",0,0,20,4,0,0,0,0,0,0,0,0
56,Amulung,1.7344812803199812,1.0350902044220303,-0.44748696263163096,27.13783936180462,0.17518228252505463,2,"47,860",0,10,10,0,0,0,1,0,0,0,0,0
57,Anahawan,1.8174223045298383,0.9974436988948611,1.054632678034913,-17.6605007348205,-0.13335019245476046,2,"8,429",1,70,230,15,1,0,1,0,3,0,0,1
58,Anao,-0.13265672494116648,-0.24613220804333444,-0.49793004044559497,-14.71253791026584,-0.026496055339444734,1,"12,208",0,10,10,6,1,0,0,0,0,0,0,0
59,Anda (BL),1.6320261599976065,-0.2683215247381445,-0.4148584521469397,12.335884087397908,-0.16608713333217764,2,"16,462",0,0,0,0,0,0,0,0,0,0,0,0
60,Anda (PS),1.5890089106051912,-0.4187328656187623,-0.10658687808908386,12.336957194671424,0.09986502356712647,2,"39,504",0,0,0,0,0,0,0,0,0,0,0,0
61,Angadanan,-0.8113358408206222,-0.3287627531903614,-0.1741510705782296,-14.646611214829528,0.16960114744305105,1,"56,665",0,10,170,12,1,1,0,0,1,0,0,0
62,Angat,-0.06239961833042771,-0.18225291291302073,1.4514005895601336,-7.626366993730254,-0.4012594735644151,2,"65,617",0,20,20,16,1,0,0,0,1,0,0,0
63,Angeles,-0.569232297289376,-0.845593490240915,-0.4896297885755751,7.653769264871154,0.005383772892954723,1,"462,928",16,2160,5610,87,7,14,32,0,115,8,20,9
64,Angono,-1.0570066984506574,-0.36621015662060546,-1.095013829485197,-11.483564233257239,0.06520095401531506,1,"113,283",3,420,750,22,3,0,2,0,12,0,1,2
65,Anilao,-0.7967681040646106,-0.3196819998444077,-0.3669655773997583,-15.707601528813422,-0.5068269888840139,1,"30,520",0,0,0,0,0,0,0,0,0,0,0,0
66,Anini-Y,1.0599848410221462,0.03849674386377024,0.24487896385948826,-16.705541131105537,-0.5038692412362857,2,"22,018",0,10,10,5,0,0,0,0,1,0,0,0
67,Antequera,-0.7678230050384541,-0.41470151925732385,-0.6169895105984599,-15.64825117870047,-0.45345379693235943,1,"14,425",0,0,0,0,0,0,0,0,0,0,0,0
68,Antipas,-0.7751312688315929,-0.5236065400684792,-0.8471245808911102,-8.675944923819388,-0.028933163418824636,1,"25,304",1,100,230,11,1,1,8,0,3,0,1,1
69,Antipolo,-1.1571035844239896,-1.2489959481313908,-1.067275396923334,-2.3661961202243678,-0.08477556627401076,1,"887,399",11,910,940,6,5,3,9,0,10,0,2,0
70,Apalit,-0.6961828542524469,-0.3525104780544557,-0.7785677287801669,-7.17579823949579,-0.35664717729654694,1,"117,160",4,300,340,18,1,2,4,0,5,0,2,3
71,Aparri,-0.8197862024296293,-0.3146436737068708,-0.4079198020520993,4.444594078614063,0.2718170472160809,1,"65,649",3,720,690,27,3,2,7,0,13,0,4,0
72,Araceli,1.4426874510274,0.9758636465462186,1.8409754942726058,-8.743246899074917,-0.15380225423046245,2,"14,909",0,10,20,4,0,0,0,0,0,0,0,0
73,Arakan,-0.757530001299669,-0.06130610583066303,-0.6891527376944478,6.184443558111216,-0.03612883272810915,1,"48,228",0,60,120,21,0,1,4,0,2,0,0,1
74,Arayat,-0.7149934732926427,-0.3199576889477505,-0.4585437334742576,7.9963072435666955,-0.359236645392902,1,"144,875",5,190,400,31,1,1,4,0,6,0,2,0
75,Argao,-0.8600694252100325,-0.4629651416271158,-0.8371163356886002,19.228587081754632,0.044828397569634276,1,"78,187",2,60,240,23,2,1,1,0,4,0,1,0
76,Aringay,-0.7304501007531768,-0.47672294436852136,-0.4622070080584318,2.2631834450821464,-0.1505199105677805,1,"50,380",0,10,30,8,0,0,0,0,0,0,0,0
77,Aritao,-0.7847275879435585,-0.33977683681765836,-0.7256155710534301,1.3066925281152022,0.325240617837856,1,"37,225",0,10,80,16,1,0,1,0,1,0,0,0
78,Aroroy,1.0938343253887806,-0.16997293650943068,-0.7969800250181667,11.185676331380087,0.09427858469735786,1,"86,168",0,30,40,0,1,0,1,0,2,0,0,0
79,Arteche,1.7122046240559936,-0.1744454676969113,0.4680148415373306,-16.561475390996844,-0.42579194425802963,2,"16,026",0,30,50,0,1,1,1,0,1,0,0,1
80,Asingan,-0.8004530490539972,-0.4268977191869921,-0.4941066397824102,-3.5459981781362644,0.0982710321410893,1,"57,355",1,40,130,1,5,0,14,0,2,1,0,0
81,Asipulo,-0.6558803161524905,-0.385733202385348,0.12515533106522847,-5.756845402628541,0.2700860079149455,1,"15,261",0,10,10,14,0,0,0,0,1,0,0,0
82,Asturias,1.6245767313060229,-0.4144319755132414,-0.5793342023450755,6.2105691119903055,-0.19285789667021527,1,"47,857",0,10,90,14,0,0,0,0,0,0,0,0
83,Asuncion,-0.768977604102227,-0.1701563309279178,0.5651847534038648,-0.6657632085859686,0.26894052871213936,1,"61,893",0,0,0,0,0,0,0,0,0,0,0,0
84,Atimonan,-0.8035633799373123,-0.08066012809742253,-0.597216586633683,-11.647605796500097,0.41376040419453164,1,"70,698",2,160,470,5,2,3,2,0,4,0,1,0
85,Atok,1.7691533068502263,0.9172980338923291,0.2088391793386488,-12.68581812561154,-0.5286625611747744,2,"19,668",1,60,130,10,1,1,2,0,5,0,1,0
86,Aurora (IA),-0.7936855938573667,-0.31185571479601726,-0.7194218413232143,7.606504390254611,0.17580456317003282,1,"36,621",0,0,0,0,0,0,0,0,0,0,0,0
87,Aurora (ZR),1.1300690696269684,0.45278316994331835,1.1722592141435262,7.605548982144887,-0.20669098183854018,2,"52,995",0,80,340,13,0,2,5,1,1,0,0,0
88,Ayungon,1.1084759272715332,0.3236846107816499,-0.39747582606799753,3.1996065615616867,-0.05494017050907712,2,"46,303",0,0,10,0,0,0,0,0,0,0,0,0
89,Baao,-0.7113421863619225,-0.12561826487624117,-0.1066027213004565,-11.468587876084944,0.22288767463065629,1,"61,493",1,100,230,18,2,2,1,0,2,0,0,2
90,Babatngon,-0.24530052903876104,-0.11661524808373346,0.3686843491332954,-14.595221280333618,-0.02701876364009318,1,"27,797",0,0,10,5,1,0,0,0,0,0,0,0
91,Bacacay,-0.5351941152943163,-0.37079050341464476,-0.9649564179506914,-9.568349737516343,0.8266345819779842,1,"68,906",0,70,110,17,1,1,0,0,3,0,1,0
92,Bacarra,-0.8389151286905131,-0.38281209972881947,-0.6818655858150827,-15.609009663622233,0.22767075600234726,1,"32,215",1,80,230,16,6,0,8,0,2,0,0,1
93,Baclayon,0.4845789080107565,0.8636512223994187,-0.5103092787832485,-15.64763022118583,-0.4553959992555662,1,"20,591",0,10,10,5,0,0,0,0,0,0,0,0
94,Bacnotan,-0.8628298730910658,-0.5696255632896036,-0.4000936141614582,-11.687053431423827,-0.14487641017662728,1,"43,591",1,80,230,12,1,1,4,0,2,0,2,0
95,Baco,-0.8613062717300973,-0.2502921583155959,-0.5887201009435207,6.184361095760453,-0.3318892927056999,1,"37,215",0,0,10,6,1,0,3,0,1,0,0,0
96,Bacolod (LN),-0.7719546614922335,-0.3465271099728507,-0.6609899504173741,-4.663888196932177,0.06851092464411745,1,"23,034",1,50,170,0,0,0,1,0,1,0,1,1
97,Bacolod (NO),-0.7957631856253482,-1.1676925119554953,-0.8699481831058845,9.571661259443385,0.822084341159817,1,"613,996",6,1420,3180,23,7,6,21,4,66,2,8,0
98,Bacolod-Kalawi,0.8937618475088529,-0.4669312221885917,-0.2930049848044538,-15.650500823786096,-0.15449902702591617,1,"23,129",0,0,0,0,0,0,0,0,0,0,0,0
99,Bacolor,-0.8281566028506496,-0.4088867430804814,-0.32490413314431577,-13.61095384430856,-0.37924535748971894,1,"48,066",1,50,320,3,0,1,5,0,2,0,4,0
100,Bacong,1.6901003893000144,1.6568779903184063,-0.38503290018942465,0.21202119695000485,-0.24657340803425581,2,"36,527",0,10,130,7,0,0,0,0,1,0,0,0
101,Bacoor,-1.0302918537075025,-1.1559875997425504,-0.8647679455367574,34.533685367640125,0.10157379879132387,0,"664,625",9,700,1010,6,0,5,11,0,13,1,2,2
102,Bacuag,-0.21020493102437202,-0.0655578131482911,-0.24290469413566645,-16.704109828004967,0.03780140679956499,1,"14,486",0,10,10,5,0,0,0,0,0,0,0,0
103,Bacungan Leon B. Postigo,1.2530280123394442,-0.41673466091372796,0.46047784931389013,-2.654482694061487,-0.3510236668092917,2,"27,639",0,0,0,0,0,0,0,0,0,0,0,0
104,Badian,-0.7218460732794484,-0.24900358551863758,-0.40518296698465095,-10.645525699709687,-0.19117945937649888,1,"37,912",0,50,270,1,1,1,1,0,0,0,0,0
105,Badiangan,-0.7603800818816847,0.5809580606800631,-0.3816914816328862,-11.727177527999132,-0.5073909745073323,1,"27,056",0,0,0,0,0,0,0,0,0,0,0,0
106,Badoc,-0.790403320696008,-0.39110743302767337,-0.4295928650533212,-13.71591063450946,0.2242061509783192,1,"32,530",0,10,60,8,1,0,8,0,1,0,0,0
107,Bagabag,-0.6980648689639137,-0.28534278894826987,-0.0519469979408841,-7.741347442329038,0.32210165038755506,1,"35,501",0,10,10,5,0,0,0,0,0,0,0,0
108,Bagac,-0.7104376257293901,-0.4384463490251352,-0.22755940708746522,-6.7248500362896895,0.11947122915182556,1,"33,710",0,60,180,18,1,0,1,0,3,0,1,0
109,Bagamanoc,1.884648766503856,-0.14685795267985519,0.11900924890104304,-14.655435497850084,-0.029644315130118556,2,"11,551",0,10,90,11,1,0,0,0,1,0,0,0
110,Baganga,-0.7757621243498963,-0.4809072260518297,-0.77460280262363,-2.7449978146622693,-0.1217080493812283,1,"56,241",0,0,10,16,0,0,0,0,1,0,0,0
111,Baggao,-0.7487642100736374,-0.32576477546068283,0.2767819669815709,-3.6813388005854035,0.26538400238317267,1,"82,782",0,70,220,17,1,0,4,0,6,0,1,0
112,Bago,-0.7221227000400227,-1.0325357330695655,-0.183443078303145,16.17540969231097,0.43407366512346957,1,"191,210",1,160,600,51,2,1,1,0,9,0,2,0
113,Baguio,-0.6541039374316181,-0.3035747980428542,0.09066486763045087,-19.40522302139993,0.5284732546474662,1,"345,366",7,5950,8610,76,28,16,57,4,145,26,41,0
114,Bagulin,-0.7076587509075406,-0.47722996459616174,0.4624069872243806,-11.669758040198865,-0.14759726813222437,1,"13,456",0,10,20,9,1,0,0,0,1,0,0,0
115,Bagumbayan,-0.18045816930989042,-0.3046895051262116,-0.5406603537030871,-1.71641843670855,-0.34054786830261546,1,"67,061",0,10,30,19,1,0,0,0,2,0,0,0
116,Bais,-0.5096036391645321,-1.0235805179420372,-0.6744476232877429,13.17647384535306,-0.21075554608010325,1,"76,291",0,100,300,22,2,1,3,0,7,1,0,0
117,Bakun,0.6844223669136147,0.9970827251668615,0.20187565051798065,-13.718504812125431,-0.5289709716808126,2,"15,357",0,10,20,7,0,0,0,0,0,1,0,0
118,Balabac,1.253181409202049,1.2796748134737856,2.2745971538619125,-11.72914917514191,-0.15416052751292583,2,"40,142",0,0,10,5,0,0,0,0,0,0,0,0
119,Balabagan,-0.8910322936560592,-0.501988949342315,-0.31453303356421225,-17.638605242518,-0.1531755393136276,1,"29,863",0,0,0,0,0,0,0,0,0,0,0,0
120,Balagtas,-0.813242501288131,-0.38341107081976106,-0.7809029737253435,-12.435966243351748,-0.39670416497934813,1,"77,018",2,130,160,18,1,2,0,0,4,0,0,0
121,Balamban,-0.8210603445078843,-0.39405943603320126,-0.7504214052658159,7.434027883132863,0.04219025574178687,1,"95,136",2,160,400,4,1,1,4,0,4,0,2,1
122,Balanga,-0.8541113248993357,-1.0366300026132773,-0.8154118381377022,4.697257048774079,0.25805714216162196,1,"104,173",5,1300,2150,49,5,6,11,0,45,0,5,1
123,Balangiga,1.7022848379433175,1.394926916808769,0.3793156008581896,-16.61883559780053,-0.4252394792898765,2,"12,756",0,70,40,9,2,1,1,0,4,0,0,0
124,Balangkayan,1.7125622048486835,0.32644557914897393,0.12900939618570584,-17.69952333309425,0.20089783272230413,2,"10,125",0,10,30,4,1,0,0,0,0,0,0,0
125,Balaoan,-0.7516447391909323,-0.4661164804812286,-0.607654615891489,-10.633832458782761,-0.15053588780873586,1,"41,614",1,70,150,17,1,1,2,0,2,0,2,0
126,Balasan,-0.8769840411304214,-0.19148199153646778,-0.5886268029471227,-14.671204975051507,-0.5014551226710668,1,"35,064",1,50,90,0,1,1,1,0,1,0,0,0
127,Balatan,1.0527769521581298,0.7309708268707923,-0.005654237239641563,-16.52737885251816,0.22117070565318078,2,"30,922",0,30,40,7,1,0,0,0,1,0,0,0
128,Balayan,1.6640832713083835,-0.26720737924215004,-0.28653761894637075,1.4223142449741124,0.17107350300626167,2,"90,699",4,580,600,3,3,2,7,0,7,0,3,5
129,Balbalan,-0.3492626969053704,0.6960732584739117,-0.13996382190435802,-6.725707930202207,-0.029421422463330585,1,"12,195",0,20,90,13,1,2,1,0,2,0,0,0
130,Baleno,0.6416208080093176,1.2952202113423081,2.1912750384453425,3.253364471116697,0.035383138951954926,2,"26,096",0,0,0,0,0,0,0,0,0,0,0,0
131,Baler,-1.1650245386306122,-0.49074092659276225,-0.5368942758126163,-12.641227438228873,0.10727754208201638,1,"43,785",2,20,20,16,2,0,0,0,1,0,0,0
132,Balete (AK),-0.6708809316963861,0.2919179054571173,0.33726822483260666,-3.5872003018629623,-0.026122734054442674,1,"30,090",0,10,80,10,0,0,0,0,1,0,0,0
133,Balete (BS),0.9120414604432211,0.11334310918341202,-0.2202240735529114,-3.5894876214754436,0.08454610549519902,1,"22,661",0,0,0,0,0,0,0,0,0,0,0,0
134,Baliangao,1.8012569739652833,-0.2579506145538914,0.3126808985430235,-16.70440639633452,0.4529941527127466,2,"17,092",0,0,10,5,0,0,0,0,0,0,0,0
135,Baliguian,1.8402501962156326,0.9987081908578684,0.9518903687870912,-12.725554601107739,-0.3514148987215166,2,"23,771",0,0,20,8,0,0,0,0,1,0,0,0
136,Balilihan,-0.212475811303612,-0.20618249586331427,-0.7056975613714834,-15.646797474787197,-0.45543853111418076,1,"17,903",0,10,0,0,0,0,0,0,0,0,0,0
137,Balindong,0.6641697478215857,-0.4827412042738262,0.9898453601131542,-14.616475622525176,-0.1543104763055328,2,"32,573",0,80,110,13,1,0,2,0,1,0,0,0
138,Balingasag,-0.6829607927325992,-0.22125940772865565,-0.8442409739700572,9.235531943696225,0.3179661549854226,1,"67,059",1,110,500,19,2,1,2,0,4,0,1,0
139,Balingoan,-0.7807623964354585,-0.16655452296819953,-0.25237537006147154,-19.686495550775188,0.1317703806229386,1,"11,051",0,10,0,2,0,0,0,0,0,0,0,0
140,Baliwag,-1.0853388874284629,-0.3968311056579108,-1.1505739622181015,4.0770960747483205,-0.3729268647006645,1,"168,470",7,930,2020,30,2,3,9,0,32,1,8,0
141,Ballesteros,-0.6837239654945477,0.017967374035817787,0.558549827324815,-14.645243435099484,0.17872806825240736,1,"34,299",1,30,120,6,1,1,3,0,3,0,4,0
142,Baloi,-0.7904454683060884,0.08143915844848677,0.5184076300349783,-12.63592616187903,0.06891504173510057,1,"58,383",0,20,70,2,0,0,2,0,2,0,0,0
143,Balud,2.1166292454386704,0.6795541232087463,0.49418478484587797,-12.69367137569843,0.03494789587307423,2,"38,124",0,0,0,0,0,0,0,0,0,0,0,0
144,Balungao,-0.32568691567749886,-0.41276606087110834,-0.2681225973249377,-0.6962139613148638,0.09829775761578627,1,"30,006",0,20,60,8,1,0,1,0,1,0,0,0
145,Bamban,-0.04885144132201346,0.016931251502992455,-0.7080502309640263,-11.331431373370082,0.4799161326434779,1,"78,260",1,120,170,14,1,1,3,0,3,0,0,1
146,Bambang,0.49429497172168896,0.04117810481948912,-0.17172220799284355,3.287618080233606,0.3284966924805702,1,"53,433",2,270,1640,22,2,1,6,0,17,0,7,0
147,Banate,-0.3304743661411166,-0.7945966325293855,-0.5085006532371256,-13.715251906688042,-0.5013818487025581,1,"33,376",0,10,110,10,1,0,0,0,1,0,0,0
148,Banaue,-0.6642956905880512,-0.18418937593280532,0.08132135933207657,-1.7501975724445569,0.269405256900878,1,"21,837",0,30,100,15,1,0,0,0,2,0,0,0
149,Banaybanay,0.5048598988233896,-0.2676148444158814,-0.05891876066619168,-6.694230894900271,-0.12179678793199084,1,"44,451",0,0,0,0,0,0,0,0,0,0,0,0
150,Banayoyo,-0.6440784083911482,-0.36888501042974614,0.6788770621851618,-17.69856821317746,-0.15390570611160778,1,"7,748",0,10,10,3,0,0,1,0,1,0,0,0
151,Banga (AK),-0.19780467021320455,0.3671495538710353,-0.22498401328583262,11.393638817419268,-0.022771551927078047,1,"40,318",0,20,160,12,1,0,0,0,1,0,0,0
152,Banga (SC),-0.7886145776091417,-0.42546302826916854,-0.9173499147794928,11.394381890658186,0.5484204600428847,1,"83,989",0,30,10,2,0,0,6,0,0,0,0,0
153,Bangar,-0.8987276514974443,-0.4421460496026356,0.42304947924401193,-11.66713276628925,-0.42161779349255757,1,"38,041",0,30,130,10,1,0,0,0,5,0,1,0
154,Bangued,-0.7741755328693959,-0.12771446490518465,-0.4332721653856335,-15.527165136949794,-0.4309574604490051,1,"48,163",4,410,1830,24,5,2,6,0,6,0,3,0
155,Bangui,-0.811049025108171,-0.4625090755494104,-0.6450638172510446,-15.550372994741675,0.2253895018514062,1,"14,672",1,100,200,11,4,1,5,0,4,1,0,0
156,Bani,-0.2627796470666884,-0.41465031393863805,-0.24708607481461584,-9.587888109216724,0.09804008063170355,1,"52,603",0,50,60,11,4,0,2,0,1,0,0,0
157,Banisilan,-0.15457652442726943,-0.34610814781672705,-0.5102295876701539,-0.7797855230703018,-0.03573668795022047,1,"43,677",0,0,0,0,0,0,1,0,0,0,0,0
158,Banna,-0.771461212809217,-0.31204362411140335,-0.3231496207986363,-16.6433310026214,0.22297199633925957,1,"19,438",0,10,30,8,1,0,3,0,2,0,0,0
