PSGC,Region/ Province,Municipality/City,Poverty Incidence,Standard Error,Coefficient of Variation,90% confidence interval min,90% confidence interval max
144408,Mountain Province,Sadanga,21.7,2.9,13.2,17.0,26.4
144409,Mountain Province,Sagada,12.6,1.9,15.4,9.4,15.8
144410,Mountain Province,Tadian,18.1,1.9,10.5,15.0,21.2
148101,Apayao,Calanasan (Bayag),29.8,3.3,11.0,24.4,35.2
148102,Apayao,Conner,23.7,2.0,8.5,20.3,27.0
148103,Apayao,Flora,17.8,2.3,13.1,14.0,21.6
148104,Apayao,Kabugao,35.3,3.7,10.4,29.3,41.4
148105,Apayao,Luna,13.9,1.8,12.8,11.0,16.8
148106,Apayao,Pudtol,21.0,2.0,9.7,17.7,24.4
148107,Apayao,Santa Marcela,12.2,2.0,16.4,8.9,15.5
12801,Ilocos Norte,Adams,5.6,4.5,80.3,-1.8,13.0
12802,Ilocos Norte,Bacarra,3.4,0.7,19.0,2.4,4.5
12803,Ilocos Norte,Badoc,5.7,1.1,18.5,3.9,7.4
12804,Ilocos Norte,Bangui,4.7,1.2,25.5,2.8,6.7
12805,Ilocos Norte,Batac City,4.1,0.8,18.1,2.9,5.4
12806,Ilocos Norte,Burgos,4.4,1.3,29.4,2.2,6.5
12807,Ilocos Norte,Carasi,6.7,3.9,58.0,0.3,13.1
12808,Ilocos Norte,Currimao,4.3,1.0,24.2,2.6,6.0
12809,Ilocos Norte,Dingras,6.0,1.1,17.9,4.3,7.8
12810,Ilocos Norte,Dumalneg,7.2,4.3,60.3,0.1,14.3
12811,Ilocos Norte,Banna,6.1,1.2,19.9,4.1,8.1
12812,Ilocos Norte,Laoag City,2.4,0.5,19.5,1.6,3.1
12813,Ilocos Norte,Marcos,5.0,1.3,26.0,2.9,7.1
12814,Ilocos Norte,Nueva Era,6.1,1.8,30.2,3.1,9.1
12815,Ilocos Norte,Pagudpud,5.7,1.3,23.6,3.5,7.9
12816,Ilocos Norte,Paoay,4.5,1.0,22.0,2.9,6.1
12817,Ilocos Norte,Pasuquin,5.5,1.1,20.9,3.6,7.3
12818,Ilocos Norte,Piddig,5.6,1.2,21.7,3.6,7.6
12819,Ilocos Norte,Pinili,6.0,1.3,20.8,4.0,8.1
12820,Ilocos Norte,San Nicolas,2.9,1.0,32.7,1.4,4.5
12821,Ilocos Norte,Sarrat,4.7,1.1,23.0,2.9,6.4
12822,Ilocos Norte,Solsona,6.2,1.6,25.2,3.6,8.8
12823,Ilocos Norte,Vintar,4.2,0.9,21.3,2.7,5.6
12901,Ilocos Sur,Alilem,8.7,2.2,24.7,5.2,12.2
12902,Ilocos Sur,Banayoyo,6.1,1.8,30.4,3.0,9.1
12903,Ilocos Sur,Bantay,3.2,0.8,25.5,1.9,4.5
12904,Ilocos Sur,Burgos,6.5,1.4,21.1,4.2,8.7
12905,Ilocos Sur,Cabugao,6.6,1.1,17.1,4.8,8.5
12906,Ilocos Sur,Candon City,5.6,0.9,16.6,4.1,7.1
12907,Ilocos Sur,Caoayan,4.1,1.1,27.7,2.2,5.9
12908,Ilocos Sur,Cervantes,11.2,2.4,21.8,7.2,15.2
12909,Ilocos Sur,Galimuyod,6.9,1.5,21.4,4.5,9.3
12910,Ilocos Sur,Gregorio del Pilar,9.7,2.4,24.6,5.8,13.7
12911,Ilocos Sur,Lidlidda,6.8,2.0,29.7,3.5,10.1
12912,Ilocos Sur,Magsingal,4.4,1.1,24.0,2.7,6.2
12913,Ilocos Sur,Nagbukel,6.5,1.7,26.7,3.7,9.4
12914,Ilocos Sur,Narvacan,6.2,1.1,17.2,4.5,8.0
12915,Ilocos Sur,Quirino,11.0,2.4,21.8,7.0,14.9
12916,Ilocos Sur,Salcedo,7.4,1.5,20.0,5.0,9.8
12917,Ilocos Sur,San Emilio,10.8,2.8,26.1,6.2,15.4
12918,Ilocos Sur,San Esteban,4.8,1.6,33.7,2.2,7.5
12919,Ilocos Sur,San Ildefonso,3.8,1.0,26.6,2.2,5.5
12920,Ilocos Sur,San Juan,4.9,0.7,14.0,3.7,6.0
12921,Ilocos Sur,San Vicente,3.3,1.3,39.9,1.1,5.5
12922,Ilocos Sur,Santa,4.8,1.3,27.4,2.6,6.9
12923,Ilocos Sur,Santa Catalina,5.9,1.9,32.5,2.7,9.0
12924,Ilocos Sur,Santa Cruz,6.9,1.0,14.1,5.3,8.6
12925,Ilocos Sur,Santa Lucia,6.3,1.0,16.2,4.6,8.0
12926,Ilocos Sur,Santa Maria,4.7,0.9,18.0,3.3,6.1
12927,Ilocos Sur,Santiago,5.7,1.3,22.6,3.6,7.8
12928,Ilocos Sur,Santo Domingo,4.3,0.8,19.5,2.9,5.7
12929,Ilocos Sur,Sigay,9.5,3.0,31.3,4.6,14.3
12930,Ilocos Sur,Sinait,5.6,1.1,19.3,3.9,7.4
12931,Ilocos Sur,Sugpon,10.1,2.9,29.1,5.3,14.9
12932,Ilocos Sur,Suyo,7.9,2.3,29.3,4.1,11.7
12933,Ilocos Sur,Tagudin,6.4,1.0,15.9,4.7,8.1
12934,Ilocos Sur,Vigan City,2.4,0.6,23.6,1.5,3.4
13301,La Union,Agoo,3.3,0.6,18.4,2.3,4.3
13302,La Union,Aringay,4.4,1.0,21.9,2.8,6.0
13303,La Union,Bacnotan,1.5,0.5,30.8,0.7,2.2
13304,La Union,Bagulin,5.5,1.9,34.7,2.4,8.6
13305,La Union,Balaoan,3.2,0.7,20.9,2.1,4.3
13306,La Union,Bangar,3.8,0.9,24.5,2.3,5.4
13307,La Union,Bauang,3.1,0.7,21.9,2.0,4.2
13308,La Union,Burgos,4.0,1.6,39.0,1.5,6.6
13309,La Union,Caba,3.1,1.1,33.8,1.4,4.8
13310,La Union,Luna,3.3,0.6,18.8,2.3,4.3
13311,La Union,Naguilian,2.8,0.6,19.9,1.9,3.7
13312,La Union,Pugo,3.2,1.0,31.0,1.6,4.8
13313,La Union,Rosario,3.6,0.7,20.3,2.4,4.7
13314,La Union,San Fernando City,1.3,0.4,29.9,0.6,1.9
13315,La Union,San Gabriel,5.8,1.5,25.4,3.4,8.2
13316,La Union,San Juan,1.8,0.5,29.7,0.9,2.7
13317,La Union,Santo Tomas,3.4,0.8,24.3,2.0,4.7
13318,La Union,Santol,5.3,1.4,26.9,3.0,7.7
13319,La Union,Sudipen,4.0,1.0,26.1,2.3,5.6
13320,La Union,Tubao,3.7,1.0,26.8,2.1,5.3
15501,La Union,Agno,11.7,2.3,19.9,7.9,15.5
15502,La Union,Aguilar,16.2,2.2,13.8,12.5,19.9
15503,La Union,Alaminos City,7.8,1.3,16.4,5.7,9.8
15504,La Union,Alcala,12.2,1.9,15.2,9.2,15.3
15505,La Union,Anda,12.4,1.9,15.6,9.2,15.6
15506,La Union,Asingan,10.4,1.6,15.6,7.8,13.1
15507,La Union,Balungao,9.5,1.6,16.4,6.9,12.1
15508,La Union,Bani,10.6,1.5,14.6,8.1,13.1
15509,La Union,Basista,14.5,2.4,16.4,10.6,18.4
15510,La Union,Bautista,14.8,2.3,15.6,11.0,18.6
15511,La Union,Bayambang,14.7,1.3,8.5,12.6,16.7
15512,La Union,Binalonan,6.9,1.4,19.7,4.7,9.2
15513,La Union,Binmaley,6.6,1.2,18.3,4.6,8.5
15514,La Union,Bolinao,16.3,2.0,12.5,12.9,19.6
15515,La Union,Bugallon,15.3,2.0,13.2,12.0,18.6
15516,La Union,Burgos,12.3,2.0,16.7,8.9,15.6
15517,La Union,Calasiao,7.8,1.4,17.3,5.6,10.0
15518,La Union,Dagupan City,9.2,1.7,18.3,6.4,12.0
15519,La Union,Dasol,13.1,1.9,14.6,10.0,16.3
15520,La Union,Infanta,12.8,2.3,17.8,9.0,16.5
15521,La Union,Labrador,10.5,2.5,24.1,6.3,14.6
15522,La Union,Lingayen,8.6,1.4,15.7,6.4,10.8
15523,La Union,Mabini,12.5,2.3,18.2,8.7,16.2
15524,La Union,Malasiqui,13.3,1.1,8.6,11.4,15.2
15525,La Union,Manaoag,9.4,1.6,17.5,6.7,12.1
15526,La Union,Mangaldan,9.0,1.4,15.5,6.7,11.3
15527,La Union,Mangatarem,14.6,1.3,8.9,12.5,16.8
15528,La Union,Mapandan,12.2,2.1,17.4,8.7,15.7
15529,La Union,Natividad,11.4,1.8,15.9,8.5,14.4
15530,La Union,Pozorrubio,7.7,1.4,17.5,5.5,9.9
15531,La Union,Rosales,11.8,1.5,12.3,9.5,14.2
15532,La Union,San Carlos City,12.7,1.1,9.0,10.9,14.6
15533,La Union,San Fabian,11.5,1.4,12.2,9.2,13.8
15534,La Union,San Jacinto,13.3,1.8,13.5,10.4,16.3
15535,La Union,San Manuel,8.8,2.2,24.7,5.2,12.3
15536,La Union,San Nicolas,12.9,1.7,13.5,10.0,15.7
15537,La Union,San Quintin,11.7,1.9,16.3,8.6,14.8
15538,La Union,Santa Barbara,10.0,1.6,16.3,7.3,12.7
15539,La Union,Santa Maria,11.1,1.7,15.3,8.3,13.9
15540,La Union,Santo Tomas,10.7,2.7,24.8,6.3,15.1
15541,La Union,Sison,12.3,1.6,12.7,9.8,14.9
15542,La Union,Sual,10.1,2.0,20.0,6.8,13.4
15543,La Union,Tayug,8.1,1.5,18.2,5.7,10.5
15544,La Union,Umingan,12.8,1.2,9.6,10.8,14.8
15545,La Union,Urbiztondo,18.4,2.6,13.9,14.2,22.6
15546,La Union,Urdaneta City,8.4,1.5,17.3,6.0,10.8
15547,La Union,Villasis,11.8,2.0,16.9,8.5,15.0
15548,La Union,Laoac,11.2,1.6,14.3,8.5,13.8
20901,Batanes,Basco,7.0,1.9,27.3,3.9,10.2
20902,Batanes,Itbayat,30.9,4.6,15.0,23.3,38.5
20903,Batanes,Ivana,7.0,3.0,43.0,2.1,12.0
20904,Batanes,Mahatao,17.8,4.5,25.1,10.5,25.2
20905,Batanes,Sabtang,21.7,3.8,17.3,15.5,27.9
20906,Batanes,Uyugan,13.2,3.9,29.4,6.8,19.6
21501,Cagayan,Abulug,14.8,2.1,14.4,11.3,18.3
21502,Cagayan,Alcala,14.7,1.9,12.6,11.6,17.7
21503,Cagayan,Allacapan,11.5,1.6,14.0,8.8,14.1
21504,Cagayan,Amulung,15.5,1.8,11.5,12.5,18.4
21505,Cagayan,Aparri,13.3,1.7,12.8,10.5,16.1
21506,Cagayan,Baggao,13.5,1.7,12.5,10.7,16.2
21507,Cagayan,Ballesteros,13.0,2.2,16.9,9.4,16.7
21508,Cagayan,Buguey,15.3,2.0,12.8,12.1,18.5
21509,Cagayan,Calayan,42.2,4.6,10.8,34.7,49.7
21510,Cagayan,Camalaniugan,13.5,1.9,13.9,10.4,16.6
21511,Cagayan,Claveria,11.1,1.6,14.4,8.5,13.8
21512,Cagayan,Enrile,10.2,1.7,16.7,7.4,13.0
21513,Cagayan,Gattaran,16.7,1.8,10.6,13.8,19.6
21514,Cagayan,Gonzaga,12.2,1.6,13.5,9.5,14.9
21515,Cagayan,Iguig,11.1,1.8,15.7,8.2,14.0
21516,Cagayan,Lal-lo,13.5,1.5,11.4,11.0,16.0
21517,Cagayan,Lasam,14.3,1.8,12.3,11.4,17.2
21518,Cagayan,Pamplona,16.4,2.3,14.2,12.6,20.2
21519,Cagayan,Peñablanca,27.7,3.7,13.2,21.7,33.7
21520,Cagayan,Piat,12.9,2.3,17.8,9.1,16.6
21521,Cagayan,Rizal,32.2,3.6,11.1,26.3,38.0
21522,Cagayan,Sanchez-Mira,8.3,1.6,19.0,5.7,10.9
21523,Cagayan,Santa Ana,13.9,2.4,16.9,10.0,17.7
21524,Cagayan,Santa Praxedes,12.2,3.0,24.1,7.4,17.1
21525,Cagayan,Santa Teresita,11.8,2.1,18.0,8.3,15.3
21526,Cagayan,Santo Niño,16.7,2.2,12.9,13.2,20.3
21527,Cagayan,Solana,10.7,1.6,14.7,8.1,13.3
21528,Cagayan,Tuao,11.8,1.5,12.7,9.3,14.2
21529,Cagayan,Tuguegarao City,4.2,0.7,17.2,3.0,5.4
23101,Isabela,Alicia,12.6,1.5,11.7,10.2,15.0
23102,Isabela,Angadanan,14.3,1.3,9.4,12.1,16.5
23103,Isabela,Aurora,11.2,1.5,13.4,8.8,13.7
23104,Isabela,Benito Soliven,19.7,2.3,11.9,15.9,23.6
23105,Isabela,Burgos,18.2,3.2,17.4,13.0,23.5
23106,Isabela,Cabagan,14.7,1.5,10.2,12.2,17.2
23107,Isabela,Cabatuan,11.0,1.6,14.8,8.3,13.7
23108,Isabela,Cauayan City,12.6,1.4,11.2,10.3,14.9
23109,Isabela,Cordon,18.9,2.2,11.8,15.3,22.6
23110,Isabela,Dinapigue,44.8,7.9,17.6,31.9,57.8
23111,Isabela,Divilican,47.6,5.2,10.9,39.1,56.1
23112,Isabela,Echague,15.0,1.4,9.3,12.7,17.3
23113,Isabela,Gamu,15.3,2.7,17.8,10.8,19.7
23114,Isabela,Ilagan City,13.9,1.3,9.5,11.7,16.0
23115,Isabela,Jones,13.3,1.8,13.3,10.4,16.3
23116,Isabela,Luna,12.7,2.1,16.4,9.3,16.1
23117,Isabela,Maconacon,39.0,5.3,13.6,30.3,47.8
23118,Isabela,Delfin Albano,17.0,2.3,13.3,13.3,20.7
23119,Isabela,Mallig,16.3,2.2,13.3,12.8,19.9
23120,Isabela,Naguilian,14.2,1.9,13.5,11.0,17.3
23121,Isabela,Palanan,31.3,3.1,9.8,26.3,36.3
23122,Isabela,Quezon,22.7,3.3,14.5,17.3,28.2
23123,Isabela,Quirino,15.6,2.6,16.5,11.4,19.8
23124,Isabela,Ramon,13.4,1.8,13.7,10.4,16.4
23125,Isabela,Reina Mercedes,15.0,2.2,14.8,11.3,18.6
23126,Isabela,Roxas,13.5,2.0,15.1,10.1,16.8
23127,Isabela,San Agustin,12.4,1.8,14.8,9.4,15.4
23128,Isabela,San Guillermo,27.2,3.5,12.7,21.5,32.9
23129,Isabela,San Isidro,12.0,2.3,19.0,8.2,15.7
23130,Isabela,San Manuel,13.7,2.3,16.6,10.0,17.4
23131,Isabela,San Mariano,23.1,2.3,9.8,19.4,26.8
23132,Isabela,San Mateo,10.7,1.5,13.7,8.3,13.1
23133,Isabela,San Pablo,18.8,3.0,16.2,13.8,23.8
23134,Isabela,Santa Maria,21.8,3.1,14.0,16.8,26.8
23135,Isabela,Santiago City,12.3,1.5,12.4,9.8,14.9
23136,Isabela,Santo Tomas,22.7,2.9,12.6,18.0,27.4
23137,Isabela,Tumauini,21.2,2.0,9.6,17.8,24.5
25001,Nueva Vizcaya,Ambaguio,53.5,5.9,11.1,43.7,63.2
25002,Nueva Vizcaya,Aritao,15.8,1.4,8.8,13.5,18.1
25003,Nueva Vizcaya,Bagabag,8.7,1.6,18.7,6.0,11.3
25004,Nueva Vizcaya,Bambang,8.2,1.3,16.2,6.0,10.4
25005,Nueva Vizcaya,Bayombong,6.8,1.3,18.6,4.7,8.9
25006,Nueva Vizcaya,Diadi,14.3,2.1,14.9,10.8,17.9
25007,Nueva Vizcaya,Dupax del Norte,14.2,2.5,17.8,10.1,18.4
25008,Nueva Vizcaya,Dupax del Sur,16.0,2.4,15.0,12.0,19.9
25009,Nueva Vizcaya,Kasibu,21.7,2.6,12.2,17.3,26.0
25010,Nueva Vizcaya,Kayapa,29.2,3.7,12.6,23.1,35.2
25011,Nueva Vizcaya,Quezon,14.8,2.6,17.3,10.6,19.0
25012,Nueva Vizcaya,Santa Fe,17.7,2.6,14.6,13.4,21.9
25013,Nueva Vizcaya,Solano,7.0,1.4,19.7,4.7,9.2
25014,Nueva Vizcaya,Villaverde,12.5,2.4,18.9,8.6,16.4
25015,Nueva Vizcaya,Alfonso Castaneda,22.9,4.3,18.9,15.8,30.1
25701,Quirino,Aglipay,11.6,1.5,13.3,9.1,14.1
25702,Quirino,Cobarronguis,9.3,1.7,17.8,6.6,12.1
25703,Quirino,Diffun,10.6,1.5,13.9,8.2,13.1
25704,Quirino,Maddela,9.3,1.3,14.1,7.1,11.4
25705,Quirino,Saguday,9.9,2.4,23.6,6.1,13.8
25706,Quirino,Nagtipunan,22.3,3.8,16.9,16.1,28.5
30801,Bataan,Abucay,5.3,1.1,21.5,3.4,7.2
30802,Bataan,Bagac,6.1,1.1,17.8,4.3,7.9
30803,Bataan,Balanga City,3.4,0.6,17.7,2.4,4.4
30804,Bataan,Dinalupihan,6.4,0.8,12.3,5.1,7.6
30805,Bataan,Hermosa,9.0,1.2,13.5,7.0,11.0
30806,Bataan,Limay,7.2,1.4,18.8,5.0,9.4
30807,Bataan,Mariveles,4.9,1.0,19.6,3.3,6.5
30808,Bataan,Morong,10.0,1.8,18.2,7.0,13.0
30809,Bataan,Orani,6.7,0.8,12.6,5.3,8.0
30810,Bataan,Orion,8.5,1.3,15.5,6.3,10.7
30811,Bataan,Pilar,7.3,1.0,14.1,5.6,9.0
30812,Bataan,Samal,7.3,1.0,13.1,5.7,8.8
31401,Bulacan,Angat,4.6,0.8,16.5,3.4,5.9
31402,Bulacan,Balagtas,3.4,1.1,32.0,1.6,5.2
31403,Bulacan,Baliuag,4.0,0.6,14.1,3.1,4.9
31404,Bulacan,Bocaue,7.5,1.3,17.7,5.3,9.7
31405,Bulacan,Bulacan,4.0,0.7,18.5,2.8,5.2
31406,Bulacan,Bustos,4.3,0.8,18.8,3.0,5.6
31407,Bulacan,Calumpit,4.7,0.6,13.3,3.7,5.8
31408,Bulacan,Guiguinto,5.5,0.9,16.2,4.0,6.9
31409,Bulacan,Hagonoy,4.9,0.7,13.9,3.8,6.0
31410,Bulacan,Malolos City,2.9,0.4,13.3,2.3,3.6
31411,Bulacan,Marilao,3.6,0.8,23.1,2.2,5.0
31412,Bulacan,Meycauayan City,5.2,0.8,14.5,3.9,6.4
31413,Bulacan,Norzagaray,8.2,1.5,18.6,5.7,10.8
31414,Bulacan,Obando,4.7,0.9,19.3,3.2,6.1
31415,Bulacan,Pandi,7.1,0.9,13.3,5.5,8.6
31416,Bulacan,Paombong,5.2,1.0,20.1,3.5,6.9
31417,Bulacan,Plaridel,4.2,0.6,13.6,3.3,5.1
31418,Bulacan,Pulilan,4.6,0.7,15.9,3.4,5.8
31419,Bulacan,San Idelfonso,5.5,0.5,9.4,4.7,6.4
31420,Bulacan,San Jose Del Monte City,4.6,0.6,13.8,3.6,5.7
31421,Bulacan,San Miguel,6.5,0.7,10.6,5.4,7.7
31422,Bulacan,San Rafael,4.5,0.6,12.6,3.5,5.4
31423,Bulacan,Santa Maria,4.6,0.9,20.3,3.1,6.1
31424,Bulacan,Doña Remedios Trinidad,11.4,2.1,18.5,8.0,14.9
34901,Nueva Ecija,Aliaga,6.7,0.8,11.6,5.4,8.0
34902,Nueva Ecija,Bongabon,5.5,0.9,16.1,4.0,6.9
34903,Nueva Ecija,Cabanatuan City,3.1,0.4,11.5,2.5,3.7
34904,Nueva Ecija,Cabiao,5.7,0.7,12.4,4.5,6.9
34905,Nueva Ecija,Carranglan,7.7,1.2,15.8,5.7,9.7
34906,Nueva Ecija,Cuyapo,5.9,0.6,10.7,4.9,6.9
34907,Nueva Ecija,Gabaldon,7.1,1.2,17.3,5.1,9.2
34908,Nueva Ecija,Gapan City,5.4,0.7,12.2,4.3,6.4
34909,Nueva Ecija,General Mamerto Natividad,6.7,1.0,14.9,5.1,8.4
34910,Nueva Ecija,General Tinio,5.1,1.4,28.2,2.7,7.5
34911,Nueva Ecija,Guimba,4.3,0.6,13.0,3.4,5.2
34912,Nueva Ecija,Jaen,4.1,0.7,17.9,2.9,5.4
34913,Nueva Ecija,Laur,5.7,0.9,16.0,4.2,7.2
34914,Nueva Ecija,Licab,7.7,1.2,15.7,5.7,9.6
34915,Nueva Ecija,Llanera,3.8,0.7,19.1,2.6,5.0
34916,Nueva Ecija,Lupao,5.8,1.0,17.3,4.1,7.4
34917,Nueva Ecija,Muñoz City,5.5,0.6,11.1,4.5,6.5
34918,Nueva Ecija,Nampicuan,6.6,1.0,14.8,5.0,8.2
34919,Nueva Ecija,Palayan City,5.8,0.8,14.1,4.5,7.2
34920,Nueva Ecija,Pantabangan,16.0,1.1,6.6,14.3,17.8
34921,Nueva Ecija,Peñaranda,4.3,1.0,24.0,2.6,5.9
34922,Nueva Ecija,Quezon,5.9,1.0,17.4,4.2,7.6
34923,Nueva Ecija,Rizal,7.4,1.0,13.7,5.7,9.0
34924,Nueva Ecija,San Antonio,5.8,1.2,20.3,3.9,7.7
34925,Nueva Ecija,San Isidro,4.6,0.9,18.4,3.2,6.0
34926,Nueva Ecija,San Jose City,4.6,0.6,13.7,3.6,5.7
34927,Nueva Ecija,San Leonardo,5.1,0.9,17.3,3.7,6.6
34928,Nueva Ecija,Santa Rosa,4.0,0.5,13.2,3.1,4.9
34929,Nueva Ecija,Santo Domingo,4.6,1.0,20.9,3.0,6.2
34930,Nueva Ecija,Talavera,4.4,0.5,11.5,3.6,5.3
34931,Nueva Ecija,Talugtug,5.3,0.7,13.6,4.1,6.5
34932,Nueva Ecija,Zaragoza,3.8,0.7,17.3,2.7,4.9
35402,Nueva Ecija,Apalit,4.7,1.1,24.0,2.8,6.6
35403,Nueva Ecija,Arayat,6.4,0.8,12.5,5.1,7.7
35404,Nueva Ecija,Bacolor,3.6,0.7,19.6,2.5,4.8
35405,Nueva Ecija,Candaba,7.0,0.7,10.2,5.8,8.2
35406,Nueva Ecija,Floridablanca,2.9,0.4,14.0,2.3,3.6
35407,Nueva Ecija,Guagua,3.6,0.5,15.0,2.7,4.5
35408,Nueva Ecija,Lubao,3.6,0.4,11.4,2.9,4.3
35409,Nueva Ecija,Mabalacat City,4.4,0.7,15.0,3.3,5.5
35410,Nueva Ecija,Macabebe,5.5,0.7,13.1,4.3,6.7
35411,Nueva Ecija,Magalang,5.0,1.0,20.0,3.3,6.6
35412,Nueva Ecija,Masantol,10.2,1.0,9.4,8.7,11.8
35413,Nueva Ecija,Mexico,4.6,0.8,16.7,3.3,5.9
35414,Nueva Ecija,Minalin,6.2,0.9,14.5,4.7,7.6
35415,Nueva Ecija,Porac,5.6,0.8,13.8,4.3,6.9
35416,Nueva Ecija,San Fernando City,3.6,0.5,14.7,2.7,4.5
