Region,Region Code,Province,Province Code,Municipality_City,Municipality_City Code,Water Sealed,Closed pit,Open Pit,none
Region I (Ilocos Region),PH010000000,Ilocos Sur,PH012900000,San Juan (Lapog),PH012920000,5.615,259,15,73
Region I (Ilocos Region),PH010000000,Ilocos Sur,PH012900000,San Vicente,PH012921000,2.556,20,15,30
Region I (Ilocos Region),PH010000000,Ilocos Sur,PH012900000,Santa,PH012922000,3.164,9,10,102
Region I (Ilocos Region),PH010000000,Ilocos Sur,PH012900000,Santa Catalina,PH012923000,2.776,10,5,40
Region I (Ilocos Region),PH010000000,Ilocos Sur,PH012900000,Santa Cruz,PH012924000,7.851,204,54,54
Region I (Ilocos Region),PH010000000,Ilocos Sur,PH012900000,Santa Lucia,PH012925000,5.222,173,20,41
Region I (Ilocos Region),PH010000000,Ilocos Sur,PH012900000,Santa Maria,PH012926000,6.159,103,15,45
Region I (Ilocos Region),PH010000000,Ilocos Sur,PH012900000,Santiago,PH012927000,3.943,118,0,44
Region I (Ilocos Region),PH010000000,Ilocos Sur,PH012900000,Santo Domingo,PH012928000,5.817,168,5,41
Region I (Ilocos Region),PH010000000,Ilocos Sur,PH012900000,Sigay,PH012929000,434,25,6,1
Region I (Ilocos Region),PH010000000,Ilocos Sur,PH012900000,Sinait,PH012930000,5.227,392,48,35
Region I (Ilocos Region),PH010000000,Ilocos Sur,PH012900000,Sugpon,PH012931000,569,250,11,11
Region I (Ilocos Region),PH010000000,Ilocos Sur,PH012900000,Suyo,PH012932000,1.863,249,61,56
Region I (Ilocos Region),PH010000000,Ilocos Sur,PH012900000,Tagudin,PH012933000,7.784,106,15,146
Region I (Ilocos Region),PH010000000,Ilocos Sur,PH012900000,City of Vigan (Capital),PH012934000,10.232,30,41,116
Region I (Ilocos Region),PH010000000,La Union,PH013300000,Agoo,PH013301000,11.752,634,145,78
Region I (Ilocos Region),PH010000000,La Union,PH013300000,Aringay,PH013302000,8.509,549,518,121
Region I (Ilocos Region),PH010000000,La Union,PH013300000,Bacnotan,PH013303000,8.967,176,56,25
Region I (Ilocos Region),PH010000000,La Union,PH013300000,Bagulin,PH013304000,1.268,713,519,72
Region I (Ilocos Region),PH010000000,La Union,PH013300000,Balaoan,PH013305000,7.495,351,194,47
Region I (Ilocos Region),PH010000000,La Union,PH013300000,Bangar,PH013306000,6.960,150,41,119
Region I (Ilocos Region),PH010000000,La Union,PH013300000,Bauang,PH013307000,15.133,565,131,26
Region I (Ilocos Region),PH010000000,La Union,PH013300000,Burgos,PH013308000,1.166,167,148,153
Region I (Ilocos Region),PH010000000,La Union,PH013300000,Caba,PH013309000,4.121,284,363,21
Region I (Ilocos Region),PH010000000,La Union,PH013300000,Luna,PH013310000,7.612,207,10,189
Region I (Ilocos Region),PH010000000,La Union,PH013300000,Naguilian,PH013311000,9.720,437,400,56
Region I (Ilocos Region),PH010000000,La Union,PH013300000,Pugo,PH013312000,3.464,116,30,5
Region I (Ilocos Region),PH010000000,La Union,PH013300000,Rosario,PH013313000,10.252,1.100,480,51
Region I (Ilocos Region),PH010000000,La Union,PH013300000,City of San Fernando (Capital),PH013314000,25.168,274,578,15
Region I (Ilocos Region),PH010000000,La Union,PH013300000,San Gabriel,PH013315000,2.749,461,278,25
Region I (Ilocos Region),PH010000000,La Union,PH013300000,San Juan,PH013316000,7.495,186,39,15
Region I (Ilocos Region),PH010000000,La Union,PH013300000,Santo Tomas,PH013317000,7.225,391,41,160
Region I (Ilocos Region),PH010000000,La Union,PH013300000,Santol,PH013318000,1.779,358,497,49
Region I (Ilocos Region),PH010000000,La Union,PH013300000,Sudipen,PH013319000,3.303,85,156,26
Region I (Ilocos Region),PH010000000,La Union,PH013300000,Tubao,PH013320000,5.513,232,118,21
Region I (Ilocos Region),PH010000000,Pangasinan,PH015500000,Agno,PH015501000,4.452,1.001,715,250
Region I (Ilocos Region),PH010000000,Pangasinan,PH015500000,Aguilar,PH015502000,6.896,1.252,34,30
Region I (Ilocos Region),PH010000000,Pangasinan,PH015500000,City of Alaminos,PH015503000,16.309,1.704,680,168
Region I (Ilocos Region),PH010000000,Pangasinan,PH015500000,Alcala,PH015504000,8.591,431,25,57
Region I (Ilocos Region),PH010000000,Pangasinan,PH015500000,Anda,PH015505000,6.798,1.018,235,203
Region I (Ilocos Region),PH010000000,Pangasinan,PH015500000,Asingan,PH015506000,12.710,189,100,66
Region I (Ilocos Region),PH010000000,Pangasinan,PH015500000,Balungao,PH015507000,6.015,119,84,45
Region I (Ilocos Region),PH010000000,Pangasinan,PH015500000,Bani,PH015508000,8.325,1.161,794,198
Region I (Ilocos Region),PH010000000,Pangasinan,PH015500000,Basista,PH015509000,6.032,233,0,5
Region I (Ilocos Region),PH010000000,Pangasinan,PH015500000,Bautista,PH015510000,6.025,247,44,60
Region I (Ilocos Region),PH010000000,Pangasinan,PH015500000,Bayambang,PH015511000,19.922,2.788,545,64
Region I (Ilocos Region),PH010000000,Pangasinan,PH015500000,Binalonan,PH015512000,11.520,570,40,51
Region I (Ilocos Region),PH010000000,Pangasinan,PH015500000,Binmaley,PH015513000,16.021,703,208,153
Region I (Ilocos Region),PH010000000,Pangasinan,PH015500000,Bolinao,PH015514000,11.630,2.408,1.135,825
Region I (Ilocos Region),PH010000000,Pangasinan,PH015500000,Bugallon,PH015515000,12.242,720,186,215
Region I (Ilocos Region),PH010000000,Pangasinan,PH015500000,Burgos,PH015516000,3.166,709,367,107
Region I (Ilocos Region),PH010000000,Pangasinan,PH015500000,Calasiao,PH015517000,18.157,879,141,105
Region I (Ilocos Region),PH010000000,Pangasinan,PH015500000,City of Dagupan,PH015518000,33.197,1.903,762,453
Region I (Ilocos Region),PH010000000,Pangasinan,PH015500000,Dasol,PH015519000,4.930,546,283,52
Region I (Ilocos Region),PH010000000,Pangasinan,PH015500000,Infanta,PH015520000,4.280,382,391,166
Region I (Ilocos Region),PH010000000,Pangasinan,PH015500000,Labrador,PH015521000,4.742,139,0,14
Region I (Ilocos Region),PH010000000,Pangasinan,PH015500000,Lingayen (Capital),PH015522000,18.955,1.587,200,80
Region I (Ilocos Region),PH010000000,Pangasinan,PH015500000,Mabini,PH015523000,4.021,930,437,60
Region I (Ilocos Region),PH010000000,Pangasinan,PH015500000,Malasiqui,PH015524000,22.327,3.240,163,65
Region I (Ilocos Region),PH010000000,Pangasinan,PH015500000,Manaoag,PH015525000,12.682,760,35,84
Region I (Ilocos Region),PH010000000,Pangasinan,PH015500000,Mangaldan,PH015526000,19.260,620,106,50
Region I (Ilocos Region),PH010000000,Pangasinan,PH015500000,Mangatarem,PH015527000,13.871,1.104,162,206
Region I (Ilocos Region),PH010000000,Pangasinan,PH015500000,Mapandan,PH015528000,6.551,293,220,5
Region I (Ilocos Region),PH010000000,Pangasinan,PH015500000,Natividad,PH015529000,5.091,71,25,36
Region I (Ilocos Region),PH010000000,Pangasinan,PH015500000,Pozorrubio,PH015530000,12.636,1.189,166,273
Region I (Ilocos Region),PH010000000,Pangasinan,PH015500000,Rosales,PH015531000,12.846,494,63,88
Region I (Ilocos Region),PH010000000,Pangasinan,PH015500000,City of San Carlos,PH015532000,31.961,3.350,374,150
Region I (Ilocos Region),PH010000000,Pangasinan,PH015500000,San Fabian,PH015533000,15.600,1.578,223,123
Region I (Ilocos Region),PH010000000,Pangasinan,PH015500000,San Jacinto,PH015534000,7.314,573,145,34
Region I (Ilocos Region),PH010000000,Pangasinan,PH015500000,San Manuel,PH015535000,9.525,801,262,134
Region I (Ilocos Region),PH010000000,Pangasinan,PH015500000,San Nicolas,PH015536000,7.451,454,67,35
Region I (Ilocos Region),PH010000000,Pangasinan,PH015500000,San Quintin,PH015537000,6.486,138,25,29
Region I (Ilocos Region),PH010000000,Pangasinan,PH015500000,Santa Barbara,PH015538000,15.421,534,50,25
Region I (Ilocos Region),PH010000000,Pangasinan,PH015500000,Santa Maria,PH015539000,7.332,103,15,10
Region I (Ilocos Region),PH010000000,Pangasinan,PH015500000,Santo Tomas,PH015540000,3.199,107,0,0
Region I (Ilocos Region),PH010000000,Pangasinan,PH015500000,Sison,PH015541000,9.106,481,124,114
Region I (Ilocos Region),PH010000000,Pangasinan,PH015500000,Sual,PH015542000,5.532,573,434,315
Region I (Ilocos Region),PH010000000,Pangasinan,PH015500000,Tayug,PH015543000,9.310,79,64,26
Region I (Ilocos Region),PH010000000,Pangasinan,PH015500000,Umingan,PH015544000,14.038,1.255,117,180
Region I (Ilocos Region),PH010000000,Pangasinan,PH015500000,Urbiztondo,PH015545000,8.910,602,102,30
Region I (Ilocos Region),PH010000000,Pangasinan,PH015500000,City of Urdaneta,PH015546000,26.706,1.084,123,179
Region I (Ilocos Region),PH010000000,Pangasinan,PH015500000,Villasis,PH015547000,12.601,638,29,30
Region I (Ilocos Region),PH010000000,Pangasinan,PH015500000,Laoac,PH015548000,6.384,102,5,40
Region II (Cagayan Valley),PH020000000,Batanes,PH020900000,Basco (Capital),PH020901000,2.031,0,0,0
Region II (Cagayan Valley),PH020000000,Batanes,PH020900000,Itbayat,PH020902000,769,0,0,0
Region II (Cagayan Valley),PH020000000,Batanes,PH020900000,Ivana,PH020903000,317,0,0,0
Region II (Cagayan Valley),PH020000000,Batanes,PH020900000,Mahatao,PH020904000,418,0,0,1
Region II (Cagayan Valley),PH020000000,Batanes,PH020900000,Sabtang,PH020905000,396,0,0,0
Region II (Cagayan Valley),PH020000000,Batanes,PH020900000,Uyugan,PH020906000,338,0,0,0
Region II (Cagayan Valley),PH020000000,Cagayan,PH021500000,Abulug,PH021501000,5.556,1.103,113,55
Region II (Cagayan Valley),PH020000000,Cagayan,PH021500000,Alcala,PH021502000,7.728,775,88,118
Region II (Cagayan Valley),PH020000000,Cagayan,PH021500000,Allacapan,PH021503000,6.721,488,391,50
Region II (Cagayan Valley),PH020000000,Cagayan,PH021500000,Amulung,PH021504000,9.258,389,10,36
Region II (Cagayan Valley),PH020000000,Cagayan,PH021500000,Aparri,PH021505000,11.229,945,255,523
Region II (Cagayan Valley),PH020000000,Cagayan,PH021500000,Baggao,PH021506000,15.895,1.631,300,156
Region II (Cagayan Valley),PH020000000,Cagayan,PH021500000,Ballesteros,PH021507000,6.637,910,344,31
Region II (Cagayan Valley),PH020000000,Cagayan,PH021500000,Buguey,PH021508000,5.299,612,118,307
Region II (Cagayan Valley),PH020000000,Cagayan,PH021500000,Calayan,PH021509000,2.254,992,244,38
Region II (Cagayan Valley),PH020000000,Cagayan,PH021500000,Camalaniugan,PH021510000,4.658,270,20,25
Region II (Cagayan Valley),PH020000000,Cagayan,PH021500000,Claveria,PH021511000,6.918,132,0,41
Region II (Cagayan Valley),PH020000000,Cagayan,PH021500000,Enrile,PH021512000,5.916,798,15,35
Region II (Cagayan Valley),PH020000000,Cagayan,PH021500000,Gattaran,PH021513000,10.841,875,386,113
Region II (Cagayan Valley),PH020000000,Cagayan,PH021500000,Gonzaga,PH021514000,7.358,375,110,223
Region II (Cagayan Valley),PH020000000,Cagayan,PH021500000,Iguig,PH021515000,5.109,364,55,19
Region II (Cagayan Valley),PH020000000,Cagayan,PH021500000,Lal-Lo,PH021516000,9.183,272,110,63
Region II (Cagayan Valley),PH020000000,Cagayan,PH021500000,Lasam,PH021517000,7.774,734,75,75
Region II (Cagayan Valley),PH020000000,Cagayan,PH021500000,Pamplona,PH021518000,4.758,210,138,93
Region II (Cagayan Valley),PH020000000,Cagayan,PH021500000,Peñablanca,PH021519000,8.346,729,101,73
Region II (Cagayan Valley),PH020000000,Cagayan,PH021500000,Piat,PH021520000,4.788,267,81,130
Region II (Cagayan Valley),PH020000000,Cagayan,PH021500000,Rizal,PH021521000,2.578,605,398,150
Region II (Cagayan Valley),PH020000000,Cagayan,PH021500000,Sanchez-Mira,PH021522000,4.608,633,45,0
Region II (Cagayan Valley),PH020000000,Cagayan,PH021500000,Santa Ana,PH021523000,6.469,155,123,21
Region II (Cagayan Valley),PH020000000,Cagayan,PH021500000,Santa Praxedes,PH021524000,790,6,8,8
Region II (Cagayan Valley),PH020000000,Cagayan,PH021500000,Santa Teresita,PH021525000,3.481,170,152,35
Region II (Cagayan Valley),PH020000000,Cagayan,PH021500000,Santo Niño (Faire),PH021526000,5.437,310,168,201
Region II (Cagayan Valley),PH020000000,Cagayan,PH021500000,Solana,PH021527000,14.109,2.379,49,65
Region II (Cagayan Valley),PH020000000,Cagayan,PH021500000,Tuao,PH021528000,11.881,1.013,24,85
Region II (Cagayan Valley),PH020000000,Cagayan,PH021500000,Tuguegarao City (Capital),PH021529000,28.780,803,25,31
Region II (Cagayan Valley),PH020000000,Isabela,PH023100000,Alicia,PH023101000,14.458,554,85,95
Region II (Cagayan Valley),PH020000000,Isabela,PH023100000,Angadanan,PH023102000,6.552,1.460,883,118
Region II (Cagayan Valley),PH020000000,Isabela,PH023100000,Aurora,PH023103000,7.112,161,79,318
Region II (Cagayan Valley),PH020000000,Isabela,PH023100000,Benito Soliven,PH023104000,3.352,2.061,642,21
Region II (Cagayan Valley),PH020000000,Isabela,PH023100000,Burgos,PH023105000,4.757,296,30,146
Region II (Cagayan Valley),PH020000000,Isabela,PH023100000,Cabagan,PH023106000,8.264,641,209,145
Region II (Cagayan Valley),PH020000000,Isabela,PH023100000,Cabatuan,PH023107000,8.081,179,100,207
Region II (Cagayan Valley),PH020000000,Isabela,PH023100000,City of Cauayan,PH023108000,24.189,2.649,930,161
Region II (Cagayan Valley),PH020000000,Isabela,PH023100000,Cordon,PH023109000,8.488,440,528,31
Region II (Cagayan Valley),PH020000000,Isabela,PH023100000,Dinapigue,PH023110000,782,127,319,43
Region II (Cagayan Valley),PH020000000,Isabela,PH023100000,Divilacan,PH023111000,851,4,40,165
Region II (Cagayan Valley),PH020000000,Isabela,PH023100000,Echague,PH023112000,14.286,1.763,577,314
Region II (Cagayan Valley),PH020000000,Isabela,PH023100000,Gamu,PH023113000,5.863,378,151,55
Region II (Cagayan Valley),PH020000000,Isabela,PH023100000,City of Ilagan (Capital),PH023114000,22.625,4.813,3.070,583
Region II (Cagayan Valley),PH020000000,Isabela,PH023100000,Jones,PH023115000,9.129,599,362,45
Region II (Cagayan Valley),PH020000000,Isabela,PH023100000,Luna,PH023116000,4.136,92,40,40
Region II (Cagayan Valley),PH020000000,Isabela,PH023100000,Maconacon,PH023117000,762,44,5,5
Region II (Cagayan Valley),PH020000000,Isabela,PH023100000,Delfin Albano (Magsaysay),PH023118000,5.438,386,58,61
Region II (Cagayan Valley),PH020000000,Isabela,PH023100000,Mallig,PH023119000,5.965,386,25,69
Region II (Cagayan Valley),PH020000000,Isabela,PH023100000,Naguilian,PH023120000,5.071,1.009,605,29
Region II (Cagayan Valley),PH020000000,Isabela,PH023100000,Palanan,PH023121000,1.631,677,611,209
Region II (Cagayan Valley),PH020000000,Isabela,PH023100000,Quezon,PH023122000,4.912,254,114,92
Region II (Cagayan Valley),PH020000000,Isabela,PH023100000,Quirino,PH023123000,5.212,226,25,78
Region II (Cagayan Valley),PH020000000,Isabela,PH023100000,Ramon,PH023124000,10.602,433,179,104
Region II (Cagayan Valley),PH020000000,Isabela,PH023100000,Reina Mercedes,PH023125000,4.706,264,74,128
Region II (Cagayan Valley),PH020000000,Isabela,PH023100000,Roxas,PH023126000,12.454,711,90,30
Region II (Cagayan Valley),PH020000000,Isabela,PH023100000,San Agustin,PH023127000,4.781,266,10,40
Region II (Cagayan Valley),PH020000000,Isabela,PH023100000,San Guillermo,PH023128000,2.472,910,689,45
Region II (Cagayan Valley),PH020000000,Isabela,PH023100000,San Isidro,PH023129000,4.817,90,88,162
Region II (Cagayan Valley),PH020000000,Isabela,PH023100000,San Manuel,PH023130000,6.384,574,115,44
Region II (Cagayan Valley),PH020000000,Isabela,PH023100000,San Mariano,PH023131000,5.707,2.092,1.829,1.110
Region II (Cagayan Valley),PH020000000,Isabela,PH023100000,San Mateo,PH023132000,13.519,217,39,120
Region II (Cagayan Valley),PH020000000,Isabela,PH023100000,San Pablo,PH023133000,3.373,487,261,316
Region II (Cagayan Valley),PH020000000,Isabela,PH023100000,Santa Maria,PH023134000,3.789,276,107,48
Region II (Cagayan Valley),PH020000000,Isabela,PH023100000,City of Santiago,PH023135000,29.469,744,264,133
Region II (Cagayan Valley),PH020000000,Isabela,PH023100000,Santo Tomas,PH023136000,3.593,776,179,35
Region II (Cagayan Valley),PH020000000,Isabela,PH023100000,Tumauini,PH023137000,10.939,1.037,130,356
Region II (Cagayan Valley),PH020000000,Nueva Vizcaya,PH025000000,Ambaguio,PH025001000,703,428,1.687,125
Region II (Cagayan Valley),PH020000000,Nueva Vizcaya,PH025000000,Aritao,PH025002000,7.388,662,308,35
Region II (Cagayan Valley),PH020000000,Nueva Vizcaya,PH025000000,Bagabag,PH025003000,7.422,412,360,60
Region II (Cagayan Valley),PH020000000,Nueva Vizcaya,PH025000000,Bambang,PH025004000,9.961,945,483,61
Region II (Cagayan Valley),PH020000000,Nueva Vizcaya,PH025000000,Bayombong (Capital),PH025005000,11.885,907,403,68
Region II (Cagayan Valley),PH020000000,Nueva Vizcaya,PH025000000,Diadi,PH025006000,2.369,747,563,60
Region II (Cagayan Valley),PH020000000,Nueva Vizcaya,PH025000000,Dupax Del Norte,PH025007000,4.605,685,591,20
Region II (Cagayan Valley),PH020000000,Nueva Vizcaya,PH025000000,Dupax Del Sur,PH025008000,2.974,180,817,5
Region II (Cagayan Valley),PH020000000,Nueva Vizcaya,PH025000000,Kasibu,PH025009000,2.884,1.248,2.839,30
Region II (Cagayan Valley),PH020000000,Nueva Vizcaya,PH025000000,Kayapa,PH025010000,2.129,428,1.470,314
Region II (Cagayan Valley),PH020000000,Nueva Vizcaya,PH025000000,Quezon,PH025011000,3.063,779,477,0
Region II (Cagayan Valley),PH020000000,Nueva Vizcaya,PH025000000,Santa Fe,PH025012000,2.180,380,380,11
Region II (Cagayan Valley),PH020000000,Nueva Vizcaya,PH025000000,Solano,PH025013000,12.090,916,512,29
Region II (Cagayan Valley),PH020000000,Nueva Vizcaya,PH025000000,Villaverde,PH025014000,3.362,689,94,15
Region II (Cagayan Valley),PH020000000,Nueva Vizcaya,PH025000000,Alfonso Castaneda,PH025015000,972,386,85,0
Region II (Cagayan Valley),PH020000000,Quirino,PH025700000,Aglipay,PH025701000,4.320,478,1.035,35
Region II (Cagayan Valley),PH020000000,Quirino,PH025700000,Cabarroguis (Capital),PH025702000,4.924,912,772,20
Region II (Cagayan Valley),PH020000000,Quirino,PH025700000,Diffun,PH025703000,8.584,1.135,1.194,162
Region II (Cagayan Valley),PH020000000,Quirino,PH025700000,Maddela,PH025704000,6.599,837,606,88
Region II (Cagayan Valley),PH020000000,Quirino,PH025700000,Saguday,PH025705000,2.994,362,21,21
Region II (Cagayan Valley),PH020000000,Quirino,PH025700000,Nagtipunan,PH025706000,2.306,903,1.196,140
Region III (Central Luzon),PH030000000,Bataan,PH030800000,Abucay,PH030801000,8.028,74,52,306
Region III (Central Luzon),PH030000000,Bataan,PH030800000,Bagac,PH030802000,5.135,98,118,303
Region III (Central Luzon),PH030000000,Bataan,PH030800000,City of Balanga (Capital),PH030803000,17.871,438,111,388
Region III (Central Luzon),PH030000000,Bataan,PH030800000,Dinalupihan,PH030804000,19.377,791,175,426
Region III (Central Luzon),PH030000000,Bataan,PH030800000,Hermosa,PH030805000,11.463,235,86,268
Region III (Central Luzon),PH030000000,Bataan,PH030800000,Limay,PH030806000,11.561,34,26,405
Region III (Central Luzon),PH030000000,Bataan,PH030800000,Mariveles,PH030807000,24.883,393,156,423
Region III (Central Luzon),PH030000000,Bataan,PH030800000,Morong,PH030808000,4.811,143,29,380
Region III (Central Luzon),PH030000000,Bataan,PH030800000,Orani,PH030809000,12.753,25,173,315
Region III (Central Luzon),PH030000000,Bataan,PH030800000,Orion,PH030810000,9.568,234,136,837
Region III (Central Luzon),PH030000000,Bataan,PH030800000,Pilar,PH030811000,7.940,121,55,160
Region III (Central Luzon),PH030000000,Bataan,PH030800000,Samal,PH030812000,6.473,62,127,266
Region III (Central Luzon),PH030000000,Bulacan,PH031400000,Angat,PH031401000,11.749,164,61,88
Region III (Central Luzon),PH030000000,Bulacan,PH031400000,Balagtas (Bigaa),PH031402000,14.438,57,5,68
Region III (Central Luzon),PH030000000,Bulacan,PH031400000,Baliuag,PH031403000,32.428,663,67,118
Region III (Central Luzon),PH030000000,Bulacan,PH031400000,Bocaue,PH031404000,23.432,139,37,173
Region III (Central Luzon),PH030000000,Bulacan,PH031400000,Bulacan,PH031405000,16.462,147,250,113
Region III (Central Luzon),PH030000000,Bulacan,PH031400000,Bustos,PH031406000,13.997,348,62,75
Region III (Central Luzon),PH030000000,Bulacan,PH031400000,Calumpit,PH031407000,21.608,77,93,87
Region III (Central Luzon),PH030000000,Bulacan,PH031400000,Guiguinto,PH031408000,19.981,76,33,50
Region III (Central Luzon),PH030000000,Bulacan,PH031400000,Hagonoy,PH031409000,26.734,467,237,233
Region III (Central Luzon),PH030000000,Bulacan,PH031400000,City of Malolos (Capital),PH031410000,49.485,611,115,207
Region III (Central Luzon),PH030000000,Bulacan,PH031400000,Marilao,PH031411000,41.361,196,101,30
Region III (Central Luzon),PH030000000,Bulacan,PH031400000,City of Meycauayan,PH031412000,45.342,870,177,226
Region III (Central Luzon),PH030000000,Bulacan,PH031400000,Norzagaray,PH031413000,20.227,530,211,986
Region III (Central Luzon),PH030000000,Bulacan,PH031400000,Obando,PH031414000,12.061,298,344,171
Region III (Central Luzon),PH030000000,Bulacan,PH031400000,Pandi,PH031415000,13.905,284,56,129
Region III (Central Luzon),PH030000000,Bulacan,PH031400000,Paombong,PH031416000,10.401,65,146,278
Region III (Central Luzon),PH030000000,Bulacan,PH031400000,Plaridel,PH031417000,22.352,71,30,25
Region III (Central Luzon),PH030000000,Bulacan,PH031400000,Pulilan,PH031418000,18.615,232,5,204
Region III (Central Luzon),PH030000000,Bulacan,PH031400000,San Ildefonso,PH031419000,19.335,679,131,384
Region III (Central Luzon),PH030000000,Bulacan,PH031400000,City of San Jose Del Monte,PH031420000,100.482,781,353,233
Region III (Central Luzon),PH030000000,Bulacan,PH031400000,San Miguel,PH031421000,28.363,1.685,233,360
Region III (Central Luzon),PH030000000,Bulacan,PH031400000,San Rafael,PH031422000,17.429,1.186,116,169
Region III (Central Luzon),PH030000000,Bulacan,PH031400000,Santa Maria,PH031423000,47.885,188,49,208
Region III (Central Luzon),PH030000000,Bulacan,PH031400000,Doña Remedios Trinidad,PH031424000,2.534,464,352,1.068
Region III (Central Luzon),PH030000000,Nueva Ecija,PH034900000,Aliaga,PH034901000,11.798,487,55,244
Region III (Central Luzon),PH030000000,Nueva Ecija,PH034900000,Bongabon,PH034902000,12.544,307,112,432
Region III (Central Luzon),PH030000000,Nueva Ecija,PH034900000,City of Cabanatuan,PH034903000,58.125,863,182,343
Region III (Central Luzon),PH030000000,Nueva Ecija,PH034900000,Cabiao,PH034904000,13.970,183,42,166
Region III (Central Luzon),PH030000000,Nueva Ecija,PH034900000,Carranglan,PH034905000,5.236,1.741,778,188
