psgc,province,municipality-city,2009-poverty-inc,2012-poverty-inc,2015-poverty-inc,2009-cov,2012-cov,2015-cov,2009-conf-int-lowerlimit,2009-conf-int-upper-limit,2012-conf-int-lowerlimit,2012-conf-int-upper-limit,2015-conf-int-lowerlimit,2015-conf-int-upper-limit
36905,Tarlac,Concepcion,"13,5","6,7","14,0","13,9","14,6","13,0","10,4","16,6","5,1","8,3","11,0","17,0"
36906,Tarlac,Gerona,"17,6","10,9","12,8","12,4","10,1","11,1","14,0","21,2","9,1","12,7","10,5","15,2"
36907,Tarlac,La Paz,"17,0","6,4","16,6","14,5","17,1","14,0","13,0","21,1","4,6","8,2","12,8","20,4"
36908,Tarlac,Mayantoc,"28,3","12,6","18,3","14,0","9,9","12,6","21,8","34,8","10,6","14,7","14,5","22,0"
36909,Tarlac,Moncada,"15,9","11,3","17,7","13,4","11,7","12,1","12,4","19,4","9,1","13,4","14,1","21,2"
36910,Tarlac,Paniqui,"12,8","10,7","12,2","12,5","10,1","11,5","10,1","15,4","8,9","12,4","9,9","14,5"
36911,Tarlac,Pura,"14,7","10,8","15,9","18,1","13,9","19,4","10,3","19,0","8,3","13,3","10,8","21,0"
36912,Tarlac,Ramos,"16,7","13,0","15,0","19,2","15,5","21,6","11,4","22,0","9,7","16,3","9,6","20,3"
36913,Tarlac,San Clemente,"18,2","11,8","14,2","17,3","15,0","18,8","13,0","23,3","8,9","14,7","9,8","18,6"
36914,Tarlac,San Manuel,"17,0","10,0","16,7","18,4","13,9","16,6","11,9","22,1","7,7","12,3","12,1","21,3"
36915,Tarlac,Santa Ignacia,"21,8","12,7","15,0","13,1","11,4","13,4","17,1","26,5","10,3","15,1","11,7","18,3"
36916,Tarlac,Tarlac City,"8,7","8,5","10,8","9,5","9,1","10,3","7,4","10,1","7,2","9,8","8,9","12,6"
36917,Tarlac,Victoria,"20,2","11,3","18,9","13,3","10,8","12,4","15,8","24,6","9,3","13,3","15,0","22,8"
36918,Tarlac,San Jose,"32,1","24,0","18,3","12,1","8,8","18,1","25,7","38,4","20,5","27,5","12,9","23,8"
37101,Zambales,Botolan,"17,4","23,7","22,7","14,0","9,1","11,3","13,4","21,4","20,2","27,3","18,4","26,9"
37102,Zambales,Cabangan,"21,2","17,3","24,8","12,5","9,8","12,1","16,9","25,6","14,5","20,1","19,8","29,7"
37103,Zambales,Candelaria,"18,2","15,8","20,5","16,1","10,0","12,4","13,4","23,0","13,2","18,3","16,3","24,7"
37104,Zambales,Castillejos,"12,5","7,8","18,2","21,1","17,4","16,1","8,1","16,8","5,5","10,0","13,3","23,0"
37105,Zambales,Iba,"12,5","13,3","16,8","22,2","13,4","19,0","7,9","17,1","10,4","16,3","11,5","22,0"
37106,Zambales,Masinloc,"18,2","18,0","20,9","18,4","11,8","13,5","12,7","23,8","14,5","21,5","16,3","25,6"
37107,Zambales,Olongapo City,"4,5","3,1","11,6","35,1","30,6","19,0","1,9","7,0","1,5","4,7","8,0","15,3"
37108,Zambales,Palauig,"21,3","20,8","22,9","12,7","9,2","11,7","16,8","25,7","17,6","23,9","18,5","27,3"
37109,Zambales,San Antonio,"12,0","11,2","15,9","17,8","14,4","16,5","8,5","15,5","8,6","13,8","11,6","20,2"
37110,Zambales,San Felipe,"14,5","13,7","16,7","25,4","14,4","20,0","8,4","20,5","10,4","16,9","11,2","22,1"
37111,Zambales,San Marcelino,"14,8","14,1","15,2","13,5","10,3","14,2","11,5","18,1","11,7","16,5","11,7","18,8"
37112,Zambales,San Narciso,"10,7","11,5","13,5","19,4","14,1","17,0","7,3","14,1","8,8","14,1","9,7","17,2"
37113,Zambales,Santa Cruz,"18,7","18,9","23,7","14,3","8,4","10,4","14,3","23,1","16,3","21,5","19,6","27,7"
37114,Zambales,Subic,"11,5","11,7","18,9","21,8","14,4","14,9","7,4","15,6","8,9","14,5","14,3","23,5"
37701,Aurora,Baler,"9,6","10,0","9,1","23,4","16,3","21,9","5,9","13,2","7,3","12,7","5,8","12,4"
37702,Aurora,Casiguran,"19,7","18,4","12,7","17,5","9,3","16,6","14,0","25,4","15,6","21,3","9,2","16,1"
37703,Aurora,Dilasag,"19,2","13,9","12,4","20,4","15,6","22,9","12,7","25,6","10,4","17,5","7,7","17,1"
37704,Aurora,Dinalungan,"25,6","13,8","9,1","19,2","15,1","22,6","17,5","33,7","10,4","17,2","5,7","12,5"
37705,Aurora,Dingalan,"14,5","13,5","14,6","28,8","17,8","20,4","7,6","21,3","9,5","17,4","9,7","19,5"
37706,Aurora,Dipaculao,"17,9","14,5","12,3","17,3","10,4","14,1","12,8","23,0","12,0","17,0","9,4","15,1"
37707,Aurora,Maria Aurora,"13,2","10,1","10,7","15,4","10,1","14,9","9,9","16,6","8,5","11,8","8,1","13,3"
37708,Aurora,San Luis,"13,8","13,2","11,8","22,0","12,7","18,1","8,8","18,9","10,4","16,0","8,3","15,3"
41001,Batangas,Agoncillo,"15,4","16,2","11,8","12,1","10,1","10,6","12,3","18,4","13,5","18,9","9,7","13,8"
41002,Batangas,Alitagtag,"8,6","6,5","6,0","17,0","10,0","8,5","6,2","11,1","5,4","7,6","5,1","6,8"
41003,Batangas,Balayan,"14,1","8,7","6,5","9,0","10,1","10,2","12,0","16,1","7,3","10,2","5,4","7,5"
41004,Batangas,Balete,"17,2","10,6","7,7","16,2","9,7","9,5","12,6","21,8","8,9","12,3","6,5","8,9"
41005,Batangas,Batangas City,"7,1","3,6","4,6","9,7","19,9","8,0","6,0","8,3","2,4","4,8","4,0","5,2"
41006,Batangas,Bauan,"2,7","4,3","3,3","24,4","22,9","12,6","1,6","3,8","2,7","5,9","2,6","3,9"
41007,Batangas,Calaca,"17,8","20,0","17,4","9,4","15,0","7,8","15,1","20,6","15,0","24,9","15,1","19,6"
41008,Batangas,Calatagan,"21,9","24,0","22,4","10,8","15,1","9,6","18,0","25,7","18,0","29,9","18,9","25,9"
41009,Batangas,Cuenca,"9,9","8,6","5,6","16,5","21,3","20,4","7,2","12,6","5,6","11,6","3,7","7,5"
41010,Batangas,Ibaan,"12,1","8,6","7,2","15,0","19,6","19,4","9,1","15,0","5,8","11,3","4,9","9,5"
41011,Batangas,Laurel,"21,8","31,3","25,7","11,3","18,7","10,0","17,7","25,8","21,7","40,9","21,5","29,9"
41012,Batangas,Lemery,"14,3","13,7","11,1","8,9","13,8","9,2","12,2","16,4","10,6","16,8","9,4","12,8"
41013,Batangas,Lian,"16,5","18,0","13,3","14,7","16,2","20,9","12,5","20,5","13,2","22,8","8,7","17,8"
41014,Batangas,Lipa City,"3,9","5,2","4,2","16,3","16,1","13,6","2,8","4,9","3,8","6,6","3,3","5,1"
41015,Batangas,Lobo,"19,1","25,9","21,5","10,7","16,0","9,9","15,7","22,4","19,0","32,7","18,0","25,0"
41016,Batangas,Mabini,"11,7","6,6","7,3","12,9","19,3","11,0","9,2","14,2","4,5","8,7","6,0","8,6"
41017,Batangas,Malvar,"6,5","6,6","4,3","22,2","25,1","27,7","4,1","8,9","3,9","9,4","2,3","6,2"
41018,Batangas,Mataas Na Kahoy,"9,8","4,8","3,6","20,1","29,4","29,0","6,5","13,0","2,5","7,1","1,9","5,2"
41019,Batangas,Nasugbu,"17,3","15,3","12,7","11,3","14,3","9,8","14,1","20,6","11,7","18,9","10,7","14,8"
41020,Batangas,Padre Garcia,"16,5","13,8","7,2","15,4","17,6","19,7","12,3","20,6","9,8","17,8","4,9","9,5"
41021,Batangas,Rosario,"16,8","14,9","11,6","8,1","14,5","14,0","14,5","19,0","11,4","18,5","8,9","14,2"
41022,Batangas,San Jose,"11,2","8,6","4,2","15,3","17,2","24,6","8,4","14,1","6,2","11,1","2,5","5,9"
41023,Batangas,San Juan,"15,4","21,2","15,4","11,0","13,5","13,7","12,6","18,2","16,5","25,9","11,9","18,8"
41024,Batangas,San Luis,"9,5","10,3","5,9","17,1","18,8","19,4","6,9","12,2","7,1","13,5","4,0","7,8"
41025,Batangas,San Nicolas,"5,3","10,6","12,1","27,5","22,6","19,9","2,9","7,8","6,7","14,6","8,2","16,1"
41026,Batangas,San Pascual,"5,8","3,0","2,8","20,1","27,4","23,2","3,9","7,7","1,6","4,3","1,7","3,8"
41027,Batangas,Santa Teresita,"9,4","6,0","6,5","20,8","29,9","22,8","6,2","12,6","3,1","9,0","4,0","8,9"
41028,Batangas,Santo Tomas,"8,6","5,4","4,0","16,3","21,4","23,3","6,3","10,9","3,5","7,3","2,5","5,6"
41029,Batangas,Taal,"4,1","7,0","5,5","23,2","19,5","20,4","2,6","5,7","4,7","9,2","3,6","7,3"
41030,Batangas,Talisay,"5,6","10,1","8,8","26,3","20,3","22,4","3,2","8,1","6,7","13,5","5,6","12,0"
41031,Batangas,Tanauan City,"4,0","5,9","4,6","16,6","16,2","15,4","2,9","5,1","4,3","7,4","3,4","5,7"
41032,Batangas,Taysan,"16,6","14,9","13,0","12,2","17,8","16,9","13,3","19,9","10,6","19,3","9,4","16,6"
41033,Batangas,Tingloy,"26,2","31,6","26,2","10,5","17,1","10,5","21,7","30,7","22,7","40,5","21,7","30,8"
41034,Batangas,Tuy,"18,0","19,8","12,4","10,6","17,0","18,3","14,9","21,2","14,2","25,3","8,7","16,2"
42101,Cavite,Alfonso,"13,8","6,0","4,8","11,9","14,7","12,4","11,1","16,5","4,5","7,4","3,8","5,7"
42102,Cavite,Amadeo,"6,3","1,9","3,2","19,2","24,1","24,1","4,3","8,2","1,1","2,6","1,9","4,5"
42103,Cavite,Bacoor City,"3,6","1,1","4,9","17,1","30,9","13,8","2,6","4,6","0,5","1,7","3,8","6,0"
42104,Cavite,Carmona,"3,4","3,0","3,8","48,4","19,0","10,9","0,7","6,2","2,1","3,9","3,1","4,4"
42105,Cavite,Cavite City,"5,5","5,4","6,9","15,5","14,9","11,8","4,1","6,9","4,1","6,8","5,6","8,3"
42106,Cavite,Dasmariñas City,"5,3","4,8","5,8","15,8","16,7","13,0","3,9","6,6","3,5","6,1","4,6","7,1"
42107,Cavite,General Emilio Aguinaldo,"13,7","7,3","9,6","15,4","12,1","8,7","10,2","17,2","5,9","8,8","8,2","11,0"
42108,Cavite,General Trias City,"3,5","3,2","3,9","29,3","30,5","15,6","1,8","5,2","1,6","4,8","2,9","4,9"
42109,Cavite,Imus City,"2,3","1,1","4,9","16,2","30,9","13,8","1,7","3,0","0,5","1,7","3,8","6,0"
42110,Cavite,Indang,"6,7","3,1","5,5","13,5","27,2","17,4","5,2","8,2","1,7","4,4","3,9","7,1"
42111,Cavite,Kawit,"4,8","5,9","9,5","22,5","22,3","11,3","3,0","6,6","3,7","8,0","7,7","11,3"
42112,Cavite,Magallanes,"19,4","13,5","17,2","13,8","24,3","17,7","15,0","23,8","8,1","18,9","12,2","22,2"
42113,Cavite,Maragondon,"16,3","8,9","13,8","13,3","21,3","9,3","12,7","19,9","5,8","12,0","11,7","15,9"
42114,Cavite,Mendez (Mendez-Nuñez),"4,5","5,2","5,2","23,5","22,8","16,1","2,8","6,3","3,3","7,2","3,8","6,6"
42115,Cavite,Naic,"8,4","8,3","12,3","18,1","19,7","3,2","5,9","10,8","5,6","11,0","11,7","13,0"
42116,Cavite,Noveleta,"3,0","3,4","8,6","34,8","32,5","19,4","1,3","4,7","1,6","5,2","5,8","11,3"
42117,Cavite,Rosario,"5,9","7,5","5,6","22,4","22,7","23,5","3,7","8,1","4,7","10,3","3,4","7,8"
42118,Cavite,Silang,"11,0","5,5","6,9","11,6","14,7","9,1","8,9","13,1","4,2","6,9","5,8","7,9"
42119,Cavite,Tagaytay City,"5,6","6,6","5,9","18,4","19,2","15,7","3,9","7,3","4,5","8,6","4,4","7,4"
42120,Cavite,Tanza,"5,4","6,8","9,0","17,8","20,1","12,2","3,8","7,0","4,6","9,1","7,2","10,8"
42121,Cavite,Ternate,"16,5","9,0","15,2","16,8","31,1","24,4","11,9","21,0","4,4","13,7","9,1","21,2"
42122,Cavite,Trece Martires City,"4,3","4,6","5,3","30,9","31,9","30,6","2,1","6,5","2,2","7,0","2,6","8,0"
42123,Cavite,Gen. Mariano Alvarez,"5,7","6,0","8,0","19,7","25,3","13,4","3,8","7,5","3,5","8,6","6,3","9,8"
43401,Laguna,Alaminos,"6,4","2,1","2,7","25,5","23,2","20,2","3,7","9,1","1,3","2,9","1,8","3,6"
43402,Laguna,Bay,"2,8","3,2","2,7","36,5","16,1","14,7","1,1","4,4","2,4","4,1","2,1","3,4"
43403,Laguna,Biñan City,"1,7","7,9","5,2","43,1","12,4","11,8","0,5","2,9","6,3","9,5","4,2","6,2"
43404,Laguna,Cabuyao City,"1,7","11,0","8,5","38,9","10,9","9,0","0,6","2,7","9,1","13,0","7,2","9,8"
43405,Laguna,Calamba City,"2,0","3,4","3,0","25,9","20,2","17,4","1,2","2,9","2,3","4,6","2,1","3,8"
43406,Laguna,Calauan,"12,0","13,0","9,7","16,1","25,7","22,7","8,8","15,2","7,5","18,5","6,1","13,3"
43407,Laguna,Cavinti,"11,5","14,0","8,5","16,5","24,9","23,2","8,4","14,6","8,3","19,8","5,2","11,7"
43408,Laguna,Famy,"11,0","15,7","10,2","22,6","21,3","20,3","6,9","15,0","10,2","21,1","6,8","13,6"
43409,Laguna,Kalayaan,"12,8","14,5","11,9","39,4","39,6","15,9","4,5","21,0","5,1","24,0","8,8","15,0"
43410,Laguna,Liliw,"7,6","9,9","3,9","19,2","19,7","22,7","5,2","10,0","6,7","13,1","2,5","5,4"
43411,Laguna,Los Baños,"1,6","2,7","2,1","46,0","35,5","30,8","0,4","2,9","1,1","4,3","1,1","3,2"
43412,Laguna,Luisiana,"8,2","7,3","8,6","17,9","30,4","25,2","5,7","10,6","3,6","10,9","5,0","12,1"
43413,Laguna,Lumban,"7,2","8,7","7,9","23,5","23,2","24,3","4,4","9,9","5,4","12,0","4,7","11,0"
43414,Laguna,Mabitac,"14,4","22,5","16,9","18,7","24,0","19,9","10,0","18,9","13,6","31,4","11,4","22,5"
43415,Laguna,Magdalena,"13,8","19,5","16,4","15,2","17,2","8,9","10,3","17,2","14,0","25,0","14,0","18,8"
43416,Laguna,Majayjay,"13,4","15,2","8,4","12,7","18,5","17,3","10,6","16,2","10,6","19,9","6,0","10,8"
43417,Laguna,Nagcarlan,"7,3","10,0","5,6","16,9","19,6","9,8","5,2","9,3","6,8","13,3","4,7","6,5"
43418,Laguna,Paete,"3,2","7,7","5,4","53,3","33,2","37,9","0,4","6,1","3,5","11,9","2,0","8,8"
43419,Laguna,Pagsanjan,"2,8","7,2","4,9","32,9","24,7","23,6","1,3","4,4","4,3","10,1","3,0","6,8"
43420,Laguna,Pakil,"8,9","12,7","11,9","24,6","21,7","19,7","5,3","12,5","8,1","17,2","8,0","15,8"
43421,Laguna,Pangil,"7,4","16,2","8,6","29,3","25,8","26,8","3,8","11,0","9,3","23,0","4,8","12,4"
43422,Laguna,Pila,"3,4","8,4","6,7","30,4","19,8","19,3","1,7","5,1","5,6","11,1","4,6","8,8"
43423,Laguna,Rizal,"5,8","4,9","3,0","30,1","35,0","30,4","2,9","8,7","2,1","7,7","1,5","4,5"
43424,Laguna,San Pablo City,"2,7","5,6","4,2","19,8","16,6","14,4","1,8","3,6","4,1","7,1","3,2","5,2"
43425,Laguna,San Pedro City,"1,4","1,0","2,7","41,1","52,9","25,3","0,5","2,4","0,1","1,9","1,6","3,8"
43426,Laguna,Santa Cruz,"2,3","5,3","4,6","33,5","25,1","24,1","1,0","3,6","3,1","7,4","2,8","6,4"
43427,Laguna,Santa Maria,"16,8","20,6","16,6","12,2","16,8","9,7","13,4","20,2","14,9","26,2","13,9","19,2"
43428,Laguna,Santa Rosa City,"1,5","1,9","2,4","40,1","36,1","30,8","0,5","2,4","0,8","3,0","1,2","3,6"
43429,Laguna,Siniloan,"11,4","11,0","8,6","19,7","18,5","19,7","7,7","15,1","7,7","14,4","5,8","11,4"
43430,Laguna,Victoria,"3,7","8,6","4,4","39,1","27,5","33,6","1,3","6,1","4,7","12,5","2,0","6,8"
45601,Quezon,Agdangan,"19,8","21,6","15,2","12,9","9,7","8,2","15,6","24,0","18,2","25,1","13,2","17,3"
45602,Quezon,Alabat,"17,0","13,4","7,6","11,3","11,6","8,1","13,9","20,2","10,8","16,0","6,6","8,6"
45603,Quezon,Atimonan,"12,7","37,3","27,5","11,1","8,0","7,1","10,4","15,0","32,4","42,3","24,3","30,7"
45605,Quezon,Buenavista,"34,9","46,6","38,5","6,5","9,5","4,0","31,2","38,6","39,3","53,9","36,0","41,1"
45606,Quezon,Burdeos,"39,3","50,8","40,9","9,6","12,2","13,0","33,1","45,5","40,6","60,9","32,1","49,6"
45607,Quezon,Calauag,"25,8","28,1","24,5","6,8","11,8","12,1","22,9","28,6","22,7","33,6","19,6","29,3"
45608,Quezon,Candelaria,"10,6","12,8","6,2","15,1","20,5","15,9","8,0","13,3","8,5","17,1","4,6","7,9"
45610,Quezon,Catanauan,"27,8","30,6","26,2","7,1","9,8","9,1","24,6","31,1","25,6","35,5","22,3","30,1"
45615,Quezon,Dolores,"13,3","13,7","9,5","18,4","25,1","19,4","9,3","17,4","8,1","19,4","6,5","12,5"
45616,Quezon,General Luna,"27,5","32,5","27,5","9,0","13,6","9,1","23,4","31,6","25,2","39,7","23,4","31,6"
45617,Quezon,General Nakar,"27,8","43,3","31,5","10,9","14,0","15,2","22,8","32,8","33,4","53,2","23,6","39,4"
45618,Quezon,Guinayangan,"27,5","29,1","22,5","6,5","12,7","14,5","24,5","30,4","23,0","35,1","17,1","27,8"
45619,Quezon,Gumaca,"16,7","13,1","13,1","9,3","19,5","13,1","14,2","19,3","8,9","17,3","10,3","15,9"
45620,Quezon,Infanta,"15,0","13,7","11,9","15,2","18,1","20,7","11,3","18,8","9,6","17,7","7,9","16,0"
45621,Quezon,Jomalig,"39,0","57,6","45,5","13,2","16,0","17,4","30,5","47,4","42,4","72,8","32,5","58,5"
45622,Quezon,Lopez,"21,7","23,1","22,4","6,5","12,8","12,3","19,4","24,1","18,2","28,0","17,9","26,9"
45623,Quezon,Lucban,"5,2","5,3","3,8","24,7","36,9","21,5","3,1","7,2","2,1","8,5","2,4","5,1"
45624,Quezon,Lucena City,"3,6","6,6","5,9","24,7","21,0","19,4","2,1","5,1","4,3","8,8","4,0","7,8"
45625,Quezon,Macalelon,"29,5","30,0","28,9","8,3","12,4","12,5","25,4","33,5","23,9","36,1","23,0","34,8"
45627,Quezon,Mauban,"21,5","26,5","18,1","9,0","13,9","11,3","18,3","24,7","20,5","32,6","14,7","21,5"
45628,Quezon,Mulanay,"31,5","39,7","34,3","7,9","10,8","9,4","27,4","35,6","32,6","46,7","29,0","39,6"
45629,Quezon,Padre Burgos,"17,2","27,0","20,9","13,7","13,2","12,9","13,3","21,1","21,1","32,8","16,5","25,3"
45630,Quezon,Pagbilao,"13,4","12,1","10,1","14,9","20,2","15,8","10,1","16,7","8,1","16,1","7,4","12,7"
45631,Quezon,Panukulan,"34,5","42,4","39,5","9,5","13,6","14,0","29,1","39,9","32,9","51,9","30,4","48,5"
45632,Quezon,Patnanungan,"36,0","55,4","45,2","15,8","14,9","18,0","26,7","45,3","41,8","69,0","31,8","58,5"
45633,Quezon,Perez,"29,7","37,7","33,6","11,2","13,6","18,3","24,2","35,2","29,3","46,2","23,5","43,8"
45634,Quezon,Pitogo,"24,2","28,1","25,4","8,2","12,3","14,2","20,9","27,4","22,4","33,8","19,5","31,3"
45635,Quezon,Plaridel,"12,3","16,6","14,1","17,7","21,3","21,3","8,7","15,9","10,8","22,4","9,2","19,1"
45636,Quezon,Polillo,"27,0","30,8","24,5","8,3","15,1","15,2","23,3","30,6","23,1","38,4","18,4","30,7"
45637,Quezon,Quezon,"29,2","26,4","26,2","8,6","16,1","16,5","25,0","33,3","19,4","33,4","19,1","33,3"
45638,Quezon,Real,"17,1","29,8","23,4","11,8","15,0","10,5","13,8","20,4","22,4","37,1","19,3","27,4"
45639,Quezon,Sampaloc,"11,9","15,2","11,4","18,8","24,8","15,7","8,3","15,6","9,0","21,4","8,4","14,3"
45640,Quezon,San Andres,"39,0","54,7","43,8","13,3","14,0","15,2","30,5","47,5","42,1","67,3","32,8","54,7"
45641,Quezon,San Antonio,"16,7","24,0","19,2","14,4","15,8","11,0","12,7","20,6","17,8","30,3","15,8","22,7"
45642,Quezon,San Francisco (Aurora),"41,4","45,1","39,3","7,9","10,9","12,7","36,0","46,8","37,0","53,1","31,0","47,5"
45644,Quezon,San Narciso,"41,1","44,0","35,3","8,1","10,8","12,9","35,7","46,6","36,2","51,8","27,8","42,7"
45645,Quezon,Sariaya,"14,5","23,2","19,8","11,8","12,4","7,3","11,7","17,3","18,5","28,0","17,4","22,2"
45646,Quezon,Tagkawayan,"23,7","31,0","23,8","8,3","11,4","13,6","20,4","26,9","25,1","36,8","18,5","29,2"
45647,Quezon,Tayabas City,"10,5","9,6","8,8","13,0","22,0","13,4","8,2","12,7","6,1","13,0","6,8","10,7"
45648,Quezon,Tiaong,"13,8","13,9","8,6","13,5","17,1","17,1","10,7","16,8","10,0","17,8","6,2","11,0"
45649,Quezon,Unisan,"21,2","23,9","20,9","7,6","13,3","15,4","18,5","23,8","18,7","29,1","15,6","26,2"
45801,Rizal,Angono,"2,4","3,3","4,3","49,4","20,8","20,9","0,5","4,4","2,2","4,5","2,8","5,8"
45802,Rizal,Antipolo City,"3,6","4,1","5,8","29,3","28,9","21,8","1,8","5,3","2,1","6,0","3,7","7,8"
45803,Rizal,Baras,"11,4","9,1","8,5","24,8","27,8","25,6","6,8","16,1","5,0","13,3","4,9","12,1"
45804,Rizal,Binangonan,"4,0","6,1","6,5","19,5","17,8","16,9","2,7","5,3","4,3","7,9","4,7","8,3"
45805,Rizal,Cainta,"1,4","0,7","0,7","56,6","84,8","45,7","0,1","2,8","0,0","1,6","0,2","1,2"
45806,Rizal,Cardona,"5,5","9,2","10,1","28,3","25,9","20,6","3,0","8,1","5,3","13,2","6,7","13,5"
45807,Rizal,Jala-Jala,"15,7","19,7","17,7","16,0","19,9","20,3","11,6","19,8","13,3","26,2","11,8","23,6"
45808,Rizal,Rodriguez (Montalban) ,"4,5","5,1","4,5","35,3","41,5","27,7","1,9","7,1","1,6","8,6","2,5","6,6"
45809,Rizal,Morong,"2,2","3,5","4,9","50,0","46,3","31,4","0,4","4,1","0,8","6,2","2,4","7,5"
45810,Rizal,Pililla,"5,9","10,8","8,0","33,3","29,3","29,3","2,7","9,1","5,6","16,0","4,1","11,8"
45811,Rizal,San Mateo,"2,2","3,1","5,4","37,6","32,6","26,6","0,8","3,5","1,4","4,8","3,0","7,7"
45812,Rizal,Tanay,"10,5","10,2","11,6","18,9","23,7","18,2","7,3","13,8","6,2","14,2","8,1","15,1"
45813,Rizal,Taytay,"3,2","4,1","3,5","47,1","47,8","31,1","0,7","5,7","0,9","7,3","1,7","5,3"
45814,Rizal,Teresa,"3,3","5,4","6,0","47,3","36,2","35,4","0,7","5,9","2,2","8,6","2,5","9,4"
174001,Marinduque,Boac,"26,5","7,5","15,2","8,6","21,2","9,1","22,8","30,3","4,9","10,1","13,0","17,5"
174002,Marinduque,Buenavista,"36,9","22,1","20,5","13,0","15,5","15,1","29,0","44,8","16,5","27,8","15,4","25,6"
174003,Marinduque,Gasan,"30,7","16,2","14,9","12,4","13,3","13,8","24,4","37,0","12,6","19,7","11,5","18,3"
174004,Marinduque,Mogpog,"26,8","10,5","13,6","11,1","15,3","12,1","21,9","31,7","7,9","13,2","10,9","16,3"
174005,Marinduque,Santa Cruz,"30,6","12,7","15,6","8,5","12,9","8,3","26,3","34,8","10,0","15,3","13,5","17,7"
174006,Marinduque,Torrijos,"35,2","17,3","23,1","12,0","12,7","9,8","28,2","42,1","13,7","20,9","19,3","26,8"
175101,Occidental Mindoro,Abra de Ilog,"37,5","32,3","34,8","16,4","13,8","12,5","27,4","47,5","25,0","39,6","27,6","41,9"
175102,Occidental Mindoro,Calintaan,"34,2","31,1","29,8","18,7","12,9","14,5","23,6","44,7","24,5","37,6","22,7","36,9"
175103,Occidental Mindoro,Looc,"32,4","22,3","23,1","17,0","16,4","19,4","23,3","41,5","16,2","28,3","15,7","30,5"
175104,Occidental Mindoro,Lubang,"23,8","14,8","14,8","15,7","17,6","21,1","17,6","29,9","10,5","19,0","9,7","20,0"
175105,Occidental Mindoro,Magsaysay,"38,3","34,3","41,4","15,8","12,8","11,3","28,3","48,2","27,1","41,5","33,7","49,0"
175106,Occidental Mindoro,Mamburao,"28,9","17,5","21,1","18,2","20,1","17,0","20,3","37,6","11,7","23,3","15,2","27,0"
175107,Occidental Mindoro,Paluan,"38,0","29,6","40,6","15,6","14,6","12,1","28,2","47,8","22,5","36,7","32,5","48,7"
175108,Occidental Mindoro,Rizal,"36,0","31,2","36,5","15,0","12,0","13,5","27,2","44,9","25,0","37,3","28,4","44,6"
175109,Occidental Mindoro,Sablayan,"34,8","28,0","28,6","12,9","10,6","12,0","27,5","42,2","23,1","32,9","23,0","34,3"
175110,Occidental Mindoro,San Jose,"29,8","21,2","22,7","10,2","11,4","11,3","24,8","34,8","17,2","25,2","18,5","26,8"
175111,Occidental Mindoro,Santa Cruz,"38,1","35,2","28,4","16,0","12,6","16,2","28,1","48,1","27,9","42,5","20,8","36,0"
175201,Oriental Mindoro,Baco,"44,5","22,8","25,3","8,8","11,0","12,8","38,0","50,9","18,6","26,9","20,0","30,6"
175202,Oriental Mindoro,Bansud,"39,0","19,9","26,6","14,4","15,6","15,9","29,8","48,2","14,8","25,0","19,7","33,6"
175203,Oriental Mindoro,Bongabong,"35,8","25,1","25,0","9,4","10,0","11,6","30,2","41,4","21,0","29,3","20,2","29,7"
175204,Oriental Mindoro,Bulalacao,"51,5","40,0","41,0","12,3","8,9","10,5","41,1","61,9","34,1","45,8","33,9","48,0"
175205,Oriental Mindoro,Calapan City,"23,0","7,1","9,3","10,4","20,7","11,9","19,0","26,9","4,7","9,5","7,5","11,1"
175206,Oriental Mindoro,Gloria,"35,5","18,3","16,9","10,5","11,5","15,4","29,4","41,7","14,8","21,8","12,6","21,2"
175207,Oriental Mindoro,Mansalay,"41,8","35,5","31,8","13,2","9,7","12,4","32,7","50,9","29,9","41,2","25,3","38,3"
175208,Oriental Mindoro,Naujan,"38,4","20,5","19,0","8,3","9,3","8,6","33,2","43,7","17,4","23,6","16,3","21,7"
175209,Oriental Mindoro,Pinamalayan,"31,7","17,0","19,7","9,7","11,2","12,8","26,6","36,7","13,9","20,2","15,6","23,9"
175210,Oriental Mindoro,Pola,"37,9","29,2","18,3","11,7","10,4","19,5","30,6","45,3","24,2","34,1","12,5","24,2"
175211,Oriental Mindoro,Puerto Galera,"23,9","11,0","7,9","17,4","19,4","23,4","17,1","30,7","7,5","14,5","4,8","10,9"
175212,Oriental Mindoro,Roxas,"29,7","21,1","19,2","12,9","12,6","17,5","23,4","36,0","16,7","25,5","13,6","24,7"
175213,Oriental Mindoro,San Teodoro,"33,6","14,8","22,4","15,8","21,2","18,0","24,8","42,3","9,7","20,0","15,8","29,0"
175214,Oriental Mindoro,Socorro,"36,8","15,4","17,2","11,5","11,7","13,7","29,8","43,8","12,4","18,3","13,3","21,1"
175215,Oriental Mindoro,Victoria,"35,2","18,0","17,4","9,6","10,1","12,8","29,6","40,7","15,0","21,0","13,7","21,1"
175301,Palawan,Aborlan,"23,4","22,4","21,6","17,7","12,4","11,8","16,6","30,2","17,8","26,9","17,4","25,7"
175302,Palawan,Agutaya,"36,1","33,4","17,5","23,9","18,9","30,0","21,9","50,3","23,0","43,7","8,9","26,1"
175303,Palawan,Araceli,"35,1","27,7","21,2","16,5","13,0","15,8","25,5","44,6","21,8","33,6","15,7","26,7"
175304,Palawan,Balabac,"44,2","38,1","50,4","18,0","13,3","10,8","31,1","57,3","29,7","46,4","41,5","59,4"
