Region,REG_Code,Province,PROV_Code,City_Municipality,City_Mun Code,Ambulatory Surgical Clinic,Animal Bite Treatment Center,Barangay Health Station,Birthing Home,City Health Office,DepEd Clinic,Drug Abuse Treatment and Rehabilitation Centers,General Clinic Laboratory,Hospital,Infirmary,Municipal Health Office,Provincial Health Office,Psychiatric Care Facility,Rural Health Unit,Social hygiene Clinic
Autonomous Region in Muslim Mindanao (ARMM),PH150000000,Lanao del Sur,PH153600000,Kapatagan,PH153639000,0,0,3,1,0,0,0,0,0,0,0,0,0,1,0
Autonomous Region in Muslim Mindanao (ARMM),PH150000000,Lanao del Sur,PH153600000,Lumba-Bayabao (Maguing),PH153611000,0,0,2,1,0,0,0,0,0,0,0,0,0,1,0
Autonomous Region in Muslim Mindanao (ARMM),PH150000000,Lanao del Sur,PH153600000,Lumbaca-Unayan,PH153641000,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Autonomous Region in Muslim Mindanao (ARMM),PH150000000,Lanao del Sur,PH153600000,Lumbatan,PH153612000,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
Autonomous Region in Muslim Mindanao (ARMM),PH150000000,Lanao del Sur,PH153600000,Lumbayanague,PH153636000,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
Autonomous Region in Muslim Mindanao (ARMM),PH150000000,Lanao del Sur,PH153600000,Madalum,PH153613000,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0
Autonomous Region in Muslim Mindanao (ARMM),PH150000000,Lanao del Sur,PH153600000,Madamba,PH153614000,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0
Autonomous Region in Muslim Mindanao (ARMM),PH150000000,Lanao del Sur,PH153600000,Maguing,PH153634000,0,0,2,1,0,0,0,0,0,0,0,0,0,1,0
Autonomous Region in Muslim Mindanao (ARMM),PH150000000,Lanao del Sur,PH153600000,Malabang,PH153615000,0,0,1,2,0,0,0,0,1,1,0,0,0,1,0
Autonomous Region in Muslim Mindanao (ARMM),PH150000000,Lanao del Sur,PH153600000,Marantao,PH153616000,0,0,5,1,0,0,0,0,0,0,0,0,0,1,0
Autonomous Region in Muslim Mindanao (ARMM),PH150000000,Lanao del Sur,PH153600000,City of Marawi (Capital),PH153617000,0,0,44,5,0,0,0,0,4,4,0,0,0,5,0
Autonomous Region in Muslim Mindanao (ARMM),PH150000000,Lanao del Sur,PH153600000,Marogong,PH153631000,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0
Autonomous Region in Muslim Mindanao (ARMM),PH150000000,Lanao del Sur,PH153600000,Masiu,PH153618000,0,0,3,1,0,0,0,0,0,0,0,0,0,1,0
Autonomous Region in Muslim Mindanao (ARMM),PH150000000,Lanao del Sur,PH153600000,Mulondo,PH153619000,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0
Autonomous Region in Muslim Mindanao (ARMM),PH150000000,Lanao del Sur,PH153600000,Pagayawan (Tatarikan),PH153620000,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Autonomous Region in Muslim Mindanao (ARMM),PH150000000,Lanao del Sur,PH153600000,Piagapo,PH153621000,0,0,4,1,0,0,0,0,0,0,0,0,0,1,0
Autonomous Region in Muslim Mindanao (ARMM),PH150000000,Lanao del Sur,PH153600000,Picong (Sultan Gumander),PH153635000,0,0,3,1,0,0,0,0,0,0,0,0,0,1,0
Autonomous Region in Muslim Mindanao (ARMM),PH150000000,Lanao del Sur,PH153600000,Poona Bayabao (Gata),PH153622000,0,0,2,1,0,0,0,0,0,0,0,0,0,1,0
Autonomous Region in Muslim Mindanao (ARMM),PH150000000,Lanao del Sur,PH153600000,Pualas,PH153623000,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Autonomous Region in Muslim Mindanao (ARMM),PH150000000,Lanao del Sur,PH153600000,Saguiaran,PH153625000,0,0,6,1,0,0,0,0,0,0,0,0,0,1,0
Autonomous Region in Muslim Mindanao (ARMM),PH150000000,Lanao del Sur,PH153600000,Sultan Dumalondong,PH153640000,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
Autonomous Region in Muslim Mindanao (ARMM),PH150000000,Lanao del Sur,PH153600000,Tagoloan II,PH153638000,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
Autonomous Region in Muslim Mindanao (ARMM),PH150000000,Lanao del Sur,PH153600000,Tamparan,PH153626000,0,0,0,1,0,0,0,0,2,0,0,0,0,1,0
Autonomous Region in Muslim Mindanao (ARMM),PH150000000,Lanao del Sur,PH153600000,Taraka,PH153627000,0,0,2,1,0,0,0,0,0,0,0,0,0,1,0
Autonomous Region in Muslim Mindanao (ARMM),PH150000000,Lanao del Sur,PH153600000,Tubaran,PH153628000,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Autonomous Region in Muslim Mindanao (ARMM),PH150000000,Lanao del Sur,PH153600000,Tugaya,PH153629000,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0
Autonomous Region in Muslim Mindanao (ARMM),PH150000000,Lanao del Sur,PH153600000,Wao,PH153630000,0,0,26,1,0,0,0,0,1,0,0,0,0,1,0
Autonomous Region in Muslim Mindanao (ARMM),PH150000000,Maguindanao,PH153800000,Ampatuan,PH153801000,0,0,3,2,0,0,0,0,0,0,0,0,0,1,0
Autonomous Region in Muslim Mindanao (ARMM),PH150000000,Maguindanao,PH153800000,Barira,PH153818000,0,0,9,1,0,0,0,0,0,0,0,0,0,1,0
Autonomous Region in Muslim Mindanao (ARMM),PH150000000,Maguindanao,PH153800000,Buldon,PH153802000,0,0,9,2,0,0,0,0,0,0,0,0,0,1,0
Autonomous Region in Muslim Mindanao (ARMM),PH150000000,Maguindanao,PH153800000,Buluan,PH153803000,0,0,2,3,0,0,0,0,1,2,0,0,0,1,0
Autonomous Region in Muslim Mindanao (ARMM),PH150000000,Maguindanao,PH153800000,Datu Abdullah Sangki,PH153828000,0,0,3,2,0,0,0,0,0,0,0,0,0,1,0
Autonomous Region in Muslim Mindanao (ARMM),PH150000000,Maguindanao,PH153800000,Datu Anggal Midtimbang,PH153831000,0,0,5,3,0,0,0,0,0,0,0,0,0,1,0
Autonomous Region in Muslim Mindanao (ARMM),PH150000000,Maguindanao,PH153800000,Datu Blah T. Sinsuat,PH153830000,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0
Autonomous Region in Muslim Mindanao (ARMM),PH150000000,Maguindanao,PH153800000,Datu Hoffer Ampatuan,PH153835000,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0
Autonomous Region in Muslim Mindanao (ARMM),PH150000000,Maguindanao,PH153800000,Datu Odin Sinsuat (Dinaig),PH153807000,0,0,20,6,0,0,0,0,2,0,0,0,0,1,0
Autonomous Region in Muslim Mindanao (ARMM),PH150000000,Maguindanao,PH153800000,Datu Paglas,PH153805000,0,0,8,3,0,0,0,0,0,1,0,0,0,1,0
Autonomous Region in Muslim Mindanao (ARMM),PH150000000,Maguindanao,PH153800000,Datu Piang,PH153806000,0,0,5,2,0,0,0,0,0,1,0,0,0,1,0
Autonomous Region in Muslim Mindanao (ARMM),PH150000000,Maguindanao,PH153800000,Datu Salibo,PH153836000,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
Autonomous Region in Muslim Mindanao (ARMM),PH150000000,Maguindanao,PH153800000,Datu Saudi-Ampatuan,PH153826000,0,0,6,3,0,0,0,0,0,0,0,0,0,1,0
Autonomous Region in Muslim Mindanao (ARMM),PH150000000,Maguindanao,PH153800000,Datu Unsay,PH153827000,0,0,2,1,0,0,0,0,0,0,0,0,0,1,0
Autonomous Region in Muslim Mindanao (ARMM),PH150000000,Maguindanao,PH153800000,Gen. S.K. Pendatun,PH153819000,0,0,7,6,0,0,0,0,0,0,0,0,0,1,0
Autonomous Region in Muslim Mindanao (ARMM),PH150000000,Maguindanao,PH153800000,Guindulungan,PH153825000,0,0,3,3,0,0,0,0,0,0,0,0,0,1,0
Autonomous Region in Muslim Mindanao (ARMM),PH150000000,Maguindanao,PH153800000,Kabuntalan (Tumbao),PH153814000,0,0,4,1,0,0,0,0,0,0,0,0,0,1,0
Autonomous Region in Muslim Mindanao (ARMM),PH150000000,Maguindanao,PH153800000,Mamasapano,PH153820000,1,0,6,1,0,0,0,0,0,0,0,0,0,1,0
Autonomous Region in Muslim Mindanao (ARMM),PH150000000,Maguindanao,PH153800000,Mangudadatu,PH153832000,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0
Autonomous Region in Muslim Mindanao (ARMM),PH150000000,Maguindanao,PH153800000,Matanog,PH153809000,0,0,7,1,0,0,0,0,0,0,0,0,0,1,0
Autonomous Region in Muslim Mindanao (ARMM),PH150000000,Maguindanao,PH153800000,Northern Kabuntalan,PH153834000,0,0,5,1,0,0,0,0,0,0,0,0,0,1,0
Autonomous Region in Muslim Mindanao (ARMM),PH150000000,Maguindanao,PH153800000,Pagagawan,PH153822000,0,0,5,1,0,0,0,0,0,0,0,0,0,1,0
Autonomous Region in Muslim Mindanao (ARMM),PH150000000,Maguindanao,PH153800000,Pagalungan,PH153810000,0,0,3,1,0,0,0,0,0,0,0,0,0,1,0
Autonomous Region in Muslim Mindanao (ARMM),PH150000000,Maguindanao,PH153800000,Paglat,PH153823000,0,0,3,2,0,0,0,0,0,0,0,0,0,1,0
Autonomous Region in Muslim Mindanao (ARMM),PH150000000,Maguindanao,PH153800000,Pandag,PH153833000,0,0,4,1,0,0,0,0,0,0,0,0,0,1,0
Autonomous Region in Muslim Mindanao (ARMM),PH150000000,Maguindanao,PH153800000,Parang,PH153811000,0,0,14,5,0,0,0,0,0,1,0,0,0,1,0
Autonomous Region in Muslim Mindanao (ARMM),PH150000000,Maguindanao,PH153800000,Rajah Buayan,PH153829000,0,0,4,2,0,0,0,0,0,0,0,0,0,1,0
Autonomous Region in Muslim Mindanao (ARMM),PH150000000,Maguindanao,PH153800000,Shariff Aguak (Maganoy) (Capital),PH153808000,0,0,3,2,0,0,0,0,0,0,0,0,0,1,0
Autonomous Region in Muslim Mindanao (ARMM),PH150000000,Maguindanao,PH153800000,Shariff Saydona Mustapha,PH153837000,0,0,2,2,0,0,0,0,0,0,0,0,0,1,0
Autonomous Region in Muslim Mindanao (ARMM),PH150000000,Maguindanao,PH153800000,South Upi,PH153817000,0,0,8,1,0,0,0,0,0,1,0,0,0,1,0
Autonomous Region in Muslim Mindanao (ARMM),PH150000000,Maguindanao,PH153800000,Sultan Kudarat (Nuling),PH153812000,0,0,24,3,0,0,0,0,1,0,0,0,0,1,0
Autonomous Region in Muslim Mindanao (ARMM),PH150000000,Maguindanao,PH153800000,Sultan Mastura,PH153824000,0,0,12,1,0,0,0,0,0,0,0,0,0,1,0
Autonomous Region in Muslim Mindanao (ARMM),PH150000000,Maguindanao,PH153800000,Sultan Sa Barongis (Lambayong),PH153813000,0,0,7,2,0,0,0,0,0,0,0,0,0,1,0
Autonomous Region in Muslim Mindanao (ARMM),PH150000000,Maguindanao,PH153800000,Talayan,PH153816000,0,0,6,2,0,0,0,0,0,0,0,0,0,1,0
Autonomous Region in Muslim Mindanao (ARMM),PH150000000,Maguindanao,PH153800000,Talitay,PH153821000,0,0,2,1,0,0,0,0,0,0,0,0,0,1,0
Autonomous Region in Muslim Mindanao (ARMM),PH150000000,Maguindanao,PH153800000,Upi,PH153815000,0,0,17,1,0,0,0,0,1,0,0,0,0,1,0
Autonomous Region in Muslim Mindanao (ARMM),PH150000000,Sulu,PH156600000,Hadji Panglima Tahil (Marunggas),PH156606000,0,0,2,1,0,0,0,0,0,0,0,0,0,1,0
Autonomous Region in Muslim Mindanao (ARMM),PH150000000,Sulu,PH156600000,Indanan,PH156601000,0,0,9,1,0,0,0,0,0,0,0,0,0,1,0
Autonomous Region in Muslim Mindanao (ARMM),PH150000000,Sulu,PH156600000,Jolo (Capital),PH156602000,0,0,6,2,0,0,0,0,1,2,0,0,0,1,0
Autonomous Region in Muslim Mindanao (ARMM),PH150000000,Sulu,PH156600000,Kalingalan Caluang,PH156603000,0,0,5,0,0,0,0,0,0,0,0,0,0,1,0
Autonomous Region in Muslim Mindanao (ARMM),PH150000000,Sulu,PH156600000,Lugus,PH156617000,0,0,3,1,0,0,0,0,0,0,0,0,0,1,0
Autonomous Region in Muslim Mindanao (ARMM),PH150000000,Sulu,PH156600000,Luuk,PH156604000,0,0,5,1,0,0,0,0,1,0,0,0,0,1,0
Autonomous Region in Muslim Mindanao (ARMM),PH150000000,Sulu,PH156600000,Maimbung,PH156605000,0,0,9,1,0,0,0,0,0,0,0,0,0,1,0
Autonomous Region in Muslim Mindanao (ARMM),PH150000000,Sulu,PH156600000,Old Panamao,PH156607000,0,0,7,0,0,0,0,0,0,1,0,0,0,1,0
Autonomous Region in Muslim Mindanao (ARMM),PH150000000,Sulu,PH156600000,Omar,PH156619000,0,0,7,1,0,0,0,0,0,0,0,0,0,1,0
Autonomous Region in Muslim Mindanao (ARMM),PH150000000,Sulu,PH156600000,Pandami,PH156618000,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0
Autonomous Region in Muslim Mindanao (ARMM),PH150000000,Sulu,PH156600000,Panglima Estino (New Panamao),PH156616000,0,0,8,0,0,0,0,0,0,0,0,0,0,1,0
Autonomous Region in Muslim Mindanao (ARMM),PH150000000,Sulu,PH156600000,Pangutaran,PH156608000,0,0,10,1,0,0,0,0,1,0,0,0,0,2,0
Autonomous Region in Muslim Mindanao (ARMM),PH150000000,Sulu,PH156600000,Parang,PH156609000,0,0,7,2,0,0,0,0,1,0,0,0,0,2,0
Autonomous Region in Muslim Mindanao (ARMM),PH150000000,Sulu,PH156600000,Pata,PH156610000,0,0,3,1,0,0,0,0,0,0,0,0,0,1,0
Autonomous Region in Muslim Mindanao (ARMM),PH150000000,Sulu,PH156600000,Patikul,PH156611000,0,0,10,0,0,0,0,0,0,0,0,0,0,1,0
Autonomous Region in Muslim Mindanao (ARMM),PH150000000,Sulu,PH156600000,Siasi,PH156612000,0,0,8,0,0,0,0,0,1,0,0,0,0,1,0
Autonomous Region in Muslim Mindanao (ARMM),PH150000000,Sulu,PH156600000,Talipao,PH156613000,0,0,10,1,0,0,0,0,0,0,0,0,0,1,0
Autonomous Region in Muslim Mindanao (ARMM),PH150000000,Sulu,PH156600000,Tapul,PH156614000,0,0,3,1,0,0,0,0,0,1,0,0,0,1,0
Autonomous Region in Muslim Mindanao (ARMM),PH150000000,Sulu,PH156600000,Tongkil,PH156615000,0,0,9,1,0,0,0,0,0,1,0,0,0,1,0
Autonomous Region in Muslim Mindanao (ARMM),PH150000000,Tawi-tawi,PH157000000,Bongao (Capital),PH157002000,0,0,4,1,0,0,0,0,4,0,0,0,0,1,0
Autonomous Region in Muslim Mindanao (ARMM),PH150000000,Tawi-tawi,PH157000000,Languyan,PH157009000,0,0,6,1,0,0,0,0,0,1,0,0,0,1,0
Autonomous Region in Muslim Mindanao (ARMM),PH150000000,Tawi-tawi,PH157000000,Mapun (Cagayan de Tawi-Tawi),PH157003000,0,0,13,0,0,0,0,0,0,1,0,0,0,1,0
Autonomous Region in Muslim Mindanao (ARMM),PH150000000,Tawi-tawi,PH157000000,Panglima Sugala (Balimbing),PH157001000,0,0,11,1,0,0,0,0,0,0,0,0,0,1,0
Autonomous Region in Muslim Mindanao (ARMM),PH150000000,Tawi-tawi,PH157000000,Sapa-Sapa,PH157010000,0,0,10,1,0,0,0,0,1,0,0,0,0,1,0
Autonomous Region in Muslim Mindanao (ARMM),PH150000000,Tawi-tawi,PH157000000,Sibutu,PH157011000,0,0,7,1,0,0,0,0,1,0,0,0,0,1,0
Autonomous Region in Muslim Mindanao (ARMM),PH150000000,Tawi-tawi,PH157000000,Simunul,PH157004000,0,0,6,1,0,0,0,0,0,0,0,0,0,1,0
Autonomous Region in Muslim Mindanao (ARMM),PH150000000,Tawi-tawi,PH157000000,Sitangkai,PH157005000,0,0,3,1,0,0,0,0,0,0,0,0,0,1,0
Autonomous Region in Muslim Mindanao (ARMM),PH150000000,Tawi-tawi,PH157000000,South Ubian,PH157006000,0,0,6,2,0,0,0,0,0,0,0,0,0,2,0
Autonomous Region in Muslim Mindanao (ARMM),PH150000000,Tawi-tawi,PH157000000,Tandubas,PH157007000,0,0,6,1,0,0,0,0,0,0,0,0,0,1,0
Autonomous Region in Muslim Mindanao (ARMM),PH150000000,Tawi-tawi,PH157000000,Turtle Islands,PH157008000,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
Cordillera Administrative Region (CAR),PH140000000,Abra,PH140100000,Bangued (Capital),PH140101000,0,0,5,0,0,0,0,0,4,1,0,0,0,1,0
Cordillera Administrative Region (CAR),PH140000000,Abra,PH140100000,Boliney,PH140102000,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0
Cordillera Administrative Region (CAR),PH140000000,Abra,PH140100000,Bucay,PH140103000,0,0,8,0,0,0,0,0,0,1,0,0,0,1,0
Cordillera Administrative Region (CAR),PH140000000,Abra,PH140100000,Bucloc,PH140104000,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0
Cordillera Administrative Region (CAR),PH140000000,Abra,PH140100000,Daguioman,PH140105000,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0
Cordillera Administrative Region (CAR),PH140000000,Abra,PH140100000,Danglas,PH140106000,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0
Cordillera Administrative Region (CAR),PH140000000,Abra,PH140100000,Dolores,PH140107000,0,0,13,0,0,0,0,0,0,2,0,0,0,1,0
Cordillera Administrative Region (CAR),PH140000000,Abra,PH140100000,La Paz,PH140108000,0,0,4,0,0,0,0,0,0,1,0,0,0,1,0
Cordillera Administrative Region (CAR),PH140000000,Abra,PH140100000,Lacub,PH140109000,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0
Cordillera Administrative Region (CAR),PH140000000,Abra,PH140100000,Lagangilang,PH140110000,0,0,5,0,0,0,0,0,0,0,0,0,0,1,0
Cordillera Administrative Region (CAR),PH140000000,Abra,PH140100000,Lagayan,PH140111000,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Cordillera Administrative Region (CAR),PH140000000,Abra,PH140100000,Langiden,PH140112000,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Cordillera Administrative Region (CAR),PH140000000,Abra,PH140100000,Licuan-Baay (Licuan),PH140113000,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0
Cordillera Administrative Region (CAR),PH140000000,Abra,PH140100000,Luba,PH140114000,0,0,6,0,0,0,0,0,0,0,0,0,0,1,0
Cordillera Administrative Region (CAR),PH140000000,Abra,PH140100000,Malibcong,PH140115000,0,0,9,0,0,0,0,0,0,0,0,0,0,1,0
Cordillera Administrative Region (CAR),PH140000000,Abra,PH140100000,Manabo,PH140116000,0,0,9,0,0,0,0,0,0,0,0,0,0,1,0
Cordillera Administrative Region (CAR),PH140000000,Abra,PH140100000,Pe?Arrubia,PH140117000,0,0,9,0,0,0,0,0,0,0,0,0,0,1,0
Cordillera Administrative Region (CAR),PH140000000,Abra,PH140100000,Pidigan,PH140118000,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Cordillera Administrative Region (CAR),PH140000000,Abra,PH140100000,Pilar,PH140119000,0,0,18,0,0,0,0,0,0,0,0,0,0,1,0
Cordillera Administrative Region (CAR),PH140000000,Abra,PH140100000,Sallapadan,PH140120000,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0
Cordillera Administrative Region (CAR),PH140000000,Abra,PH140100000,San Isidro,PH140121000,0,0,9,0,0,0,0,0,0,0,0,0,0,1,0
Cordillera Administrative Region (CAR),PH140000000,Abra,PH140100000,San Juan,PH140122000,0,0,9,0,0,0,0,0,0,0,0,0,0,1,0
Cordillera Administrative Region (CAR),PH140000000,Abra,PH140100000,San Quintin,PH140123000,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0
Cordillera Administrative Region (CAR),PH140000000,Abra,PH140100000,Tayum,PH140124000,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0
Cordillera Administrative Region (CAR),PH140000000,Abra,PH140100000,Tineg,PH140125000,0,0,9,0,0,0,0,0,0,0,0,0,0,1,0
Cordillera Administrative Region (CAR),PH140000000,Abra,PH140100000,Tubo,PH140126000,0,0,9,0,0,0,0,0,0,0,0,0,0,1,0
Cordillera Administrative Region (CAR),PH140000000,Abra,PH140100000,Villaviciosa,PH140127000,0,0,7,0,0,0,0,0,0,1,0,0,0,1,0
Cordillera Administrative Region (CAR),PH140000000,Apayao,PH148100000,Calanasan (Bayag),PH148101000,0,0,15,1,0,0,0,0,0,1,0,0,0,1,0
Cordillera Administrative Region (CAR),PH140000000,Apayao,PH148100000,Conner,PH148102000,0,0,22,1,0,0,0,0,1,0,0,0,0,1,0
Cordillera Administrative Region (CAR),PH140000000,Apayao,PH148100000,Flora,PH148103000,0,0,15,1,0,0,0,0,0,1,0,0,0,1,0
Cordillera Administrative Region (CAR),PH140000000,Apayao,PH148100000,Kabugao (Capital),PH148104000,0,0,21,2,0,0,0,0,0,1,0,0,0,1,0
Cordillera Administrative Region (CAR),PH140000000,Apayao,PH148100000,Luna,PH148105000,0,0,21,0,0,0,0,0,1,0,0,0,0,1,0
Cordillera Administrative Region (CAR),PH140000000,Apayao,PH148100000,Pudtol,PH148106000,0,0,22,0,0,0,0,0,0,1,0,0,0,1,0
Cordillera Administrative Region (CAR),PH140000000,Apayao,PH148100000,Santa Marcela,PH148107000,0,0,13,0,0,0,0,0,0,1,0,0,0,1,0
Cordillera Administrative Region (CAR),PH140000000,Benguet,PH141100000,Atok,PH141101000,0,0,8,0,0,0,0,0,1,0,0,0,0,1,0
Cordillera Administrative Region (CAR),PH140000000,Benguet,PH141100000,City of Baguio,PH141102000,0,1,0,1,0,0,1,0,7,1,0,0,0,16,0
Cordillera Administrative Region (CAR),PH140000000,Benguet,PH141100000,Bakun,PH141103000,0,0,7,0,0,0,0,0,0,0,0,0,0,1,0
Cordillera Administrative Region (CAR),PH140000000,Benguet,PH141100000,Bokod,PH141104000,0,0,11,0,0,0,0,0,1,0,0,0,0,1,0
Cordillera Administrative Region (CAR),PH140000000,Benguet,PH141100000,Buguias,PH141105000,0,0,14,0,0,0,0,0,1,1,0,0,0,1,0
Cordillera Administrative Region (CAR),PH140000000,Benguet,PH141100000,Itogon,PH141106000,0,0,14,0,0,0,0,0,0,1,0,0,0,1,0
Cordillera Administrative Region (CAR),PH140000000,Benguet,PH141100000,Kabayan,PH141107000,0,0,18,0,0,0,0,0,0,0,0,0,0,1,0
Cordillera Administrative Region (CAR),PH140000000,Benguet,PH141100000,Kapangan,PH141108000,0,0,15,0,0,0,0,0,0,1,0,0,0,1,0
Cordillera Administrative Region (CAR),PH140000000,Benguet,PH141100000,Kibungan,PH141109000,0,0,16,0,0,0,0,0,0,0,0,0,0,1,0
Cordillera Administrative Region (CAR),PH140000000,Benguet,PH141100000,La Trinidad (Capital),PH141110000,0,0,20,0,0,0,0,0,2,1,0,0,0,1,0
Cordillera Administrative Region (CAR),PH140000000,Benguet,PH141100000,Mankayan,PH141111000,0,0,13,0,0,0,0,0,1,0,0,0,0,1,0
