Region,Region code,Province,Province code,City_Municipality,City_Mun Code,Elementary_school,Secondary_school,Enrollment_Elementary_Male,Enrollment_Elementary_Female,Enrollment_Secondary_Male,Enrollment_Secondary_Female
Region I (Ilocos Region),PH010000000,La Union,PH013300000,Bauang,PH013307000,26,7,4.668,4.212,2.159,2.006
Region I (Ilocos Region),PH010000000,La Union,PH013300000,Burgos,PH013308000,8,3,576,579,341,303
Region I (Ilocos Region),PH010000000,La Union,PH013300000,Caba,PH013309000,10,6,1.438,1.275,831,788
Region I (Ilocos Region),PH010000000,La Union,PH013300000,City of San Fernando (Capital),PH013314000,27,12,6.282,5.640,2.845,2.656
Region I (Ilocos Region),PH010000000,La Union,PH013300000,Luna,PH013310000,20,6,2.384,2.138,1.225,1.095
Region I (Ilocos Region),PH010000000,La Union,PH013300000,Naguilian,PH013311000,28,7,3.012,2.715,1.865,1.758
Region I (Ilocos Region),PH010000000,La Union,PH013300000,Pugo,PH013312000,11,5,1.366,1.292,741,757
Region I (Ilocos Region),PH010000000,La Union,PH013300000,Rosario,PH013313000,16,5,3.592,3.243,1.498,1.541
Region I (Ilocos Region),PH010000000,La Union,PH013300000,San Gabriel,PH013315000,14,3,1.265,1.168,619,550
Region I (Ilocos Region),PH010000000,La Union,PH013300000,San Juan,PH013316000,16,2,2.077,1.879,934,819
Region I (Ilocos Region),PH010000000,La Union,PH013300000,Santo Tomas,PH013317000,15,4,2.774,2.571,1.214,1.065
Region I (Ilocos Region),PH010000000,La Union,PH013300000,Santol,PH013318000,15,5,1.112,977,478,482
Region I (Ilocos Region),PH010000000,La Union,PH013300000,Sudipen,PH013319000,12,4,1.080,980,418,392
Region I (Ilocos Region),PH010000000,La Union,PH013300000,Tubao,PH013320000,15,6,2.000,1.752,1.146,1.130
Region I (Ilocos Region),PH010000000,Pangasinan,PH015500000,Agno,PH015501000,18,4,2.223,2.036,971,878
Region I (Ilocos Region),PH010000000,Pangasinan,PH015500000,Aguilar,PH015502000,17,6,3.439,3.217,1.545,1.304
Region I (Ilocos Region),PH010000000,Pangasinan,PH015500000,Alcala,PH015504000,16,7,3.134,2.924,1.622,1.536
Region I (Ilocos Region),PH010000000,Pangasinan,PH015500000,Anda,PH015505000,21,9,3.249,2.888,1.353,1.308
Region I (Ilocos Region),PH010000000,Pangasinan,PH015500000,Asingan,PH015506000,19,7,3.679,3.285,2.022,1.939
Region I (Ilocos Region),PH010000000,Pangasinan,PH015500000,Balungao,PH015507000,18,4,1.988,1.744,1.003,869
Region I (Ilocos Region),PH010000000,Pangasinan,PH015500000,Bani,PH015508000,29,10,3.797,3.364,2.047,1.915
Region I (Ilocos Region),PH010000000,Pangasinan,PH015500000,Basista,PH015509000,11,3,2.852,2.532,1.465,1.339
Region I (Ilocos Region),PH010000000,Pangasinan,PH015500000,Bautista,PH015510000,11,3,2.645,2.429,1.314,1.199
Region I (Ilocos Region),PH010000000,Pangasinan,PH015500000,Bayambang,PH015511000,49,9,9.797,8.624,4.168,4.220
Region I (Ilocos Region),PH010000000,Pangasinan,PH015500000,Binalonan,PH015512000,22,6,3.482,3.213,2.188,2.162
Region I (Ilocos Region),PH010000000,Pangasinan,PH015500000,Binmaley,PH015513000,29,4,5.976,5.502,2.016,1.870
Region I (Ilocos Region),PH010000000,Pangasinan,PH015500000,Bolinao,PH015514000,34,16,6.910,6.428,3.765,3.527
Region I (Ilocos Region),PH010000000,Pangasinan,PH015500000,Bugallon,PH015515000,28,5,5.830,5.169,2.618,2.617
Region I (Ilocos Region),PH010000000,Pangasinan,PH015500000,Burgos,PH015516000,15,3,1.369,1.290,711,680
Region I (Ilocos Region),PH010000000,Pangasinan,PH015500000,Calasiao,PH015517000,27,4,6.501,5.797,3.196,3.171
Region I (Ilocos Region),PH010000000,Pangasinan,PH015500000,City of Alaminos,PH015503000,37,9,6.932,6.448,2.827,3.015
Region I (Ilocos Region),PH010000000,Pangasinan,PH015500000,City of Urdaneta,PH015546000,45,22,9.712,8.995,5.728,5.450
Region I (Ilocos Region),PH010000000,Pangasinan,PH015500000,City of Dagupan,PH015518000,34,8,11.713,10.438,5.784,5.937
Region I (Ilocos Region),PH010000000,Pangasinan,PH015500000,Dasol,PH015519000,17,4,2.285,2.129,744,658
Region I (Ilocos Region),PH010000000,Pangasinan,PH015500000,Infanta,PH015520000,15,4,2.143,1.865,718,739
Region I (Ilocos Region),PH010000000,Pangasinan,PH015500000,Labrador,PH015521000,9,2,1.661,1.522,825,802
Region I (Ilocos Region),PH010000000,Pangasinan,PH015500000,Laoac,PH015548000,14,5,2.181,1.856,860,808
Region I (Ilocos Region),PH010000000,Pangasinan,PH015500000,Lingayen (Capital),PH015522000,32,6,7.879,7.351,4.804,4.627
Region I (Ilocos Region),PH010000000,Pangasinan,PH015500000,Mabini,PH015523000,18,5,1.943,1.751,889,760
Region I (Ilocos Region),PH010000000,Pangasinan,PH015500000,Malasiqui,PH015524000,54,20,10.595,9.592,5.145,4.811
Region I (Ilocos Region),PH010000000,Pangasinan,PH015500000,Manaoag,PH015525000,17,4,4.842,4.389,2.228,2.158
Region I (Ilocos Region),PH010000000,Pangasinan,PH015500000,Mangaldan,PH015526000,25,4,7.676,6.895,3.451,3.473
Region I (Ilocos Region),PH010000000,Pangasinan,PH015500000,Mangatarem,PH015527000,47,7,6.042,5.394,3.089,3.020
Region I (Ilocos Region),PH010000000,Pangasinan,PH015500000,Mapandan,PH015528000,12,4,2.636,2.283,1.472,1.463
Region I (Ilocos Region),PH010000000,Pangasinan,PH015500000,Natividad,PH015529000,18,4,1.756,1.543,581,617
Region I (Ilocos Region),PH010000000,Pangasinan,PH015500000,Pozorrubio,PH015530000,27,9,4.861,4.428,2.599,2.394
Region I (Ilocos Region),PH010000000,Pangasinan,PH015500000,Rosales,PH015531000,29,4,4.523,4.042,2.518,2.464
Region I (Ilocos Region),PH010000000,Pangasinan,PH015500000,City of San Carlos,PH015532000,59,20,15.447,13.835,6.661,6.405
Region I (Ilocos Region),PH010000000,Pangasinan,PH015500000,San Fabian,PH015533000,29,6,6.129,5.598,2.658,2.475
Region I (Ilocos Region),PH010000000,Pangasinan,PH015500000,San Jacinto,PH015534000,16,2,3.079,2.851,1.620,1.583
Region I (Ilocos Region),PH010000000,Pangasinan,PH015500000,San Manuel,PH015535000,23,5,3.331,2.954,1.615,1.550
Region I (Ilocos Region),PH010000000,Pangasinan,PH015500000,San Nicolas,PH015536000,32,9,2.654,2.303,992,897
Region I (Ilocos Region),PH010000000,Pangasinan,PH015500000,San Quintin,PH015537000,16,3,2.580,2.303,858,846
Region I (Ilocos Region),PH010000000,Pangasinan,PH015500000,Santa Barbara,PH015538000,26,7,5.884,5.487,3.146,3.012
Region I (Ilocos Region),PH010000000,Pangasinan,PH015500000,Santa Maria,PH015539000,17,3,2.402,2.162,1.099,1.052
Region I (Ilocos Region),PH010000000,Pangasinan,PH015500000,Santo Tomas,PH015540000,4,2,975,914,536,489
Region I (Ilocos Region),PH010000000,Pangasinan,PH015500000,Sison,PH015541000,27,14,3.403,3.013,1.820,1.650
Region I (Ilocos Region),PH010000000,Pangasinan,PH015500000,Sual,PH015542000,19,3,2.944,2.628,1.360,1.361
Region I (Ilocos Region),PH010000000,Pangasinan,PH015500000,Tayug,PH015543000,17,2,2.870,2.622,1.448,1.627
Region I (Ilocos Region),PH010000000,Pangasinan,PH015500000,Umingan,PH015544000,44,7,4.982,4.586,2.348,2.134
Region I (Ilocos Region),PH010000000,Pangasinan,PH015500000,Urbiztondo,PH015545000,22,7,4.569,4.048,2.579,2.401
Region I (Ilocos Region),PH010000000,Pangasinan,PH015500000,Villasis,PH015547000,22,7,4.603,4.159,2.189,2.075
Region II (Cagayan Valley),PH020000000,Batanes,PH020900000,Basco (Capital),PH020901000,5,1,585,546,373,392
Region II (Cagayan Valley),PH020000000,Batanes,PH020900000,Itbayat,PH020902000,4,2,270,192,151,144
Region II (Cagayan Valley),PH020000000,Batanes,PH020900000,Ivana,PH020903000,2,1,70,87,68,53
Region II (Cagayan Valley),PH020000000,Batanes,PH020900000,Mahatao,PH020904000,2,1,81,89,63,59
Region II (Cagayan Valley),PH020000000,Batanes,PH020900000,Sabtang,PH020905000,5,1,108,110,61,56
Region II (Cagayan Valley),PH020000000,Batanes,PH020900000,Uyugan,PH020906000,3,2,92,63,61,45
Region II (Cagayan Valley),PH020000000,Cagayan,PH021500000,Abulug,PH021501000,25,3,2.584,2.461,853,883
Region II (Cagayan Valley),PH020000000,Cagayan,PH021500000,Alcala,PH021502000,26,3,2.969,2.681,819,782
Region II (Cagayan Valley),PH020000000,Cagayan,PH021500000,Allacapan,PH021503000,25,6,2.703,2.460,1.134,1.201
Region II (Cagayan Valley),PH020000000,Cagayan,PH021500000,Amulung,PH021504000,42,7,3.615,3.394,1.475,1.464
Region II (Cagayan Valley),PH020000000,Cagayan,PH021500000,Aparri,PH021505000,35,4,5.108,4.731,1.807,1.957
Region II (Cagayan Valley),PH020000000,Cagayan,PH021500000,Baggao,PH021506000,64,9,7.038,6.382,2.665,2.599
Region II (Cagayan Valley),PH020000000,Cagayan,PH021500000,Ballesteros,PH021507000,20,1,2.510,2.365,960,962
Region II (Cagayan Valley),PH020000000,Cagayan,PH021500000,Buguey,PH021508000,33,5,2.459,2.173,890,932
Region II (Cagayan Valley),PH020000000,Cagayan,PH021500000,Calayan,PH021509000,17,5,1.576,1.395,778,689
Region II (Cagayan Valley),PH020000000,Cagayan,PH021500000,Camalaniugan,PH021510000,10,3,1.670,1.563,1.014,1.074
Region II (Cagayan Valley),PH020000000,Cagayan,PH021500000,Claveria,PH021511000,24,3,1.764,1.648,891,785
Region II (Cagayan Valley),PH020000000,Cagayan,PH021500000,Enrile,PH021512000,19,4,2.499,2.348,1.326,1.129
Region II (Cagayan Valley),PH020000000,Cagayan,PH021500000,Gattaran,PH021513000,46,4,4.356,3.814,1.605,1.681
Region II (Cagayan Valley),PH020000000,Cagayan,PH021500000,Gonzaga,PH021514000,27,6,3.188,2.955,1.169,1.168
Region II (Cagayan Valley),PH020000000,Cagayan,PH021500000,Iguig,PH021515000,14,3,2.033,1.786,927,853
Region II (Cagayan Valley),PH020000000,Cagayan,PH021500000,Lal-Lo,PH021516000,31,4,3.331,2.999,1.549,1.488
Region II (Cagayan Valley),PH020000000,Cagayan,PH021500000,Lasam,PH021517000,25,5,2.703,2.515,1.148,1.180
Region II (Cagayan Valley),PH020000000,Cagayan,PH021500000,Pamplona,PH021518000,16,3,1.936,1.638,672,650
Region II (Cagayan Valley),PH020000000,Cagayan,PH021500000,Peñablanca,PH021519000,26,4,3.376,3.121,1.513,1.456
Region II (Cagayan Valley),PH020000000,Cagayan,PH021500000,Piat,PH021520000,12,1,1.708,1.655,489,447
Region II (Cagayan Valley),PH020000000,Cagayan,PH021500000,Rizal,PH021521000,16,2,1.317,1.228,309,286
Region II (Cagayan Valley),PH020000000,Cagayan,PH021500000,Sanchez-Mira,PH021522000,19,2,1.573,1.474,843,762
Region II (Cagayan Valley),PH020000000,Cagayan,PH021500000,Santa Ana,PH021523000,19,2,2.734,2.370,897,879
Region II (Cagayan Valley),PH020000000,Cagayan,PH021500000,Santa Praxedes,PH021524000,7,1,539,457,150,188
Region II (Cagayan Valley),PH020000000,Cagayan,PH021500000,Santa Teresita,PH021525000,13,2,1.266,1.242,487,488
Region II (Cagayan Valley),PH020000000,Cagayan,PH021500000,Santo Niño (Faire),PH021526000,29,4,2.184,2.036,819,809
Region II (Cagayan Valley),PH020000000,Cagayan,PH021500000,Solana,PH021527000,34,6,6.195,5.939,2.453,2.473
Region II (Cagayan Valley),PH020000000,Cagayan,PH021500000,Tuao,PH021528000,31,7,4.669,4.189,2.020,1.957
Region II (Cagayan Valley),PH020000000,Cagayan,PH021500000,Tuguegarao City (Capital),PH021529000,29,6,9.997,9.317,4.491,4.677
Region II (Cagayan Valley),PH020000000,Isabela,PH023100000,Alicia,PH023101000,34,4,4.824,4.370,1.616,1.779
Region II (Cagayan Valley),PH020000000,Isabela,PH023100000,Angadanan,PH023102000,49,12,2.929,2.734,1.351,1.275
Region II (Cagayan Valley),PH020000000,Isabela,PH023100000,Aurora,PH023103000,28,1,2.543,2.393,1.243,1.295
Region II (Cagayan Valley),PH020000000,Isabela,PH023100000,Benito Soliven,PH023104000,31,6,2.442,2.224,1.192,1.073
Region II (Cagayan Valley),PH020000000,Isabela,PH023100000,Burgos,PH023105000,12,3,1.817,1.617,816,761
Region II (Cagayan Valley),PH020000000,Isabela,PH023100000,Cabagan,PH023106000,26,4,3.727,3.440,1.727,1.750
Region II (Cagayan Valley),PH020000000,Isabela,PH023100000,Cabatuan,PH023107000,16,3,2.465,2.257,1.051,1.051
Region II (Cagayan Valley),PH020000000,Isabela,PH023100000,City of Cauayan,PH023108000,65,14,10.014,9.145,4.110,4.408
Region II (Cagayan Valley),PH020000000,Isabela,PH023100000,City of Santiago,PH023135000,32,12,10.232,9.495,3.709,3.886
Region II (Cagayan Valley),PH020000000,Isabela,PH023100000,Cordon,PH023109000,21,5,3.475,3.185,1.139,1.123
Region II (Cagayan Valley),PH020000000,Isabela,PH023100000,Delfin Albano (Magsaysay),PH023118000,20,4,1.819,1.656,776,696
Region II (Cagayan Valley),PH020000000,Isabela,PH023100000,Dinapigue,PH023110000,3,1,493,456,227,201
Region II (Cagayan Valley),PH020000000,Isabela,PH023100000,Divilacan,PH023111000,5,1,355,342,164,146
Region II (Cagayan Valley),PH020000000,Isabela,PH023100000,Echague,PH023112000,57,8,5.855,5.313,2.038,2.034
Region II (Cagayan Valley),PH020000000,Isabela,PH023100000,Gamu,PH023113000,16,3,2.115,1.962,944,843
Region II (Cagayan Valley),PH020000000,Isabela,PH023100000,City of Ilagan (Capital),PH023114000,88,17,10.370,9.533,5.051,4.891
Region II (Cagayan Valley),PH020000000,Isabela,PH023100000,Jones,PH023115000,44,8,2.859,2.623,1.400,1.445
Region II (Cagayan Valley),PH020000000,Isabela,PH023100000,Luna,PH023116000,10,3,1.238,1.230,645,607
Region II (Cagayan Valley),PH020000000,Isabela,PH023100000,Maconacon,PH023117000,2,1,295,255,126,135
Region II (Cagayan Valley),PH020000000,Isabela,PH023100000,Mallig,PH023119000,16,4,2.171,2.046,877,841
Region II (Cagayan Valley),PH020000000,Isabela,PH023100000,Naguilian,PH023120000,25,3,2.390,2.283,793,784
Region II (Cagayan Valley),PH020000000,Isabela,PH023100000,Palanan,PH023121000,21,3,1.636,1.491,713,697
Region II (Cagayan Valley),PH020000000,Isabela,PH023100000,Quezon,PH023122000,13,4,2.038,1.891,872,885
Region II (Cagayan Valley),PH020000000,Isabela,PH023100000,Quirino,PH023123000,20,5,1.664,1.520,765,659
Region II (Cagayan Valley),PH020000000,Isabela,PH023100000,Ramon,PH023124000,21,5,4.073,3.729,1.689,1.712
Region II (Cagayan Valley),PH020000000,Isabela,PH023100000,Reina Mercedes,PH023125000,15,4,1.855,1.725,1.146,1.053
Region II (Cagayan Valley),PH020000000,Isabela,PH023100000,Roxas,PH023126000,19,6,4.165,4.025,1.989,2.072
Region II (Cagayan Valley),PH020000000,Isabela,PH023100000,San Agustin,PH023127000,23,4,1.321,1.198,586,522
Region II (Cagayan Valley),PH020000000,Isabela,PH023100000,San Guillermo,PH023128000,28,6,1.746,1.555,741,720
Region II (Cagayan Valley),PH020000000,Isabela,PH023100000,San Isidro,PH023129000,13,3,1.560,1.442,635,558
Region II (Cagayan Valley),PH020000000,Isabela,PH023100000,San Manuel,PH023130000,18,5,2.387,2.195,953,932
Region II (Cagayan Valley),PH020000000,Isabela,PH023100000,San Mariano,PH023131000,41,16,4.934,4.362,2.030,2.102
Region II (Cagayan Valley),PH020000000,Isabela,PH023100000,San Mateo,PH023132000,28,4,3.824,3.682,1.538,1.539
Region II (Cagayan Valley),PH020000000,Isabela,PH023100000,San Pablo,PH023133000,16,4,1.834,1.774,836,792
Region II (Cagayan Valley),PH020000000,Isabela,PH023100000,Santa Maria,PH023134000,16,3,2.069,1.981,986,847
Region II (Cagayan Valley),PH020000000,Isabela,PH023100000,Santo Tomas,PH023136000,18,2,1.743,1.571,891,839
Region II (Cagayan Valley),PH020000000,Isabela,PH023100000,Tumauini,PH023137000,34,8,5.251,4.888,2.483,2.468
Region II (Cagayan Valley),PH020000000,Nueva Vizcaya,PH025000000,Alfonso Castaneda,PH025015000,11,3,823,706,322,360
Region II (Cagayan Valley),PH020000000,Nueva Vizcaya,PH025000000,Ambaguio,PH025001000,15,2,964,892,162,264
Region II (Cagayan Valley),PH020000000,Nueva Vizcaya,PH025000000,Aritao,PH025002000,25,2,2.945,2.656,1.007,1.043
Region II (Cagayan Valley),PH020000000,Nueva Vizcaya,PH025000000,Bagabag,PH025003000,24,4,2.725,2.456,1.063,1.123
Region II (Cagayan Valley),PH020000000,Nueva Vizcaya,PH025000000,Bambang,PH025004000,30,2,3.797,3.571,1.241,1.410
Region II (Cagayan Valley),PH020000000,Nueva Vizcaya,PH025000000,Bayombong (Capital),PH025005000,26,5,4.323,3.972,1.865,1.991
Region II (Cagayan Valley),PH020000000,Nueva Vizcaya,PH025000000,Diadi,PH025006000,19,1,1.454,1.326,478,522
Region II (Cagayan Valley),PH020000000,Nueva Vizcaya,PH025000000,Dupax del Norte,PH025007000,21,5,2.137,1.904,891,925
Region II (Cagayan Valley),PH020000000,Nueva Vizcaya,PH025000000,Dupax del Sur,PH025008000,17,3,1.426,1.292,443,446
Region II (Cagayan Valley),PH020000000,Nueva Vizcaya,PH025000000,Kasibu,PH025009000,35,5,3.398,3.029,995,1.177
Region II (Cagayan Valley),PH020000000,Nueva Vizcaya,PH025000000,Kayapa,PH025010000,41,7,1.975,1.821,563,696
Region II (Cagayan Valley),PH020000000,Nueva Vizcaya,PH025000000,Quezon,PH025011000,18,2,1.751,1.678,588,651
Region II (Cagayan Valley),PH020000000,Nueva Vizcaya,PH025000000,Santa Fe,PH025012000,15,2,1.217,1.073,419,577
Region II (Cagayan Valley),PH020000000,Nueva Vizcaya,PH025000000,Solano,PH025013000,23,3,4.121,3.854,1.517,1.613
Region II (Cagayan Valley),PH020000000,Nueva Vizcaya,PH025000000,Villaverde,PH025014000,12,1,1.328,1.210,537,509
Region II (Cagayan Valley),PH020000000,Quirino,PH025700000,Aglipay,PH025701000,29,6,2.296,1.988,884,885
Region II (Cagayan Valley),PH020000000,Quirino,PH025700000,Cabarroguis (Capital),PH025702000,25,9,2.511,2.276,1.552,1.539
Region II (Cagayan Valley),PH020000000,Quirino,PH025700000,Diffun,PH025703000,44,6,4.019,3.629,1.411,1.476
Region II (Cagayan Valley),PH020000000,Quirino,PH025700000,Maddela,PH025704000,33,8,2.762,2.567,1.445,1.452
Region II (Cagayan Valley),PH020000000,Quirino,PH025700000,Nagtipunan,PH025706000,30,9,1.931,1.745,757,787
Region II (Cagayan Valley),PH020000000,Quirino,PH025700000,Saguday,PH025705000,11,1,1.108,1.024,488,560
Region III (Central Luzon),PH030000000,Aurora,PH037700000,Baler (Capital),PH037701000,11,7,3.243,2.890,1.411,1.471
Region III (Central Luzon),PH030000000,Aurora,PH037700000,Casiguran,PH037702000,15,4,2.046,1.878,1.060,962
Region III (Central Luzon),PH030000000,Aurora,PH037700000,Dilasag,PH037703000,14,5,1.485,1.324,670,674
Region III (Central Luzon),PH030000000,Aurora,PH037700000,Dinalungan,PH037704000,8,2,950,904,405,495
Region III (Central Luzon),PH030000000,Aurora,PH037700000,Dingalan,PH037705000,14,4,2.225,2.016,923,982
Region III (Central Luzon),PH030000000,Aurora,PH037700000,Dipaculao,PH037706000,23,6,2.708,2.458,1.123,1.177
Region III (Central Luzon),PH030000000,Aurora,PH037700000,Maria Aurora,PH037707000,32,10,3.327,3.216,1.346,1.340
Region III (Central Luzon),PH030000000,Aurora,PH037700000,San Luis,PH037708000,19,5,2.344,2.085,1.025,983
Region III (Central Luzon),PH030000000,Bataan,PH030800000,Abucay,PH030801000,12,2,2.743,2.623,1.021,1.002
