Region Name,Region PSGC,Province Name,Province PSGC,City/Municipality Name,City/Municipality PSGC,Ownership Major Classification,Ambulatory Surgical Clinic,Animal Bite Treatment Center,Barangay Health Station,Birthing Home,City Health Office,COVID-19 Testing Laboratory,DepEd Clinic,Dialysis Clinic,Drug Abuse Treatment and Rehabilitation Centers,Drug Testing Laboratory,General Clinic Laboratory,Hospital,Infirmary,Municipal Health Office,Provincial Health Office,Psychiatric Care Facility,Rural Health Unit,Social hygiene Clinic,Total
AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),PH150000000,LANAO DEL SUR,PH153600000,LUMBA-BAYABAO (MAGUING),PH153611000,Government,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4
AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),PH150000000,LANAO DEL SUR,PH153600000,LUMBACA-UNAYAN,PH153641000,Government,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),PH150000000,LANAO DEL SUR,PH153600000,LUMBATAN,PH153612000,Government,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2
AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),PH150000000,LANAO DEL SUR,PH153600000,LUMBAYANAGUE,PH153636000,Government,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2
AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),PH150000000,LANAO DEL SUR,PH153600000,MADALUM,PH153613000,Government,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3
AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),PH150000000,LANAO DEL SUR,PH153600000,MADAMBA,PH153614000,Government,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3
AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),PH150000000,LANAO DEL SUR,PH153600000,MAGUING,PH153634000,Government,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4
AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),PH150000000,LANAO DEL SUR,PH153600000,MALABANG,PH153615000,Government,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,4
AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),PH150000000,LANAO DEL SUR,PH153600000,MALABANG,PH153615000,Private,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2
AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),PH150000000,LANAO DEL SUR,PH153600000,MARANTAO,PH153616000,Government,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7
AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),PH150000000,LANAO DEL SUR,PH153600000,MARAWI CITY (Capital),PH153617000,Government,0,0,44,2,0,2,0,0,0,0,0,1,0,0,0,0,5,0,54
AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),PH150000000,LANAO DEL SUR,PH153600000,MARAWI CITY (Capital),PH153617000,Private,0,0,0,3,0,0,0,0,0,0,0,3,6,0,0,0,0,0,12
AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),PH150000000,LANAO DEL SUR,PH153600000,MAROGONG,PH153631000,Government,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3
AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),PH150000000,LANAO DEL SUR,PH153600000,MASIU,PH153618000,Government,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5
AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),PH150000000,LANAO DEL SUR,PH153600000,MULONDO,PH153619000,Government,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3
AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),PH150000000,LANAO DEL SUR,PH153600000,PAGAYAWAN (TATARIKAN),PH153620000,Government,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),PH150000000,LANAO DEL SUR,PH153600000,PIAGAPO,PH153621000,Government,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6
AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),PH150000000,LANAO DEL SUR,PH153600000,PICONG (SULTAN GUMANDER),PH153635000,Government,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5
AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),PH150000000,LANAO DEL SUR,PH153600000,POONA BAYABAO (GATA),PH153622000,Government,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4
AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),PH150000000,LANAO DEL SUR,PH153600000,PUALAS,PH153623000,Government,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),PH150000000,LANAO DEL SUR,PH153600000,SAGUIARAN,PH153625000,Government,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,8
AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),PH150000000,LANAO DEL SUR,PH153600000,SULTAN DUMALONDONG,PH153640000,Government,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2
AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),PH150000000,LANAO DEL SUR,PH153600000,TAGOLOAN II,PH153638000,Government,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2
AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),PH150000000,LANAO DEL SUR,PH153600000,TAMPARAN,PH153626000,Government,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,3
AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),PH150000000,LANAO DEL SUR,PH153600000,TAMPARAN,PH153626000,Private,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),PH150000000,LANAO DEL SUR,PH153600000,TARAKA,PH153627000,Government,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4
AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),PH150000000,LANAO DEL SUR,PH153600000,TUBARAN,PH153628000,Government,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),PH150000000,LANAO DEL SUR,PH153600000,TUGAYA,PH153629000,Government,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3
AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),PH150000000,LANAO DEL SUR,PH153600000,WAO,PH153630000,Government,0,0,26,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,29
AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),PH150000000,MAGUINDANAO,PH153800000,AMPATUAN,PH153801000,Government,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5
AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),PH150000000,MAGUINDANAO,PH153800000,AMPATUAN,PH153801000,Private,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),PH150000000,MAGUINDANAO,PH153800000,BARIRA,PH153818000,Government,0,0,9,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,11
AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),PH150000000,MAGUINDANAO,PH153800000,BULDON,PH153802000,Government,0,0,9,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,11
AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),PH150000000,MAGUINDANAO,PH153800000,BULDON,PH153802000,Private,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),PH150000000,MAGUINDANAO,PH153800000,BULUAN,PH153803000,Government,0,0,2,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,5
AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),PH150000000,MAGUINDANAO,PH153800000,BULUAN,PH153803000,Private,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,4
AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),PH150000000,MAGUINDANAO,PH153800000,DATU ABDULLAH SANGKI,PH153828000,Government,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5
AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),PH150000000,MAGUINDANAO,PH153800000,DATU ABDULLAH SANGKI,PH153828000,Private,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),PH150000000,MAGUINDANAO,PH153800000,DATU ANGGAL MIDTIMBANG,PH153831000,Government,0,0,5,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,9
AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),PH150000000,MAGUINDANAO,PH153800000,DATU BLAH T. SINSUAT,PH153830000,Government,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4
AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),PH150000000,MAGUINDANAO,PH153800000,DATU HOFFER AMPATUAN,PH153835000,Government,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,4
AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),PH150000000,MAGUINDANAO,PH153800000,DATU ODIN SINSUAT (DINAIG),PH153807000,Government,0,0,20,2,0,0,0,0,0,0,0,2,0,0,0,0,1,0,25
AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),PH150000000,MAGUINDANAO,PH153800000,DATU ODIN SINSUAT (DINAIG),PH153807000,Private,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),PH150000000,MAGUINDANAO,PH153800000,DATU PAGLAS,PH153805000,Government,0,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,10
AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),PH150000000,MAGUINDANAO,PH153800000,DATU PAGLAS,PH153805000,Private,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3
AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),PH150000000,MAGUINDANAO,PH153800000,DATU PIANG,PH153806000,Government,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7
AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),PH150000000,MAGUINDANAO,PH153800000,DATU PIANG,PH153806000,Private,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2
AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),PH150000000,MAGUINDANAO,PH153800000,DATU SALIBO,PH153836000,Government,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2
AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),PH150000000,MAGUINDANAO,PH153800000,DATU SAUDI-AMPATUAN,PH153826000,Government,0,0,6,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,9
AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),PH150000000,MAGUINDANAO,PH153800000,DATU SAUDI-AMPATUAN,PH153826000,Private,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),PH150000000,MAGUINDANAO,PH153800000,DATU UNSAY,PH153827000,Government,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4
AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),PH150000000,MAGUINDANAO,PH153800000,GEN. S.K. PENDATUN,PH153819000,Government,0,0,7,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,11
AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),PH150000000,MAGUINDANAO,PH153800000,GEN. S.K. PENDATUN,PH153819000,Private,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),PH150000000,MAGUINDANAO,PH153800000,GUINDULUNGAN,PH153825000,Government,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5
AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),PH150000000,MAGUINDANAO,PH153800000,GUINDULUNGAN,PH153825000,Private,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3
AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),PH150000000,MAGUINDANAO,PH153800000,KABUNTALAN (TUMBAO),PH153814000,Government,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6
AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),PH150000000,MAGUINDANAO,PH153800000,MAMASAPANO,PH153820000,Government,1,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,9
AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),PH150000000,MAGUINDANAO,PH153800000,MANGUDADATU,PH153832000,Government,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3
AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),PH150000000,MAGUINDANAO,PH153800000,MATANOG,PH153809000,Government,0,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,9
AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),PH150000000,MAGUINDANAO,PH153800000,NORTHERN KABUNTALAN,PH153834000,Government,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7
AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),PH150000000,MAGUINDANAO,PH153800000,PAGAGAWAN,PH153822000,Government,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7
AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),PH150000000,MAGUINDANAO,PH153800000,PAGALUNGAN,PH153810000,Government,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5
AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),PH150000000,MAGUINDANAO,PH153800000,PAGLAT,PH153823000,Government,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6
AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),PH150000000,MAGUINDANAO,PH153800000,PANDAG,PH153833000,Government,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6
AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),PH150000000,MAGUINDANAO,PH153800000,PARANG,PH153811000,Government,0,0,14,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,17
AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),PH150000000,MAGUINDANAO,PH153800000,PARANG,PH153811000,Private,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),PH150000000,MAGUINDANAO,PH153800000,RAJAH BUAYAN,PH153829000,Government,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6
AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),PH150000000,MAGUINDANAO,PH153800000,RAJAH BUAYAN,PH153829000,Private,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),PH150000000,MAGUINDANAO,PH153800000,SHARIFF AGUAK (MAGANOY) (Capital),PH153808000,Government,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5
AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),PH150000000,MAGUINDANAO,PH153800000,SHARIFF AGUAK (MAGANOY) (Capital),PH153808000,Private,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),PH150000000,MAGUINDANAO,PH153800000,SHARIFF SAYDONA MUSTAPHA,PH153837000,Government,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4
AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),PH150000000,MAGUINDANAO,PH153800000,SHARIFF SAYDONA MUSTAPHA,PH153837000,Private,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),PH150000000,MAGUINDANAO,PH153800000,SOUTH UPI,PH153817000,Government,0,0,8,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,11
AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),PH150000000,MAGUINDANAO,PH153800000,SULTAN KUDARAT (NULING),PH153812000,Government,0,0,24,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,27
AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),PH150000000,MAGUINDANAO,PH153800000,SULTAN KUDARAT (NULING),PH153812000,Private,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),PH150000000,MAGUINDANAO,PH153800000,SULTAN MASTURA,PH153824000,Government,0,0,12,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,14
AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),PH150000000,MAGUINDANAO,PH153800000,SULTAN SA BARONGIS (LAMBAYONG),PH153813000,Government,0,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,9
AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),PH150000000,MAGUINDANAO,PH153800000,SULTAN SA BARONGIS (LAMBAYONG),PH153813000,Private,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),PH150000000,MAGUINDANAO,PH153800000,TALAYAN,PH153816000,Government,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,8
AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),PH150000000,MAGUINDANAO,PH153800000,TALAYAN,PH153816000,Private,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),PH150000000,MAGUINDANAO,PH153800000,TALITAY,PH153821000,Government,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4
AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),PH150000000,MAGUINDANAO,PH153800000,UPI,PH153815000,Government,0,0,17,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,20
AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),PH150000000,SULU,PH156600000,HADJI PANGLIMA TAHIL (MARUNGGAS),PH156606000,Government,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4
AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),PH150000000,SULU,PH156600000,INDANAN,PH156601000,Government,0,0,9,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,11
AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),PH150000000,SULU,PH156600000,JOLO (Capital),PH156602000,Government,0,0,6,1,0,0,0,0,0,0,0,2,0,0,0,0,1,0,10
AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),PH150000000,SULU,PH156600000,JOLO (Capital),PH156602000,Private,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),PH150000000,SULU,PH156600000,KALINGALAN CALUANG,PH156603000,Government,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7
AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),PH150000000,SULU,PH156600000,LUGUS,PH156617000,Government,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5
AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),PH150000000,SULU,PH156600000,LUUK,PH156604000,Government,0,0,5,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,8
AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),PH150000000,SULU,PH156600000,MAIMBUNG,PH156605000,Government,0,0,9,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,11
AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),PH150000000,SULU,PH156600000,OLD PANAMAO,PH156607000,Government,0,0,7,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,9
AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),PH150000000,SULU,PH156600000,OMAR,PH156619000,Government,0,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,9
AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),PH150000000,SULU,PH156600000,PANDAMI,PH156618000,Government,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5
AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),PH150000000,SULU,PH156600000,PANGLIMA ESTINO (NEW PANAMAO),PH156616000,Government,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,9
