city_municipality,Budget for DRRMP,Early Warning System,Land Use Plan,Annual Disaster Drill,Poverty Incidents,Cluster_Id,Vulnerability
Amlan,0.007124497859910439,0.5149600000000001,0.9948800000000001,0.5741589213247807,0.13382114131784575,0,medium
Ampatuan,0.006850478711452346,0.502,0.96,0.549024741458306,0.7221201179399983,0,medium
Amulung,0.05891411691849017,0.5044,0.78788,0.4381027185059126,0.1689738838049023,0,medium
Anahawan,0.009590670196033284,0.5189199999999999,0.4,0.43635728934851853,0.27303109616695004,1,high
Anao,0.010412727641407566,0.51136,0.9384800000000001,0.445651699611642,0.03842474956855102,0,medium
Anda (BL),0.008494593602200909,0.50756,0.9846,0.445651699611642,0.13000019104751354,0,medium
Anda (PS),0.006850478711452346,0.51592,0.97144,0.5526028712309639,0.2955747027619102,0,medium
Angadanan,0.006302440414536158,0.50596,0.96412,0.5454466116856481,0.15432690776862873,0,medium
Angat,0.06001019351232255,0.50512,0.9897600000000001,0.5527337784177684,0.030782849027886566,0,medium
Angeles,0.23017608470479883,1.0,0.8615200000000001,0.8181699175284722,0.0,2,low
Angono,0.07699938071672437,0.5803999999999999,0.9545600000000001,0.5636427106514814,0.02390513854128855,0,medium
Anilao,0.006028421266078065,0.501,0.9179600000000001,0.5598027665052144,0.26003986524782047,0,medium
Anini-Y,0.006576459562994252,0.505,0.9371600000000001,0.0,0.21100433677855684,0,medium
Antequera,0.006302440414536158,0.502,0.9897600000000001,0.5454466116856481,0.1707569939310573,0,medium
Antipas,0.050967561613205446,0.5022000000000001,0.9743600000000001,0.6981716629576297,0.33633150564545405,0,medium
Antipolo,0.43596446519682724,1.0,0.96364,0.9999999999999999,0.04058995472173929,2,low
Apalit,0.0578180403246578,0.5036400000000001,0.96364,0.547279312300912,0.031929134108986235,0,medium
Aparri,0.05891411691849017,0.5036400000000001,0.96364,0.5527337784177684,0.14120831184048804,0,medium
Araceli,0.0,0.40396000000000004,0.7838,0.0,0.21635366715702195,0,medium
Arakan,0.05891411691849017,0.50072,0.77436,0.5490683771872409,0.5082742678104044,0,medium
Arayat,0.0578180403246578,0.50072,0.97272,0.5454466116856481,0.053581185640868875,0,medium
Argao,0.033156316963429355,0.5036400000000001,0.99092,0.5454466116856481,0.17457794420138956,0,medium
Aringay,0.05891411691849017,0.54384,0.99092,0.5490683771872409,0.027980818829642925,0,medium
Aritao,0.05891411691849017,0.50584,0.94872,0.5454466116856481,0.17368638913831203,0,medium
Aroroy,0.044117082901753105,0.5109600000000001,0.9230800000000001,0.5527337784177684,0.4466296034490444,0,medium
Arteche,0.006850478711452346,0.5069600000000001,0.8,0.5526028712309639,0.7191907227327435,0,medium
Asingan,0.049597465870914986,0.5343600000000001,0.96364,0.5527337784177684,0.10478191926332077,0,medium
Asipulo,0.013974976571362787,0.53788,0.97692,0.5856351180346467,0.3801450687452636,0,medium
Asturias,0.004932344672245689,0.5069600000000001,0.97144,0.5562246367325565,0.30321660330257466,0,medium
Asuncion,0.05124158076166355,0.50072,0.9743600000000001,0.5454466116856481,0.20285297620184808,0,medium
Atimonan,0.04466512119866929,0.5036400000000001,0.9818,0.5527337784177684,0.04976023537053664,0,medium
Atok,0.10522335300790803,0.51992,0.7892000000000001,0.549024741458306,0.20973068668844608,0,medium
Aurora (IA),0.005206363820703783,0.503,0.94872,0.549024741458306,0.1150984849932178,0,medium
Aurora (ZR),0.006302440414536158,0.50072,0.96364,0.5454466116856481,0.35161530672678293,0,medium
Ayungon,0.05891411691849017,0.50148,0.9,0.003621765501592704,0.36053085735755813,0,medium
Baao,0.005206363820703783,0.501,0.7282000000000001,0.549024741458306,0.30576390348279614,0,medium
Babatngon,0.006576459562994252,0.40080000000000005,0.97716,0.42854649386918003,0.3939004897184596,0,medium
Bacacay,0.05946215521540636,0.50072,0.9454400000000001,0.5454466116856481,0.3733947232676767,0,medium
Bacarra,0.006576459562994252,0.51992,0.96924,0.549024741458306,0.01575377796457979,0,medium
Baclayon,0.006850478711452346,0.0,0.9485600000000001,0.43657546799319275,0.11471638996618456,0,medium
Bacnotan,0.05891411691849017,0.60528,0.99092,0.5490683771872409,0.0,0,medium
Baco,0.006576459562994252,0.501,0.9885600000000001,0.549024741458306,0.1862955250304084,0,medium
Bacolod (LN),0.006850478711452346,0.51592,0.9948800000000001,0.5454466116856481,0.2321469282743952,0,medium
Bacolod (NO),0.32197249943826023,1.0,1.0,0.8181699175284722,0.05740213591120111,2,low
Bacolod-Kalawi,0.006850478711452346,0.502,1.0,0.549024741458306,0.8205732699055588,0,medium
Bacolor,0.006850478711452346,0.502,0.9885600000000001,0.5598027665052144,0.01830107814480127,0,medium
Bacong,0.009042631899117096,0.4,0.2,0.5454466116856481,0.14910494239917468,1,high
Bacoor,0.7020370583496364,1.0,0.97272,0.9999999999999999,0.02173993338810028,2,low
Bacuag,0.01068674678986566,0.57576,0.78888,0.4675131998080027,0.37657884849295353,0,medium
Bacungan Leon B. Postigo,0.006850478711452346,0.505,0.9885600000000001,0.5454466116856481,0.6823822351285431,0,medium
Badian,0.006850478711452346,0.502,0.9846,0.5454466116856481,0.3095848537531284,0,medium
Badiangan,0.006850478711452346,0.502,0.41080000000000005,0.5633808962778722,0.175342134255456,1,high
Badoc,0.006850478711452346,0.5538000000000001,0.95384,0.5526028712309639,0.04428353998306045,0,medium
Bagabag,0.15016249335503543,0.50148,0.9,0.5454466116856481,0.08262040769539383,0,medium
Bagac,0.006302440414536158,0.504,0.96572,0.5454466116856481,0.04937814034350342,0,medium
Bagamanoc,0.0046583255237875945,0.5038,0.86924,0.43635728934851853,0.26131351533793123,0,medium
Baganga,0.05891411691849017,0.50292,0.99092,0.5800061090020509,0.43503938762903666,0,medium
Baggao,0.06275038499690348,0.52924,0.9454400000000001,0.5454466116856481,0.1436282470116985,0,medium
Bago,0.7020370583496364,1.0,0.96,0.9545315704498842,0.13738736157015582,2,low
Baguio,0.01068674678986566,0.53032,0.90768,0.5530828642492472,0.023013583478211027,0,medium
Bagulin,0.01068674678986566,0.53788,0.9892000000000002,0.5492865558319151,0.04211833482987218,0,medium
Bagumbayan,0.05836607862157398,0.50512,0.9272800000000001,0.5490683771872409,0.3936457597004375,0,medium
Bais,0.5463941820254391,1.0,0.9986000000000002,0.9999999999999999,0.2624598004190309,2,low
Bakun,0.0030142106330390325,0.504,0.0,0.5454466116856481,0.2003056760216266,1,high
Balabac,0.0,0.4,0.71284,0.5236287472182222,0.35085111667271646,0,medium
Balabagan,0.006850478711452346,0.50996,1.0,0.5598027665052144,0.9075635710601226,0,medium
Balagtas,0.01068674678986566,0.50148,0.97272,0.5509010778025046,0.015116952919524414,0,medium
Balamban,0.05398177224624448,0.50148,0.97272,0.556355543919361,0.21278744690471185,0,medium
Balanga,0.7450580646575571,1.0,0.9363600000000001,0.9999999999999999,0.015244317928535488,2,low
Balangiga,0.006850478711452346,0.501,0.0,0.0,0.6097841799922307,1,high
Balangkayan,0.0046583255237875945,0.5,0.9589600000000001,0.42854649386918003,0.6142419553076183,0,medium
Balaoan,0.05891411691849017,0.52924,0.99092,0.547279312300912,0.012824382757325076,0,medium
Balasan,0.006576459562994252,0.52788,0.94284,0.5669590260505301,0.23622260856274951,0,medium
Balatan,0.0,0.5,0.97716,0.0,0.46102184946729585,0,medium
Balayan,0.05891411691849017,0.50292,0.8871600000000002,0.5527337784177684,0.10465455425430971,0,medium
Balbalan,0.006302440414536158,0.503,0.96,0.5454466116856481,0.1752147692464449,0,medium
Baleno,0.006850478711452346,0.505,0.9314399999999999,0.5454466116856481,0.39300893465538206,0,medium
Baler,0.006576459562994252,0.53188,0.9885600000000001,0.5598027665052144,0.06555349648790987,0,medium
Balete (AK),0.004384306375329501,0.502,0.90856,0.43657546799319275,0.1918995854268957,0,medium
Balete (BS),0.01068674678986566,0.5038,0.9230800000000001,0.5703189771785137,0.13331168128180146,0,medium
Baliangao,0.008220574453742815,0.5038,0.9897600000000001,0.5473665837587817,0.31289634398741634,0,medium
Baliguian,0.0046583255237875945,0.502,0.0,0.5454466116856481,0.6413707022269771,1,high
Balilihan,0.006850478711452346,0.502,0.8971600000000001,0.43701182528254134,0.2331658483464838,0,medium
Balindong,0.006850478711452346,0.502,1.0,0.549024741458306,0.8301256455813893,0,medium
Balingasag,0.05891411691849017,0.50072,0.9589600000000001,0.547279312300912,0.22870807303109614,0,medium
Balingoan,0.16139727844181728,0.5038,0.9025600000000001,0.5492865558319151,0.20731075151723566,0,medium
Baliwag,0.061380289254613016,0.5234,0.96364,0.5490683771872409,0.02275885346018888,0,medium
Ballesteros,0.008494593602200909,0.502,0.9179600000000001,0.5562246367325565,0.1380241866152112,0,medium
Baloi,0.005206363820703783,0.502,0.99428,0.00021817864467425926,0.3429544861140299,0,medium
Balud,0.13426938274446598,1.0,0.7846000000000001,0.9818039010341667,0.37606938845690924,2,low
Balungao,0.006850478711452346,0.503,0.9885600000000001,0.5633808962778722,0.09293697342529086,0,medium
Bamban,0.001370095742290469,0.5,0.9545600000000001,0.43984814766330665,0.10325353915518788,0,medium
Bambang,0.05891411691849017,0.5,0.58976,0.5509010778025046,0.07688898228989549,0,medium
Banate,0.006302440414536158,0.502,0.9897600000000001,0.9999999999999999,0.21151379681460114,0,medium
Banaue,0.009590670196033284,0.6166,0.97144,0.43766636121656405,0.21686312719306625,0,medium
Banaybanay,0.05836607862157398,0.6498400000000001,0.9182000000000001,0.4494480080289741,0.3038534283476301,0,medium
Banayoyo,0.006850478711452346,0.52392,0.9743600000000001,0.549024741458306,0.04912341032548127,0,medium
Banga (AK),0.0,0.5079600000000001,0.85128,0.0,0.22042934744537632,0,medium
Banga (SC),0.05891411691849017,0.50148,0.9897600000000001,0.547279312300912,0.10720185443453119,0,medium
Bangar,0.006850478711452346,0.504,0.9794800000000001,0.5526028712309639,0.020848378325022763,0,medium
Bangued,0.05891411691849017,0.5022000000000001,0.82728,0.547279312300912,0.0852950728846264,0,medium
Bangui,0.006850478711452346,0.5149600000000001,0.96924,0.5562246367325565,0.03243859414503053,0,medium
Bani,0.05014550416783117,0.51464,0.9743600000000001,0.5509010778025046,0.10681975940749798,0,medium
Banisilan,0.047679331831708326,0.50072,0.96364,0.547279312300912,0.519737118621401,0,medium
Banna,0.007398517008368534,0.50596,0.8820399999999999,0.5598027665052144,0.050142330397569865,0,medium
Bansalan,0.0487754084255407,0.5109600000000001,0.9846,0.5927041061220928,0.19228168045392888,0,medium
Bansud,0.0010960765938323753,0.401,0.9454400000000001,0.556355543919361,0.17839889447172178,0,medium
Bantay,0.006850478711452346,0.50896,0.79488,0.549024741458306,0.012569652739302929,0,medium
Bantayan Island,0.05836607862157398,0.40048000000000006,0.99092,0.0,0.2713753510498061,0,medium
Banton,0.0,0.0,0.78888,0.445651699611642,0.1848945099312866,0,medium
Baras (CT),0.0046583255237875945,1.0,0.8,0.5492865558319151,0.053581185640868875,0,medium
Baras (RL),0.006850478711452346,0.502,0.9897600000000001,0.5598027665052144,0.29901355800520923,0,medium
Barbaza,0.006850478711452346,0.5109600000000001,0.96412,0.5633808962778722,0.22526921778779713,0,medium
Barcelona,0.009042631899117096,0.5038,0.8,0.5473665837587817,0.33314738042017716,0,medium
Barili,0.04548717864404358,0.50072,0.7727200000000001,0.5454466116856481,0.2713753510498061,0,medium
Barira,0.006850478711452346,0.5119600000000001,0.98284,0.0,0.8083462290404956,0,medium
Barlig,0.010412727641407566,0.53032,0.9892000000000002,0.4409826766156128,0.15585528787676162,0,medium
Barobo,0.007398517008368534,0.52392,0.8971600000000001,0.5454466116856481,0.39453731476351506,0,medium
Barotac Nuevo,0.05891411691849017,0.40644,0.90768,0.0,0.17152118398512378,0,medium
Barotac Viejo,0.006850478711452346,0.5119600000000001,0.9846,0.5526028712309639,0.22042934744537632,0,medium
Baroy,0.006850478711452346,0.5119600000000001,0.98284,0.436793646637867,0.18998911029172955,0,medium
Barugo,0.006850478711452346,0.53784,0.9846,0.5598027665052144,0.30933012373510627,0,medium
Basay,0.02712789569735129,0.502,0.9846,0.5454466116856481,0.3426997560960078,0,medium
Basco,0.03617052759646838,0.5038,0.77776,0.4409826766156128,0.061350451190544414,0,medium
Basey,0.06631263392685871,0.40199999999999997,0.9897600000000001,0.547279312300912,0.31429735908653816,0,medium
Basilisa,0.007124497859910439,0.5109600000000001,0.9846,0.5064799057468254,0.39517413980857036,0,medium
Basista,0.008220574453742815,0.5069600000000001,0.9948800000000001,0.5598027665052144,0.156492112921817,0,medium
Basud (CN),0.006850478711452346,0.502,0.9314399999999999,0.5598027665052144,0.2569831050315547,0,medium
Batac,0.4044522631241465,1.0,0.9994000000000001,0.548413841253218,0.024796693604366062,2,low
Batad,0.01068674678986566,0.5189199999999999,0.9892000000000002,0.5530828642492472,0.2748142062931051,0,medium
Batan,0.006850478711452346,0.501,0.9846,0.5598027665052144,0.15878468308401633,0,medium
Batangas,0.48775408425540706,1.0,0.9996,0.9999999999999999,0.08096466257824987,2,low
Bataraza,0.05727000202774161,0.50148,0.96924,0.7636252563599074,0.166808678651714,0,medium
Bato (CS),0.0,0.53288,0.8,0.0035781297726578524,0.3433365811410631,0,medium
Bato (CT),0.013426938274446597,0.60984,0.9897600000000001,0.5473665837587817,0.3649886326729458,0,medium
Bato (LE),0.0,0.501,0.9885600000000001,0.549024741458306,0.15738366798489453,0,medium
Batuan (BL),0.01150880423523994,0.50756,0.9230800000000001,0.5473665837587817,0.2688280508695846,0,medium
Batuan (MS),0.1378316316744212,1.0,0.9948800000000001,0.5454466116856481,0.3449923262582071,0,medium
Bauan,0.05891411691849017,0.5022000000000001,0.9545600000000001,0.5490683771872409,0.06886498672219779,0,medium
Bauang,0.05891411691849017,0.58116,0.9897600000000001,0.5527337784177684,0.011550732667214337,0,medium
Bauko,0.006850478711452346,0.505,0.96,0.5633808962778722,0.24908647447286808,0,medium
Baungon,0.05836607862157398,0.5022000000000001,0.96412,0.0,0.413387336097154,0,medium
Bautista,0.006850478711452346,0.5458000000000001,0.96924,0.5526028712309639,0.16044042820116028,0,medium
Bay,0.05836607862157398,0.50512,0.9272800000000001,0.5490683771872409,0.0,0,medium
Bayabas,0.01068674678986566,0.50756,0.10812,0.5473665837587817,0.3681727578982226,1,high
Bayambang,0.06412048073919396,0.5584800000000001,0.99092,0.5490683771872409,0.1589120480930274,0,medium
Bayang,0.01068674678986566,0.6136400000000001,0.97692,0.6870881878081773,0.8685898783027338,0,medium
Bayawan,0.9105656303262457,1.0,0.9454400000000001,0.9999999999999999,0.34779435645645074,2,low
Baybay,0.7688977305734114,1.0,0.99992,0.9090631408997686,0.2629692604550752,2,low
Bayog,0.007398517008368534,0.502,0.96,0.5454466116856481,0.4542715039897089,0,medium
Bayombong,0.11645813809468988,0.50584,0.95384,0.5454466116856481,0.05893051601933401,0,medium
Bayugan,0.5973617436386446,1.0,0.99092,0.9999999999999999,0.3732673582586656,2,low
Belison,0.01068674678986566,0.5189199999999999,0.9846,0.5530828642492472,0.1399346617503773,0,medium
Benito Soliven,0.006850478711452346,0.502,0.9885600000000001,0.5562246367325565,0.22348610766164212,0,medium
Besao,0.025209761658144633,0.5151600000000001,0.78332,0.4409826766156128,0.18387558985919797,0,medium
Bien Unido,0.0019181340392066567,0.501,0.9589600000000001,0.5598027665052144,0.3796356087092193,0,medium
Bilar,0.006302440414536158,0.40080000000000005,0.94284,0.43635728934851853,0.22807124798604084,0,medium
Biliran,0.009042631899117096,0.5568,0.87692,0.5454466116856481,0.25761993007661005,0,medium
Binalbagan,0.3477302993933211,0.5256000000000001,0.9363600000000001,0.43635728934851853,0.18107355966095434,0,medium
Binalonan,0.058640097770032075,0.557,0.96924,0.5490683771872409,0.06020416610944475,0,medium
Binan,0.4839178161769937,1.0,0.99092,0.9999999999999999,0.020848378325022763,2,low
Binangonan,0.05891411691849017,0.52996,0.96364,0.5690971767683379,0.4535073139356424,0,medium
Bindoy,0.006302440414536158,0.0,0.9179600000000001,0.5526028712309639,0.2572378350495768,0,medium
Bingawan,0.21209082090656461,0.5038,0.96756,0.5473665837587817,0.8606932477440471,0,medium
Binidayan,0.006850478711452346,0.5,0.2,0.5454466116856481,0.05561902578504606,1,high
Binmaley,0.05891411691849017,0.5394800000000001,0.97272,0.5527337784177684,0.18998911029172955,0,medium
Binuangan,0.009590670196033284,0.57576,0.9897600000000001,0.5569228083955142,0.50419858752205,0,medium
Biri,0.01068674678986566,0.0,0.18976,0.0,0.24717599933770196,1,high
Bislig,0.5718779628320418,1.0,0.9997199999999999,0.548413841253218,0.0,2,low
Boac,0.04466512119866929,0.5,0.9454400000000001,0.5490683771872409,0.14324615198466525,0,medium
Bobon,0.006850478711452346,0.503,0.0,0.0,0.41275051105209865,1,high
Bocaue,0.07645134241980818,0.5036400000000001,0.96364,0.5527337784177684,0.0678460666501092,0,medium
Bogo,0.40774049290564357,1.0,0.99992,0.9999999999999999,0.1389157416782887,2,low
Bokod,0.006028421266078065,0.5079600000000001,0.9794800000000001,0.5526028712309639,0.09790420877672278,0,medium
Bolinao,0.05891411691849017,0.5022000000000001,0.97272,0.5636427106514814,0.1794178145438104,0,medium
Boliney,0.01068674678986566,0.5038,0.0,0.5454466116856481,0.3919900145832935,1,high
Boljoon,0.013426938274446597,0.5530400000000001,0.35676,0.5473665837587817,0.2688280508695846,1,high
Bombon,0.0,0.42424,0.79444,0.0,0.27494157130211616,0,medium
Bongabon,0.0578180403246578,0.54604,0.96364,0.547279312300912,0.041736239802838956,0,medium
Bongabong,0.054529810543160674,0.50876,0.99092,0.5454466116856481,0.18221984474205402,0,medium
Bongao,0.06275038499690348,0.5022000000000001,0.99092,0.547279312300912,0.19228168045392888,0,medium
Bonifacio,0.006850478711452346,0.5069600000000001,0.97716,0.43701182528254134,0.41733565137649736,0,medium
Bontoc (MP),0.06439449988765206,0.50656,0.96364,0.5490683771872409,0.35021429162766116,0,medium
Bontoc (SL),0.006850478711452346,0.503,0.77296,0.5454466116856481,0.09955995389386672,0,medium
Borbon,0.006850478711452346,0.501,0.9948800000000001,0.43657546799319275,0.23571314852670527,0,medium
Borongan,0.4044522631241465,1.0,0.96364,0.5454466116856481,0.44866744359322164,2,low
Boston,0.006850478711452346,0.5826800000000001,0.9948800000000001,0.43723000392721556,0.34753962643842856,0,medium
Botolan,0.08796014665504812,0.5022000000000001,0.97272,0.0,0.1344579663629011,0,medium
Braulio E. Dujali,0.006576459562994252,0.502,0.96,0.5454466116856481,0.11726369014640607,0,medium
Buadiposo-Buntong,0.006850478711452346,0.504,1.0,0.549024741458306,0.8238847601398467,0,medium
Bubong,0.05836607862157398,0.5022000000000001,1.0,0.5527337784177684,0.8285972654732564,0,medium
Bucay,0.006576459562994252,0.5119600000000001,0.94872,0.5598027665052144,0.23227429328340626,0,medium
Bucloc,0.011234785086781848,0.5038,0.0,0.44333900597809484,0.2415719389412147,1,high
Buenavista (AN),0.05891411691849017,0.51464,0.79392,0.5527337784177684,0.3872775092498838,0,medium
Buenavista (BL),0.006576459562994252,0.5079600000000001,0.99428,0.5526028712309639,0.061095721172522266,0,medium
Buenavista (GS),0.06412048073919396,0.50292,0.94872,0.547279312300912,0.2223398225805424,0,medium
Buenavista (ME),0.006028421266078065,0.502,0.89232,0.8727145786970371,0.28933381732036756,0,medium
Buenavista (QN),0.00575440211761997,0.502,0.94872,0.5813151808700964,0.28755070719421255,0,medium
Bugallon,0.05891411691849017,0.50072,0.99092,0.5527337784177684,0.16668131364270294,0,medium
Bugasong,0.006850478711452346,0.505,0.9314399999999999,0.5454466116856481,0.22590604283285254,0,medium
Buguey,0.06494253818456823,0.504,0.9948800000000001,0.549024741458306,0.16668131364270294,0,medium
Buguias,0.006850478711452346,0.504,0.98284,0.5526028712309639,0.09230014838023548,0,medium
Buhi,0.0,0.50072,0.9818,0.5454466116856481,0.3518700367448051,0,medium
Bula,0.05891411691849017,0.50292,0.77576,0.5527337784177684,0.2911169274465226,0,medium
Bulakan,0.0,0.40696000000000004,0.8,0.43984814766330665,0.023013583478211027,0,medium
Bulalacao,0.06768272966914918,0.505,0.9846,0.5454466116856481,0.2768520464372823,0,medium
Bulan,0.0,0.5,0.78788,0.547279312300912,0.3476669914474396,0,medium
Buldon,0.006850478711452346,0.501,0.98284,0.5526028712309639,0.8228658400677581,0,medium
Buluan,0.006850478711452346,0.502,0.96,0.5526028712309639,0.7860573524635576,0,medium
Bulusan,0.0,0.53584,0.9179600000000001,0.43723000392721556,0.3410440109788638,0,medium
Bunawan,0.16413746992639822,0.40843999999999997,0.96364,0.44421172055679187,0.3583656522043699,0,medium
Burauen,0.04576119779250167,0.50072,0.9897600000000001,0.5509010778025046,0.32601493991555697,0,medium
Burdeos,0.006850478711452346,0.502,0.95384,0.5598027665052144,0.2517611396621006,0,medium
Burgos (IA),0.004384306375329501,0.502,0.97144,0.5526028712309639,0.20425399130096988,0,medium
Burgos (IN),0.01068674678986566,0.5151600000000001,0.9892000000000002,0.5530828642492472,0.02747135879359863,0,medium
Burgos (IS),0.006850478711452346,0.504,0.9885600000000001,0.549024741458306,0.373904183303721,0,medium
Burgos (LU),0.01068674678986566,0.59092,0.97836,0.5473665837587817,0.023395678505244256,0,medium
Burgos (PS),0.006850478711452346,0.502,0.97716,0.5598027665052144,0.1280897159123474,0,medium
Burgos (SN),0.009042631899117096,0.59092,0.9892000000000002,0.5530828642492472,0.05460010571295748,0,medium
Buruanga,0.010138708492949473,0.59848,0.9461600000000001,0.5473665837587817,0.18107355966095434,0,medium
Bustos,0.0578180403246578,0.5044,0.7818,0.5454466116856481,0.026961898757554326,0,medium
Busuanga,0.0,0.41108000000000006,0.7892000000000001,0.43723000392721556,0.19393742557107288,0,medium
Butig,0.01068674678986566,0.5,0.4,0.5530828642492472,1.0,1,high
Butuan,0.13536545933829836,1.0,1.0,0.5454466116856481,0.30449025339268543,0,medium
Buug,0.0,0.501,0.8,0.43657546799319275,0.29455578268982163,0,medium
Caba,0.006850478711452346,0.51396,0.9897600000000001,0.5598027665052144,0.011678097676225404,0,medium
Cabadbaran,0.5727000202774161,1.0,0.96364,0.9545315704498842,0.2145705570308669,2,low
Cabagan,0.05891411691849017,0.5022000000000001,0.97272,0.556355543919361,0.15903941310203848,0,medium
Cabanatuan,0.7020370583496364,1.0,0.83636,0.9999999999999999,0.011805462685236485,2,low
Cabangan,0.00575440211761997,0.52192,0.98284,0.5454466116856481,0.09930522387584458,0,medium
