municipality,pov_inc
Burauen,27.79
Burdeos,21.96
Burgos (IN),18.23
Burgos (IS),4.35
Burgos (IA),31.55
Burgos (LU),4.03
Burgos (PS),12.25
Burgos (SN),6.48
Buruanga,16.41
Bustos,4.31
Busuanga,17.42
Butig,80.72
Butuan,26.1
Buug,25.32
Caba,3.11
Cabadbaran,19.04
Cabagan,14.68
Cabanatuan,3.12
Cabangan,9.99
Cabanglasan,34.04
Cabarroguis,9.3
Cabatuan (IO),11.02
Cabatuan (IA),13.46
Cabiao,5.71
Cabucgayan,27.86
Cabugao,6.61
Cabusao,28.07
Cabuyao,1.52
Cadiz,24.85
Cagayancillo,23.16
Cagayan De Oro,15.2
Cagdianao,36.83
Cagwait,27.95
Caibiran,31.14
Cainta,3.7
Cajidiocan,28.71
Calabanga,26.78
Calaca,10.29
Calamba (LA),24.01
Calamba (MC),1.87
Calanasan,29.81
Calanogas,86.1
Calapan,7.15
Calape,17.4
Calasiao,7.82
Calatagan,11.71
Calatrava (NO),22.64
Calatrava (RN),33.96
Calauag,9.77
Calauan,4.04
Calayan,42.19
Calbayog,23.66
Calbiga,24.86
Calinog,27.02
Calintaan,18.97
Caloocan,9.9
Calubian,29.35
Calumpit,4.73
Caluya,30.27
Camalaniugan,13.5
Camalig,21.05
Camaligan,17.44
Camiling,6.25
Canaman,52.2
Can-Avid,13.93
Candaba,6.99
Candelaria (QN),6.23
Candelaria (ZA),9.84
Candijay,21.4
Candon,5.6
Candoni,24.78
Canlaon,23.6
Cantilan,19.17
Caoayan,4.05
Capalonga,38.7
Capas,8.73
Capoocan,32.85
Capul,37.35
Caraga,40.04
Caramoan,25.32
Caramoran,34.85
Carasi,6.71
Carcar,13.8
Cardona,4.73
Carigara,25
Carles,35.79
Carmen (AN),25
Carmen (BL),27.33
Carmen (CU),14.1
Carmen (NC),39.3
Carmen (DN),27.17
Carmen (SS),14.17
Carmona,4.01
Carranglan,7.68
Carrascal,23.03
Casiguran (AU),12.62
Casiguran (SO),30.58
Castilla,35.39
Castillejos,7.04
Cataingan,23.42
Catanauan,11.34
Catarman (CM),30.27
Catarman (NS),26.57
Catbalogan,19
Cateel,32.7
Catigbian,23
Catmon,16.1
Catubig,44.12
Cauayan (IA),27.26
Cauayan (NO),12.62
Cavinti,2.66
Cavite,5.66
Cawayan,24.26
Cebu,14
Cervantes,11.19
Clarin (BL),17.4
Clarin (MC),22.51
Claver,32.33
Claveria (CG),36.33
Claveria (MS),22.1
Claveria (MO),11.12
Columbio,36.2
Compostela (CU),12.4
Compostela (DDO),25.25
Concepcion (IO),17.18
Concepcion,49.92
Concepcion (RN),29.2
Concepcion (TC),9.85
Conner,23.65
Consolacion,6.6
Corcuera,19.9
Cordon,18.92
Cordova,9
Corella,10.1
Coron,17.06
Cortes (BL),12.5
Cortes (SS),28.37
Cotabato,48.7
Cuartero,6.39
Cuenca,11.65
Culaba,28.75
Culasi,22.58
Culion,15.77
Currimao,4.3
Cuyapo,5.9
Cuyo,11.38
Daan Bantayan,17.8
Daet,14.73
Dagami,33.68
Dagohoy,27.5
Daguioman,24.74
Dagupan,9.19
Dalaguete,25.2
Damulog,35.44
Danao (BL),29.2
Danao (CU),14.3
Dangcagan,27.64
Danglas,23.22
Dao,6.58
Dapa,38.11
Dapitan,27.12
Daraga,13.51
Daram,41.18
Dasmarinas,5.34
Dasol,13.14
Datu Abdullah Sangki,67.14
Datu Anggal Midtimbang,69.48
Datu Blah Sinsuat,70.44
Datu Hoffer Ampatuan,70.31
Datu Odin Sinsuat,48
Datu Paglas,65.06
Datu Piang,52.11
Datu Salibo,59.31
Datu Saudi-Ampatuan,62.3
Datu Unsay,67.6
Dauin,17.5
Dauis,10.8
Davao,11.4
Del Carmen,35.52
Delfin Albano,30.59
Del Gallego,16.95
Diadi,14.33
Diffun,10.64
Digos,5.46
Dilasag,12.87
Dimasalang,33.94
Dimataling,36.56
Dimiao,22.2
Dinagat,35.33
Dinalungan,14.74
Dinalupihan,6.35
Dinapigue,44.81
Dinas,36.81
Dingalan,12.73
Dingle,17.48
Dingras,6.04
Dipaculao,11.35
Diplahan,28.89
Dipolog,17.93
Ditsaan-Ramain,72.98
Divilacan,47.58
Dolores (AA),15.69
Dolores (ES),55.34
Dolores (QN),6.34
Don Carlos,27.06
Don Marcelino,37.89
Donsol,35.74
Don Victoriano Chiongbian,37.1
Dona Remedios Trinidad,11.43
Duero,21.6
Duenas,20.52
Dulag,24.63
Dumaguete,3.2
Dumalag,4.14
Dumalinao,32.81
Dumalneg,7.18
Dumangas,14.14
Dumanjug,22.3
Dumaran,15.52
Dumarao,8.19
Dumingag,39.76
Dupax Del Norte,14.22
Dupax Del Sur,15.98
Echague,14.99
El Nido,16.32
El Salvador,13.33
Enrile,10.21
E. B. Magalona,21.59
Enrique Villanueva,14.4
Escalante,25.31
Esperanza (AS),31.68
Esperanza (MS),45.67
Esperanza (SK),27.5
Estancia,22.79
Famy,2.78
Ferrol,20.25
Flora,17.79
Floridablanca,2.92
Gabaldon,7.13
Gainza,26.08
Galimuyod,6.91
Gamay,33.45
Gamu,15.25
Ganassi,74.2
Gandara,31.33
Gapan,5.35
Garchitorena,41.16
Garcia-Hernandez,17.6
Gasan,15.65
Gattaran,16.68
Gen. Emilio Aguinaldo,13.06
General Luna (QN),40.67
General Luna  (SN),18.36
General Macarthur,57.95
General Mamerto Natividad,6.7
General Nakar,18.59
General Santos,20.6
General Tinio,5.1
General Trias,3.75
Gen. Mariano Alvarez,6.36
Gen S.K Pendatun,73.8
Gerona,6.13
Getafe,33.9
Gigaquit,39.23
Gigmoto,27.13
Ginatilan,19.8
Gingoog,22.73
Giporlos,51.55
Gitagum,15.84
Glan,39.3
Gloria,14.31
Goa,28.56
Godod,59.3
Gonzaga,12.19
Governor Generoso,35.05
Gregorio Del Pilar,9.73
Guagua,3.59
Gubat,26.38
Guiguinto (BU),5.48
Guihulngan,31.7
Guimba,4.3
Guimbal,11.46
Guinayangan,17.04
Guindulman,23.2
Guindulungan,70.61
Guinobatan,25.61
Guinsiliban,30.36
Guipos,31.63
Guiuan,43.35
Gumaca,7.7
Gutalac,59.66
Hadji Mohammad Ajul,81.63
Hadji Muhtamad,75.18
Hadji Panglima Tahil,78.45
Hagonoy (BU),4.88
Hagonoy (DS),14.13
Hamtic,18.45
Hermosa,8.99
Hernani,49.66
Hilongos,26.05
Himamaylan,23.96
Hinabangan,28.32
Hinatuan,31.26
Hindang,23.62
Hingyon,23.04
Hinigaran,19.36
Hinobaan,24.63
Hinunangan,25.21
Hinundayan,23.16
Hungduan,21.22
Iba,6
Ibaan,9.27
Ibajay,13.92
Igbaras,25.45
Iguig,11.12
Ilagan,13.85
Iligan,24.7
Ilog,16.89
Iloilo,6.4
Imelda,29.28
Impasug-Ong,33.79
Imus,2.71
Inabanga,25.4
Indanan,69.79
Indang,4.04
Infanta (PS),12.78
Infanta (QN),7.57
Initao,17
Inopacan,26.15
Ipil,4.31
Iriga,22.3
Irosin,13.62
Isabel,32.64
Isabela (BAS),17.83
Isabela (NO),28
Igacos,12.29
Isulan,20.6
Itbayat,30.92
Itogon,6.88
Ivana,7
Ivisan,6.36
Jabonga,31.3
Jaen,4.14
Jagna,17.9
Jalajala,12.4
Jamindan,12.8
Janiuay,21.62
Jaro,31.59
Jasaan,16.73
Javier,30.7
Jiabong,25.65
Jimalalud,33.3
Jimenez,20.42
Jipapad,65.46
Jolo,58.94
Jomalig,25.77
Jones,13.34
Jordan,10.33
Jose Abad Santos,47.15
Jose Dalman,56.48
Josefina,34.45
Jose Panganiban,28.08
Jovellar,37.52
Juban,35.73
Julita,28.36
Kabacan,24.2
Kabankalan,28.57
Kabasalan,30.09
Kabayan,19.14
Kabugao,35.34
Kabuntalan,68.51
Kadingilan,33.64
Kalamansig,42.2
Kalawit,56.47
Kalayaan (LA),5.06
Kalayaan (PN),76.92
Kalibo,6.9
Kalilangan,31.87
Kalingalan Caluang,78.71
Kananga,31.08
Kapai,88.91
Kapalong,20.92
Kapangan,17.31
Kapatagan (LN),85.23
Kapatagan (LS),17.83
Kasibu,21.68
Katipunan,52.86
Kauswagan,23.23
Kawayan,27.04
Kawit,5.66
Kayapa,29.15
Kiamba,33.4
Kiangan,14.88
Kibawe,28.47
Kiblawan,29.9
Kibungan,28.07
Kidapawan,14
Kinoguitan,17.12
Kitaotao,35.63
Kitcharao,23.89
Kolambugan,18.57
Koronadal,12.1
Kumalarang,37.73
Laak,24.91
Labangan,32.39
Labason,45.18
Labo,25.06
Labrador,10.45
La Carlota,12.36
La Castellana,26.98
Lacub,37.66
Lagangilang,19.39
Lagawe,12.21
Lagayan,32.89
Lagonglong,18.91
Lagonoy,30.08
Laguindingan,15.16
Lake Sebu,49.3
Lakewood,39.14
Lala,18.54
La Libertad (NR),53.04
La Libertad (ZN),31.4
Lallo,13.51
Lambayong,34.6
Lambunao,21.98
Lamitan,52.71
Lamut,11.68
Langiden,24.02
Languyan,17.02
Lantapan,33.9
Lantawan,64.68
Lanuza,29.49
Laoac,11.16
Laoag,2.36
Laoang,39.81
La Paz (AA),50.09
La Paz (AS),10.37
La Paz (LE),31.63
La Paz (TC),19.83
Lapinig,37.69
Lapu Lapu,11.3
Lapuyan,40.99
Larena,9.5
Lasam,14.29
Las Navas,50.09
Las Nieves,37.24
Las Pinas,6.1
La Trinidad,2.3
Laua-An,21.91
Laur,5.69
Laurel,13.13
Lavezares,34.14
Lawaan,46.64
Lazi,20.3
Lebak,34.7
Leganes,12.4
Legazpi,13.78
Lemery (BS),10.67
Lemery (IO),19.78
Leon,22.06
Leyte,36.93
Lezo,9.88
Lian,10.71
Lianga,30.04
Libacao,25.67
Libagon,28.12
Libertad (AE),17.89
Libertad (MO),19.71
Libjo,38.5
Libmanan,29.53
Libon,37.37
Libona,27.73
Libungan,25.2
Licab,7.65
Licuan-Baay,23.33
Lidlidda,6.81
Ligao,23.07
Lila,17.9
Liliw,2.06
Liloan (CU),29.34
Liloan (SL),7.2
Liloy,44.44
Limasawa,22.48
Limay,7.2
Linamon,20.52
Linapacan,21.81
Lingayen,8.58
Lingig,36.32
Lipa,9.95
Llanera,3.82
Llorente,51.81
Loay,10.4
Lobo,20.52
Loboc,12.8
Looc (OM),20.17
Looc (RN),13.32
Loon,17.8
Lope De Vega,47.87
Lopez,9.08
Lopez Jaena,28.21
Loreto (AS),31.45
Loreto (DI),44.37
Los Banos,1.57
Luba,21.6
Lubang,9.49
Lubao,3.59
Lubuagan,20.23
Lucban,3.99
Lucena,8.5
Lugait,14.11
Lugus,75.53
Luisiana,4.47
Lumba-Bayabao,76.57
Lumbaca-Unayan,82.25
Lumban,2.29
Lumbatan,76.85
Lumbayanague,76.49
Luna (AO),3.25
Luna (IA),12.66
Luna (LU),13.87
Lupao,5.78
Lupi,20.62
Lupon,26.05
Lutayan,39.9
Luuk,78.31
Maasim,41.9
Maasin (IO),20.88
Maasin (SL),20.47
Ma-Ayon,10.35
Mabalacat,4.4
Mabinay,32.7
Mabini (BS),9.82
Mabini (BL),12.46
Mabini (CV),26.9
Mabini (PS),22.59
Mabitac,2.99
Mabuhay,42.93
Macabebe,29.64
Macalelon,5.5
Macarthur,19.16
Maco,19.82
Maconacon,39.01
Macrohon,23.17
Madalag,21.7
Madalum,73.99
Madamba,76.45
Maddela,9.25
Madrid,21.46
Madridejos,19.5
Magalang,4.96
Magallanes (AN),20.97
Magallanes (CE),35.89
Magallanes (SO),13.8
Magarao,16.32
Magdalena,7.81
Magdiwang,26.05
Magpet,41.7
Magsaysay (DS),11.9
Magsaysay (LN),25.79
Magsaysay (MO),31.87
Magsaysay (OM),21.01
Magsaysay (PN),23.54
Magsingal,4.42
Maguing,76.06
Mahaplag,31.86
Mahatao,17.83
Mahayag,35.37
Mahinog,26.34
Maigo,18.76
Maimbung,71.21
Mainit,38.95
Maitum,38.6
Majayjay,3.12
Makati,1.5
Makato,14.03
Makilala,20.3
Malabang,71.01
Malabon,27
Malabuyoc,17.38
Malalag,30.8
Malangas,45.7
Malapatan,13.29
Malasiqui,2.69
Malay,13.39
Malaybalay,21.58
Malibcong,18.42
Malilipot,26.09
Malimono,35.17
Malinao (AK),14.59
Malinao (AY),33.66
Malita,35.82
Malitbog (BK),35.62
Malitbog (SL),29.83
Mallig,16.34
Malolos,2.93
Malungon,34.2
Maluso,72.75
Malvar,9.4
Mamasapano,72.64
Mambajao,21.44
Mamburao,13.17
Mambusao,4.8
Manabo,16.72
Manaoag,9.37
Manapla,23.95
Manay,37.07
Mandaluyong,2.2
Mandaon,32.38
Mandaue,13.1
Mangaldan,8.98
Mangatarem,14.64
Mangudadatu,52
Manila,7.5
Manito,37.21
Manjuyod,25.1
Mankayan,10.35
Manolo Fortich,23.07
Mansalay,23.3
Manticao,17.67
Manukan,49.22
Mapanas,42.53
Mapandan,12.16
Mapun,18.81
Marabut,27.43
Maragondon,6.14
Maragusan,22.74
Maramag,23.43
Marantao,67.27
Marawi,63.18
Marcos,5
Margosatubig,32.3
Maria,24.9
Maria Aurora,11.98
Maribojoc,10.8
Marihatag,37.82
Marikina,4.8
Marilao,3.6
Maripipi,20.42
Mariveles,4.9
Marogong,86.57
Masbate,10.24
Masinloc,19.55
Masiu,9.6
Maslog,74.91
Masantol,73.43
Mataasnakahoy,9.17
Matag-Ob,29.18
Matalam,35.9
Matalom,26.51
Matanao,21.02
Matanog,64.66
Mati,21.51
Matnog,37.12
Matuguinao,39.77
Matungao,40.96
Mauban,7.95
Mawab,18.05
Mayantoc,6.88
Maydolong,46.41
Mayorga,29.56
Mayoyao,17.41
Medellin,20.2
Medina,18.16
Mendez,9.23
Mercedes,37.91
Mercedes (ES),36.88
Merida,22.99
Mexico,4.6
Meycauayan,5.17
Miag-ao,17.43
Midsalip,45.32
Midsayap,24.7
Milagros,36.37
Milaor,17.67
Mina,16.07
Minalabac,32.21
Minalin,6.16
Minglanilla,7.7
Mlang,20.6
Moalboal,16.9
Mobo,24.67
Mogpog,12.08
Moises Padilla,32.3
Molave,18.59
Moncada,7.25
Mondragon,39.53
Monkayo,28.04
Monreal,39.78
Montevista,27.85
Morong (BN),3.81
Morong (RL),9.99
Motiong,30.86
Mulanay,21.14
Mulondo,78.19
Munai,36.34
Muntinlupa,21.26
Murcia,46.77
Mutia,5.52
Naawan,16.66
Nabas,16.9
Nabua,15.52
Nabunturan,17.5
Naga (CS),32.79
Naga (CU),15.3
Naga (ZS),9.12
Nagbukel,6.52
Nagcarlan,2.37
Nagtipunan,22.34
Naguilian (IA),14.16
Naguilian (LU),2.81
Naic,6.03
Nampicuan,6.62
Narra,10.34
Narvacan,6.21
Nasipit,19.68
Nasugbu,13.21
Natividad,11.44
Natonin,23.07
Naujan,12.41
Naval,22.86
Navotas,13.8
New Bataan,25.6
New Corella,19.58
New Lucena,12.02
New Washington,11.35
Norala,24.6
Northern Kabuntalan,65.5
Norzagaray,8.24
Noveleta,4.07
Nueva Era,6.1
Nueva Valencia,15.22
Numancia,6.61
Nunungan,44.22
Oas,34.21
Obando,4.66
Ocampo,30.99
Odiongan,9.6
Old Panamao,84.72
Olongapo,12.3
Olutanga,36.62
Omar,79.37
Opol,12.66
Orani,6.66
Oras,55.22
Orion,8.5
Ormoc,22.12
Oroquieta,15.55
Oslob,22.6
Oton,11.65
Ozamiz,21.12
Padada,9.49
Padre Burgos (QN),8.01
Padre Burgos (SL),23.98
Padre Garcia,20.91
Paete,5.39
Pagadian,14.07
Pagagawan,67.54
Pagalungan,61.15
Pagayawan,89.55
Pagbilao,6.31
Paglat,72.77
Pagsanghan,29.18
Pagsanjan,2.34
Pagudpud,5.68
Pakil,3.34
Palanan,31.3
Palanas,30.5
Palapag,39.99
Palauig,10.32
Palayan,5.83
Palimbang,60.5
Palo,18.55
Palompon,20.82
Paluan,22.64
Pambujan,44.68
Pamplona (CG),30.83
Pamplona (CS),16.4
Pamplona (NR),25.6
Panabo,8.65
Panaon,18.08
Panay,6.16
Pandag,70.18
Pandami,70.07
Pandan (AE),22.75
Pandan (CT),18.72
Pandi,7.09
Panganiban,21.93
Pangantucan,31.7
Pangil,5.8
Panglao,12.6
Panglima Estino,85.35
Panglima Sugala,27.52
Pangutaran,76.75
Paniqui,4.58
Panitan,4.8
Pantabangan,16.01
Pantao Ragat,42.51
Pantar,36.74
Pantukan,27.77
Panukulan,22.3
Paoay,4.51
Paombong,5.18
Paracale,37.61
Paracelis,30.63
Paranas,26.44
Parang (MA),77.17
Parang (SU),49.06
Paranaque,6.5
Pasacao,32.75
Pasay,8
Pasig,5.1
Pasil,18.15
Passi,21.11
Pastrana,28.48
Pasuquin,5.46
Pata,87.31
Pateros,6
Patikul,59.06
Patnanungan,24.14
Patnongon,21.94
Pavia,7.81
Payao,38.8
Perez,21.48
Penablanca,27.72
Penaranda,4.25
Penarrubia,16.17
Piagapo,83.94
Piat,12.87
Picong,86.62
Piddig,5.59
Pidigan,15.22
Pigcawayan,33.2
Pikit,44
Pila,2.37
Pilar (AA),19.29
Pilar (BN),23.5
Pilar (BL),31.3
Pilar (CZ),37.41
Pilar (CU),37.1
Pilar (SO),7.29
Pilar (SN),8.88
Pili,16.06
Pililla,5.14
Pinabacdao,30.41
Pinamalayan,11.43
Pinamungajan,24
Pinili,6.01
Pintuyan,27.26
Pinukpuk,20.31
Pio Duran,37.47
Pio V Corpuz,29.74
Pitogo (QN),36.89
Pitogo (ZR),8.67
Pinan,46.49
Placer (MS),33.12
Placer (SN),32.65
Plaridel (BU),23.75
Plaridel (MC),7.27
Plaridel (QN),4.2
Pola,14.88
Polanco,42.42
Polangui,21.34
Polillo,10.74
Polomolok,15
Pontevedra (CZ),6.05
Pontevedra (NO),12.47
Poona Bayabao,72.26
Poona Piagapo,51.39
Porac,5.6
Poro,21
Pototan,15.35
Pozorrubio,7.71
Presentacion,36.5
President Garcia,55.62
President Quirino,38.02
President Roxas (CZ),26.7
President Roxas (NC),6.89
Roxas (ZN),37.5
Prieto Diaz,33.99
Prosperidad,34.23
Pualas,75.91
Pudtol,21.01
Puerto Galera,13.25
Puerto Princesa,6.1
Pugo,3.16
Pulilan,4.59
Pulupandan,7.7
Pura,5.59
Quezon (BK),18.78
Quezon (IA),16.98
Quezon (MM),14.78
Quezon (NE),5.87
Quezon (NV),29.83
Quezon (PN),22.73
Quezon (QN),4.02
Quinapondan,51.27
Quirino (IS),15.59
Quirino (IA),10.97
Ragay,30.41
Rajah Buayan,73.25
Ramon,13.4
Ramon Magsaysay,32.62
Ramos,8.46
Rapu-Rapu,42.71
Real,8.71
Reina Mercedes,14.99
Remedios T. Romualdez,27.74
Rizal (CG),32.16
Rizal (KA),21.29
Rizal (LA),39.54
Rizal (NE),1.56
Rizal (OM),20.13
Rizal (PN),7.35
Rizal (ZN),11.87
Rodriguez,5.62
Romblon,21.71
Ronda,21.2
Rosales,11.84
Rosario (AS),5.21
Rosario (BS),3.55
Rosario (CE),35.42
Rosario (LU),11.92
Rosario (NS),32.98
R.T. Lim,32.26
Roxas (CZ),16.44
Roxas (IA),10.78
Roxas (OR),13.47
Roxas (PN),7.32
Sabangan,14.04
Sablan,8.71
Sablayan,12.84
Sabtang,21.71
Sadanga,21.65
Sagada,12.62
Sagay (CM),32.7
Sagay (NO),24.1
Sagbayan,21.5
Saguday,9.94
Saguiaran,75.26
Sagnay,33.93
Saint Bernard,25.48
Salay,17.25
Salcedo (ES),44.9
Salcedo (IS),7.41
Sallapadan,19.96
Salug,49.39
Salvador,29.11
Salvador Benedicto,32.4
Samal,7.27
Samboan,21.6
Sampaloc,12.56
San Agustin (IA),1.97
San Agustin (RN),31.97
San Agustin (SS),25.35
San Andres (CT),12.36
San Andres (QN),21.84
San Andres (RN),20.68
San Antonio (NS),25.49
San Antonio (NE),5.8
San Antonio (QN),26.81
San Antonio (ZA),7.29
San Benito,16.5
San Carlos (NO),38.74
San Carlos (PS),12.73
Sanchez-Mira,28.05
San Clemente,5.06
San Dionisio,26.74
San Emilio,10.78
San Enrique (IO),10.37
San Enrique (NO),22.18
San Esteban,4.84
San Fabian,11.46
San Felipe,9.27
San Fernando (BK),36.31
San Fernando (CS),15
San Fernando (CU),29.28
San Fernando (LU),28.04
San Fernando (MS),27.2
San Fernando (PA),3.61
San Fernando (RN),1.27
San Francisco (AS),25.69
San Francisco (CU),31.7
San Francisco (QN),27.47
San Francisco (SL),32.09
San Francisco (SN),24.15
San Gabriel,5.79
San Guillermo,27.2
San Ildefonso (BU),5.54
San Ildefonso (IS),3.84
San Isidro (AA),25.12
San Isidro (BL),25.8
San Isidro (DN),32.55
San Isidro (DO),31.24
San Isidro (IA),4.63
San Isidro (LE),36.79
San Isidro (NS),11.97
San Isidro (NE),20.3
San Isidro (SN),32.7
San Jacinto (MS),13.33
San Jacinto (PS),27.07
San Joaquin,26.15
San Jorge,29.58
San Jose (AE),27.94
San Jose (BS),15.27
San Jose (CS),32.1
San Jose (DI),12.06
San Jose (NR),10.36
San Jose (NS),24.91
San Jose (NE),9.24
San Jose (OM),17.1
San Jose (RN),27.63
San Jose (TC),4.61
San Jose De Buan,4.64
San Jose Del Monte,38.77
San Juan (AA),13.04
San Juan (BS),13
San Juan (IS),1.82
San Juan (LU),4.86
San Juan (MM),22.17
San Juan (SR),24.48
San Juan (SL),2.9
San Julian,48.41
San Leonardo,5.14
San Lorenzo,15.9
San Lorenzo Ruiz,31.61
San Luis (AS),10.93
San Luis (AU),6.01
San Luis (BS),15.67
San Luis (PA),47.33
San Manuel (IA),13.69
San Manuel (PS),9.91
San Manuel (TC),8.76
San Marcelino,9.06
San Mariano,23.09
San Mateo (IA),4.22
San Mateo (RL),10.66
San Miguel (BL),13.99
San Miguel (BU),32.74
San Miguel (CT),33.22
San Miguel (IO),6.51
San Miguel (LE),38.78
San Miguel (SS),27.1
San Miguel (ZR),26.74
San Narciso (QN),5
San Narciso (ZA),23.22
San Nicolas (BS),3.99
San Nicolas (IN),19.62
San Nicolas (PS),2.91
San Pablo (IA),38.78
San Pablo (LA),18.78
San Pablo (ZR),2.1
San Pascual (BS),38.21
San Pascual (MS),7.53
San Pedro,1.99
San Policarpo,55.81
San Quintin (AA),11.68
San Quintin (PS),14.83
San Rafael (BU),21.32
San Rafael (IO),4.45
San Remigio (AE),33.09
San Remigio (CU),15.9
San Ricardo,30.64
San Roque,44.11
San Sebastian,27.76
San Simon,5.58
San Teodoro,16.53
Santiago (AN),28.72
Santiago (IS),5.67
Santiago (IA),12.33
San Vicente (CN),18.91
San Vicente (IS),27.21
