,name,city,Own use faucet community water system_count,Shared faucet community water system_count,Own use tubed/piped deep well_count,Shared tubed/piped deep well_count,Tubed/piped shallow well_count,Dug well_count,Protected spring_count,Unprotected spring_count,"Lake, river, rain and others_count",Peddler_count,Bottled water_count,Others_count,Not Reported_count,year
118,Balabac,BALABAC,55.0,100.0,84.0,1618.0,63.0,4889.0,699.0,23.0,440.0,329.0,145.0,,,2015.0
119,Balabagan,BALABAGAN,74.0,392.0,41.0,178.0,477.0,509.0,547.0,246.0,1682.0,614.0,9.0,,,2015.0
120,Balagtas,BALAGTAS (BIGAA),3437.0,1016.0,254.0,298.0,22.0,84.0,,,,2.0,12512.0,8.0,,2015.0
121,Balamban,BALAMBAN,4506.0,2956.0,459.0,2414.0,448.0,341.0,1693.0,409.0,54.0,161.0,6173.0,,,2015.0
122,Balanga,CITY OF BALANGA (Capital),8968.0,2271.0,862.0,4160.0,289.0,76.0,270.0,86.0,57.0,17.0,4213.0,,,2015.0
123,Balangiga,BALANGIGA,601.0,1573.0,21.0,603.0,3.0,16.0,125.0,13.0,10.0,,312.0,,,2015.0
124,Balangkayan,BALANGKAYAN,507.0,546.0,22.0,800.0,,,17.0,2.0,256.0,,225.0,,,2015.0
125,Balaoan,BALAOAN,863.0,252.0,2156.0,1688.0,42.0,17.0,528.0,3.0,7.0,4.0,3377.0,26.0,,2015.0
126,Balasan,BALASAN,131.0,744.0,949.0,3211.0,10.0,1214.0,9.0,,1.0,7.0,1811.0,3.0,,2015.0
127,Balatan,,,,,,,,,,,,,,,
128,Balayan,BALAYAN,4003.0,3576.0,3481.0,3156.0,1084.0,452.0,557.0,55.0,231.0,563.0,4827.0,16.0,,2015.0
129,Balbalan,BALBALAN,15.0,14.0,2.0,1.0,,,2078.0,191.0,,,1.0,,,2015.0
130,Baleno,,,,,,,,,,,,,,,
131,Baler,BALER,2696.0,2597.0,438.0,832.0,153.0,4.0,88.0,3.0,17.0,62.0,1945.0,7.0,,2015.0
132,Balete (AK),BALETE,1414.0,1115.0,463.0,213.0,54.0,2860.0,180.0,480.0,,,220.0,,,2015.0
133,Balete (BS),BALETE,3312.0,769.0,51.0,555.0,2.0,1.0,,2.0,2.0,25.0,11.0,2.0,,2015.0
134,Baliangao,BALIANGAO,151.0,119.0,94.0,1770.0,5.0,882.0,142.0,7.0,1.0,558.0,148.0,,,2015.0
135,Baliguian,BALIGUIAN,81.0,3033.0,90.0,560.0,37.0,404.0,698.0,80.0,174.0,,19.0,,,2015.0
136,Balilihan,BALILIHAN,1491.0,175.0,5.0,11.0,2.0,14.0,784.0,570.0,6.0,2.0,1024.0,,,2015.0
137,Balindong,BALINDONG (WATU),523.0,714.0,501.0,541.0,3.0,185.0,963.0,4.0,735.0,,10.0,4.0,,2015.0
138,Balingasag,BALINGASAG,3838.0,4254.0,385.0,3529.0,506.0,147.0,1185.0,662.0,33.0,17.0,234.0,,,2015.0
139,Balingoan,BALINGOAN,746.0,952.0,21.0,22.0,,154.0,55.0,,19.0,14.0,337.0,,,2015.0
140,Baliwag,BALIUAG,10469.0,463.0,1877.0,1411.0,180.0,4.0,,,1.0,11.0,22028.0,36.0,,2015.0
141,Ballesteros,BALLESTEROS,188.0,47.0,2673.0,2447.0,135.0,1138.0,34.0,1.0,,,1687.0,,,2015.0
142,Baloi,BALOI,760.0,2893.0,637.0,2048.0,86.0,2436.0,439.0,7.0,422.0,160.0,195.0,1.0,,2015.0
143,Balud,,,,,,,,,,,,,,,
144,Balungao,BALUNGAO,1085.0,305.0,2257.0,2450.0,2.0,15.0,2.0,,,,1489.0,1.0,,2015.0
145,Bamban,BAMBAN,3483.0,654.0,1116.0,2477.0,249.0,397.0,61.0,11.0,37.0,4.0,6478.0,11.0,,2015.0
146,Bambang,BAMBANG,442.0,150.0,1887.0,2344.0,2082.0,20.0,1410.0,415.0,52.0,148.0,4504.0,5.0,,2015.0
147,Banate,BANATE,189.0,177.0,775.0,1832.0,208.0,892.0,178.0,2.0,1.0,2045.0,1635.0,59.0,,2015.0
148,Banaue,BANAUE,74.0,89.0,32.0,12.0,1.0,,3034.0,683.0,1.0,2.0,1.0,,,2015.0
149,Banaybanay,BANAYBANAY,1386.0,2005.0,639.0,4257.0,486.0,14.0,167.0,40.0,,14.0,312.0,1.0,,2015.0
150,Banayoyo,BANAYOYO,147.0,13.0,345.0,533.0,117.0,1.0,1.0,2.0,,,623.0,,,2015.0
151,Banga (AK),BANGA,2182.0,721.0,2307.0,1777.0,135.0,941.0,436.0,119.0,,,632.0,,,2015.0
152,Banga (SC),BANGA,3026.0,1600.0,2972.0,6376.0,2145.0,515.0,1747.0,252.0,3.0,37.0,2410.0,17.0,,2015.0
153,Bangar,BANGAR,149.0,6.0,657.0,669.0,4433.0,10.0,33.0,,3.0,,2116.0,2.0,,2015.0
154,Bangued,BANGUED (Capital),4862.0,1247.0,916.0,1419.0,272.0,171.0,135.0,295.0,2.0,2.0,1686.0,17.0,,2015.0
155,Bangui,BANGUI,1476.0,110.0,550.0,454.0,3.0,15.0,280.0,4.0,37.0,,639.0,,,2015.0
156,Bani,BANI,2500.0,1395.0,678.0,1460.0,389.0,2676.0,253.0,1.0,18.0,78.0,2889.0,,,2015.0
157,Banisilan,BANISILAN,1127.0,1245.0,689.0,2105.0,48.0,1762.0,1580.0,712.0,14.0,178.0,186.0,3.0,,2015.0
158,Banna,BANNA (ESPIRITU),152.0,71.0,279.0,194.0,13.0,2166.0,327.0,7.0,,68.0,1255.0,,,2015.0
159,Bansalan,BANSALAN,5959.0,3562.0,1235.0,715.0,40.0,66.0,1757.0,8.0,456.0,114.0,1001.0,,,2015.0
160,Bansud,BANSUD,412.0,632.0,3211.0,3278.0,188.0,68.0,858.0,549.0,18.0,2.0,32.0,2.0,,2015.0
161,Bantay,BANTAY,1141.0,696.0,90.0,495.0,3608.0,17.0,101.0,28.0,1.0,7.0,2044.0,1.0,,2015.0
162,Bantayan Island,BANTAYAN,2039.0,2623.0,65.0,202.0,97.0,2878.0,163.0,,1308.0,2309.0,6806.0,4.0,,2015.0
163,Banton,BANTON,58.0,79.0,18.0,372.0,1.0,4.0,250.0,82.0,551.0,1.0,4.0,,,2015.0
164,Baras (CT),,,,,,,,,,,,,,,
165,Baras (RL),BARAS,2369.0,893.0,343.0,3521.0,207.0,94.0,301.0,153.0,153.0,1284.0,7381.0,7.0,,2015.0
166,Barbaza,BARBAZA,976.0,1584.0,723.0,1186.0,28.0,23.0,508.0,222.0,,,202.0,52.0,,2015.0
167,Barcelona,,,,,,,,,,,,,,,
168,Barili,BARILI,3898.0,4539.0,109.0,651.0,289.0,1304.0,922.0,670.0,57.0,191.0,3148.0,,,2015.0
169,Barira,BARIRA,210.0,492.0,115.0,582.0,13.0,1708.0,524.0,91.0,1221.0,5.0,19.0,,,2015.0
170,Barlig,BARLIG,,,1.0,1.0,1.0,,744.0,443.0,,,,,,2015.0
171,Barobo,BAROBO,999.0,2911.0,32.0,1142.0,6.0,150.0,399.0,12.0,943.0,239.0,3853.0,4.0,,2015.0
172,Barotac Nuevo,BAROTAC NUEVO,274.0,191.0,979.0,1285.0,1529.0,1100.0,206.0,2.0,5.0,6.0,6413.0,1.0,,2015.0
173,Barotac Viejo,BAROTAC VIEJO,310.0,1117.0,1295.0,3105.0,98.0,510.0,1631.0,77.0,55.0,369.0,2523.0,1.0,,2015.0
174,Baroy,BAROY,664.0,569.0,506.0,2150.0,10.0,80.0,770.0,156.0,2.0,72.0,622.0,,,2015.0
175,Barugo,BARUGO,1380.0,1916.0,158.0,1623.0,223.0,579.0,339.0,20.0,1.0,155.0,522.0,3.0,,2015.0
176,Basay,BASAY,155.0,1235.0,158.0,1056.0,522.0,561.0,448.0,436.0,,557.0,842.0,1.0,,2015.0
177,Basco,BASCO (Capital),789.0,1358.0,1.0,13.0,,,1.0,,12.0,40.0,113.0,,,2015.0
178,Basey,BASEY,966.0,4337.0,159.0,2421.0,4.0,1532.0,680.0,28.0,442.0,132.0,1946.0,1.0,,2015.0
179,Basilisa,BASILISA (RIZAL),1784.0,4353.0,305.0,823.0,171.0,244.0,464.0,92.0,188.0,,164.0,,,2015.0
180,Basista,BASISTA,1079.0,833.0,866.0,905.0,26.0,3.0,5.0,1.0,,2.0,3184.0,,,2015.0
181,Basud (CN),,,,,,,,,,,,,,,
182,Batac,CITY OF BATAC,173.0,24.0,635.0,508.0,1531.0,1400.0,243.0,273.0,3.0,4.0,8000.0,3.0,,2015.0
183,Batad,BATAD,120.0,890.0,340.0,2258.0,23.0,727.0,89.0,3.0,1.0,5.0,697.0,1.0,,2015.0
184,Batan,BATAN,524.0,723.0,365.0,3899.0,22.0,561.0,232.0,28.0,,,1613.0,,,2015.0
185,Batangas,BATANGAS CITY (Capital),54959.0,4971.0,1438.0,2944.0,320.0,138.0,2827.0,190.0,429.0,320.0,9181.0,273.0,,2015.0
186,Bataraza,BATARAZA,3085.0,4897.0,1325.0,4005.0,193.0,2657.0,297.0,531.0,369.0,8.0,616.0,,,2015.0
187,Bato (CS),,,,,,,,,,,,,,,
188,Bato (CT),,,,,,,,,,,,,,,
189,Bato (LE),BATO,512.0,1984.0,469.0,1950.0,248.0,232.0,828.0,221.0,692.0,491.0,1055.0,9.0,,2015.0
190,Batuan (BL),BATUAN,975.0,535.0,55.0,382.0,5.0,5.0,233.0,44.0,6.0,,613.0,,,2015.0
191,Batuan (MS),,,,,,,,,,,,,,,
192,Bauan,BAUAN,12159.0,892.0,337.0,859.0,33.0,16.0,1805.0,25.0,5.0,3.0,4522.0,38.0,,2015.0
193,Bauang,BAUANG,1401.0,603.0,1474.0,1656.0,234.0,1129.0,652.0,2.0,1.0,10.0,10086.0,6.0,,2015.0
194,Bauko,BAUKO,,,35.0,78.0,2.0,15.0,1691.0,4825.0,,,154.0,,,2015.0
195,Baungon,BAUNGON,1946.0,1689.0,13.0,220.0,52.0,480.0,1205.0,1410.0,20.0,33.0,529.0,1.0,,2015.0
196,Bautista,BAUTISTA,329.0,72.0,2212.0,3383.0,1.0,,8.0,,,186.0,698.0,3.0,,2015.0
197,Bay,BAY,6359.0,1750.0,467.0,1429.0,272.0,8.0,92.0,215.0,9.0,4.0,4468.0,76.0,,2015.0
198,Bayabas,BAYABAS,171.0,798.0,48.0,255.0,1.0,54.0,48.0,5.0,,1.0,357.0,,,2015.0
199,Bayambang,BAYAMBANG,2633.0,1583.0,3880.0,6861.0,757.0,4.0,98.0,,1.0,393.0,9383.0,3.0,,2015.0
200,Bayang,BAYANG,4.0,,107.0,667.0,13.0,5.0,895.0,584.0,1229.0,7.0,24.0,1.0,,2015.0
201,Bayawan,CITY OF BAYAWAN (TULONG),2198.0,4382.0,801.0,3166.0,435.0,3692.0,2597.0,2327.0,,175.0,5819.0,54.0,,2015.0
202,Baybay,CITY OF BAYBAY,10905.0,10035.0,307.0,1501.0,248.0,582.0,1150.0,51.0,99.0,322.0,977.0,3.0,,2015.0
203,Bayog,BAYOG,1757.0,2709.0,204.0,991.0,139.0,304.0,461.0,201.0,72.0,5.0,77.0,,,2015.0
204,Bayombong,BAYOMBONG (Capital),1682.0,276.0,496.0,169.0,4262.0,59.0,1153.0,551.0,7.0,6.0,7059.0,41.0,,2015.0
205,Bayugan,CITY OF BAYUGAN,2715.0,3107.0,1267.0,5604.0,133.0,313.0,2999.0,689.0,55.0,270.0,5489.0,17.0,,2015.0
206,Belison,BELISON,151.0,27.0,46.0,179.0,1949.0,7.0,103.0,13.0,,,608.0,,,2015.0
207,Benito Soliven,BENITO SOLIVEN,119.0,103.0,957.0,4015.0,10.0,362.0,239.0,256.0,13.0,7.0,856.0,4.0,,2015.0
