,name,city,Own use faucet community water system_count,Shared faucet community water system_count,Own use tubed/piped deep well_count,Shared tubed/piped deep well_count,Tubed/piped shallow well_count,Dug well_count,Protected spring_count,Unprotected spring_count,Lake river rain and others_count,Peddler_count,Bottled water_count,Others_count,Not Reported_count,year
210,Bilar,BILAR,3040.0,391.0,43.0,77.0,5.0,61.0,47.0,23.0,14.0,42.0,25.0,,,2015.0
211,Biliran,,,,,,,,,,,,,,,
212,Binalbagan,BINALBAGAN,4584.0,1529.0,846.0,3381.0,102.0,3307.0,164.0,878.0,26.0,28.0,244.0,3.0,,2015.0
213,Binalonan,BINALONAN,3265.0,328.0,4973.0,3873.0,89.0,10.0,171.0,1.0,1.0,3.0,115.0,20.0,,2015.0
214,Binangonan,BINANGONAN,52274.0,8342.0,1943.0,6242.0,147.0,148.0,10.0,2.0,5.0,263.0,334.0,76.0,,2015.0
215,Bindoy,BINDOY (PAYABON),3156.0,2978.0,263.0,226.0,210.0,89.0,601.0,1009.0,,44.0,124.0,2.0,,2015.0
216,Bingawan,BINGAWAN,9.0,176.0,281.0,326.0,22.0,2203.0,101.0,5.0,151.0,121.0,72.0,,,2015.0
217,Binidayan,BINIDAYAN,226.0,130.0,90.0,80.0,7.0,371.0,894.0,246.0,1304.0,4.0,45.0,,,2015.0
218,Binmaley,BINMALEY,11852.0,3276.0,2088.0,2471.0,14.0,13.0,6.0,2.0,,9.0,429.0,,,2015.0
219,Binuangan,BINUANGAN,888.0,537.0,2.0,12.0,11.0,,98.0,5.0,,3.0,,,,2015.0
220,Biri,BIRI,414.0,697.0,410.0,166.0,119.0,445.0,10.0,4.0,,,4.0,,,2015.0
221,Bislig,CITY OF BISLIG,11956.0,2905.0,174.0,1394.0,104.0,256.0,2802.0,1319.0,183.0,151.0,70.0,,,2015.0
222,Binan,CITY OF BIÑAN,51441.0,7321.0,6951.0,9739.0,1051.0,706.0,24.0,2.0,2.0,374.0,8984.0,157.0,,2015.0
223,Boac,BOAC (Capital),3972.0,3068.0,444.0,3301.0,363.0,246.0,786.0,180.0,25.0,1.0,289.0,4.0,,2015.0
224,Bobon,BOBON,803.0,1134.0,1324.0,1102.0,5.0,381.0,12.0,15.0,18.0,25.0,53.0,1.0,,2015.0
225,Bocaue,BOCAUE,17769.0,4173.0,1398.0,928.0,194.0,26.0,,,3.0,677.0,2249.0,10.0,,2015.0
226,Bogo,CITY OF BOGO,7913.0,5683.0,218.0,2609.0,255.0,1991.0,60.0,11.0,43.0,428.0,106.0,43.0,,2015.0
227,Bokod,BOKOD,1894.0,489.0,3.0,2.0,,,277.0,189.0,22.0,,1.0,,,2015.0
228,Bolinao,BOLINAO,3693.0,1558.0,2029.0,5821.0,971.0,3071.0,230.0,21.0,30.0,102.0,136.0,19.0,,2015.0
229,Boliney,BOLINEY,,,,,,,759.0,1.0,,,,,,2015.0
230,Boljoon,BOLJOON,1999.0,692.0,5.0,157.0,20.0,23.0,278.0,,142.0,58.0,,,,2015.0
231,Bombon,,,,,,,,,,,,,,,
232,Bongabon,BONGABON,3335.0,1370.0,5657.0,3825.0,66.0,114.0,496.0,,3.0,4.0,120.0,,,2015.0
233,Bongabong,BONGABONG,1666.0,3112.0,2462.0,5324.0,1386.0,428.0,1193.0,573.0,140.0,457.0,11.0,1.0,,2015.0
234,Bongao,BONGAO (CAPITAL),3596.0,2532.0,649.0,2845.0,74.0,4788.0,73.0,7.0,1938.0,470.0,434.0,43.0,,2015.0
235,Bonifacio,BONIFACIO,1952.0,1751.0,68.0,235.0,40.0,452.0,2551.0,104.0,7.0,127.0,21.0,,,2015.0
236,Bontoc (MP),BONTOC (Capital),742.0,211.0,20.0,55.0,9.0,29.0,3876.0,1081.0,,401.0,38.0,,,2015.0
237,Bontoc (SL),BONTOC,3138.0,2087.0,91.0,900.0,63.0,124.0,147.0,11.0,17.0,,21.0,,,2015.0
238,Borbon,BORBON,3476.0,1986.0,28.0,645.0,33.0,1099.0,187.0,773.0,40.0,44.0,103.0,6.0,,2015.0
239,Borongan,CITY OF BORONGAN (Capital),2604.0,2412.0,1726.0,3758.0,2699.0,70.0,1217.0,184.0,19.0,1.0,430.0,,,2015.0
240,Boston,BOSTON,240.0,1956.0,55.0,408.0,18.0,11.0,249.0,261.0,5.0,,12.0,1.0,,2015.0
241,Botolan,BOTOLAN,1003.0,751.0,3508.0,3799.0,2856.0,108.0,733.0,504.0,212.0,10.0,184.0,,,2015.0
242,Braulio E. Dujali,BRAULIO E. DUJALI,325.0,88.0,586.0,463.0,163.0,780.0,23.0,4.0,975.0,1817.0,180.0,,,2015.0
243,Brooke's Point,BROOKE'S POINT,2085.0,1675.0,3169.0,5737.0,132.0,552.0,937.0,327.0,801.0,4.0,55.0,,,2015.0
244,Buadiposo-Buntong,BUADIPOSO-BUNTONG,208.0,447.0,6.0,5.0,57.0,31.0,363.0,392.0,912.0,64.0,44.0,,,2015.0
245,Bubong,BUBONG,13.0,,2.0,8.0,1.0,3.0,71.0,2917.0,142.0,,,1.0,,2015.0
246,Bucay,BUCAY,944.0,766.0,442.0,503.0,32.0,71.0,1045.0,18.0,10.0,,32.0,,,2015.0
247,Bucloc,BUCLOC,23.0,14.0,1.0,1.0,,,403.0,,,,,,,2015.0
248,Buenavista (AN),,,,,,,,,,,,,,,
249,Buenavista (BL),BUENAVISTA,1108.0,880.0,129.0,586.0,22.0,1917.0,183.0,75.0,902.0,189.0,43.0,,,2015.0
250,Buenavista (GS),BUENAVISTA,4223.0,1111.0,947.0,2459.0,361.0,2335.0,552.0,20.0,11.0,1.0,95.0,,,2015.0
251,Buenavista (ME),BUENAVISTA,1426.0,1854.0,551.0,1198.0,16.0,81.0,121.0,4.0,49.0,,12.0,,,2015.0
252,Buenavista (QN),BUENAVISTA,295.0,1323.0,678.0,1699.0,193.0,1653.0,286.0,471.0,61.0,2.0,104.0,,,2015.0
253,Bugallon,BUGALLON,2972.0,803.0,5748.0,4611.0,74.0,35.0,99.0,3.0,1.0,20.0,217.0,4.0,,2015.0
254,Bugasong,BUGASONG,1799.0,1174.0,703.0,1840.0,86.0,95.0,798.0,820.0,56.0,4.0,6.0,5.0,,2015.0
255,Buguey,BUGUEY,65.0,19.0,600.0,621.0,3875.0,927.0,30.0,2.0,374.0,137.0,104.0,,,2015.0
256,Buguias,BUGUIAS,1177.0,796.0,106.0,189.0,7.0,127.0,2949.0,4949.0,12.0,535.0,27.0,,,2015.0
257,Buhi,,,,,,,,,,,,,,,
258,Bula,,,,,,,,,,,,,,,
259,Bulakan,,,,,,,,,,,,,,,
260,Bulalacao,BULALACAO (SAN PEDRO),1463.0,3193.0,316.0,1246.0,536.0,264.0,757.0,672.0,51.0,7.0,36.0,1.0,,2015.0
261,Bulan,,,,,,,,,,,,,,,
262,Buldon,BULDON,48.0,472.0,456.0,1177.0,45.0,1585.0,326.0,74.0,1357.0,,,2.0,,2015.0
263,Buluan,BULUAN,484.0,59.0,2630.0,3912.0,41.0,69.0,4.0,4.0,,42.0,41.0,2.0,,2015.0
264,Bulusan,,,,,,,,,,,,,,,
265,Bunawan,BUNAWAN,1279.0,3235.0,540.0,348.0,54.0,1523.0,1544.0,272.0,1301.0,246.0,186.0,2.0,,2015.0
266,Burauen,BURAUEN,5127.0,4676.0,415.0,1305.0,52.0,428.0,372.0,161.0,25.0,6.0,7.0,3.0,,2015.0
267,Burdeos,BURDEOS,1174.0,740.0,141.0,333.0,84.0,2457.0,481.0,53.0,180.0,3.0,6.0,,,2015.0
268,Burgos (IN),BURGOS,369.0,131.0,34.0,37.0,645.0,836.0,334.0,2.0,,,15.0,,,2015.0
269,Burgos (IS),BURGOS,207.0,234.0,536.0,604.0,1160.0,7.0,3.0,,1.0,1.0,32.0,,,2015.0
270,Burgos (IA),BURGOS,118.0,29.0,2541.0,2198.0,599.0,166.0,27.0,49.0,,,8.0,9.0,,2015.0
271,Burgos (LU),BURGOS,6.0,4.0,3.0,3.0,5.0,16.0,1573.0,111.0,18.0,,11.0,,,2015.0
272,Burgos (PS),BURGOS,630.0,145.0,1567.0,1587.0,8.0,804.0,5.0,12.0,,,42.0,,,2015.0
273,Burgos (SN),BURGOS,68.0,297.0,201.0,333.0,2.0,6.0,5.0,,1.0,,6.0,,,2015.0
274,Buruanga,BURUANGA,1001.0,1507.0,222.0,458.0,125.0,197.0,624.0,98.0,,,7.0,,,2015.0
275,Bustos,BUSTOS,11544.0,197.0,1865.0,1638.0,159.0,12.0,,,,189.0,442.0,,,2015.0
276,Busuanga,BUSUANGA,1697.0,1424.0,150.0,229.0,41.0,1053.0,152.0,196.0,104.0,1.0,4.0,,,2015.0
277,Butig,BUTIG,33.0,104.0,387.0,509.0,1135.0,435.0,161.0,14.0,319.0,1.0,,,,2015.0
278,Butuan,,,,,,,,,,,,,,,
279,Buug,BUUG,2438.0,2746.0,409.0,380.0,37.0,532.0,1061.0,208.0,376.0,2.0,145.0,10.0,,2015.0
280,Caba,CABA,119.0,28.0,2128.0,1904.0,28.0,101.0,757.0,10.0,,1.0,151.0,,,2015.0
281,Cabadbaran,,,,,,,,,,,,,,,
282,Cabagan,CABAGAN,2754.0,348.0,1005.0,2285.0,32.0,3304.0,21.0,236.0,147.0,1.0,23.0,6.0,,2015.0
283,Cabanatuan,CABANATUAN CITY,40033.0,5092.0,14066.0,7423.0,1076.0,65.0,15.0,,,96.0,346.0,35.0,,2015.0
284,Cabangan,CABANGAN,1123.0,62.0,2710.0,1723.0,220.0,76.0,10.0,18.0,13.0,13.0,21.0,,,2015.0
285,Cabanglasan,CABANGLASAN,1820.0,3201.0,56.0,247.0,39.0,91.0,1027.0,440.0,14.0,,12.0,1.0,,2015.0
286,Cabarroguis,CABARROGUIS (Capital),320.0,640.0,1910.0,2147.0,35.0,119.0,1031.0,455.0,6.0,2.0,182.0,2.0,,2015.0
287,Cabatuan (IO),CABATUAN,2328.0,1212.0,2030.0,5757.0,206.0,700.0,261.0,5.0,48.0,18.0,150.0,,,2015.0
288,Cabatuan (IA),CABATUAN,2553.0,293.0,4527.0,2071.0,93.0,9.0,1.0,1.0,,,67.0,59.0,,2015.0
289,Cabiao,CABIAO,9022.0,958.0,3857.0,2415.0,330.0,1.0,3.0,,,,95.0,4.0,,2015.0
290,Cabucgayan,CABUCGAYAN,2450.0,1500.0,44.0,406.0,123.0,119.0,57.0,5.0,38.0,,9.0,,,2015.0
291,Cabugao,CABUGAO,3570.0,366.0,960.0,1185.0,203.0,1630.0,134.0,13.0,4.0,33.0,89.0,1.0,,2015.0
292,Cabusao,,,,,,,,,,,,,,,
293,Cabuyao,CABUYAO CITY,56143.0,4297.0,7998.0,5391.0,714.0,466.0,71.0,6.0,2.0,240.0,6199.0,46.0,,2015.0
294,Cadiz,CADIZ CITY,8867.0,5495.0,782.0,10815.0,621.0,6372.0,952.0,654.0,50.0,453.0,589.0,7.0,,2015.0
295,Cagayancillo,CAGAYANCILLO,1.0,,,11.0,2.0,171.0,,,999.0,,,,,2015.0
296,Cagayan De Oro,CAGAYAN DE ORO CITY (Capital),110567.0,35064.0,706.0,3734.0,183.0,841.0,2766.0,1289.0,394.0,3922.0,3355.0,353.0,,2015.0
297,Cagdianao,CAGDIANAO,1456.0,1552.0,41.0,153.0,17.0,36.0,206.0,77.0,45.0,190.0,2.0,2.0,,2015.0
298,Cagwait,CAGWAIT,1699.0,1526.0,23.0,326.0,10.0,75.0,299.0,164.0,174.0,3.0,60.0,,,2015.0
299,Caibiran,CAIBIRAN,2309.0,2137.0,15.0,118.0,4.0,25.0,30.0,101.0,,,24.0,45.0,,2015.0
300,Cainta,CAINTA,61201.0,7406.0,885.0,575.0,30.0,39.0,16.0,,1.0,485.0,761.0,64.0,,2015.0
301,Cajidiocan,CAJIDIOCAN,1504.0,649.0,542.0,949.0,22.0,38.0,467.0,554.0,242.0,10.0,6.0,,,2015.0
302,Calabanga,,,,,,,,,,,,,,,
303,Calaca,CALACA,9357.0,2417.0,3197.0,2257.0,161.0,51.0,212.0,6.0,149.0,345.0,305.0,2.0,,2015.0
304,Calamba (LA),CITY OF CALAMBA,80455.0,10690.0,11551.0,15221.0,741.0,558.0,168.0,155.0,436.0,529.0,2543.0,24.0,,2015.0
305,Calamba (MC),CALAMBA,2516.0,988.0,51.0,120.0,9.0,281.0,528.0,477.0,9.0,66.0,7.0,,,2015.0
306,Calanasan,CALANASAN (BAYAG),75.0,162.0,60.0,14.0,74.0,136.0,1752.0,94.0,16.0,,1.0,,,2015.0
307,Calanogas,CALANOGAS,35.0,510.0,,1.0,65.0,61.0,74.0,493.0,890.0,,1.0,,,2015.0
308,Calapan,CITY OF CALAPAN (Capital),13008.0,2697.0,4067.0,6199.0,1220.0,740.0,21.0,38.0,40.0,2039.0,625.0,40.0,,2015.0
309,Calape,CALAPE,3794.0,1305.0,66.0,495.0,105.0,48.0,488.0,633.0,285.0,131.0,54.0,,,2015.0
310,Calasiao,CALASIAO,4716.0,861.0,4805.0,11322.0,142.0,225.0,,6.0,,5.0,419.0,41.0,,2015.0
311,Calatagan,CALATAGAN,1990.0,440.0,4571.0,5279.0,665.0,212.0,128.0,3.0,,18.0,221.0,190.0,,2015.0
312,Calatrava (NO),CALATRAVA,2801.0,4245.0,1212.0,2996.0,480.0,2948.0,2579.0,560.0,417.0,49.0,134.0,10.0,,2015.0
313,Calatrava (RN),CALATRAVA,1773.0,213.0,37.0,92.0,61.0,7.0,58.0,2.0,81.0,1.0,9.0,,,2015.0
314,Calauag,CALAUAG,3626.0,2649.0,888.0,3632.0,434.0,4926.0,445.0,41.0,46.0,82.0,109.0,3.0,,2015.0
315,Calauan,CALAUAN,7027.0,3758.0,1751.0,3206.0,594.0,73.0,844.0,172.0,33.0,58.0,139.0,14.0,,2015.0
316,Calayan,CALAYAN,1515.0,443.0,633.0,516.0,16.0,212.0,377.0,150.0,42.0,,,,,2015.0
317,Calbayog,CALBAYOG CITY,11437.0,18231.0,228.0,2519.0,61.0,1194.0,2967.0,510.0,747.0,406.0,111.0,,,2015.0
318,Calbiga,CALBIGA,1523.0,2271.0,94.0,247.0,3.0,462.0,91.0,345.0,66.0,23.0,35.0,,,2015.0
319,Calinog,CALINOG,1405.0,879.0,2174.0,2444.0,305.0,3286.0,950.0,828.0,158.0,672.0,47.0,7.0,,2015.0
320,Calintaan,CALINTAAN,210.0,321.0,1016.0,1440.0,3000.0,8.0,230.0,113.0,81.0,1.0,23.0,8.0,,2015.0
321,Caloocan,CALOOCAN CITY,283142.0,66524.0,5172.0,5595.0,191.0,290.0,15.0,,,2740.0,3974.0,235.0,,2015.0
322,Calubian,CALUBIAN,259.0,1434.0,439.0,2248.0,262.0,2442.0,220.0,39.0,32.0,239.0,244.0,,,2015.0
323,Calumpit,CALUMPIT,22255.0,1314.0,363.0,208.0,35.0,99.0,,,,18.0,694.0,5.0,,2015.0
324,Caluya,CALUYA,1054.0,2028.0,289.0,2177.0,145.0,705.0,459.0,80.0,12.0,401.0,643.0,,,2015.0
325,Camalaniugan,CAMALANIUGAN,57.0,77.0,1338.0,2340.0,487.0,785.0,3.0,2.0,77.0,,316.0,,,2015.0
326,Camalig,,,,,,,,,,,,,,,
327,Camaligan,,,,,,,,,,,,,,,
328,Camiling,CAMILING,9424.0,975.0,6166.0,2619.0,88.0,49.0,127.0,4.0,1.0,27.0,120.0,1.0,,2015.0
329,Canaman,,,,,,,,,,,,,,,
330,Can-Avid,CAN-AVID,166.0,804.0,277.0,1833.0,184.0,185.0,885.0,128.0,19.0,1.0,23.0,,,2015.0
331,Candaba,CANDABA,8475.0,2371.0,4488.0,5837.0,1013.0,24.0,12.0,1.0,,6.0,431.0,6.0,,2015.0
332,Candelaria (QN),CANDELARIA,7303.0,2274.0,11063.0,5857.0,359.0,330.0,539.0,35.0,25.0,70.0,199.0,1.0,,2015.0
333,Candelaria (ZA),CANDELARIA,736.0,162.0,3431.0,1582.0,25.0,42.0,10.0,,27.0,3.0,39.0,4.0,,2015.0
334,Candijay,CANDIJAY,4386.0,1371.0,70.0,510.0,13.0,57.0,271.0,39.0,17.0,1.0,36.0,,,2015.0
335,Candon,CITY OF CANDON,1720.0,444.0,4547.0,2423.0,4306.0,55.0,6.0,,1.0,1.0,228.0,81.0,,2015.0
336,Candoni,CANDONI,165.0,1266.0,275.0,594.0,108.0,1389.0,480.0,261.0,1.0,417.0,6.0,,,2015.0
337,Canlaon,CANLAON CITY,3974.0,2589.0,483.0,1421.0,283.0,719.0,2178.0,885.0,11.0,85.0,63.0,1.0,,2015.0
338,Cantilan,CANTILAN,2569.0,701.0,1372.0,1399.0,760.0,128.0,90.0,,5.0,5.0,28.0,1.0,,2015.0
339,Caoayan,CAOAYAN,1612.0,196.0,379.0,151.0,1821.0,378.0,9.0,4.0,5.0,,48.0,1.0,,2015.0
340,Capalonga,,,,,,,,,,,,,,,
341,Capas,CAPAS,11108.0,2034.0,8256.0,6574.0,2459.0,9.0,305.0,9.0,282.0,26.0,1396.0,,,2015.0
342,Capoocan,CAPOOCAN,729.0,4807.0,143.0,148.0,4.0,91.0,826.0,226.0,170.0,143.0,42.0,3.0,,2015.0
343,Capul,CAPUL,114.0,677.0,473.0,947.0,5.0,120.0,160.0,1.0,3.0,,4.0,,,2015.0
344,Caraga,CARAGA,2721.0,3519.0,258.0,820.0,38.0,270.0,691.0,843.0,28.0,36.0,13.0,2.0,,2015.0
345,Caramoan,,,,,,,,,,,,,,,
346,Caramoran,,,,,,,,,,,,,,,
347,Carasi,CARASI,1.0,,3.0,,1.0,70.0,229.0,,,,,,,2015.0
348,Carcar,CITY OF CARCAR,14478.0,5987.0,461.0,1880.0,292.0,863.0,1947.0,754.0,13.0,220.0,253.0,1.0,,2015.0
349,Cardona,CARDONA,7387.0,1711.0,256.0,2575.0,4.0,85.0,16.0,1.0,2.0,,69.0,8.0,,2015.0
350,Carigara,CARIGARA,3354.0,3497.0,491.0,882.0,8.0,1787.0,941.0,216.0,86.0,3.0,38.0,,,2015.0
351,Carles,CARLES,359.0,1115.0,563.0,2805.0,143.0,6535.0,2576.0,386.0,194.0,437.0,165.0,,,2015.0
352,Carmen (AN),,,,,,,,,,,,,,,
353,Carmen (BL),CARMEN,1710.0,1906.0,1061.0,2183.0,253.0,1427.0,1058.0,432.0,98.0,2.0,176.0,,,2015.0
354,Carmen (CU),,,,,,,,,,,,,,,
355,Carmen (NC),CARMEN,4671.0,3319.0,1339.0,4977.0,1306.0,2454.0,3244.0,399.0,166.0,18.0,9.0,3.0,,2015.0
356,Carmen (DN),CARMEN,326.0,477.0,1188.0,1088.0,592.0,1425.0,9.0,8.0,3295.0,7805.0,528.0,2.0,,2015.0
357,Carmen (SS),CARMEN,742.0,359.0,718.0,487.0,2.0,6.0,5.0,2.0,5.0,2.0,2.0,,,2015.0
358,Carmona,CARMONA,17966.0,2561.0,154.0,1768.0,70.0,92.0,16.0,95.0,38.0,53.0,1588.0,26.0,,2015.0
359,Carranglan,CARRANGLAN,397.0,240.0,2279.0,3356.0,119.0,78.0,2552.0,536.0,31.0,,54.0,,,2015.0
360,Carrascal,CARRASCAL,1996.0,1752.0,408.0,344.0,300.0,2.0,88.0,6.0,84.0,,38.0,,,2015.0
361,Casiguran (AU),CASIGURAN,1846.0,1181.0,718.0,1160.0,175.0,69.0,261.0,95.0,13.0,198.0,4.0,1.0,,2015.0
362,Casiguran (SO),,,,,,,,,,,,,,,
363,Castilla,,,,,,,,,,,,,,,
364,Castillejos,CASTILLEJOS,4203.0,662.0,6500.0,4412.0,244.0,94.0,174.0,29.0,17.0,3.0,788.0,104.0,,2015.0
365,Cataingan,,,,,,,,,,,,,,,
366,Catanauan,CATANAUAN,3014.0,2157.0,1865.0,2455.0,262.0,3249.0,1482.0,185.0,50.0,123.0,484.0,8.0,,2015.0
367,Catarman (CM),CATARMAN,3425.0,352.0,7.0,24.0,2.0,,249.0,,1.0,,,,,2015.0
368,Catarman (NS),CATARMAN (Capital),1904.0,2966.0,3422.0,4482.0,2610.0,2113.0,339.0,234.0,71.0,312.0,631.0,7.0,,2015.0
369,Catbalogan,CITY OF CATBALOGAN (Capital),8600.0,5865.0,525.0,3101.0,333.0,1043.0,961.0,336.0,74.0,196.0,127.0,1.0,,2015.0
370,Cateel,CATEEL,219.0,1023.0,1091.0,2915.0,1719.0,249.0,1687.0,686.0,61.0,16.0,23.0,22.0,,2015.0
371,Catigbian,CATIGBIAN,1009.0,220.0,348.0,514.0,12.0,1036.0,1056.0,16.0,844.0,1.0,68.0,,,2015.0
372,Catmon,CATMON,3295.0,1821.0,72.0,374.0,52.0,621.0,366.0,124.0,134.0,51.0,29.0,1.0,,2015.0
373,Catubig,CATUBIG,154.0,3608.0,19.0,147.0,7.0,146.0,1797.0,113.0,20.0,312.0,116.0,75.0,,2015.0
374,Cauayan (IA),CITY OF CAUAYAN,8906.0,1240.0,8487.0,8400.0,1627.0,1585.0,98.0,7.0,,38.0,227.0,8.0,,2015.0
375,Cauayan (NO),CAUAYAN,994.0,1843.0,2825.0,7263.0,300.0,5501.0,3001.0,820.0,172.0,22.0,112.0,5.0,,2015.0
376,Cavinti,CAVINTI,3560.0,549.0,131.0,438.0,20.0,176.0,294.0,68.0,32.0,44.0,42.0,5.0,,2015.0
377,Cavite,CAVITE CITY,15458.0,5685.0,99.0,520.0,5.0,158.0,2.0,,,633.0,3435.0,2.0,,2015.0
378,Cawayan,,,,,,,,,,,,,,,
379,Cebu,"CEBU (excluding Cebu, Lapu-Lapu and Mandaue City)",274119.0,154261.0,21975.0,81133.0,9248.0,50201.0,41538.0,9354.0,5950.0,11951.0,9436.0,156.0,,2015.0
380,Cebu,CEBU CITY (Capital),124251.0,42789.0,6645.0,15119.0,1105.0,2969.0,11553.0,1496.0,388.0,2898.0,4454.0,71.0,,2015.0
381,Cervantes,CERVANTES,2901.0,209.0,51.0,89.0,52.0,,314.0,36.0,19.0,4.0,6.0,1.0,,2015.0
382,Clarin (BL),CLARIN,1751.0,1206.0,180.0,374.0,11.0,522.0,295.0,40.0,51.0,103.0,90.0,,,2015.0
383,Clarin (MC),CLARIN,2248.0,1786.0,525.0,2951.0,213.0,78.0,237.0,77.0,152.0,34.0,73.0,,,2015.0
384,Claver,CLAVER,1782.0,3122.0,392.0,485.0,397.0,351.0,276.0,20.0,6.0,,525.0,1.0,,2015.0
385,Claveria (CG),CLAVERIA,1253.0,233.0,2178.0,1409.0,323.0,1337.0,443.0,14.0,2.0,17.0,49.0,,,2015.0
386,Claveria (MS),,,,,,,,,,,,,,,
387,Claveria (MO),CLAVERIA,3847.0,4066.0,79.0,343.0,31.0,174.0,1617.0,856.0,49.0,10.0,12.0,1.0,,2015.0
388,Columbio,COLUMBIO,168.0,1316.0,1317.0,2775.0,379.0,605.0,1250.0,251.0,61.0,,12.0,,,2015.0
389,Compostela (CU),COMPOSTELA,2129.0,1018.0,885.0,4227.0,207.0,803.0,813.0,58.0,,289.0,447.0,4.0,,2015.0
390,Compostela (DDO),COMPOSTELA,3135.0,3476.0,1838.0,7372.0,1259.0,193.0,1433.0,107.0,51.0,190.0,39.0,,,2015.0
391,Concepcion (IO),CONCEPCION,594.0,2249.0,1056.0,4205.0,361.0,614.0,733.0,65.0,26.0,129.0,23.0,14.0,,2015.0
392,Concepcion,CONCEPCION,16.0,567.0,,13.0,,69.0,433.0,1328.0,3.0,,31.0,,,2015.0
393,Concepcion (RN),CONCEPCION,695.0,5.0,27.0,20.0,25.0,65.0,80.0,20.0,111.0,,,,,2015.0
394,Concepcion (TC),CONCEPCION,12618.0,1100.0,13172.0,4723.0,802.0,349.0,4.0,3.0,,29.0,484.0,15.0,,2015.0
395,Conner,CONNER,38.0,25.0,628.0,633.0,301.0,2264.0,1131.0,448.0,,1.0,,,,2015.0
396,Consolacion,CONSOLACION,16832.0,7270.0,641.0,3067.0,71.0,1102.0,111.0,2.0,18.0,1068.0,443.0,,,2015.0
397,Corcuera,CORCUERA,203.0,460.0,128.0,617.0,91.0,346.0,109.0,,499.0,15.0,3.0,,,2015.0
398,Cordon,CORDON,831.0,468.0,3684.0,4725.0,312.0,22.0,210.0,5.0,1.0,1.0,91.0,3.0,,2015.0
399,Cordova,CORDOVA,1753.0,1946.0,2511.0,3956.0,161.0,1136.0,62.0,3.0,113.0,253.0,1421.0,9.0,,2015.0
400,Corella,CORELLA,1827.0,63.0,2.0,3.0,1.0,5.0,1.0,,,,6.0,,,2015.0
401,Coron,CORON,3843.0,2207.0,520.0,1163.0,42.0,2672.0,351.0,22.0,377.0,,315.0,,,2015.0
402,Cortes (BL),CORTES,2837.0,499.0,9.0,36.0,6.0,31.0,166.0,17.0,4.0,2.0,23.0,,,2015.0
403,Cortes (SS),CORTES,1734.0,1350.0,36.0,78.0,25.0,126.0,127.0,1.0,3.0,43.0,7.0,,,2015.0
404,Cotabato,COTABATO CITY,33342.0,16270.0,762.0,2245.0,265.0,2014.0,6.0,6.0,58.0,2552.0,784.0,562.0,,2015.0
405,Cuartero,CUARTERO,79.0,247.0,2700.0,1811.0,100.0,1282.0,10.0,12.0,38.0,33.0,134.0,,,2015.0
406,Cuenca,CUENCA,4972.0,595.0,819.0,387.0,18.0,232.0,116.0,1.0,2.0,2.0,68.0,1.0,,2015.0
407,Culaba,CULABA,1550.0,829.0,33.0,16.0,,140.0,120.0,29.0,8.0,,2.0,,,2015.0
408,Culasi,CULASI,2427.0,2502.0,1421.0,2107.0,82.0,518.0,197.0,219.0,183.0,4.0,26.0,3.0,,2015.0
409,Culion,CULION,1281.0,1071.0,24.0,462.0,17.0,1050.0,336.0,192.0,153.0,50.0,16.0,,,2015.0
410,Currimao,CURRIMAO,593.0,313.0,525.0,600.0,228.0,481.0,9.0,7.0,,,47.0,2.0,,2015.0
411,Cuyapo,CUYAPO,4403.0,1156.0,4435.0,5332.0,115.0,27.0,4.0,1.0,2.0,1.0,183.0,,,2015.0
412,Cuyo,CUYO,99.0,697.0,79.0,49.0,14.0,3709.0,,5.0,2.0,447.0,2.0,,,2015.0
413,Daan Bantayan,DAANBANTAYAN,6902.0,4487.0,643.0,3041.0,126.0,3978.0,132.0,,263.0,18.0,199.0,1.0,,2015.0
414,Daet,,,,,,,,,,,,,,,
415,Dagami,DAGAMI,1041.0,3481.0,384.0,1437.0,117.0,1425.0,206.0,282.0,55.0,4.0,,1.0,,2015.0
416,Dagohoy,DAGOHOY,721.0,115.0,192.0,838.0,35.0,1708.0,213.0,58.0,210.0,,86.0,,,2015.0
417,Daguioman,DAGUIOMAN,,,3.0,,,,372.0,,,,,,,2015.0
418,Dagupan,DAGUPAN CITY,23557.0,5706.0,2905.0,4142.0,280.0,67.0,4.0,,,433.0,1044.0,30.0,,2015.0
419,Dalaguete,DALAGUETE,6137.0,2956.0,77.0,187.0,4.0,102.0,3298.0,707.0,546.0,413.0,2.0,4.0,,2015.0
420,Damulog,DAMULOG,1882.0,735.0,377.0,995.0,237.0,371.0,1056.0,1099.0,12.0,5.0,13.0,1.0,,2015.0
421,Danao (BL),DANAO,834.0,554.0,75.0,523.0,245.0,1141.0,302.0,105.0,89.0,2.0,51.0,,,2015.0
422,Danao (BL),DANAO CITY,12830.0,9217.0,778.0,3225.0,166.0,2659.0,1279.0,576.0,56.0,148.0,673.0,4.0,,2015.0
423,Danao (CU),,,,,,,,,,,,,,,
424,Dangcagan,DANGCAGAN,2390.0,1271.0,104.0,156.0,14.0,627.0,506.0,74.0,3.0,4.0,19.0,,,2015.0
425,Danglas,DANGLAS,29.0,395.0,90.0,288.0,4.0,38.0,50.0,,14.0,,2.0,,,2015.0
426,Dao,DAO,345.0,134.0,2608.0,1964.0,258.0,2157.0,12.0,2.0,140.0,2.0,128.0,,,2015.0
