,name,city,bldg_type,Occupied Housing Units,Number of Households*,Household Population*,Average Household Size,Ratio of Households to Occupied Housing Units,Ratio of Household Population to Occupied Housing Units,year
78,Aguilar,AGUILAR,Duplex,231.0,235.0,988.0,4.2,1.02,4.28,2015.0
79,Aguilar,AGUILAR,Multi-unit residential,76.0,77.0,313.0,4.06,1.01,4.12,2015.0
80,Aguilar,AGUILAR,Commercial/industrial/agricultural,7.0,7.0,36.0,5.14,1.0,5.14,2015.0
81,Aguilar,AGUILAR,Institutional living quarter,1.0,1.0,2.0,2.0,1.0,2.0,2015.0
82,Aguilar,AGUILAR,Others,,,,,,,2015.0
83,Aguilar,AGUILAR,Not Reported,1.0,2.0,8.0,4.0,2.0,8.0,2015.0
84,Aguinaldo,AGUINALDO,Single house,4493.0,4496.0,18754.0,4.17,1.0,4.17,2015.0
85,Aguinaldo,AGUINALDO,Duplex,142.0,142.0,558.0,3.93,1.0,3.93,2015.0
86,Aguinaldo,AGUINALDO,Multi-unit residential,21.0,21.0,82.0,3.9,1.0,3.9,2015.0
87,Aguinaldo,AGUINALDO,Commercial/industrial/agricultural,,,,,,,2015.0
88,Aguinaldo,AGUINALDO,Institutional living quarter,2.0,2.0,4.0,2.0,1.0,2.0,2015.0
89,Aguinaldo,AGUINALDO,Others,,,,,,,2015.0
90,Aguinaldo,AGUINALDO,Not Reported,,,,,,,2015.0
91,Agutaya,AGUTAYA,Single house,2995.0,2996.0,12312.0,4.11,1.0,4.11,2015.0
92,Agutaya,AGUTAYA,Duplex,38.0,38.0,135.0,3.55,1.0,3.55,2015.0
93,Agutaya,AGUTAYA,Multi-unit residential,10.0,10.0,41.0,4.1,1.0,4.1,2015.0
94,Agutaya,AGUTAYA,Commercial/industrial/agricultural,,,,,,,2015.0
95,Agutaya,AGUTAYA,Institutional living quarter,,,,,,,2015.0
96,Agutaya,AGUTAYA,Others,,,,,,,2015.0
97,Agutaya,AGUTAYA,Not Reported,1.0,1.0,4.0,4.0,1.0,4.0,2015.0
98,Ajuy,AJUY,Single house,11800.0,11857.0,50519.0,4.26,1.0,4.28,2015.0
99,Ajuy,AJUY,Duplex,326.0,327.0,1417.0,4.33,1.0,4.35,2015.0
100,Ajuy,AJUY,Multi-unit residential,24.0,24.0,106.0,4.42,1.0,4.42,2015.0
101,Ajuy,AJUY,Commercial/industrial/agricultural,9.0,10.0,35.0,3.5,1.11,3.89,2015.0
102,Ajuy,AJUY,Institutional living quarter,,,,,,,2015.0
103,Ajuy,AJUY,Others,,,,,,,2015.0
104,Ajuy,AJUY,Not Reported,3.0,3.0,7.0,2.33,1.0,2.33,2015.0
105,Akbar,AKBAR,Single house,2499.0,2755.0,17143.0,6.22,1.1,6.86,2015.0
106,Akbar,AKBAR,Duplex,48.0,50.0,296.0,5.92,1.04,6.17,2015.0
107,Akbar,AKBAR,Multi-unit residential,3.0,3.0,21.0,7.0,1.0,7.0,2015.0
108,Akbar,AKBAR,Commercial/industrial/agricultural,1.0,1.0,5.0,5.0,1.0,5.0,2015.0
109,Akbar,AKBAR,Institutional living quarter,,,,,,,2015.0
110,Akbar,AKBAR,Others,,,,,,,2015.0
111,Akbar,AKBAR,Not Reported,9.0,11.0,66.0,6.0,1.22,7.33,2015.0
112,Alabat,ALABAT,Single house,3053.0,3076.0,13412.0,4.36,1.01,4.39,2015.0
113,Alabat,ALABAT,Duplex,342.0,344.0,1573.0,4.57,1.01,4.6,2015.0
114,Alabat,ALABAT,Multi-unit residential,136.0,138.0,599.0,4.34,1.01,4.4,2015.0
115,Alabat,ALABAT,Commercial/industrial/agricultural,6.0,6.0,25.0,4.17,1.0,4.17,2015.0
116,Alabat,ALABAT,Institutional living quarter,1.0,1.0,6.0,6.0,1.0,6.0,2015.0
117,Alabat,ALABAT,Others,,,,,,,2015.0
118,Alabat,ALABAT,Not Reported,1.0,1.0,3.0,3.0,1.0,3.0,2015.0
119,Alabel,ALABEL (Capital),Single house,16701.0,16793.0,75451.0,4.49,1.01,4.52,2015.0
120,Alabel,ALABEL (Capital),Duplex,811.0,813.0,3358.0,4.13,1.0,4.14,2015.0
121,Alabel,ALABEL (Capital),Multi-unit residential,282.0,283.0,966.0,3.41,1.0,3.43,2015.0
122,Alabel,ALABEL (Capital),Commercial/industrial/agricultural,5.0,5.0,16.0,3.2,1.0,3.2,2015.0
123,Alabel,ALABEL (Capital),Institutional living quarter,,,,,,,2015.0
