,name,city,bldg_type,Occupied Housing Units,Number of Households*,Household Population*,Average Household Size,Ratio of Households to Occupied Housing Units,Ratio of Household Population to Occupied Housing Units,year
5175,Ma-Ayon,MA-AYON,Duplex,94.0,94.0,380.0,4.04,1.0,4.04,2015.0
5176,Ma-Ayon,MA-AYON,Multi-unit residential,12.0,12.0,44.0,3.67,1.0,3.67,2015.0
5177,Ma-Ayon,MA-AYON,Commercial/industrial/agricultural,7.0,7.0,37.0,5.29,1.0,5.29,2015.0
5178,Ma-Ayon,MA-AYON,Institutional living quarter,,,,,,,2015.0
5179,Ma-Ayon,MA-AYON,Others,,,,,,,2015.0
5180,Ma-Ayon,MA-AYON,Not Reported,,,,,,,2015.0
5181,Mabalacat,MABALACAT CITY,Single house,34391.0,34817.0,160126.0,4.6,1.01,4.66,2015.0
5182,Mabalacat,MABALACAT CITY,Duplex,7639.0,7700.0,33383.0,4.34,1.01,4.37,2015.0
5183,Mabalacat,MABALACAT CITY,Multi-unit residential,13878.0,14049.0,56766.0,4.04,1.01,4.09,2015.0
5184,Mabalacat,MABALACAT CITY,Commercial/industrial/agricultural,74.0,74.0,338.0,4.57,1.0,4.57,2015.0
5185,Mabalacat,MABALACAT CITY,Institutional living quarter,7.0,8.0,40.0,5.0,1.14,5.71,2015.0
5186,Mabalacat,MABALACAT CITY,Others,2.0,2.0,6.0,3.0,1.0,3.0,2015.0
5187,Mabalacat,MABALACAT CITY,Not Reported,,,,,,,2015.0
5188,Mabinay,MABINAY,Single house,17347.0,17410.0,77596.0,4.46,1.0,4.47,2015.0
5189,Mabinay,MABINAY,Duplex,192.0,193.0,759.0,3.93,1.01,3.95,2015.0
5190,Mabinay,MABINAY,Multi-unit residential,92.0,92.0,399.0,4.34,1.0,4.34,2015.0
5191,Mabinay,MABINAY,Commercial/industrial/agricultural,8.0,8.0,22.0,2.75,1.0,2.75,2015.0
5192,Mabinay,MABINAY,Institutional living quarter,2.0,2.0,2.0,1.0,1.0,1.0,2015.0
5193,Mabinay,MABINAY,Others,1.0,1.0,1.0,1.0,1.0,1.0,2015.0
5194,Mabinay,MABINAY,Not Reported,3.0,3.0,10.0,3.33,1.0,3.33,2015.0
5195,Mabini (BS),MABINI,Single house,9064.0,9255.0,43310.0,4.68,1.02,4.78,2015.0
5196,Mabini (BS),MABINI,Duplex,346.0,351.0,1491.0,4.25,1.01,4.31,2015.0
5197,Mabini (BS),MABINI,Multi-unit residential,325.0,326.0,1243.0,3.81,1.0,3.82,2015.0
5198,Mabini (BS),MABINI,Commercial/industrial/agricultural,21.0,21.0,76.0,3.62,1.0,3.62,2015.0
5199,Mabini (BS),MABINI,Institutional living quarter,,,,,,,2015.0
5200,Mabini (BS),MABINI,Others,,,,,,,2015.0
5201,Mabini (BS),MABINI,Not Reported,1.0,1.0,6.0,6.0,1.0,6.0,2015.0
5202,Mabini (BL),MABINI,Single house,6160.0,6174.0,26849.0,4.35,1.0,4.36,2015.0
5203,Mabini (BL),MABINI,Duplex,68.0,68.0,260.0,3.82,1.0,3.82,2015.0
5204,Mabini (BL),MABINI,Multi-unit residential,3.0,3.0,7.0,2.33,1.0,2.33,2015.0
5205,Mabini (BL),MABINI,Commercial/industrial/agricultural,5.0,5.0,25.0,5.0,1.0,5.0,2015.0
5206,Mabini (BL),MABINI,Institutional living quarter,,,,,,,2015.0
5207,Mabini (BL),MABINI,Others,1.0,1.0,1.0,1.0,1.0,1.0,2015.0
5208,Mabini (BL),MABINI,Not Reported,3.0,3.0,8.0,2.67,1.0,2.67,2015.0
5209,Mabini (CV),MABINI (DOÑA ALICIA),Single house,9029.0,9063.0,38745.0,4.28,1.0,4.29,2015.0
5210,Mabini (CV),MABINI (DOÑA ALICIA),Duplex,426.0,427.0,1716.0,4.02,1.0,4.03,2015.0
5211,Mabini (CV),MABINI (DOÑA ALICIA),Multi-unit residential,156.0,157.0,555.0,3.54,1.01,3.56,2015.0
5212,Mabini (CV),MABINI (DOÑA ALICIA),Commercial/industrial/agricultural,2.0,2.0,9.0,4.5,1.0,4.5,2015.0
5213,Mabini (CV),MABINI (DOÑA ALICIA),Institutional living quarter,,,,,,,2015.0
5214,Mabini (CV),MABINI (DOÑA ALICIA),Others,2.0,2.0,8.0,4.0,1.0,4.0,2015.0
5215,Mabini (CV),MABINI (DOÑA ALICIA),Not Reported,3.0,3.0,12.0,4.0,1.0,4.0,2015.0
5216,Mabini (PS),MABINI,Single house,5681.0,5741.0,24124.0,4.2,1.01,4.25,2015.0
5217,Mabini (PS),MABINI,Duplex,146.0,146.0,540.0,3.7,1.0,3.7,2015.0
5218,Mabini (PS),MABINI,Multi-unit residential,27.0,28.0,95.0,3.39,1.04,3.52,2015.0
5219,Mabini (PS),MABINI,Commercial/industrial/agricultural,,,,,,,2015.0
5220,Mabini (PS),MABINI,Institutional living quarter,,,,,,,2015.0
5221,Mabini (PS),MABINI,Others,,,,,,,2015.0
5222,Mabini (PS),MABINI,Not Reported,2.0,2.0,6.0,3.0,1.0,3.0,2015.0
5223,Mabitac,MABITAC,Single house,3901.0,3974.0,17906.0,4.51,1.02,4.59,2015.0
5224,Mabitac,MABITAC,Duplex,417.0,427.0,1842.0,4.31,1.02,4.42,2015.0
5225,Mabitac,MABITAC,Multi-unit residential,163.0,165.0,702.0,4.25,1.01,4.31,2015.0
5226,Mabitac,MABITAC,Commercial/industrial/agricultural,8.0,8.0,40.0,5.0,1.0,5.0,2015.0
5227,Mabitac,MABITAC,Institutional living quarter,,,,,,,2015.0
5228,Mabitac,MABITAC,Others,,,,,,,2015.0
5229,Mabitac,MABITAC,Not Reported,1.0,1.0,7.0,7.0,1.0,7.0,2015.0
5230,Mabuhay,MABUHAY,Single house,6511.0,6705.0,35415.0,5.28,1.03,5.44,2015.0
5231,Mabuhay,MABUHAY,Duplex,202.0,205.0,971.0,4.74,1.01,4.81,2015.0
5232,Mabuhay,MABUHAY,Multi-unit residential,50.0,51.0,216.0,4.24,1.02,4.32,2015.0
5233,Mabuhay,MABUHAY,Commercial/industrial/agricultural,3.0,3.0,15.0,5.0,1.0,5.0,2015.0
5234,Mabuhay,MABUHAY,Institutional living quarter,,,,,,,2015.0
5235,Mabuhay,MABUHAY,Others,,,,,,,2015.0
5236,Mabuhay,MABUHAY,Not Reported,17.0,22.0,83.0,3.77,1.29,4.88,2015.0
5237,Macabebe,MACABEBE,Single house,12688.0,13113.0,62208.0,4.74,1.03,4.9,2015.0
5238,Macabebe,MACABEBE,Duplex,1944.0,1975.0,8452.0,4.28,1.02,4.35,2015.0
5239,Macabebe,MACABEBE,Multi-unit residential,1217.0,1226.0,5145.0,4.2,1.01,4.23,2015.0
5240,Macabebe,MACABEBE,Commercial/industrial/agricultural,5.0,5.0,23.0,4.6,1.0,4.6,2015.0
5241,Macabebe,MACABEBE,Institutional living quarter,2.0,2.0,12.0,6.0,1.0,6.0,2015.0
5242,Macabebe,MACABEBE,Others,,,,,,,2015.0
5243,Macabebe,MACABEBE,Not Reported,,,,,,,2015.0
5244,Macalelon,MACALELON,Single house,5627.0,5635.0,26734.0,4.74,1.0,4.75,2015.0
5245,Macalelon,MACALELON,Duplex,210.0,210.0,963.0,4.59,1.0,4.59,2015.0
5246,Macalelon,MACALELON,Multi-unit residential,80.0,80.0,360.0,4.5,1.0,4.5,2015.0
5247,Macalelon,MACALELON,Commercial/industrial/agricultural,1.0,1.0,9.0,9.0,1.0,9.0,2015.0
5248,Macalelon,MACALELON,Institutional living quarter,,,,,,,2015.0
5249,Macalelon,MACALELON,Others,,,,,,,2015.0
5250,Macalelon,MACALELON,Not Reported,3.0,5.0,25.0,5.0,1.67,8.33,2015.0
5251,Macarthur,MACARTHUR,Single house,4886.0,4917.0,20461.0,4.16,1.01,4.19,2015.0
5252,Macarthur,MACARTHUR,Duplex,152.0,153.0,606.0,3.96,1.01,3.99,2015.0
5253,Macarthur,MACARTHUR,Multi-unit residential,34.0,34.0,116.0,3.41,1.0,3.41,2015.0
5254,Macarthur,MACARTHUR,Commercial/industrial/agricultural,3.0,3.0,14.0,4.67,1.0,4.67,2015.0
5255,Macarthur,MACARTHUR,Institutional living quarter,,,,,,,2015.0
5256,Macarthur,MACARTHUR,Others,1.0,1.0,6.0,6.0,1.0,6.0,2015.0
5257,Macarthur,MACARTHUR,Not Reported,1.0,1.0,3.0,3.0,1.0,3.0,2015.0
5258,Maco,MACO,Single house,16232.0,16693.0,71645.0,4.29,1.03,4.41,2015.0
5259,Maco,MACO,Duplex,1522.0,1538.0,5950.0,3.87,1.01,3.91,2015.0
5260,Maco,MACO,Multi-unit residential,879.0,884.0,3089.0,3.49,1.01,3.51,2015.0
5261,Maco,MACO,Commercial/industrial/agricultural,14.0,16.0,55.0,3.44,1.14,3.93,2015.0
5262,Maco,MACO,Institutional living quarter,,,,,,,2015.0
5263,Maco,MACO,Others,1.0,1.0,5.0,5.0,1.0,5.0,2015.0
5264,Maco,MACO,Not Reported,18.0,18.0,69.0,3.83,1.0,3.83,2015.0
5265,Maconacon,MACONACON,Single house,919.0,960.0,4187.0,4.36,1.04,4.56,2015.0
5266,Maconacon,MACONACON,Duplex,16.0,17.0,66.0,3.88,1.06,4.13,2015.0
5267,Maconacon,MACONACON,Multi-unit residential,,,,,,,2015.0
5268,Maconacon,MACONACON,Commercial/industrial/agricultural,,,,,,,2015.0
5269,Maconacon,MACONACON,Institutional living quarter,,,,,,,2015.0
5270,Maconacon,MACONACON,Others,,,,,,,2015.0
5271,Maconacon,MACONACON,Not Reported,,,,,,,2015.0
5272,Macrohon,MACROHON,Single house,5899.0,5925.0,25706.0,4.34,1.0,4.36,2015.0
5273,Macrohon,MACROHON,Duplex,100.0,101.0,353.0,3.5,1.01,3.53,2015.0
5274,Macrohon,MACROHON,Multi-unit residential,30.0,30.0,126.0,4.2,1.0,4.2,2015.0
5275,Macrohon,MACROHON,Commercial/industrial/agricultural,2.0,2.0,3.0,1.5,1.0,1.5,2015.0
5276,Macrohon,MACROHON,Institutional living quarter,,,,,,,2015.0
5277,Macrohon,MACROHON,Others,,,,,,,2015.0
5278,Macrohon,MACROHON,Not Reported,,,,,,,2015.0
5279,Madalag,MADALAG,Single house,4198.0,4219.0,18230.0,4.32,1.01,4.34,2015.0
5280,Madalag,MADALAG,Duplex,38.0,38.0,145.0,3.82,1.0,3.82,2015.0
5281,Madalag,MADALAG,Multi-unit residential,,,,,,,2015.0
5282,Madalag,MADALAG,Commercial/industrial/agricultural,,,,,,,2015.0
5283,Madalag,MADALAG,Institutional living quarter,,,,,,,2015.0
5284,Madalag,MADALAG,Others,,,,,,,2015.0
5285,Madalag,MADALAG,Not Reported,3.0,3.0,10.0,3.33,1.0,3.33,2015.0
5286,Madalum,MADALUM,Single house,2357.0,2690.0,17009.0,6.32,1.14,7.22,2015.0
5287,Madalum,MADALUM,Duplex,628.0,663.0,3998.0,6.03,1.06,6.37,2015.0
5288,Madalum,MADALUM,Multi-unit residential,343.0,344.0,2100.0,6.1,1.0,6.12,2015.0
5289,Madalum,MADALUM,Commercial/industrial/agricultural,3.0,3.0,17.0,5.67,1.0,5.67,2015.0
5290,Madalum,MADALUM,Institutional living quarter,,,,,,,2015.0
5291,Madalum,MADALUM,Others,1.0,1.0,3.0,3.0,1.0,3.0,2015.0
5292,Madalum,MADALUM,Not Reported,,,,,,,2015.0
5293,Madamba,MADAMBA,Single house,2090.0,2430.0,16022.0,6.59,1.16,7.67,2015.0
5294,Madamba,MADAMBA,Duplex,156.0,179.0,1249.0,6.98,1.15,8.01,2015.0
5295,Madamba,MADAMBA,Multi-unit residential,9.0,12.0,83.0,6.92,1.33,9.22,2015.0
5296,Madamba,MADAMBA,Commercial/industrial/agricultural,7.0,8.0,48.0,6.0,1.14,6.86,2015.0
5297,Madamba,MADAMBA,Institutional living quarter,,,,,,,2015.0
5298,Madamba,MADAMBA,Others,,,,,,,2015.0
5299,Madamba,MADAMBA,Not Reported,1.0,1.0,5.0,5.0,1.0,5.0,2015.0
5300,Maddela,MADDELA,Single house,8369.0,8440.0,36607.0,4.34,1.01,4.37,2015.0
5301,Maddela,MADDELA,Duplex,330.0,331.0,1316.0,3.98,1.0,3.99,2015.0
5302,Maddela,MADDELA,Multi-unit residential,129.0,129.0,488.0,3.78,1.0,3.78,2015.0
5303,Maddela,MADDELA,Commercial/industrial/agricultural,12.0,12.0,51.0,4.25,1.0,4.25,2015.0
5304,Maddela,MADDELA,Institutional living quarter,1.0,1.0,2.0,2.0,1.0,2.0,2015.0
5305,Maddela,MADDELA,Others,1.0,1.0,2.0,2.0,1.0,2.0,2015.0
5306,Maddela,MADDELA,Not Reported,,,,,,,2015.0
5307,Madrid,MADRID,Single house,3347.0,3353.0,14622.0,4.36,1.0,4.37,2015.0
5308,Madrid,MADRID,Duplex,78.0,81.0,291.0,3.59,1.04,3.73,2015.0
5309,Madrid,MADRID,Multi-unit residential,50.0,50.0,208.0,4.16,1.0,4.16,2015.0
5310,Madrid,MADRID,Commercial/industrial/agricultural,17.0,17.0,80.0,4.71,1.0,4.71,2015.0
5311,Madrid,MADRID,Institutional living quarter,2.0,2.0,8.0,4.0,1.0,4.0,2015.0
5312,Madrid,MADRID,Others,1.0,1.0,1.0,1.0,1.0,1.0,2015.0
5313,Madrid,MADRID,Not Reported,,,,,,,2015.0
5314,Madridejos,MADRIDEJOS,Single house,7672.0,7720.0,34902.0,4.52,1.01,4.55,2015.0
5315,Madridejos,MADRIDEJOS,Duplex,275.0,277.0,1022.0,3.69,1.01,3.72,2015.0
5316,Madridejos,MADRIDEJOS,Multi-unit residential,85.0,85.0,332.0,3.91,1.0,3.91,2015.0
5317,Madridejos,MADRIDEJOS,Commercial/industrial/agricultural,18.0,18.0,83.0,4.61,1.0,4.61,2015.0
5318,Madridejos,MADRIDEJOS,Institutional living quarter,1.0,1.0,1.0,1.0,1.0,1.0,2015.0
5319,Madridejos,MADRIDEJOS,Others,12.0,12.0,48.0,4.0,1.0,4.0,2015.0
5320,Madridejos,MADRIDEJOS,Not Reported,,,,,,,2015.0
5321,Magalang,MAGALANG,Single house,16265.0,16637.0,77421.0,4.65,1.02,4.76,2015.0
5322,Magalang,MAGALANG,Duplex,2349.0,2404.0,10887.0,4.53,1.02,4.63,2015.0
5323,Magalang,MAGALANG,Multi-unit residential,5180.0,5415.0,23955.0,4.42,1.05,4.62,2015.0
5324,Magalang,MAGALANG,Commercial/industrial/agricultural,16.0,16.0,68.0,4.25,1.0,4.25,2015.0
5325,Magalang,MAGALANG,Institutional living quarter,1.0,1.0,6.0,6.0,1.0,6.0,2015.0
5326,Magalang,MAGALANG,Others,3.0,3.0,22.0,7.33,1.0,7.33,2015.0
5327,Magalang,MAGALANG,Not Reported,7.0,8.0,31.0,3.88,1.14,4.43,2015.0
5328,Magallanes (AN),,,,,,,,,
5329,Magallanes (CE),MAGALLANES,Single house,4355.0,4365.0,20729.0,4.75,1.0,4.76,2015.0
5330,Magallanes (CE),MAGALLANES,Duplex,344.0,345.0,1650.0,4.78,1.0,4.8,2015.0
5331,Magallanes (CE),MAGALLANES,Multi-unit residential,62.0,62.0,304.0,4.9,1.0,4.9,2015.0
5332,Magallanes (CE),MAGALLANES,Commercial/industrial/agricultural,5.0,5.0,20.0,4.0,1.0,4.0,2015.0
5333,Magallanes (CE),MAGALLANES,Institutional living quarter,,,,,,,2015.0
5334,Magallanes (CE),MAGALLANES,Others,,,,,,,2015.0
5335,Magallanes (CE),MAGALLANES,Not Reported,,,,,,,2015.0
5336,Magallanes (SO),,,,,,,,,
5337,Magarao,,,,,,,,,
5338,Magdalena,MAGDALENA,Single house,4887.0,4974.0,21509.0,4.32,1.02,4.4,2015.0
5339,Magdalena,MAGDALENA,Duplex,622.0,628.0,2606.0,4.15,1.01,4.19,2015.0
5340,Magdalena,MAGDALENA,Multi-unit residential,242.0,244.0,1018.0,4.17,1.01,4.21,2015.0
5341,Magdalena,MAGDALENA,Commercial/industrial/agricultural,,,,,,,2015.0
5342,Magdalena,MAGDALENA,Institutional living quarter,1.0,1.0,4.0,4.0,1.0,4.0,2015.0
5343,Magdalena,MAGDALENA,Others,,,,,,,2015.0
5344,Magdalena,MAGDALENA,Not Reported,2.0,3.0,14.0,4.67,1.5,7.0,2015.0
5345,Magdiwang,MAGDIWANG,Single house,3000.0,3013.0,13843.0,4.59,1.0,4.61,2015.0
5346,Magdiwang,MAGDIWANG,Duplex,50.0,50.0,221.0,4.42,1.0,4.42,2015.0
5347,Magdiwang,MAGDIWANG,Multi-unit residential,14.0,14.0,62.0,4.43,1.0,4.43,2015.0
5348,Magdiwang,MAGDIWANG,Commercial/industrial/agricultural,1.0,1.0,1.0,1.0,1.0,1.0,2015.0
5349,Magdiwang,MAGDIWANG,Institutional living quarter,,,,,,,2015.0
5350,Magdiwang,MAGDIWANG,Others,,,,,,,2015.0
5351,Magdiwang,MAGDIWANG,Not Reported,1.0,1.0,6.0,6.0,1.0,6.0,2015.0
5352,Magpet,MAGPET,Single house,10842.0,10933.0,48149.0,4.4,1.01,4.44,2015.0
5353,Magpet,MAGPET,Duplex,169.0,174.0,700.0,4.02,1.03,4.14,2015.0
5354,Magpet,MAGPET,Multi-unit residential,64.0,65.0,223.0,3.43,1.02,3.48,2015.0
5355,Magpet,MAGPET,Commercial/industrial/agricultural,8.0,8.0,39.0,4.88,1.0,4.88,2015.0
5356,Magpet,MAGPET,Institutional living quarter,,,,,,,2015.0
5357,Magpet,MAGPET,Others,1.0,1.0,2.0,2.0,1.0,2.0,2015.0
5358,Magpet,MAGPET,Not Reported,,,,,,,2015.0
5359,Magsaysay (DS),MAGSAYSAY,Single house,12978.0,13073.0,52048.0,3.98,1.01,4.01,2015.0
5360,Magsaysay (DS),MAGSAYSAY,Duplex,396.0,400.0,1446.0,3.62,1.01,3.65,2015.0
5361,Magsaysay (DS),MAGSAYSAY,Multi-unit residential,83.0,83.0,279.0,3.36,1.0,3.36,2015.0
5362,Magsaysay (DS),MAGSAYSAY,Commercial/industrial/agricultural,4.0,4.0,17.0,4.25,1.0,4.25,2015.0
5363,Magsaysay (DS),MAGSAYSAY,Institutional living quarter,,,,,,,2015.0
5364,Magsaysay (DS),MAGSAYSAY,Others,,,,,,,2015.0
5365,Magsaysay (DS),MAGSAYSAY,Not Reported,11.0,11.0,49.0,4.45,1.0,4.45,2015.0
5366,Magsaysay (LN),MAGSAYSAY,Single house,3819.0,3825.0,18900.0,4.94,1.0,4.95,2015.0
5367,Magsaysay (LN),MAGSAYSAY,Duplex,14.0,14.0,71.0,5.07,1.0,5.07,2015.0
5368,Magsaysay (LN),MAGSAYSAY,Multi-unit residential,,,,,,,2015.0
5369,Magsaysay (LN),MAGSAYSAY,Commercial/industrial/agricultural,,,,,,,2015.0
5370,Magsaysay (LN),MAGSAYSAY,Institutional living quarter,,,,,,,2015.0
5371,Magsaysay (LN),MAGSAYSAY,Others,,,,,,,2015.0
5372,Magsaysay (LN),MAGSAYSAY,Not Reported,,,,,,,2015.0
5373,Magsaysay (MO),MAGSAYSAY (LINUGOS),Single house,6834.0,6849.0,33906.0,4.95,1.0,4.96,2015.0
5374,Magsaysay (MO),MAGSAYSAY (LINUGOS),Duplex,105.0,105.0,541.0,5.15,1.0,5.15,2015.0
5375,Magsaysay (MO),MAGSAYSAY (LINUGOS),Multi-unit residential,22.0,22.0,100.0,4.55,1.0,4.55,2015.0
5376,Magsaysay (MO),MAGSAYSAY (LINUGOS),Commercial/industrial/agricultural,4.0,4.0,19.0,4.75,1.0,4.75,2015.0
5377,Magsaysay (MO),MAGSAYSAY (LINUGOS),Institutional living quarter,2.0,2.0,15.0,7.5,1.0,7.5,2015.0
5378,Magsaysay (MO),MAGSAYSAY (LINUGOS),Others,,,,,,,2015.0
5379,Magsaysay (MO),MAGSAYSAY (LINUGOS),Not Reported,3.0,3.0,10.0,3.33,1.0,3.33,2015.0
5380,Magsaysay (OM),MAGSAYSAY,Single house,7572.0,7609.0,35188.0,4.62,1.0,4.65,2015.0
5381,Magsaysay (OM),MAGSAYSAY,Duplex,156.0,156.0,612.0,3.92,1.0,3.92,2015.0
5382,Magsaysay (OM),MAGSAYSAY,Multi-unit residential,33.0,33.0,121.0,3.67,1.0,3.67,2015.0
5383,Magsaysay (OM),MAGSAYSAY,Commercial/industrial/agricultural,10.0,10.0,34.0,3.4,1.0,3.4,2015.0
5384,Magsaysay (OM),MAGSAYSAY,Institutional living quarter,,,,,,,2015.0
5385,Magsaysay (OM),MAGSAYSAY,Others,1.0,1.0,3.0,3.0,1.0,3.0,2015.0
5386,Magsaysay (OM),MAGSAYSAY,Not Reported,10.0,10.0,53.0,5.3,1.0,5.3,2015.0
5387,Magsaysay (PN),MAGSAYSAY,Single house,2707.0,2709.0,12079.0,4.46,1.0,4.46,2015.0
5388,Magsaysay (PN),MAGSAYSAY,Duplex,22.0,22.0,107.0,4.86,1.0,4.86,2015.0
5389,Magsaysay (PN),MAGSAYSAY,Multi-unit residential,,,,,,,2015.0
5390,Magsaysay (PN),MAGSAYSAY,Commercial/industrial/agricultural,2.0,2.0,10.0,5.0,1.0,5.0,2015.0
5391,Magsaysay (PN),MAGSAYSAY,Institutional living quarter,,,,,,,2015.0
5392,Magsaysay (PN),MAGSAYSAY,Others,,,,,,,2015.0
5393,Magsaysay (PN),MAGSAYSAY,Not Reported,,,,,,,2015.0
5394,Magsingal,MAGSINGAL,Single house,7104.0,7880.0,30525.0,3.87,1.11,4.3,2015.0
5395,Magsingal,MAGSINGAL,Duplex,44.0,45.0,179.0,3.98,1.02,4.07,2015.0
5396,Magsingal,MAGSINGAL,Multi-unit residential,10.0,10.0,40.0,4.0,1.0,4.0,2015.0
5397,Magsingal,MAGSINGAL,Commercial/industrial/agricultural,4.0,4.0,11.0,2.75,1.0,2.75,2015.0
5398,Magsingal,MAGSINGAL,Institutional living quarter,,,,,,,2015.0
5399,Magsingal,MAGSINGAL,Others,,,,,,,2015.0
5400,Magsingal,MAGSINGAL,Not Reported,4.0,4.0,11.0,2.75,1.0,2.75,2015.0
5401,Maguing,MAGUING,Single house,2487.0,3194.0,20884.0,6.54,1.28,8.4,2015.0
5402,Maguing,MAGUING,Duplex,360.0,419.0,2817.0,6.72,1.16,7.83,2015.0
5403,Maguing,MAGUING,Multi-unit residential,84.0,96.0,629.0,6.55,1.14,7.49,2015.0
5404,Maguing,MAGUING,Commercial/industrial/agricultural,17.0,23.0,132.0,5.74,1.35,7.76,2015.0
5405,Maguing,MAGUING,Institutional living quarter,,,,,,,2015.0
5406,Maguing,MAGUING,Others,,,,,,,2015.0
5407,Maguing,MAGUING,Not Reported,6.0,6.0,58.0,9.67,1.0,9.67,2015.0
5408,Mahaplag,MAHAPLAG,Single house,6032.0,6086.0,27220.0,4.47,1.01,4.51,2015.0
5409,Mahaplag,MAHAPLAG,Duplex,114.0,114.0,452.0,3.96,1.0,3.96,2015.0
5410,Mahaplag,MAHAPLAG,Multi-unit residential,22.0,22.0,84.0,3.82,1.0,3.82,2015.0
5411,Mahaplag,MAHAPLAG,Commercial/industrial/agricultural,15.0,15.0,63.0,4.2,1.0,4.2,2015.0
5412,Mahaplag,MAHAPLAG,Institutional living quarter,1.0,1.0,4.0,4.0,1.0,4.0,2015.0
5413,Mahaplag,MAHAPLAG,Others,,,,,,,2015.0
5414,Mahaplag,MAHAPLAG,Not Reported,,,,,,,2015.0
5415,Mahatao,MAHATAO,Single house,339.0,339.0,1209.0,3.57,1.0,3.57,2015.0
5416,Mahatao,MAHATAO,Duplex,88.0,88.0,292.0,3.32,1.0,3.32,2015.0
5417,Mahatao,MAHATAO,Multi-unit residential,15.0,15.0,51.0,3.4,1.0,3.4,2015.0
5418,Mahatao,MAHATAO,Commercial/industrial/agricultural,,,,,,,2015.0
5419,Mahatao,MAHATAO,Institutional living quarter,,,,,,,2015.0
5420,Mahatao,MAHATAO,Others,,,,,,,2015.0
5421,Mahatao,MAHATAO,Not Reported,1.0,1.0,2.0,2.0,1.0,2.0,2015.0
5422,Mahayag,MAHAYAG,Single house,9409.0,9457.0,45074.0,4.77,1.01,4.79,2015.0
5423,Mahayag,MAHAYAG,Duplex,249.0,251.0,1121.0,4.47,1.01,4.5,2015.0
5424,Mahayag,MAHAYAG,Multi-unit residential,55.0,56.0,167.0,2.98,1.02,3.04,2015.0
5425,Mahayag,MAHAYAG,Commercial/industrial/agricultural,4.0,4.0,18.0,4.5,1.0,4.5,2015.0
5426,Mahayag,MAHAYAG,Institutional living quarter,,,,,,,2015.0
5427,Mahayag,MAHAYAG,Others,,,,,,,2015.0
5428,Mahayag,MAHAYAG,Not Reported,1.0,1.0,1.0,1.0,1.0,1.0,2015.0
5429,Mahinog,MAHINOG,Single house,2988.0,2989.0,13472.0,4.51,1.0,4.51,2015.0
5430,Mahinog,MAHINOG,Duplex,99.0,99.0,410.0,4.14,1.0,4.14,2015.0
5431,Mahinog,MAHINOG,Multi-unit residential,42.0,42.0,132.0,3.14,1.0,3.14,2015.0
5432,Mahinog,MAHINOG,Commercial/industrial/agricultural,1.0,1.0,4.0,4.0,1.0,4.0,2015.0
5433,Mahinog,MAHINOG,Institutional living quarter,,,,,,,2015.0
5434,Mahinog,MAHINOG,Others,,,,,,,2015.0
5435,Mahinog,MAHINOG,Not Reported,4.0,4.0,15.0,3.75,1.0,3.75,2015.0
5436,Maigo,MAIGO,Single house,4493.0,4701.0,20376.0,4.33,1.05,4.54,2015.0
5437,Maigo,MAIGO,Duplex,216.0,233.0,973.0,4.18,1.08,4.5,2015.0
5438,Maigo,MAIGO,Multi-unit residential,70.0,72.0,247.0,3.43,1.03,3.53,2015.0
5439,Maigo,MAIGO,Commercial/industrial/agricultural,1.0,1.0,7.0,7.0,1.0,7.0,2015.0
5440,Maigo,MAIGO,Institutional living quarter,1.0,1.0,3.0,3.0,1.0,3.0,2015.0
5441,Maigo,MAIGO,Others,,,,,,,2015.0
5442,Maigo,MAIGO,Not Reported,,,,,,,2015.0
5443,Maimbung,MAIMBUNG,Single house,5453.0,5579.0,32327.0,5.79,1.02,5.93,2015.0
5444,Maimbung,MAIMBUNG,Duplex,392.0,396.0,2462.0,6.22,1.01,6.28,2015.0
5445,Maimbung,MAIMBUNG,Multi-unit residential,91.0,91.0,570.0,6.26,1.0,6.26,2015.0
5446,Maimbung,MAIMBUNG,Commercial/industrial/agricultural,8.0,8.0,40.0,5.0,1.0,5.0,2015.0
5447,Maimbung,MAIMBUNG,Institutional living quarter,1.0,1.0,8.0,8.0,1.0,8.0,2015.0
5448,Maimbung,MAIMBUNG,Others,,,,,,,2015.0
5449,Maimbung,MAIMBUNG,Not Reported,401.0,405.0,2507.0,6.19,1.01,6.25,2015.0
5450,Mainit,MAINIT,Single house,5636.0,5662.0,25436.0,4.49,1.0,4.51,2015.0
5451,Mainit,MAINIT,Duplex,218.0,218.0,931.0,4.27,1.0,4.27,2015.0
5452,Mainit,MAINIT,Multi-unit residential,81.0,84.0,249.0,2.96,1.04,3.07,2015.0
5453,Mainit,MAINIT,Commercial/industrial/agricultural,9.0,9.0,31.0,3.44,1.0,3.44,2015.0
5454,Mainit,MAINIT,Institutional living quarter,,,,,,,2015.0
5455,Mainit,MAINIT,Others,,,,,,,2015.0
5456,Mainit,MAINIT,Not Reported,2.0,2.0,8.0,4.0,1.0,4.0,2015.0
5457,Maitum,MAITUM,Single house,9923.0,10146.0,42760.0,4.21,1.02,4.31,2015.0
5458,Maitum,MAITUM,Duplex,340.0,350.0,1291.0,3.69,1.03,3.8,2015.0
5459,Maitum,MAITUM,Multi-unit residential,126.0,127.0,436.0,3.43,1.01,3.46,2015.0
5460,Maitum,MAITUM,Commercial/industrial/agricultural,,,,,,,2015.0
5461,Maitum,MAITUM,Institutional living quarter,,,,,,,2015.0
