,name,Ambulatory Surgical Clinic,Animal Bite Treatment Center,Barangay Health Station,Birthing Home,City Health Office,DepEd Clinic,Drug Abuse Treatment and Rehabilitation Centers,General Clinic Laboratory,Hospital,Infirmary,Municipal Health Office,Provincial Health Office,Psychiatric Care Facility,Rural Health Unit,Social hygiene Clinic,year
33,Alfonso,0,0,32,2,0,0,0,0,1,0,0,0,0,1,0,2019
34,Alfonso Castaneda,0,0,6,1,0,0,0,0,0,0,0,0,0,1,0,2019
35,Alfonso Lista,0,0,22,0,0,0,0,0,1,0,0,0,0,1,0,2019
36,Aliaga,0,0,8,0,0,0,0,0,0,0,0,0,0,2,0,2019
37,Alicia (BL),0,0,5,0,0,0,0,0,0,0,0,0,0,1,0,2019
38,Alicia (IA),0,0,34,4,0,0,0,0,3,0,0,0,0,1,0,2019
39,Alicia (ZS),0,0,10,0,0,0,0,0,0,1,0,0,0,1,0,2019
40,Alilem,0,0,6,1,0,0,0,0,0,0,0,0,0,1,0,2019
41,Alimodian,0,0,8,0,0,0,0,0,1,0,0,0,0,1,0,2019
42,Alitagtag,0,0,5,0,0,0,0,0,0,0,0,0,0,1,0,2019
43,Allacapan,0,0,6,1,0,0,0,0,0,0,0,0,0,1,0,2019
44,Allen,0,0,2,0,0,0,0,0,1,0,0,0,0,1,0,2019
45,Almagro,0,0,2,1,0,0,0,0,0,0,0,0,0,1,0,2019
46,Almeria,0,0,5,1,0,0,0,0,0,0,0,0,0,1,0,2019
47,Aloguinsan,0,0,15,0,0,0,0,0,0,0,0,0,0,1,0,2019
48,Aloran,0,0,6,0,0,0,0,0,0,1,0,0,0,1,0,2019
49,Altavas,0,0,6,0,0,0,0,0,0,1,0,0,0,1,0,2019
50,Alubijid,0,0,16,0,0,0,0,0,0,1,0,0,0,1,0,2019
51,Amadeo,0,0,26,0,0,0,3,0,0,0,0,0,0,1,0,2019
52,Amai Manabilang,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,2019
53,Ambaguio,0,0,7,1,0,0,0,0,0,0,0,0,0,1,0,2019
54,Amlan,0,0,8,0,0,0,0,0,0,0,0,0,0,1,0,2019
55,Ampatuan,0,0,3,2,0,0,0,0,0,0,0,0,0,1,0,2019
56,Amulung,0,0,48,1,0,0,0,0,0,0,0,0,0,1,0,2019
57,Anahawan,0,0,3,0,0,0,0,0,1,0,0,0,0,1,0,2019
58,Anao,0,0,6,0,0,0,0,0,0,0,0,0,0,1,0,2019
59,Anda (BL),0,0,14,0,0,0,0,0,0,0,0,0,0,1,0,2019
60,Anda (PS),0,0,18,1,0,0,0,0,0,0,0,0,0,1,0,2019
61,Angadanan,0,0,6,1,0,0,0,0,0,0,0,0,0,1,0,2019
62,Angat,0,0,13,2,0,0,1,0,0,0,0,0,0,1,0,2019
63,Angeles,0,0,27,15,1,0,0,0,16,2,0,0,0,6,1,2019
64,Angono,0,0,9,2,0,0,0,0,3,0,0,0,0,2,0,2019
65,Anilao,0,0,5,0,0,0,0,0,0,0,0,0,0,1,0,2019
66,Anini-Y,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,2019
67,Antequera,0,0,5,0,0,0,0,0,0,0,0,0,0,1,0,2019
68,Antipas,0,0,12,0,0,0,0,0,1,1,0,0,0,1,0,2019
69,Antipolo,0,0,17,12,0,0,2,0,11,2,0,0,0,5,1,2019
70,Apalit,0,0,13,6,0,0,0,0,4,0,0,0,0,2,0,2019
71,Aparri,0,0,25,0,0,0,0,0,3,0,0,0,0,2,0,2019
72,Araceli,0,0,12,0,0,0,0,0,0,0,0,0,0,1,0,2019
73,Arakan,0,0,27,0,0,0,0,0,0,0,0,0,0,1,0,2019
74,Arayat,0,0,28,8,0,0,0,0,5,1,0,0,0,3,0,2019
75,Argao,0,0,40,0,0,0,1,0,2,1,0,0,0,2,0,2019
76,Aringay,0,0,23,0,0,0,0,0,0,0,0,0,0,1,0,2019
77,Aritao,0,0,22,1,0,0,0,0,0,1,0,0,0,1,0,2019
78,Aroroy,0,0,32,0,0,0,0,0,0,1,0,0,0,1,0,2019
79,Arteche,0,0,4,2,0,0,0,0,0,1,0,0,0,1,0,2019
80,Asingan,0,0,17,1,0,0,0,0,1,0,0,0,0,2,0,2019
81,Asipulo,0,0,15,0,0,0,0,0,0,0,0,0,0,1,0,2019
82,Asturias,0,0,27,0,0,0,0,0,0,1,0,0,0,1,0,2019
83,Asuncion,0,0,20,2,0,0,0,0,0,0,0,0,0,1,0,2019
84,Atimonan,0,0,9,0,0,0,0,0,2,0,0,0,0,1,0,2019
85,Atok,0,0,8,0,0,0,0,0,1,0,0,0,0,1,0,2019
86,Aurora (IA),0,0,16,3,0,0,0,0,0,1,0,0,0,1,0,2019
87,Aurora (ZR),0,0,12,2,0,0,0,0,0,1,0,0,0,1,0,2019
88,Ayungon,0,0,11,0,0,0,0,0,0,0,0,0,0,1,0,2019
89,Baao,0,0,9,2,0,0,0,0,1,1,0,0,0,1,0,2019
90,Babatngon,0,0,6,0,0,0,0,0,0,0,0,0,0,1,0,2019
91,Bacacay,0,0,11,1,0,0,0,0,0,2,0,0,0,1,0,2019
92,Bacarra,0,0,5,0,0,0,0,0,1,0,0,0,0,1,0,2019
93,Baclayon,0,0,5,0,0,0,0,0,0,0,0,0,0,1,0,2019
94,Bacnotan,0,0,9,0,0,0,0,0,1,0,0,0,0,1,0,2019
95,Baco,0,0,27,0,0,0,0,0,0,0,0,0,0,1,0,2019
96,Bacolod (LN),0,0,16,1,0,0,0,0,1,0,0,0,0,1,0,2019
97,Bacolod (NO),0,0,28,2,0,0,0,0,6,0,0,0,0,1,0,2019
98,Bacolod-Kalawi,0,0,5,1,0,0,0,0,0,0,0,0,0,1,0,2019
99,Bacolor,0,0,7,0,0,0,0,0,1,0,0,0,0,2,0,2019
100,Bacong,0,0,21,0,0,0,0,0,0,0,0,0,0,1,0,2019
101,Bacoor,0,0,55,17,0,0,0,0,9,0,0,0,0,6,1,2019
102,Bacuag,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,2019
103,Bacungan Leon B. Postigo,0,0,18,2,0,0,0,0,0,0,0,0,0,1,0,2019
104,Badian,0,0,10,0,0,0,0,0,0,1,0,0,0,1,0,2019
105,Badiangan,0,0,9,0,0,0,0,0,0,0,0,0,0,1,0,2019
106,Badoc,0,0,7,0,0,0,0,0,0,0,0,0,0,1,0,2019
107,Bagabag,0,0,13,0,0,0,0,0,0,0,0,0,0,1,0,2019
108,Bagac,0,0,14,0,0,0,0,0,0,1,0,0,0,1,0,2019
109,Bagamanoc,0,0,4,1,0,0,0,0,0,0,0,0,0,1,0,2019
110,Baganga,0,0,18,0,0,0,0,0,0,0,0,0,0,1,0,2019
111,Baggao,0,0,17,1,0,0,0,0,0,1,0,0,0,1,0,2019
112,Bago,0,0,37,0,0,0,0,0,1,0,0,0,0,1,0,2019
113,Baguio,0,1,0,1,0,0,1,0,7,1,0,0,0,16,0,2019
114,Bagulin,0,0,9,0,0,0,0,0,0,0,0,0,0,1,0,2019
115,Bagumbayan,0,0,19,1,0,0,0,0,0,0,0,0,0,1,0,2019
116,Bais,0,0,34,0,0,0,0,0,0,1,0,0,0,1,0,2019
117,Bakun,0,0,7,0,0,0,0,0,0,0,0,0,0,1,0,2019
118,Balabac,0,0,9,0,0,0,0,0,0,0,0,0,0,1,0,2019
119,Balabagan,0,0,3,1,0,0,0,0,0,0,0,0,0,1,0,2019
120,Balagtas,0,0,8,2,0,0,0,0,2,2,0,0,0,2,0,2019
121,Balamban,0,0,28,0,0,0,0,0,2,0,0,0,0,3,0,2019
122,Balanga,0,0,25,0,0,0,0,0,5,0,0,0,0,5,0,2019
123,Balangiga,0,0,4,0,0,0,0,0,0,1,0,0,0,1,0,2019
124,Balangkayan,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,2019
125,Balaoan,0,0,10,1,0,0,0,0,1,0,0,0,0,1,0,2019
126,Balasan,0,0,6,0,0,0,0,0,1,0,0,0,0,1,0,2019
127,Balatan,0,0,4,2,0,0,0,0,0,0,0,0,0,1,0,2019
128,Balayan,0,0,22,1,0,0,0,0,4,0,0,0,0,1,0,2019
129,Balbalan,0,0,14,0,0,0,0,0,0,1,0,0,0,1,0,2019
130,Baleno,0,0,24,0,0,0,0,0,0,0,0,0,0,1,0,2019
131,Baler,0,0,8,0,0,0,0,0,2,0,0,0,0,1,0,2019
132,Balete (AK),0,0,9,1,0,0,0,0,0,0,0,0,0,1,0,2019
133,Balete (BS),0,0,8,1,0,0,0,0,0,0,0,0,0,1,0,2019
134,Baliangao,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,2019
135,Baliguian,0,0,8,0,0,0,0,0,0,0,0,0,0,1,0,2019
136,Balilihan,0,0,5,0,0,0,0,0,0,0,0,0,0,1,0,2019
137,Balindong,0,0,6,1,0,0,0,0,0,1,0,0,0,1,0,2019
138,Balingasag,0,0,30,0,0,0,0,0,1,1,0,0,0,1,0,2019
139,Balingoan,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2019
140,Baliwag,0,0,24,7,0,0,0,0,7,0,0,0,0,4,0,2019
141,Ballesteros,0,0,6,0,0,0,0,0,1,1,0,0,0,1,0,2019
142,Baloi,0,0,8,1,0,0,0,0,0,1,0,0,0,1,0,2019
143,Balud,0,0,8,0,0,0,0,0,0,1,0,0,0,1,0,2019
144,Balungao,0,0,20,1,0,0,0,0,0,1,0,0,0,1,0,2019
145,Bamban,0,0,9,5,0,0,0,0,1,0,0,0,0,2,0,2019
146,Bambang,0,0,24,0,0,0,0,0,2,0,0,0,0,1,0,2019
147,Banate,0,0,7,0,0,0,0,0,0,0,0,0,0,1,0,2019
148,Banaue,0,0,20,0,0,0,0,0,0,1,0,0,0,1,0,2019
149,Banaybanay,0,0,14,1,0,0,0,0,0,0,0,0,0,1,0,2019
150,Banayoyo,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,2019
151,Banga (AK),0,0,10,0,0,0,0,0,0,0,0,0,0,1,0,2019
152,Banga (SC),0,0,22,2,0,0,0,0,0,2,0,0,0,1,0,2019
153,Bangar,0,0,9,0,0,0,0,0,0,1,0,0,0,1,0,2019
154,Bangued,0,0,5,0,0,0,0,0,4,1,0,0,0,1,0,2019
155,Bangui,0,0,4,0,0,0,0,0,1,0,0,0,0,1,0,2019
156,Bani,0,0,11,1,0,0,0,0,0,1,0,0,0,2,0,2019
157,Banisilan,0,0,20,0,0,0,0,0,0,0,0,0,0,1,0,2019
158,Banna,0,0,4,1,0,0,0,0,0,0,0,0,0,1,0,2019
159,Bansalan,0,0,25,0,0,0,0,0,4,3,0,0,0,1,0,2019
160,Bansud,0,0,13,0,0,0,0,0,0,0,0,0,0,1,0,2019
161,Bantay,0,0,28,1,0,0,0,0,2,0,0,0,0,1,0,2019
162,Bantayan Island,0,0,25,0,0,0,0,0,0,1,0,0,0,2,0,2019
163,Banton,0,0,10,0,0,0,0,0,0,0,0,0,0,1,0,2019
164,Baras (CT),0,0,4,1,0,0,0,0,0,0,0,0,0,1,0,2019
165,Baras (RL),0,0,10,0,0,0,0,0,0,1,0,0,0,1,0,2019
166,Barbaza,0,0,7,0,0,0,0,0,0,1,0,0,0,1,0,2019
167,Barcelona,0,0,6,1,0,0,0,0,0,0,0,0,0,1,0,2019
168,Barili,0,0,15,0,0,0,0,0,0,1,0,0,0,2,0,2019
169,Barira,0,0,9,1,0,0,0,0,0,0,0,0,0,1,0,2019
170,Barlig,0,0,6,0,0,0,0,0,0,1,0,0,0,1,0,2019
171,Barobo,0,0,17,0,0,0,0,0,0,0,0,0,0,1,0,2019
172,Barotac Nuevo,0,0,10,0,0,0,0,0,1,0,0,0,0,1,0,2019
173,Barotac Viejo,0,0,24,0,0,0,0,0,1,1,1,0,0,1,0,2019
174,Baroy,0,0,10,0,0,0,0,0,1,0,0,0,0,1,0,2019
175,Barugo,0,0,7,0,0,0,0,0,0,0,0,0,0,1,0,2019
176,Basay,0,0,10,0,0,0,0,0,0,0,0,0,0,1,0,2019
177,Basco,0,0,2,0,0,0,0,0,1,0,0,0,0,1,0,2019
178,Basey,0,0,9,1,0,0,0,0,1,0,1,0,0,0,0,2019
179,Basilisa,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,2019
180,Basista,0,0,13,1,0,0,0,0,0,0,0,0,0,1,0,2019
181,Basud (CN),0,0,10,1,0,0,0,0,0,0,0,0,0,1,0,2019
182,Batac,0,0,10,0,0,0,0,0,2,1,0,0,0,1,0,2019
183,Batad,0,0,5,0,0,0,0,0,0,0,0,0,0,1,0,2019
184,Batan,0,0,9,0,0,0,0,0,0,0,0,0,0,1,0,2019
185,Batangas,0,0,83,6,0,0,0,0,5,0,0,0,0,7,0,2019
186,Bataraza,0,0,22,0,0,0,0,0,1,0,0,0,0,1,0,2019
187,Bato (CS),0,0,8,2,0,0,0,0,0,0,0,0,0,1,0,2019
188,Bato (CT),0,0,4,0,0,0,0,0,0,1,0,0,0,1,0,2019
189,Bato (LE),0,0,8,0,0,0,0,0,0,0,0,0,0,2,0,2019
190,Batuan (BL),0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,2019
191,Batuan (MS),0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,2019
192,Bauan,0,0,25,3,0,0,0,0,3,0,0,0,0,2,0,2019
193,Bauang,0,0,31,1,0,0,0,0,0,0,0,0,0,1,0,2019
194,Bauko,0,0,23,0,0,0,0,0,1,0,0,0,0,2,0,2019
195,Baungon,0,0,15,0,0,0,0,0,0,0,0,0,0,1,0,2019
196,Bautista,0,0,6,1,0,0,0,0,0,0,0,0,0,1,0,2019
197,Bay,0,0,15,0,0,0,0,0,1,0,0,0,0,1,0,2019
198,Bayabas,0,0,5,0,0,0,0,0,0,0,0,0,0,1,0,2019
199,Bayambang,0,0,26,0,0,0,0,0,2,0,0,0,0,2,0,2019
200,Bayang,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,2019
201,Bayawan,0,0,35,0,0,0,0,0,2,1,0,0,0,1,0,2019
202,Baybay,0,0,20,1,0,0,0,0,1,2,0,0,0,3,0,2019
203,Bayog,0,0,10,1,0,0,0,0,0,0,0,0,0,1,0,2019
204,Bayombong,0,0,11,0,0,0,0,0,1,0,0,0,0,1,0,2019
205,Bayugan,0,0,19,0,0,0,0,0,2,1,0,0,0,1,0,2019
206,Belison,0,0,3,1,0,0,0,0,0,0,0,0,0,1,0,2019
207,Benito Soliven,0,0,22,0,0,0,0,0,0,0,0,0,0,1,0,2019
208,Besao,0,0,14,0,0,0,0,0,1,0,0,0,0,1,0,2019
209,Bien Unido,0,0,15,0,0,0,0,0,0,0,0,0,0,1,0,2019
210,Bilar,0,0,5,0,0,0,0,0,0,0,0,0,0,1,0,2019
211,Biliran,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,2019
212,Binalbagan,0,0,16,0,0,0,0,0,0,1,0,0,0,1,0,2019
213,Binalonan,0,0,24,0,0,1,0,0,1,1,0,0,0,1,0,2019
214,Binangonan,0,0,40,6,0,0,0,0,3,1,0,0,0,4,0,2019
215,Bindoy,0,0,10,0,0,0,0,0,0,1,0,0,0,1,0,2019
216,Bingawan,0,0,5,0,0,0,0,0,0,0,0,0,0,1,0,2019
217,Binidayan,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2019
218,Binmaley,0,0,18,4,0,0,0,0,1,0,0,0,0,2,0,2019
219,Binuangan,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,2019
220,Biri,0,0,5,1,0,0,0,0,0,1,0,0,0,1,0,2019
221,Bislig,0,0,35,0,0,0,0,0,3,1,0,0,0,3,0,2019
222,Binan,0,0,24,4,0,0,0,0,4,1,0,0,0,2,0,2019
223,Boac,0,0,6,0,0,0,0,0,1,0,0,0,0,2,0,2019
224,Bobon,0,0,4,1,0,0,0,0,0,0,0,0,0,1,0,2019
225,Bocaue,0,0,17,5,0,0,0,0,4,0,0,0,0,2,0,2019
226,Bogo,0,0,19,0,0,0,0,0,1,0,0,0,0,4,0,2019
227,Bokod,0,0,11,0,0,0,0,0,1,0,0,0,0,1,0,2019
228,Bolinao,0,0,11,1,0,0,0,0,1,1,0,0,0,2,0,2019
229,Boliney,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,2019
230,Boljoon,0,0,10,0,0,0,0,0,0,0,0,0,0,1,0,2019
231,Bombon,0,0,3,1,0,0,0,0,0,0,0,0,0,1,0,2019
232,Bongabon,0,0,6,0,0,0,0,0,1,0,0,0,0,2,0,2019
233,Bongabong,0,0,36,0,0,0,0,0,1,1,0,0,0,1,0,2019
234,Bongao,0,0,4,1,0,0,0,0,4,0,0,0,0,1,0,2019
235,Bonifacio,0,0,7,0,0,0,0,0,1,0,0,0,0,1,0,2019
236,Bontoc (MP),0,0,15,0,0,0,0,0,1,0,0,0,0,1,0,2019
237,Bontoc (SL),0,0,7,1,0,0,0,0,0,0,0,0,0,1,0,2019
238,Borbon,0,0,17,0,0,0,0,0,0,0,0,0,0,1,0,2019
239,Borongan,0,0,16,1,0,1,0,0,2,0,0,0,0,2,0,2019
240,Boston,0,0,8,0,0,0,0,0,0,0,0,0,0,1,0,2019
241,Botolan,0,0,24,0,0,0,0,0,0,1,0,0,0,2,0,2019
242,Braulio E. Dujali,0,0,5,1,0,0,0,0,0,0,0,0,0,1,0,2019
243,Brooke's Point,0,0,19,0,0,0,0,0,3,1,0,0,0,1,0,2019
244,Buadiposo-Buntong,0,0,3,1,0,0,0,0,0,0,0,0,0,1,0,2019
245,Bubong,0,0,2,1,0,0,0,0,0,0,0,0,0,1,0,2019
246,Bucay,0,0,8,0,0,0,0,0,0,1,0,0,0,1,0,2019
247,Bucloc,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,2019
248,Buenavista (AN),0,0,25,0,0,0,0,0,0,0,0,0,0,1,0,2019
249,Buenavista (BL),0,0,7,0,0,0,0,0,0,0,0,0,0,1,0,2019
250,Buenavista (GS),0,0,26,0,0,0,0,0,0,1,0,0,0,1,0,2019
251,Buenavista (ME),0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,2019
252,Buenavista (QN),0,0,5,0,0,0,0,0,0,0,0,0,0,1,0,2019
253,Bugallon,0,0,15,0,0,0,0,0,0,0,0,0,0,2,0,2019
254,Bugasong,0,0,7,0,0,0,0,0,1,1,0,0,0,1,0,2019
255,Buguey,0,0,6,1,0,0,0,0,0,0,0,0,0,1,0,2019
256,Buguias,0,0,14,0,0,0,0,0,1,1,0,0,0,1,0,2019
257,Buhi,0,0,15,2,0,0,0,0,0,0,0,0,0,2,0,2019
258,Bula,0,0,11,0,0,0,0,0,0,0,0,0,0,2,0,2019
259,Bulakan,0,0,13,1,0,0,1,0,1,1,0,0,0,2,0,2019
260,Bulalacao,0,0,15,0,0,0,0,0,0,1,0,0,0,1,0,2019
261,Bulan,0,0,18,2,0,0,0,0,0,2,0,0,0,1,0,2019
262,Buldon,0,0,9,2,0,0,0,0,0,0,0,0,0,1,0,2019
263,Buluan,0,0,2,3,0,0,0,0,1,2,0,0,0,1,0,2019
264,Bulusan,0,0,7,1,0,0,0,0,1,1,0,0,0,1,0,2019
265,Bunawan,0,0,9,0,0,0,0,0,2,1,0,0,0,1,0,2019
266,Burauen,0,0,11,0,0,0,0,0,1,0,0,0,0,1,0,2019
267,Burdeos,0,0,14,0,0,0,0,0,0,0,0,0,0,1,0,2019
268,Burgos (IN),0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,2019
269,Burgos (IS),0,0,8,0,0,0,0,0,0,0,0,0,0,1,0,2019
270,Burgos (IA),0,0,13,1,0,0,0,0,0,0,0,0,0,1,0,2019
271,Burgos (LU),0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,2019
272,Burgos (PS),0,0,11,1,0,0,0,0,0,0,0,0,0,1,0,2019
273,Burgos (SN),0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2019
274,Buruanga,0,0,5,0,0,0,0,0,0,1,0,0,0,1,0,2019
275,Bustos,0,0,12,3,0,0,1,0,2,1,0,0,0,2,0,2019
276,Busuanga,0,0,13,0,0,0,0,0,0,0,0,0,0,1,0,2019
277,Butig,0,0,2,1,0,0,0,0,0,0,0,0,0,1,0,2019
278,Butuan,0,0,83,0,0,0,0,0,7,1,0,0,0,2,0,2019
279,Buug,0,0,7,1,0,0,0,0,1,1,0,0,0,1,0,2019
280,Caba,0,0,5,0,0,0,0,0,1,0,0,0,0,1,0,2019
281,Cabadbaran,0,0,19,0,0,0,0,0,3,0,0,0,0,1,0,2019
282,Cabagan,0,0,16,0,0,0,0,0,1,0,0,0,0,1,0,2019
283,Cabanatuan,0,0,34,3,0,0,0,0,8,0,0,0,0,7,0,2019
284,Cabangan,0,0,18,1,0,0,0,0,0,0,0,0,0,1,0,2019
285,Cabanglasan,0,0,15,2,0,0,0,0,0,0,0,0,0,1,0,2019
286,Cabarroguis,0,0,16,3,0,0,0,0,1,0,0,0,0,1,0,2019
287,Cabatuan (IO),0,0,11,0,0,0,0,0,1,0,0,0,0,1,0,2019
288,Cabatuan (IA),0,0,6,1,0,0,0,0,2,0,0,0,0,1,0,2019
289,Cabiao,0,0,13,4,0,0,0,0,1,2,0,0,0,2,0,2019
290,Cabucgayan,0,0,4,1,0,0,0,0,0,0,0,0,0,1,0,2019
291,Cabugao,0,0,17,0,0,0,0,0,2,0,0,0,0,1,0,2019
292,Cabusao,0,0,9,0,0,0,0,0,1,0,0,0,0,1,0,2019
293,Cabuyao,0,0,15,8,0,0,1,0,3,0,0,0,0,2,0,2019
294,Cadiz,0,0,25,0,0,0,0,0,1,0,0,0,0,1,0,2019
295,Cagayancillo,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2019
296,Cagayan De Oro,0,0,33,16,0,0,1,0,12,1,0,0,0,27,1,2019
297,Cagdianao,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,2019
298,Cagwait,0,0,10,0,0,0,0,0,0,0,0,0,0,1,0,2019
299,Caibiran,0,0,6,1,0,0,0,0,0,0,0,0,0,1,0,2019
300,Cainta,0,0,23,1,0,0,0,0,3,0,0,0,0,5,1,2019
301,Cajidiocan,0,0,13,0,0,0,0,0,0,1,0,0,0,1,0,2019
302,Calabanga,0,0,18,2,0,0,0,0,0,0,0,0,0,3,0,2019
303,Calaca,0,0,14,2,0,0,0,0,1,0,0,0,0,1,0,2019
304,Calamba (LA),0,0,60,14,0,0,2,0,8,2,0,0,0,1,0,2019
305,Calamba (MC),0,0,4,0,0,0,0,0,1,0,0,0,0,1,0,2019
306,Calanasan,0,0,15,1,0,0,0,0,0,1,0,0,0,1,0,2019
307,Calanogas,0,0,2,1,0,0,0,0,0,0,0,0,0,1,0,2019
308,Calapan,0,0,60,0,0,0,0,0,7,0,0,0,0,3,0,2019
309,Calape,0,0,6,0,0,0,0,0,1,0,0,0,0,1,0,2019
310,Calasiao,0,0,25,2,0,0,0,0,0,0,0,0,0,2,0,2019
311,Calatagan,0,0,8,0,0,0,0,0,0,1,0,0,0,1,0,2019
312,Calatrava (NO),0,0,40,0,0,0,0,0,0,1,0,0,0,1,0,2019
313,Calatrava (RN),0,0,6,0,0,0,0,0,0,0,0,0,0,1,0,2019
314,Calauag,0,0,19,0,0,0,0,0,2,1,0,0,0,1,0,2019
315,Calauan,0,0,16,1,0,0,0,0,0,0,0,0,0,1,0,2019
316,Calayan,0,0,10,0,0,0,0,0,0,1,0,0,0,1,0,2019
317,Calbayog,0,0,23,0,0,0,0,0,4,0,0,0,0,6,0,2019
318,Calbiga,0,0,5,0,0,0,0,0,0,0,1,0,0,1,0,2019
319,Calinog,0,0,15,0,0,0,0,0,1,0,0,0,0,1,0,2019
320,Calintaan,0,0,7,0,0,0,0,0,0,0,0,0,0,1,0,2019
321,Caloocan,0,0,0,11,0,0,0,0,11,4,0,0,0,46,1,2019
322,Calubian,0,0,4,1,0,0,0,0,0,1,0,0,0,1,0,2019
323,Calumpit,0,0,27,1,0,0,0,0,2,0,0,0,0,2,0,2019
324,Caluya,0,0,6,0,0,0,0,0,0,1,0,0,0,1,0,2019
325,Camalaniugan,0,0,5,1,0,0,0,0,2,0,0,0,0,1,0,2019
326,Camalig,0,0,9,3,0,0,0,0,0,0,0,0,0,1,0,2019
327,Camaligan,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,2019
328,Camiling,0,0,16,1,0,0,0,0,3,1,0,0,0,2,0,2019
329,Canaman,0,0,5,1,0,0,0,0,0,0,0,0,0,1,0,2019
330,Can-Avid,0,0,5,1,0,0,0,0,0,1,0,0,0,1,0,2019
331,Candaba,0,0,31,1,0,0,0,0,0,1,0,0,0,3,0,2019
332,Candelaria (QN),0,0,26,4,0,0,0,0,2,1,0,0,0,1,0,2019
