,name,Elementary_school,Secondary_school,Enrollment_Elementary_Male,Enrollment_Elementary_Female,Enrollment_Secondary_Male,Enrollment_Secondary_Female,year
37,Alicia (BL),170,40,2.001,1.801,1.060,1.088,2018
38,Alicia (IA),340,40,4.824,4.370,1.616,1.779,2018
39,Alicia (ZS),290,50,3.703,3.294,1.574,1.618,2018
40,Alilem,140,10,514,468,258,251,2018
41,Alimodian,310,60,2.905,2.492,1.653,1.439,2018
42,Alitagtag,80,10,1.590,1.436,534,493,2018
43,Allacapan,250,60,2.703,2.460,1.134,1.201,2018
44,Allen,140,30,2.003,1.759,1.219,1.273,2018
45,Almagro,150,20,766,715,341,300,2018
46,Almeria,150,30,1.369,1.157,775,702,2018
47,Aloguinsan,170,30,2.837,2.604,1.301,1.248,2018
48,Aloran,330,30,1.944,1.757,1.053,1.014,2018
49,Altavas,190,50,1.924,1.656,1.161,1.152,2018
50,Alubijid,180,30,2.491,2.238,1.266,1.292,2018
51,Amadeo,100,40,2.243,1.995,1.489,1.333,2018
52,Amai Manabilang,60,10,1.184,1.293,120,152,2018
53,Ambaguio,150,20,964,892,162,264,2018
54,Amlan,100,40,1.740,1.508,736,714,2018
55,Ampatuan,100,40,2.524,2.493,827,894,2018
56,Amulung,420,70,3.615,3.394,1.475,1.464,2018
57,Anahawan,70,10,613,506,179,156,2018
58,Anao,60,10,692,584,403,374,2018
59,Anda (BL),170,30,1.309,1.149,595,545,2018
60,Anda (PS),210,90,3.249,2.888,1.353,1.308,2018
61,Angadanan,490,120,2.929,2.734,1.351,1.275,2018
62,Angat,140,40,4.046,3.746,1.357,1.333,2018
63,Angeles,430,140,28.596,26.531,12.718,13.074,2018
64,Angono,50,40,7.098,6.621,3.494,3.378,2018
65,Anilao,180,30,2.276,1.976,1.035,1.009,2018
66,Anini-Y,180,20,1.629,1.397,343,319,2018
67,Antequera,170,20,1.007,837,349,340,2018
68,Antipas,150,40,2.281,2.064,794,904,2018
69,Antipolo,450,210,53.830,49.256,26.222,26.717,2018
70,Apalit,150,70,6.746,6.023,2.582,2.491,2018
71,Aparri,350,40,5.108,4.731,1.807,1.957,2018
72,Araceli,180,40,1.297,1.209,659,558,2018
73,Arakan,390,150,4.760,4.445,1.936,2.040,2018
74,Arayat,310,50,9.651,8.621,3.877,3.880,2018
75,Argao,470,90,5.765,4.929,2.314,2.233,2018
76,Aringay,230,40,3.394,3.077,1.100,1.094,2018
77,Aritao,250,20,2.945,2.656,1.007,1.043,2018
78,Aroroy,470,140,9.444,8.323,3.908,4.104,2018
79,Arteche,170,30,1.418,1.268,869,802,2018
80,Asingan,190,70,3.679,3.285,2.022,1.939,2018
81,Asipulo,220,40,1.158,1.103,372,569,2018
82,Asturias,300,40,4.955,4.317,1.375,1.454,2018
83,Asuncion,270,40,4.809,4.362,2.135,2.095,2018
84,Atimonan,270,50,4.595,4.147,1.823,1.744,2018
85,Atok,220,20,1.321,1.240,306,308,2018
86,Aurora (IA),280,10,2.543,2.393,1.243,1.295,2018
87,Aurora (ZR),410,80,4.326,4.060,1.791,1.771,2018
88,Ayungon,310,50,3.837,3.478,1.408,1.704,2018
89,Baao,250,50,4.868,4.218,2.041,2.067,2018
90,Babatngon,200,40,2.648,2.364,1.163,1.160,2018
91,Bacacay,410,70,6.047,5.259,2.234,2.150,2018
92,Bacarra,240,20,1.971,1.842,1.309,1.272,2018
93,Baclayon,120,20,1.236,1.113,356,339,2018
94,Bacnotan,170,20,2.455,2.084,1.296,1.149,2018
95,Baco,340,50,3.416,2.991,1.352,1.307,2018
96,Bacolod (LN),140,30,1.770,1.589,699,615,2018
97,Bacolod (NO),460,240,36.437,33.842,17.712,18.196,2018
98,Bacolod-Kalawi,180,30,2.299,2.800,354,457,2018
99,Bacolor,240,50,5.289,4.934,1.881,1.702,2018
100,Bacong,100,30,2.226,2.067,734,692,2018
101,Bacoor,270,50,27.650,25.577,10.639,10.714,2018
102,Bacuag,140,30,1.159,1.029,652,606,2018
103,Bacungan Leon B. Postigo,200,40,2.945,2.614,1.079,1.146,2018
104,Badian,250,50,3.505,3.099,1.512,1.522,2018
105,Badiangan,200,20,1.672,1.451,573,575,2018
106,Badoc,210,30,2.133,1.814,420,326,2018
107,Bagabag,240,40,2.725,2.456,1.063,1.123,2018
108,Bagac,100,30,2.133,1.942,973,903,2018
109,Bagamanoc,130,30,936,852,592,498,2018
110,Baganga,270,50,5.335,4.827,1.827,1.877,2018
111,Baggao,640,90,7.038,6.382,2.665,2.599,2018
112,Bago,360,70,13.347,12.036,5.827,5.612,2018
113,Baguio,450,230,18.534,17.333,10.144,10.826,2018
114,Bagulin,140,50,971,829,553,512,2018
115,Bagumbayan,410,100,5.392,4.846,1.934,1.937,2018
116,Bais,410,180,6.314,5.821,2.938,3.218,2018
117,Bakun,290,40,1.036,943,294,348,2018
118,Balabac,350,70,4.675,4.436,1.313,1.595,2018
119,Balabagan,130,80,2.274,2.444,792,1.028,2018
120,Balagtas,120,10,4.676,4.406,1.421,1.443,2018
121,Balamban,310,100,8.227,7.311,3.666,3.641,2018
122,Balanga,180,20,6.231,5.865,3.626,3.700,2018
123,Balangiga,90,10,1.264,1.084,542,583,2018
124,Balangkayan,120,10,858,756,371,313,2018
125,Balaoan,180,50,2.439,2.191,1.246,1.104,2018
126,Balasan,170,20,2.873,2.651,1.540,1.678,2018
127,Balatan,170,50,3.146,2.796,1.120,1.103,2018
128,Balayan,270,30,6.236,5.707,2.864,2.766,2018
129,Balbalan,290,30,1.010,876,342,267,2018
130,Baleno,240,60,2.964,2.545,1.118,1.170,2018
131,Baler,110,70,3.243,2.890,1.411,1.471,2018
132,Balete (AK),140,60,1.976,1.755,971,900,2018
133,Balete (BS),100,10,1.415,1.243,498,505,2018
134,Baliangao,140,20,1.163,1.026,363,356,2018
135,Baliguian,180,20,1.879,1.628,361,349,2018
136,Balilihan,170,30,1.342,1.098,460,508,2018
137,Balindong,340,10,4.957,5.082,466,634,2018
138,Balingasag,320,60,6.317,5.717,2.390,2.157,2018
139,Balingoan,90,20,964,907,342,340,2018
140,Baliwag,230,50,9.714,9.085,3.768,3.701,2018
141,Ballesteros,200,10,2.510,2.365,960,962,2018
142,Baloi,250,10,4.030,3.975,301,334,2018
143,Balud,330,60,4.245,3.851,1.600,1.642,2018
144,Balungao,180,40,1.988,1.744,1.003,869,2018
145,Bamban,220,20,5.419,4.893,2.220,2.423,2018
146,Bambang,300,20,3.797,3.571,1.241,1.410,2018
147,Banate,130,20,2.723,2.495,1.395,1.373,2018
148,Banaue,230,30,1.547,1.486,300,331,2018
149,Banaybanay,180,40,3.904,3.503,1.436,1.527,2018
150,Banayoyo,70,10,558,512,264,251,2018
151,Banga (AK),250,60,2.748,2.469,1.199,1.076,2018
152,Banga (SC),310,110,6.574,5.856,2.578,2.371,2018
153,Bangar,160,50,2.476,2.309,1.478,1.441,2018
154,Bangued,240,20,3.208,2.864,1.132,1.179,2018
155,Bangui,130,30,985,976,672,635,2018
156,Bani,290,100,3.797,3.364,2.047,1.915,2018
157,Banisilan,280,60,4.081,3.904,1.505,1.612,2018
158,Banna,170,40,1.375,1.228,517,473,2018
159,Bansalan,270,50,4.637,4.369,1.261,1.169,2018
160,Bansud,200,80,3.566,3.315,1.779,1.848,2018
161,Bantay,180,20,2.028,1.933,411,320,2018
162,Bantayan Island,250,120,6.753,6.177,3.539,3.394,2018
163,Banton,80,20,354,375,241,216,2018
164,Baras (CT),160,20,1.163,1.080,680,605,2018
165,Baras (RL),80,30,5.283,4.813,1.740,1.673,2018
166,Barbaza,170,10,1.679,1.472,596,653,2018
167,Barcelona,210,30,1.609,1.340,880,830,2018
168,Barili,340,120,7.047,6.072,2.940,2.861,2018
169,Barira,330,30,3.246,3.473,365,505,2018
170,Barlig,100,40,309,332,228,190,2018
171,Barobo,310,70,4.691,4.242,1.867,1.877,2018
172,Barotac Nuevo,260,40,4.307,3.828,1.945,1.918,2018
173,Barotac Viejo,270,40,3.704,3.342,1.671,1.741,2018
174,Baroy,130,20,1.726,1.634,1.595,1.582,2018
175,Barugo,330,40,2.868,2.590,1.131,1.111,2018
176,Basay,130,40,2.631,2.434,1.097,1.214,2018
177,Basco,50,10,585,546,373,392,2018
178,Basey,600,70,4.964,4.627,2.474,2.616,2018
179,Basilisa,280,80,1.835,1.590,876,861,2018
180,Basista,110,30,2.852,2.532,1.465,1.339,2018
181,Basud (CN),260,40,3.735,3.470,1.985,1.957,2018
182,Batac,260,40,3.203,2.884,1.296,1.297,2018
183,Batad,140,20,1.858,1.659,853,877,2018
184,Batan,200,130,2.452,2.084,1.278,1.147,2018
185,Batangas,820,190,19.978,18.416,9.028,8.691,2018
186,Bataraza,430,100,7.852,7.362,2.279,2.739,2018
187,Bato (CS),250,60,4.517,4.044,1.658,1.598,2018
188,Bato (CT),180,30,1.732,1.552,908,855,2018
189,Bato (LE),260,50,3.108,2.923,1.801,1.867,2018
190,Batuan (BL),150,30,1.112,933,496,595,2018
191,Batuan (MS),130,40,1.456,1.345,711,679,2018
192,Bauan,250,40,5.490,5.366,2.491,2.356,2018
193,Bauang,260,70,4.668,4.212,2.159,2.006,2018
194,Bauko,400,120,2.442,2.276,1.078,1.088,2018
195,Baungon,180,20,3.305,2.970,981,960,2018
196,Bautista,110,30,2.645,2.429,1.314,1.199,2018
197,Bay,140,40,4.764,4.283,1.734,1.783,2018
198,Bayabas,80,10,702,626,172,184,2018
199,Bayambang,490,90,9.797,8.624,4.168,4.220,2018
200,Bayang,310,30,2.511,2.702,418,481,2018
201,Bayawan,530,220,11.020,9.728,4.543,5.017,2018
202,Baybay,700,140,8.428,7.335,4.182,4.028,2018
203,Bayog,320,50,2.886,2.749,1.114,1.140,2018
204,Bayombong,260,50,4.323,3.972,1.865,1.991,2018
205,Bayugan,560,100,9.589,8.601,4.313,4.635,2018
206,Belison,80,10,876,832,524,475,2018
207,Benito Soliven,310,60,2.442,2.224,1.192,1.073,2018
208,Besao,160,50,527,473,274,247,2018
209,Bien Unido,140,30,2.473,2.245,926,848,2018
210,Bilar,180,10,1.333,1.183,454,467,2018
211,Biliran,120,20,1.484,1.396,834,825,2018
212,Binalbagan,310,60,6.431,5.699,2.007,2.078,2018
213,Binalonan,220,60,3.482,3.213,2.188,2.162,2018
214,Binangonan,360,90,18.385,17.021,8.130,8.154,2018
215,Bindoy,290,30,3.269,3.034,1.367,1.629,2018
216,Bingawan,150,20,1.277,1.213,622,521,2018
217,Binidayan,150,20,1.459,1.682,371,427,2018
218,Binmaley,290,40,5.976,5.502,2.016,1.870,2018
219,Binuangan,80,20,635,525,273,266,2018
220,Biri,110,20,1.102,1.012,567,581,2018
221,Bislig,510,180,7.510,6.786,2.954,2.905,2018
222,Binan,260,80,19.516,18.210,8.575,8.818,2018
223,Boac,380,30,4.594,4.019,2.265,2.238,2018
224,Bobon,170,20,2.227,2.135,1.110,1.278,2018
225,Bocaue,150,40,8.591,7.745,2.852,2.815,2018
226,Bogo,230,120,6.618,5.921,1.774,1.709,2018
227,Bokod,380,30,974,891,412,438,2018
228,Bolinao,340,160,6.910,6.428,3.765,3.527,2018
229,Boliney,80,10,300,249,96,70,2018
230,Boljoon,110,30,1.474,1.263,678,595,2018
231,Bombon,70,20,1.464,1.232,364,353,2018
232,Bongabon,230,30,4.629,4.374,2.111,2.236,2018
233,Bongabong,390,110,6.016,5.553,2.477,2.433,2018
234,Bongao,590,40,9.082,8.751,1.778,2.285,2018
235,Bonifacio,310,40,2.800,2.509,1.065,1.060,2018
236,Bontoc (MP),190,60,1.445,1.282,748,801,2018
237,Bontoc (SL),330,40,2.625,2.266,1.203,1.186,2018
238,Borbon,180,60,3.123,2.840,1.115,994,2018
239,Borongan,510,70,5.569,4.924,2.943,2.916,2018
240,Boston,120,20,1.246,1.231,523,514,2018
241,Botolan,390,120,4.790,4.642,1.990,1.883,2018
242,Braulio E. Dujali,110,30,1.829,1.777,1.088,1.010,2018
243,Brooke's Point,390,110,6.420,5.934,2.524,2.716,2018
244,Buadiposo-Buntong,110,20,1.274,1.441,541,623,2018
245,Bubong,150,30,2.028,2.222,1.028,1.392,2018
246,Bucay,170,30,1.317,1.164,755,692,2018
247,Bucloc,40,0,172,156,0,0,2018
248,Buenavista (AN),370,110,5.379,4.888,2.038,2.083,2018
249,Buenavista (BL),310,40,2.603,2.303,1.296,1.260,2018
250,Buenavista (GS),280,50,3.345,3.104,1.837,1.764,2018
251,Buenavista (ME),170,70,2.299,2.079,1.164,1.182,2018
252,Buenavista (QN),220,50,3.053,2.731,1.135,1.187,2018
253,Bugallon,280,50,5.830,5.169,2.618,2.617,2018
254,Bugasong,250,40,2.814,2.444,1.585,1.586,2018
255,Buguey,330,50,2.459,2.173,890,932,2018
256,Buguias,430,60,2.983,2.711,1.250,1.308,2018
257,Buhi,370,40,7.136,6.331,2.365,2.522,2018
258,Bula,340,110,6.397,5.846,2.636,2.697,2018
259,Bulakan,130,40,4.020,3.675,1.892,1.789,2018
260,Bulalacao,320,70,4.395,4.071,1.680,1.862,2018
261,Bulan,620,120,8.785,8.009,3.960,3.966,2018
262,Buldon,280,30,2.971,3.025,439,484,2018
263,Buluan,100,10,3.449,3.648,310,441,2018
264,Bulusan,200,30,1.896,1.588,1.081,936,2018
265,Bunawan,210,20,3.904,3.535,1.348,1.478,2018
266,Burauen,600,30,4.388,3.989,1.742,1.899,2018
267,Burdeos,160,20,2.656,2.399,841,759,2018
268,Burgos (IN),100,10,690,657,323,282,2018
269,Burgos (IS),90,10,810,740,333,334,2018
270,Burgos (IA),120,30,1.817,1.617,816,761,2018
271,Burgos (LU),80,30,576,579,341,303,2018
272,Burgos (PS),150,30,1.369,1.290,711,680,2018
273,Burgos (SN),50,10,330,333,154,150,2018
274,Buruanga,140,30,1.536,1.322,739,663,2018
275,Bustos,130,40,4.743,4.278,2.247,2.211,2018
276,Busuanga,150,50,1.994,1.857,996,965,2018
277,Butig,190,30,1.505,1.682,351,558,2018
278,Butuan,1070,370,28.108,26.098,12.916,13.395,2018
279,Buug,280,50,3.425,3.148,1.072,1.044,2018
280,Caba,100,60,1.438,1.275,831,788,2018
281,Cabadbaran,270,70,6.236,5.778,2.095,1.871,2018
282,Cabagan,260,40,3.727,3.440,1.727,1.750,2018
283,Cabanatuan,570,170,19.465,18.092,8.737,9.183,2018
284,Cabangan,170,10,1.920,1.764,621,570,2018
285,Cabanglasan,260,30,3.297,2.955,1.031,1.006,2018
286,Cabarroguis,250,90,2.511,2.276,1.552,1.539,2018
287,Cabatuan (IO),380,60,3.885,3.549,2.277,2.250,2018
288,Cabatuan (IA),160,30,2.465,2.257,1.051,1.051,2018
289,Cabiao,200,40,5.493,4.965,2.644,2.509,2018
290,Cabucgayan,120,20,1.827,1.822,850,920,2018
291,Cabugao,260,40,2.666,2.446,909,784,2018
292,Cabusao,80,20,1.724,1.631,910,857,2018
293,Cabuyao,190,80,18.053,16.563,9.173,8.932,2018
294,Cadiz,500,180,13.175,11.571,5.921,5.866,2018
295,Cagayancillo,80,10,474,456,232,277,2018
296,Cagayan De Oro,700,380,47.708,44.402,21.435,22.816,2018
297,Cagdianao,190,40,1.573,1.428,808,723,2018
298,Cagwait,140,30,1.818,1.659,705,720,2018
299,Caibiran,180,30,2.276,2.083,1.074,1.067,2018
300,Cainta,190,40,18.221,16.468,5.028,5.024,2018
301,Cajidiocan,140,40,2.241,1.983,1.203,1.150,2018
302,Calabanga,370,80,7.716,6.870,3.654,3.781,2018
303,Calaca,310,50,5.653,5.266,2.536,2.504,2018
304,Calamba (LA),510,200,30.678,28.233,12.232,12.308,2018
305,Calamba (MC),170,10,1.631,1.494,632,613,2018
306,Calanasan,250,50,925,835,427,430,2018
307,Calanogas,60,30,1.060,1.188,260,334,2018
308,Calapan,490,90,9.694,9.076,5.161,5.082,2018
309,Calape,190,40,2.341,2.175,1.104,1.093,2018
310,Calasiao,270,40,6.501,5.797,3.196,3.171,2018
311,Calatagan,220,20,4.571,4.042,2.050,2.037,2018
312,Calatrava (NO),450,50,7.188,6.545,2.781,3.170,2018
313,Calatrava (RN),80,20,1.061,935,508,496,2018
314,Calauag,450,120,6.185,5.533,2.488,2.479,2018
315,Calauan,210,40,6.084,5.644,2.087,2.333,2018
316,Calayan,170,50,1.576,1.395,778,689,2018
317,Calbayog,1550,260,15.392,14.274,7.817,8.230,2018
318,Calbiga,370,20,2.080,1.844,1.227,1.187,2018
319,Calinog,440,80,5.138,4.649,2.633,2.543,2018
320,Calintaan,200,60,2.687,2.377,1.188,1.351,2018
321,Caloocan,540,310,87.065,81.689,45.561,45.139,2018
322,Calubian,280,30,2.612,2.463,1.304,1.403,2018
323,Calumpit,260,50,6.834,6.178,3.208,2.993,2018
324,Caluya,230,40,3.171,3.004,1.380,1.308,2018
325,Camalaniugan,100,30,1.670,1.563,1.014,1.074,2018
326,Camalig,330,60,5.566,4.929,2.123,2.009,2018
327,Camaligan,60,10,1.615,1.477,847,852,2018
328,Camiling,410,50,5.384,4.994,2.343,2.140,2018
329,Canaman,180,30,2.127,1.890,719,654,2018
330,Can-Avid,190,20,2.002,1.798,854,884,2018
331,Candaba,340,110,7.322,6.504,3.721,3.688,2018
332,Candelaria (QN),260,50,9.323,8.582,3.088,3.010,2018
333,Candelaria (ZA),160,40,2.118,1.970,1.054,911,2018
334,Candijay,220,50,2.269,1.962,1.263,1.209,2018
335,Candon,290,50,3.832,3.474,1.973,2.027,2018
336,Candoni,170,30,2.024,1.821,752,740,2018
337,Canlaon,230,80,4.459,4.165,1.836,2.156,2018
338,Cantilan,230,60,2.604,2.333,1.041,936,2018
339,Caoayan,120,30,1.141,1.044,312,270,2018
340,Capalonga,220,40,3.547,2.987,1.051,1.057,2018
341,Capas,330,80,10.454,9.642,5.241,5.062,2018
342,Capoocan,200,40,3.012,2.748,1.222,1.232,2018
343,Capul,120,20,1.168,981,673,634,2018
344,Caraga,420,50,3.936,3.506,1.437,1.421,2018
345,Caramoan,530,80,5.400,4.823,2.085,2.119,2018
346,Caramoran,220,70,3.134,2.921,1.644,1.529,2018
347,Carasi,10,10,80,47,74,64,2018
348,Carcar,330,140,10.553,9.384,4.221,4.285,2018
349,Cardona,140,30,3.643,3.422,1.636,1.500,2018
350,Carigara,300,40,4.529,4.138,2.001,1.937,2018
351,Carles,360,60,6.579,5.844,2.666,2.626,2018
352,Carmen (AN),120,40,1.971,1.868,887,877,2018
353,Carmen (BL),340,80,3.706,3.294,1.535,1.561,2018
354,Carmen (CU),190,40,4.335,3.785,1.980,2.013,2018
355,Carmen (NC),430,120,8.653,8.374,2.788,3.111,2018
356,Carmen (DN),210,60,6.065,5.487,2.588,2.536,2018
357,Carmen (SS),100,20,944,904,277,233,2018
358,Carmona,90,10,5.171,4.905,2.729,2.769,2018
359,Carranglan,220,60,3.066,2.861,1.175,1.275,2018
360,Carrascal,170,30,1.827,1.728,864,834,2018
361,Casiguran (AU),150,40,2.046,1.878,1.060,962,2018
362,Casiguran (SO),200,30,2.850,2.611,1.811,1.735,2018
363,Castilla,390,110,5.662,4.888,2.866,2.756,2018
364,Castillejos,170,50,4.785,4.618,1.892,1.847,2018
365,Cataingan,390,70,5.350,4.737,2.364,2.541,2018
366,Catanauan,280,90,5.938,5.543,2.029,2.039,2018
367,Catarman (CM),120,40,1.437,1.288,771,658,2018
368,Catarman (NS),470,60,8.466,7.783,3.109,3.450,2018
369,Catbalogan,500,80,8.233,7.651,4.502,4.935,2018
370,Cateel,270,40,4.122,3.580,1.375,1.512,2018
371,Catigbian,220,40,1.648,1.482,687,696,2018
372,Catmon,190,40,2.459,2.172,950,1.009,2018
373,Catubig,400,30,3.289,3.029,1.309,1.433,2018
374,Cauayan (IA),650,140,10.014,9.145,4.110,4.408,2018
375,Cauayan (NO),610,120,10.100,8.960,3.116,3.340,2018
376,Cavinti,160,40,1.584,1.419,779,727,2018
377,Cavite,120,20,6.211,5.952,3.087,3.067,2018
378,Cawayan,420,70,7.029,6.525,2.265,2.267,2018
379,Cebu,680,540,58.420,54.055,26.185,27.562,2018
380,Cervantes,220,10,1.488,1.186,372,457,2018
381,Clarin (BL),170,30,1.641,1.470,680,711,2018
382,Clarin (MC),290,20,2.567,2.343,1.214,1.285,2018
383,Claver,160,20,3.011,2.604,1.250,1.331,2018
384,Claveria (CG),240,30,1.764,1.648,891,785,2018
385,Claveria (MS),290,80,4.530,4.163,1.655,1.642,2018
386,Claveria (MO),360,90,4.862,4.434,1.660,1.582,2018
387,Columbio,250,60,2.844,2.557,969,1.029,2018
388,Compostela (CU),180,80,4.067,3.694,1.987,2.078,2018
389,Compostela (DDO),240,110,6.986,6.361,3.969,4.030,2018
390,Concepcion (IO),360,40,3.828,3.398,1.872,1.733,2018
391,Concepcion,150,10,357,304,107,124,2018
392,Concepcion (RN),90,20,336,274,125,128,2018
393,Concepcion (TC),510,50,11.521,10.675,4.405,4.427,2018
394,Conner,360,80,2.321,2.048,1.093,1.129,2018
395,Consolacion,180,110,9.585,8.801,4.369,4.368,2018
396,Corcuera,130,30,819,720,498,493,2018
397,Cordon,210,50,3.475,3.185,1.139,1.123,2018
398,Cordova,110,20,4.872,4.390,1.106,1.123,2018
399,Corella,80,20,536,510,449,402,2018
400,Coron,320,50,5.242,4.743,2.055,1.961,2018
401,Cortes (BL),120,20,1.143,1.013,222,187,2018
402,Cortes (SS),150,40,1.486,1.323,753,681,2018
403,Cotabato,280,150,16.848,16.574,6.692,7.654,2018
404,Cuartero,200,40,2.120,1.892,1.110,995,2018
405,Cuenca,160,20,2.527,2.173,912,877,2018
406,Culaba,120,20,1.149,1.034,545,532,2018
407,Culasi,330,50,3.459,3.188,1.687,1.679,2018
408,Culion,200,20,1.907,1.787,628,620,2018
409,Currimao,90,20,744,693,392,360,2018
410,Cuyapo,440,60,4.460,4.125,2.060,2.003,2018
411,Cuyo,140,70,1.863,1.598,1.087,994,2018
412,Daan Bantayan,300,130,8.123,7.262,3.721,3.508,2018
413,Daet,240,50,7.998,7.601,3.500,3.650,2018
414,Dagami,330,30,3.219,3.091,1.209,1.201,2018
415,Dagohoy,150,20,1.691,1.524,614,608,2018
416,Daguioman,30,10,118,120,128,92,2018
417,Dagupan,340,80,11.713,10.438,5.784,5.937,2018
418,Dalaguete,420,80,6.623,5.761,3.143,3.265,2018
419,Damulog,290,20,2.885,2.602,749,864,2018
420,Danao (BL),210,40,1.698,1.443,891,892,2018
421,Danao (CU),440,320,11.339,10.351,4.961,5.001,2018
422,Dangcagan,140,20,2.426,2.213,755,883,2018
423,Danglas,50,10,285,294,211,195,2018
424,Dao,190,40,1.911,1.775,1.151,1.024,2018
425,Dapa,210,50,2.250,2.039,1.335,1.435,2018
426,Dapitan,500,100,6.760,6.153,3.077,2.958,2018
427,Daraga,480,80,8.930,8.104,5.221,5.286,2018
428,Daram,580,90,4.068,3.731,2.043,1.975,2018
429,Dasmarinas,280,120,38.446,35.500,19.709,19.531,2018
430,Dasol,170,40,2.285,2.129,744,658,2018
431,Datu Abdullah Sangki,120,0,2.835,2.895,0,0,2018
432,Datu Anggal Midtimbang,60,0,1.686,1.817,0,0,2018
433,Datu Blah Sinsuat,160,0,1.766,1.620,0,0,2018
434,Datu Hoffer Ampatuan,60,10,936,1.011,66,71,2018
435,Datu Odin Sinsuat,410,60,8.889,8.838,1.717,2.163,2018
436,Datu Paglas,230,30,3.731,3.383,1.180,1.322,2018
437,Datu Piang,150,30,2.562,2.554,746,815,2018
438,Datu Salibo,80,0,999,1.050,0,0,2018
439,Datu Saudi-Ampatuan,100,10,2.143,2.389,310,365,2018
440,Datu Unsay,50,10,716,832,133,118,2018
441,Dauin,130,70,1.820,1.685,1.044,991,2018
442,Dauis,120,30,2.879,2.595,1.164,1.044,2018
443,Davao,2840,790,115.134,106.060,46.074,48.931,2018
444,Del Carmen,190,30,1.468,1.287,539,520,2018
445,Delfin Albano,200,40,1.819,1.656,776,696,2018
446,Del Gallego,150,30,2.432,2.198,1.044,1.023,2018
447,Diadi,190,10,1.454,1.326,478,522,2018
448,Diffun,440,60,4.019,3.629,1.411,1.476,2018
449,Digos,360,90,13.426,12.624,5.906,6.323,2018
450,Dilasag,140,50,1.485,1.324,670,674,2018
451,Dimasalang,210,20,2.768,2.478,1.080,1.202,2018
452,Dimataling,250,80,2.632,2.415,1.300,1.216,2018
453,Dimiao,150,20,1.107,1.010,415,438,2018
454,Dinagat,120,30,805,703,441,395,2018
455,Dinalungan,80,20,950,904,405,495,2018
456,Dinalupihan,330,70,8.211,7.608,3.824,3.576,2018
457,Dinapigue,30,10,493,456,227,201,2018
458,Dinas,320,80,2.819,2.557,956,1.049,2018
459,Dingalan,140,40,2.225,2.016,923,982,2018
460,Dingle,240,50,3.406,2.917,1.507,1.370,2018
461,Dingras,240,60,2.764,2.387,1.099,1.025,2018
462,Dipaculao,230,60,2.708,2.458,1.123,1.177,2018
463,Diplahan,260,70,2.987,2.866,1.486,1.498,2018
464,Dipolog,380,100,9.752,9.135,5.166,5.434,2018
465,Ditsaan-Ramain,160,30,2.611,3.019,473,582,2018
466,Divilacan,50,10,355,342,164,146,2018
467,Dolores (AA),100,10,766,733,238,212,2018
468,Dolores (ES),420,50,3.940,3.504,1.854,2.057,2018
469,Dolores (QN),120,20,2.120,2.005,689,697,2018
470,Don Carlos,300,70,5.941,5.542,2.213,2.363,2018
471,Don Marcelino,220,40,4.651,4.207,1.545,1.583,2018
472,Donsol,470,70,4.990,4.374,2.730,2.704,2018
