,name,city,Electricity_count,Kerosene (Gaas)_count,Liquified Petroleum Gas (LPG)_count,Oil (vegetable animal and others)_count,Solar panel_count,Solar lamp_count,Others_count,None_count,Not Reported_count,year
20,Alaminos (PS),CITY OF ALAMINOS,20557.0,892.0,8.0,2.0,5.0,11.0,65.0,36.0,,2015.0
21,Alang-Alang,ALANGALANG,8711.0,2884.0,218.0,9.0,46.0,888.0,9.0,3.0,,2015.0
22,Al-Barka,AL-BARKA,1010.0,2308.0,35.0,28.0,66.0,210.0,,5.0,,2015.0
23,Albuera,ALBUERA,9137.0,1698.0,,,6.0,178.0,37.0,11.0,,2015.0
24,Alburquerque,ALBURQUERQUE,2266.0,125.0,1.0,1.0,,1.0,25.0,3.0,,2015.0
25,Alcala (CG),ALCALA,8506.0,711.0,3.0,,6.0,22.0,,,,2015.0
26,Alcala (PS),ALCALA,9540.0,583.0,5.0,,3.0,10.0,15.0,18.0,,2015.0
27,Alcantara (CU),ALCANTARA,2988.0,441.0,,,1.0,6.0,8.0,,,2015.0
28,Alcantara (RN),ALCANTARA,3070.0,519.0,66.0,4.0,3.0,5.0,4.0,2.0,,2015.0
29,Alcoy,ALCOY,2999.0,362.0,5.0,,1.0,15.0,2.0,4.0,,2015.0
30,Alegria (CU),ALEGRIA,3828.0,1186.0,,,5.0,5.0,4.0,,,2015.0
31,Alegria (SN),ALEGRIA,3189.0,220.0,,,,5.0,1.0,,,2015.0
32,Aleosan,ALEOSAN,3970.0,3564.0,7.0,,312.0,942.0,36.0,14.0,,2015.0
33,Alfonso,ALFONSO,11600.0,134.0,5.0,1.0,2.0,1.0,44.0,33.0,,2015.0
34,Alfonso Castaneda,ALFONSO CASTANEDA,1284.0,332.0,4.0,2.0,6.0,80.0,77.0,2.0,,2015.0
35,Alfonso Lista,ALFONSO LISTA (POTIA),6431.0,531.0,,2.0,49.0,91.0,41.0,4.0,,2015.0
36,Aliaga,ALIAGA,13492.0,458.0,16.0,1.0,2.0,6.0,27.0,2.0,,2015.0
37,Alicia (BL),ALICIA,4199.0,786.0,6.0,89.0,6.0,17.0,1.0,1.0,,2015.0
38,Alicia (IA),ALICIA,17449.0,330.0,9.0,11.0,7.0,7.0,36.0,15.0,,2015.0
39,Alicia (ZS),ALICIA,5343.0,2224.0,10.0,3.0,37.0,58.0,79.0,11.0,1.0,2015.0
40,Alilem,ALILEM,1437.0,34.0,,,,4.0,1.0,,,2015.0
41,Alimodian,ALIMODIAN,7640.0,412.0,1.0,1.0,5.0,,1.0,7.0,,2015.0
42,Alitagtag,ALITAGTAG,5432.0,81.0,6.0,,1.0,2.0,14.0,20.0,,2015.0
43,Allacapan,ALLACAPAN,6851.0,893.0,1.0,3.0,5.0,13.0,1.0,,,2015.0
44,Allen,ALLEN,5018.0,515.0,3.0,1.0,1.0,1.0,,4.0,,2015.0
45,Almagro,ALMAGRO,1912.0,156.0,31.0,,1.0,1.0,,,,2015.0
46,Almeria,ALMERIA,3746.0,293.0,,,,4.0,,,,2015.0
47,Aloguinsan,ALOGUINSAN,6622.0,242.0,,1.0,,16.0,9.0,11.0,,2015.0
48,Aloran,ALORAN,5334.0,946.0,,,3.0,61.0,39.0,,,2015.0
49,Altavas,ALTAVAS,5688.0,288.0,,,2.0,13.0,,,,2015.0
50,Alubijid,ALUBIJID,6837.0,840.0,5.0,,7.0,39.0,10.0,5.0,,2015.0
51,Amadeo,AMADEO,8559.0,155.0,2.0,1.0,13.0,16.0,29.0,36.0,,2015.0
52,Amai Manabilang,BUMBARAN,1792.0,32.0,,,2.0,1.0,,1.0,,2015.0
53,Ambaguio,AMBAGUIO,820.0,319.0,,,125.0,1889.0,383.0,,,2015.0
54,Amlan,AMLAN (AYUQUITAN),4774.0,726.0,,,8.0,17.0,,,,2015.0
55,Ampatuan,AMPATUAN,2871.0,747.0,83.0,4.0,58.0,129.0,16.0,14.0,,2015.0
56,Amulung,AMULUNG,9302.0,1335.0,1.0,1.0,17.0,30.0,11.0,,,2015.0
57,Anahawan,ANAHAWAN,1690.0,96.0,,1.0,1.0,,,,,2015.0
58,Anao,ANAO,2593.0,116.0,,,,3.0,7.0,1.0,,2015.0
59,Anda (BL),ANDA,3246.0,504.0,,,1.0,2.0,10.0,1.0,,2015.0
60,Anda (PS),ANDA,8822.0,454.0,47.0,,3.0,7.0,38.0,5.0,,2015.0
61,Angadanan,ANGADANAN,8966.0,871.0,,,9.0,15.0,23.0,22.0,,2015.0
62,Angat,ANGAT,14459.0,377.0,8.0,,17.0,8.0,15.0,7.0,,2015.0
63,Angeles,ANGELES CITY,94275.0,979.0,373.0,19.0,66.0,126.0,210.0,171.0,,2015.0
64,Angono,ANGONO,24840.0,327.0,9.0,3.0,19.0,9.0,80.0,38.0,,2015.0
65,Anilao,ANILAO,5667.0,866.0,,,12.0,15.0,1.0,,,2015.0
66,Anini-Y,ANINI-Y,4478.0,152.0,6.0,1.0,1.0,,1.0,2.0,,2015.0
67,Antequera,ANTEQUERA,3203.0,251.0,,,3.0,4.0,9.0,12.0,,2015.0
68,Antipas,ANTIPAS,4773.0,1158.0,1.0,,19.0,104.0,12.0,4.0,,2015.0
69,Antipolo,CITY OF ANTIPOLO,165089.0,3489.0,162.0,27.0,522.0,475.0,506.0,226.0,,2015.0
70,Apalit,APALIT,23366.0,225.0,61.0,2.0,6.0,16.0,43.0,60.0,,2015.0
71,Aparri,APARRI,12524.0,1044.0,14.0,1.0,285.0,107.0,3.0,,,2015.0
72,Araceli,ARACELI,2120.0,646.0,,,303.0,213.0,12.0,,,2015.0
73,Arakan,ARAKAN,5553.0,3541.0,148.0,21.0,551.0,838.0,68.0,3.0,,2015.0
74,Arayat,ARAYAT,27367.0,533.0,146.0,3.0,2.0,1.0,34.0,58.0,,2015.0
75,Argao,ARGAO,15631.0,899.0,1.0,,4.0,13.0,25.0,1.0,,2015.0
76,Aringay,ARINGAY,10160.0,608.0,8.0,,1.0,6.0,9.0,25.0,,2015.0
77,Aritao,ARITAO,7937.0,539.0,,2.0,22.0,38.0,24.0,,,2015.0
78,Aroroy,,,,,,,,,,,
79,Arteche,ARTECHE,3285.0,202.0,,,1.0,17.0,,,,2015.0
80,Asingan,ASINGAN,12618.0,926.0,3.0,,4.0,7.0,60.0,5.0,,2015.0
81,Asipulo,ASIPULO,1360.0,275.0,4.0,,515.0,414.0,260.0,5.0,,2015.0
82,Asturias,ASTURIAS,8920.0,1287.0,,,2.0,6.0,7.0,,,2015.0
83,Asuncion,ASUNCION (SAUG),10203.0,2735.0,78.0,,122.0,618.0,45.0,,,2015.0
84,Atimonan,ATIMONAN,12611.0,1787.0,80.0,13.0,82.0,280.0,121.0,27.0,,2015.0
85,Atok,ATOK,3561.0,304.0,6.0,27.0,77.0,81.0,322.0,,,2015.0
86,Aurora (IA),AURORA,8254.0,183.0,7.0,,1.0,3.0,12.0,16.0,,2015.0
87,Aurora (ZR),AURORA,8134.0,2313.0,25.0,,44.0,492.0,19.0,10.0,,2015.0
88,Ayungon,AYUNGON,5020.0,5258.0,,1.0,176.0,103.0,,15.0,,2015.0
89,Baao,,,,,,,,,,,
90,Babatngon,BABATNGON,5360.0,590.0,119.0,6.0,3.0,27.0,2.0,1.0,,2015.0
91,Bacacay,,,,,,,,,,,
92,Bacarra,BACARRA,8202.0,36.0,2.0,1.0,2.0,1.0,20.0,5.0,,2015.0
93,Baclayon,BACLAYON,4198.0,161.0,3.0,,1.0,10.0,23.0,1.0,,2015.0
94,Bacnotan,BACNOTAN,9642.0,290.0,,,2.0,3.0,19.0,7.0,,2015.0
95,Baco,BACO,6866.0,1249.0,,1.0,23.0,23.0,70.0,94.0,,2015.0
96,Bacolod (LN),BACOLOD,4643.0,496.0,,,1.0,31.0,5.0,23.0,,2015.0
97,Bacolod (NO),BACOLOD CITY (Capital),125230.0,2847.0,235.0,50.0,108.0,181.0,303.0,122.0,,2015.0
98,Bacolod-Kalawi,BACOLOD-KALAWI (BACOLOD GRANDE),3025.0,10.0,,,64.0,200.0,1.0,,,2015.0
99,Bacolor,BACOLOR,9403.0,143.0,6.0,1.0,,,30.0,10.0,,2015.0
100,Bacong,BACONG,6852.0,1303.0,,2.0,45.0,29.0,34.0,,,2015.0
101,Bacoor,BACOOR CITY,144974.0,2431.0,988.0,18.0,43.0,135.0,360.0,211.0,,2015.0
102,Bacuag,BACUAG,2877.0,219.0,2.0,,,1.0,1.0,7.0,,2015.0
103,Bacungan Leon B. Postigo,BACUNGAN (Leon T. Postigo),3224.0,2239.0,4.0,,22.0,40.0,33.0,2.0,,2015.0
104,Badian,BADIAN,7159.0,1032.0,,1.0,8.0,9.0,9.0,,,2015.0
105,Badiangan,BADIANGAN,5351.0,535.0,1.0,,1.0,3.0,1.0,5.0,,2015.0
106,Badoc,BADOC,7275.0,79.0,,,1.0,,12.0,8.0,,2015.0
107,Bagabag,BAGABAG,8411.0,434.0,3.0,,16.0,23.0,23.0,,,2015.0
108,Bagac,BAGAC,5849.0,173.0,1.0,,2.0,6.0,11.0,,,2015.0
109,Bagamanoc,,,,,,,,,,,
110,Baganga,BAGANGA,8958.0,2653.0,263.0,1.0,167.0,1263.0,26.0,8.0,,2015.0
111,Baggao,BAGGAO,16484.0,2596.0,13.0,1.0,188.0,269.0,79.0,,,2015.0
112,Bago,BAGO CITY,36458.0,3068.0,23.0,32.0,52.0,181.0,92.0,43.0,,2015.0
113,Baguio,BAGUIO CITY,89273.0,259.0,206.0,6.0,29.0,43.0,171.0,,,2015.0
114,Bagulin,BAGULIN,2593.0,369.0,,,,11.0,5.0,,,2015.0
115,Bagumbayan,BAGUMBAYAN,10923.0,2504.0,24.0,82.0,891.0,961.0,50.0,5.0,,2015.0
116,Bais,BAIS CITY,11779.0,5732.0,,2.0,86.0,73.0,21.0,,,2015.0
117,Bakun,BAKUN,2963.0,84.0,2.0,8.0,34.0,11.0,248.0,,,2015.0
118,Balabac,BALABAC,2495.0,3923.0,,87.0,914.0,910.0,116.0,,,2015.0
119,Balabagan,BALABAGAN,42.0,429.0,93.0,1.0,1963.0,2228.0,10.0,3.0,,2015.0
120,Balagtas,BALAGTAS (BIGAA),17308.0,242.0,15.0,,2.0,5.0,53.0,8.0,,2015.0
121,Balamban,BALAMBAN,18251.0,1315.0,26.0,,1.0,11.0,10.0,,,2015.0
122,Balanga,CITY OF BALANGA (Capital),20655.0,398.0,7.0,7.0,18.0,30.0,144.0,10.0,,2015.0
123,Balangiga,BALANGIGA,2928.0,265.0,,,5.0,72.0,1.0,6.0,,2015.0
124,Balangkayan,BALANGKAYAN,2220.0,141.0,,,,11.0,3.0,,,2015.0
125,Balaoan,BALAOAN,8569.0,354.0,3.0,,,4.0,26.0,7.0,,2015.0
126,Balasan,BALASAN,7038.0,966.0,1.0,1.0,13.0,67.0,4.0,,,2015.0
127,Balatan,,,,,,,,,,,
128,Balayan,BALAYAN,21083.0,639.0,127.0,3.0,3.0,7.0,79.0,60.0,,2015.0
129,Balbalan,BALBALAN,2052.0,225.0,1.0,,17.0,6.0,1.0,,,2015.0
130,Baleno,,,,,,,,,,,
131,Baler,BALER,8560.0,216.0,,,9.0,18.0,35.0,4.0,,2015.0
132,Balete (AK),BALETE,6097.0,602.0,,,27.0,273.0,,,,2015.0
133,Balete (BS),BALETE,4445.0,116.0,1.0,,1.0,135.0,29.0,5.0,,2015.0
134,Baliangao,BALIANGAO,3021.0,839.0,1.0,2.0,,1.0,9.0,4.0,,2015.0
135,Baliguian,BALIGUIAN,3638.0,1470.0,5.0,1.0,29.0,32.0,1.0,,,2015.0
136,Balilihan,BALILIHAN,3701.0,364.0,,,2.0,4.0,7.0,6.0,,2015.0
137,Balindong,BALINDONG (WATU),4176.0,3.0,1.0,,3.0,,,,,2015.0
138,Balingasag,BALINGASAG,12517.0,2131.0,3.0,,63.0,53.0,18.0,5.0,,2015.0
139,Balingoan,BALINGOAN,1973.0,341.0,,,,4.0,2.0,,,2015.0
140,Baliwag,BALIUAG,35880.0,383.0,142.0,1.0,6.0,12.0,39.0,17.0,,2015.0
141,Ballesteros,BALLESTEROS,7307.0,989.0,22.0,,8.0,20.0,4.0,,,2015.0
142,Baloi,BALOI,9543.0,450.0,,,45.0,43.0,,3.0,,2015.0
143,Balud,,,,,,,,,,,
144,Balungao,BALUNGAO,6832.0,746.0,,,5.0,8.0,6.0,9.0,,2015.0
145,Bamban,BAMBAN,14468.0,460.0,1.0,,4.0,18.0,22.0,5.0,,2015.0
146,Bambang,BAMBANG,12862.0,503.0,1.0,,32.0,26.0,35.0,,,2015.0
147,Banate,BANATE,7501.0,475.0,1.0,1.0,3.0,7.0,4.0,1.0,,2015.0
148,Banaue,BANAUE,3501.0,335.0,,,20.0,28.0,45.0,,,2015.0
149,Banaybanay,BANAYBANAY,8086.0,1134.0,4.0,1.0,12.0,66.0,10.0,8.0,,2015.0
150,Banayoyo,BANAYOYO,1700.0,39.0,,,1.0,38.0,2.0,2.0,,2015.0
151,Banga (AK),BANGA,8700.0,537.0,,,6.0,7.0,,,,2015.0
152,Banga (SC),BANGA,18935.0,1606.0,18.0,10.0,199.0,217.0,107.0,8.0,,2015.0
153,Bangar,BANGAR,7659.0,363.0,1.0,,2.0,14.0,36.0,3.0,,2015.0
154,Bangued,BANGUED (Capital),10491.0,466.0,,1.0,2.0,31.0,33.0,,,2015.0
155,Bangui,BANGUI,3529.0,15.0,,,2.0,3.0,19.0,,,2015.0
156,Bani,BANI,11675.0,601.0,13.0,,2.0,6.0,8.0,32.0,,2015.0
157,Banisilan,BANISILAN,6133.0,1934.0,48.0,,145.0,1379.0,9.0,1.0,,2015.0
158,Banna,BANNA (ESPIRITU),4427.0,92.0,,2.0,,1.0,8.0,2.0,,2015.0
159,Bansalan,BANSALAN,12834.0,1756.0,70.0,2.0,35.0,206.0,10.0,,,2015.0
160,Bansud,BANSUD,7820.0,1152.0,37.0,1.0,61.0,113.0,25.0,41.0,,2015.0
161,Bantay,BANTAY,8169.0,46.0,1.0,1.0,1.0,,8.0,3.0,,2015.0
162,Bantayan Island,BANTAYAN,14557.0,1485.0,,67.0,444.0,1794.0,111.0,36.0,,2015.0
163,Banton,BANTON,1269.0,124.0,,,19.0,8.0,,,,2015.0
164,Baras (CT),,,,,,,,,,,
165,Baras (RL),BARAS,14706.0,598.0,21.0,4.0,48.0,35.0,1267.0,27.0,,2015.0
166,Barbaza,BARBAZA,4914.0,527.0,1.0,,52.0,8.0,,2.0,,2015.0
167,Barcelona,,,,,,,,,,,
168,Barili,BARILI,14978.0,737.0,9.0,,,17.0,23.0,,14.0,2015.0
169,Barira,BARIRA,1034.0,952.0,22.0,1.0,1677.0,1206.0,,88.0,,2015.0
170,Barlig,BARLIG,1094.0,86.0,1.0,,,3.0,6.0,,,2015.0
171,Barobo,BAROBO,9120.0,1509.0,,,9.0,43.0,2.0,7.0,,2015.0
172,Barotac Nuevo,BAROTAC NUEVO,11191.0,752.0,13.0,1.0,13.0,14.0,6.0,1.0,,2015.0
173,Barotac Viejo,BAROTAC VIEJO,9971.0,1079.0,2.0,,7.0,26.0,3.0,3.0,,2015.0
174,Baroy,BAROY,5093.0,475.0,,,7.0,15.0,11.0,,,2015.0
175,Barugo,BARUGO,5578.0,1162.0,107.0,1.0,1.0,21.0,2.0,47.0,,2015.0
176,Basay,BASAY,3408.0,2257.0,,1.0,72.0,116.0,112.0,5.0,,2015.0
177,Basco,BASCO (Capital),2305.0,9.0,2.0,,,,7.0,4.0,,2015.0
178,Basey,BASEY,11061.0,1318.0,130.0,5.0,32.0,92.0,4.0,6.0,,2015.0
179,Basilisa,BASILISA (RIZAL),6672.0,1748.0,60.0,3.0,3.0,93.0,5.0,4.0,,2015.0
180,Basista,BASISTA,6694.0,137.0,42.0,,1.0,,25.0,5.0,,2015.0
181,Basud (CN),,,,,,,,,,,
182,Batac,CITY OF BATAC,12713.0,65.0,3.0,,1.0,2.0,7.0,6.0,,2015.0
183,Batad,BATAD,4099.0,955.0,,,11.0,75.0,7.0,7.0,,2015.0
184,Batan,BATAN,7517.0,257.0,,,17.0,171.0,5.0,,,2015.0
185,Batangas,BATANGAS CITY (Capital),75282.0,1451.0,169.0,13.0,522.0,140.0,361.0,52.0,,2015.0
186,Bataraza,BATARAZA,9119.0,6147.0,,,1262.0,866.0,589.0,,,2015.0
187,Bato (CS),,,,,,,,,,,
188,Bato (CT),,,,,,,,,,,
189,Bato (LE),BATO,6807.0,1170.0,,,142.0,69.0,475.0,28.0,,2015.0
190,Batuan (BL),BATUAN,2687.0,148.0,5.0,,1.0,1.0,11.0,,,2015.0
191,Batuan (MS),,,,,,,,,,,
192,Bauan,BAUAN,20413.0,185.0,2.0,,7.0,7.0,50.0,30.0,,2015.0
193,Bauang,BAUANG,16749.0,404.0,2.0,,3.0,21.0,47.0,28.0,,2015.0
194,Bauko,BAUKO,6671.0,53.0,4.0,4.0,,13.0,53.0,2.0,,2015.0
195,Baungon,BAUNGON,4810.0,2551.0,98.0,,24.0,97.0,11.0,7.0,,2015.0
196,Bautista,BAUTISTA,6444.0,412.0,2.0,,,11.0,20.0,3.0,,2015.0
197,Bay,BAY,14750.0,266.0,7.0,3.0,5.0,13.0,84.0,21.0,,2015.0
198,Bayabas,BAYABAS,1412.0,322.0,,,2.0,1.0,1.0,,,2015.0
199,Bayambang,BAYAMBANG,24547.0,907.0,15.0,3.0,1.0,31.0,24.0,68.0,,2015.0
200,Bayang,BAYANG,44.0,79.0,,,2657.0,755.0,,1.0,,2015.0
201,Bayawan,CITY OF BAYAWAN (TULONG),12550.0,10898.0,,4.0,1163.0,894.0,137.0,,,2015.0
202,Baybay,CITY OF BAYBAY,22949.0,3118.0,4.0,5.0,5.0,48.0,35.0,16.0,,2015.0
203,Bayog,BAYOG,4141.0,2416.0,29.0,2.0,65.0,227.0,38.0,2.0,,2015.0
204,Bayombong,BAYOMBONG (Capital),15153.0,464.0,14.0,2.0,36.0,28.0,64.0,,,2015.0
205,Bayugan,CITY OF BAYUGAN,19185.0,3279.0,2.0,2.0,49.0,117.0,17.0,7.0,,2015.0
206,Belison,BELISON,2887.0,192.0,1.0,,1.0,,,2.0,,2015.0
207,Benito Soliven,BENITO SOLIVEN,6391.0,454.0,1.0,1.0,18.0,37.0,39.0,,,2015.0
208,Besao,BESAO,1668.0,25.0,,3.0,,,13.0,3.0,,2015.0
209,Bien Unido,BIEN UNIDO,2544.0,1607.0,4.0,,192.0,49.0,1323.0,6.0,,2015.0
210,Bilar,BILAR,3474.0,264.0,5.0,,,15.0,9.0,1.0,,2015.0
211,Biliran,,,,,,,,,,,
212,Binalbagan,BINALBAGAN,12167.0,1878.0,25.0,1.0,516.0,464.0,27.0,14.0,,2015.0
213,Binalonan,BINALONAN,11925.0,760.0,6.0,1.0,16.0,38.0,88.0,15.0,,2015.0
214,Binangonan,BINANGONAN,68097.0,1171.0,169.0,23.0,17.0,32.0,153.0,124.0,,2015.0
215,Bindoy,BINDOY (PAYABON),4417.0,4048.0,,,113.0,124.0,,,,2015.0
216,Bingawan,BINGAWAN,2944.0,502.0,,,2.0,17.0,2.0,,,2015.0
217,Binidayan,BINIDAYAN,84.0,226.0,3.0,3.0,1916.0,1152.0,,13.0,,2015.0
218,Binmaley,BINMALEY,19581.0,501.0,33.0,1.0,,7.0,23.0,14.0,,2015.0
219,Binuangan,BINUANGAN,1385.0,159.0,,,,5.0,4.0,3.0,,2015.0
220,Biri,BIRI,1373.0,190.0,2.0,1.0,654.0,37.0,12.0,,,2015.0
221,Bislig,CITY OF BISLIG,18869.0,2138.0,9.0,,62.0,135.0,74.0,27.0,,2015.0
222,Binan,CITY OF BIÑAN,84870.0,990.0,402.0,10.0,94.0,104.0,194.0,88.0,,2015.0
223,Boac,BOAC (Capital),11066.0,1373.0,11.0,,70.0,104.0,36.0,19.0,,2015.0
224,Bobon,BOBON,3750.0,985.0,109.0,,,21.0,8.0,,,2015.0
225,Bocaue,BOCAUE,26644.0,448.0,18.0,4.0,13.0,14.0,272.0,14.0,,2015.0
226,Bogo,CITY OF BOGO,17094.0,1742.0,4.0,1.0,106.0,299.0,60.0,54.0,,2015.0
227,Bokod,BOKOD,2598.0,130.0,,1.0,34.0,12.0,102.0,,,2015.0
228,Bolinao,BOLINAO,16180.0,1250.0,66.0,4.0,17.0,49.0,42.0,73.0,,2015.0
229,Boliney,BOLINEY,714.0,29.0,,,,7.0,10.0,,,2015.0
230,Boljoon,BOLJOON,2653.0,711.0,,,,8.0,2.0,,,2015.0
231,Bombon,,,,,,,,,,,
232,Bongabon,BONGABON,14381.0,408.0,10.0,2.0,22.0,62.0,64.0,41.0,,2015.0
233,Bongabong,BONGABONG,13893.0,2036.0,30.0,131.0,23.0,235.0,403.0,2.0,,2015.0
234,Bongao,BONGAO (CAPITAL),11245.0,1726.0,280.0,68.0,1242.0,2842.0,20.0,26.0,,2015.0
235,Bonifacio,BONIFACIO,5855.0,1393.0,,,12.0,32.0,13.0,3.0,,2015.0
236,Bontoc (MP),BONTOC (Capital),6376.0,12.0,5.0,3.0,,,54.0,12.0,,2015.0
237,Bontoc (SL),BONTOC,5936.0,647.0,1.0,1.0,1.0,5.0,8.0,,,2015.0
238,Borbon,BORBON,6913.0,1455.0,,,5.0,19.0,27.0,1.0,,2015.0
239,Borongan,CITY OF BORONGAN (Capital),14236.0,762.0,48.0,8.0,2.0,41.0,10.0,13.0,,2015.0
240,Boston,BOSTON,1972.0,965.0,126.0,,2.0,147.0,4.0,,,2015.0
241,Botolan,BOTOLAN,11094.0,2504.0,1.0,2.0,15.0,14.0,24.0,14.0,,2015.0
242,Braulio E. Dujali,BRAULIO E. DUJALI,4361.0,521.0,10.0,1.0,104.0,250.0,157.0,,,2015.0
243,Brooke's Point,BROOKE'S POINT,8054.0,5359.0,,,874.0,536.0,651.0,,,2015.0
244,Buadiposo-Buntong,BUADIPOSO-BUNTONG,2484.0,22.0,18.0,,4.0,,,1.0,,2015.0
245,Bubong,BUBONG,3077.0,1.0,1.0,,72.0,7.0,,,,2015.0
246,Bucay,BUCAY,3542.0,281.0,1.0,1.0,4.0,7.0,27.0,,,2015.0
247,Bucloc,BUCLOC,426.0,15.0,,,1.0,,,,,2015.0
248,Buenavista (AN),,,,,,,,,,,
249,Buenavista (BL),BUENAVISTA,4357.0,1650.0,2.0,,2.0,18.0,4.0,1.0,,2015.0
250,Buenavista (GS),BUENAVISTA,11258.0,803.0,2.0,1.0,13.0,10.0,10.0,18.0,,2015.0
251,Buenavista (ME),BUENAVISTA,4404.0,840.0,,,33.0,26.0,9.0,,,2015.0
252,Buenavista (QN),BUENAVISTA,4806.0,1452.0,28.0,,41.0,423.0,11.0,4.0,,2015.0
253,Bugallon,BUGALLON,13881.0,612.0,12.0,11.0,1.0,33.0,31.0,6.0,,2015.0
254,Bugasong,BUGASONG,6888.0,475.0,2.0,,8.0,9.0,3.0,1.0,,2015.0
255,Buguey,BUGUEY,6410.0,323.0,1.0,,1.0,9.0,10.0,,,2015.0
256,Buguias,BUGUIAS,10035.0,186.0,6.0,8.0,3.0,62.0,574.0,,,2015.0
257,Buhi,,,,,,,,,,,
258,Bula,,,,,,,,,,,
259,Bulakan,,,,,,,,,,,
260,Bulalacao,BULALACAO (SAN PEDRO),4939.0,3127.0,17.0,,29.0,276.0,27.0,127.0,,2015.0
261,Bulan,,,,,,,,,,,
262,Buldon,BULDON,1725.0,870.0,4.0,8.0,998.0,1912.0,17.0,8.0,,2015.0
263,Buluan,BULUAN,4025.0,866.0,11.0,4.0,745.0,1635.0,1.0,1.0,,2015.0
264,Bulusan,,,,,,,,,,,
265,Bunawan,BUNAWAN,8158.0,1728.0,37.0,14.0,326.0,231.0,34.0,2.0,,2015.0
266,Burauen,BURAUEN,9099.0,3045.0,167.0,,61.0,126.0,8.0,71.0,,2015.0
267,Burdeos,BURDEOS,2254.0,711.0,3.0,,2316.0,322.0,41.0,5.0,,2015.0
268,Burgos (IN),BURGOS,2357.0,24.0,1.0,,,1.0,20.0,,,2015.0
269,Burgos (IS),BURGOS,2707.0,48.0,,,,1.0,5.0,24.0,,2015.0
270,Burgos (IA),BURGOS,5597.0,124.0,2.0,1.0,,9.0,7.0,4.0,,2015.0
271,Burgos (LU),BURGOS,1567.0,169.0,,,,2.0,10.0,2.0,,2015.0
272,Burgos (PS),BURGOS,4154.0,624.0,1.0,2.0,6.0,1.0,8.0,4.0,,2015.0
273,Burgos (SN),BURGOS,861.0,57.0,,,,1.0,,,,2015.0
274,Buruanga,BURUANGA,4112.0,122.0,,,,5.0,,,,2015.0
275,Bustos,BUSTOS,15866.0,139.0,5.0,,6.0,1.0,18.0,11.0,,2015.0
276,Busuanga,BUSUANGA,2337.0,1485.0,19.0,2.0,600.0,497.0,111.0,,,2015.0
277,Butig,BUTIG,2981.0,22.0,8.0,,15.0,72.0,,,,2015.0
278,Butuan,,,,,,,,,,,
279,Buug,BUUG,6698.0,1539.0,5.0,,9.0,80.0,11.0,2.0,,2015.0
280,Caba,CABA,4929.0,256.0,3.0,,4.0,4.0,25.0,6.0,,2015.0
281,Cabadbaran,,,,,,,,,,,
282,Cabagan,CABAGAN,9955.0,162.0,6.0,,,16.0,21.0,2.0,,2015.0
283,Cabanatuan,CABANATUAN CITY,66593.0,1170.0,42.0,4.0,16.0,22.0,350.0,50.0,,2015.0
284,Cabangan,CABANGAN,5334.0,603.0,3.0,,,8.0,15.0,26.0,,2015.0
285,Cabanglasan,CABANGLASAN,4487.0,1719.0,36.0,,64.0,492.0,78.0,72.0,,2015.0
