PCODE,Region,Province,Municipality_City,Prelim_2012,Pov_2012,SE_2012,CoV_2012,Con_90lower_2012,Con_90upper_2012,Pov_2009,SE_2009,CoV_2009,Pov_2006,SE_2006,CoV_2006
PH137401000,NCR,2nd district,Mandaluyong  City,FALSE,1.28,0.42,32.8125,0.5891,1.9709,1.8,0.8,45.1,6.1,1.1,17.6
PH137402000,NCR,2nd district,Marikina  City,FALSE,1.41,0.43,30.4964539,0.70265,2.11735,2.2,0.9,41.1,6.0,0.7,11.9
PH137403000,NCR,2nd district,Pasig City,FALSE,1.83,0.45,24.59016393,1.08975,2.57025,2.2,0.8,37.3,5.0,0.5,9.5
PH137404000,NCR,2nd district,Quezon City,FALSE,1.62,0.3,18.51851852,1.1265,2.1135,2.4,0.6,25.3,4.1,0.7,16.0
PH137405000,NCR,2nd district,San Juan,FALSE,0.28,0.17,60.71428571,0.00035,0.55965,1.5,0.6,42.5,2.9,2.0,67.0
PH137501000,NCR,3rd district,Kalookan City,FALSE,2.84,0.55,19.36619718,1.93525,3.74475,3.1,0.9,28.2,5.0,1.0,19.1
PH137502000,NCR,3rd district,Malabon,FALSE,3.84,0.88,22.91666667,2.3924,5.2876,4.0,1.7,41.4,6.1,1.0,15.8
PH137503000,NCR,3rd district,Navotas,FALSE,6,1.63,27.16666667,3.31865,8.68135,3.8,1.8,48.4,6.2,1.4,22.6
PH137504000,NCR,3rd district,Valenzuela  City,FALSE,2.29,0.53,23.1441048,1.41815,3.16185,3.7,1.3,33.4,5.1,1.1,21.1
PH137601000,NCR,4th district,Las Pi–as  City,FALSE,1.37,0.44,32.11678832,0.6462,2.0938,2.8,1.0,37.8,3.9,1.0,25.5
PH137602000,NCR,4th district,Makati  City,FALSE,0.46,0.22,47.82608696,0.0981,0.8219,1.4,0.6,42.3,2.9,0.6,20.5
PH137603000,NCR,4th district,Muntinlupa  City,FALSE,1.89,0.56,29.62962963,0.9688,2.8112,2.4,1.2,49.6,4.9,1.0,20.3
PH137604000,NCR,4th district,Para–aque  City,FALSE,1.13,0.42,37.16814159,0.4391,1.8209,2.0,1.0,41.9,5.5,0.5,8.6
PH137605000,NCR,4th district,Pasay City,FALSE,1.94,0.31,15.97938144,1.43005,2.44995,1.7,0.5,26.4,5.3,0.6,11.0
PH137606000,NCR,4th district,Pateros,FALSE,2.41,1.04,43.15352697,0.6992,4.1208,3.0,1.9,64.9,8.2,2.2,27.3
PH137607000,NCR,4th district,Taguig,FALSE,2.38,0.56,23.52941176,1.4588,3.3012,2.7,1.1,41.5,4.3,0.8,19.3
PH140101000,CAR,Abra,Bangued,FALSE,10.86,2.89,26.61141805,6.10595,15.61405,16.8,2.1,12.7,16.6,3.4,26.9
PH140102000,CAR,Abra,Boliney,FALSE,65.98,7.58,11.4883298,53.5109,78.4491,50.6,9.5,18.9,76.0,9.2,22.9
PH140103000,CAR,Abra,Bucay,FALSE,37.62,5.75,15.28442318,28.16125,47.07875,36.2,5.8,16.1,42.6,6.4,22.1
PH140104000,CAR,Abra,Bucloc,FALSE,42.11,8.7,20.66017573,27.7985,56.4215,77.2,10.1,13.0,58.0,9.5,26.4
PH140105000,CAR,Abra,Daguioman,FALSE,37,8.71,23.54054054,22.67205,51.32795,32.2,8.8,27.3,46.8,10.5,32.4
PH140106000,CAR,Abra,Danglas,FALSE,32.68,6.54,20.0122399,21.9217,43.4383,32.0,7.3,22.8,40.2,6.5,25.5
PH140107000,CAR,Abra,Dolores,FALSE,23.6,4.93,20.88983051,15.49015,31.70985,33.5,5.0,15.0,23.7,5.1,28.7
PH140108000,CAR,Abra,La Paz,FALSE,28.13,5.41,19.23213651,19.23055,37.02945,36.0,5.4,14.9,37.6,6.8,25.4
PH140109000,CAR,Abra,Lacub,FALSE,57.75,7.72,13.36796537,45.0506,70.4494,67.2,9.5,14.2,58.8,8.2,22.5
PH140110000,CAR,Abra,Lagangilang,FALSE,28.48,5.13,18.01264045,20.04115,36.91885,27.5,4.5,16.5,30.1,6.1,27.9
PH140111000,CAR,Abra,Lagayan,FALSE,42.23,7.92,18.75443997,29.2016,55.2584,41.4,7.8,18.8,35.0,8.5,34.3
PH140112000,CAR,Abra,Langiden,FALSE,40.75,7.87,19.31288344,27.80385,53.69615,46.0,8.1,17.6,44.1,8.8,29.8
PH140113000,CAR,Abra,Licuan-Baay (Licuan),FALSE,45.86,6.52,14.21718273,35.1346,56.5854,46.7,8.4,18.0,39.7,8.0,26.5
PH140114000,CAR,Abra,Luba,FALSE,44.78,6.92,15.45332738,33.3966,56.1634,36.2,6.7,18.5,50.5,8.4,26.3
PH140115000,CAR,Abra,Malibcong,FALSE,51.54,6.59,12.78618549,40.69945,62.38055,55.6,8.8,15.8,48.9,6.8,20.2
PH140116000,CAR,Abra,Manabo,FALSE,30.81,5.63,18.27328789,21.54865,40.07135,34.9,6.9,19.8,33.3,6.7,29.6
PH140117000,CAR,Abra,Pe–arrubia,FALSE,30.96,5.6,18.0878553,21.748,40.172,35.7,7.0,19.6,29.6,7.6,33.7
PH140118000,CAR,Abra,Pidigan,FALSE,23.08,4.96,21.49046794,14.9208,31.2392,25.9,4.9,18.9,22.7,5.7,32.9
PH140119000,CAR,Abra,Pilar,FALSE,38.43,5.74,14.93624772,28.9877,47.8723,42.8,6.2,14.4,41.0,6.8,23.0
PH140120000,CAR,Abra,Sallapadan,FALSE,43.21,7.18,16.61652395,31.3989,55.0211,62.0,8.2,13.2,25.5,6.0,31.3
PH140121000,CAR,Abra,San Isidro,FALSE,42.33,6.96,16.44223955,30.8808,53.7792,42.3,6.7,15.9,50.8,7.0,21.3
PH140122000,CAR,Abra,San Juan,FALSE,21.95,4.75,21.64009112,14.13625,29.76375,33.7,6.6,19.7,40.2,6.4,23.0
PH140123000,CAR,Abra,San Quintin,FALSE,22.5,5.96,26.48888889,12.6958,32.3042,28.7,6.7,23.3,21.0,6.8,41.0
PH140124000,CAR,Abra,Tayum,FALSE,23.38,5.03,21.51411463,15.10565,31.65435,23.7,4.4,18.7,23.4,5.7,32.6
PH140125000,CAR,Abra,Tineg,FALSE,78.27,6.19,7.908521784,68.08745,88.45255,43.2,8.6,19.9,62.9,7.5,20.4
PH140126000,CAR,Abra,Tubo,FALSE,51.66,7.41,14.3437863,39.47055,63.84945,56.4,9.4,16.6,53.3,8.3,23.3
PH140127000,CAR,Abra,Villaviciosa,FALSE,39.16,6.9,17.62002043,27.8095,50.5105,49.1,7.7,15.7,49.7,8.3,25.2
PH141101000,CAR,Benguet,Atok,FALSE,16.63,4.68,28.14191221,8.9314,24.3286,39.7,9.9,24.9,7.6,3.0,51.4
PH141102000,CAR,Benguet,Baguio City,FALSE,0.85,0.34,40,0.2907,1.4093,2.4,0.8,31.3,1.2,0.5,55.6
PH141103000,CAR,Benguet,Bakun,FALSE,26.48,5.99,22.62084592,16.62645,36.33355,53.7,9.6,17.9,17.0,4.8,38.5
PH141104000,CAR,Benguet,Bokod,FALSE,9.15,3.06,33.44262295,4.1163,14.1837,21.5,4.8,22.4,5.1,2.2,59.3
PH141105000,CAR,Benguet,Buguias,FALSE,13.07,3.33,25.47819434,7.59215,18.54785,42.0,8.1,19.2,6.4,2.5,50.0
PH141106000,CAR,Benguet,Itogon,FALSE,4.76,1.98,41.59663866,1.5029,8.0171,8.9,2.6,29.0,5.8,2.3,52.9
PH141107000,CAR,Benguet,Kabayan,FALSE,15.67,3.64,23.22910019,9.6822,21.6578,58.6,7.3,12.5,18.0,5.1,37.7
PH141108000,CAR,Benguet,Kapangan,FALSE,17.67,3.55,20.09054895,11.83025,23.50975,37.7,6.6,17.5,25.9,5.6,27.9
PH141109000,CAR,Benguet,Kibungan,FALSE,26.09,7.07,27.09850517,14.45985,37.72015,67.9,11.3,16.7,22.3,5.6,32.5
PH141110000,CAR,Benguet,La Trinidad,FALSE,1.65,0.73,44.24242424,0.44915,2.85085,5.4,1.5,27.3,1.6,0.7,56.5
PH141111000,CAR,Benguet,Mankayan,FALSE,6.17,2.42,39.22204214,2.1891,10.1509,16.5,4.3,26.2,6.6,2.3,46.6
PH141112000,CAR,Benguet,Sablan,FALSE,9.19,3.17,34.49401523,3.97535,14.40465,19.3,5.4,27.7,14.1,3.8,32.7
PH141113000,CAR,Benguet,Tuba,FALSE,4.58,1.78,38.86462882,1.6519,7.5081,14.2,3.2,22.7,6.4,2.1,40.7
PH141114000,CAR,Benguet,Tublay,FALSE,11.66,3.71,31.81818182,5.55705,17.76295,30.4,6.9,22.7,11.3,3.5,39.3
PH142701000,CAR,Ifugao,Banaue,FALSE,30.76,4.38,14.23927178,23.5549,37.9651,20.9,3.4,16.3,29.3,4.9,22.4
PH142702000,CAR,Ifugao,Hungduan,FALSE,40.56,6.51,16.05029586,29.85105,51.26895,29.9,5.8,19.3,43.9,7.1,23.0
PH142703000,CAR,Ifugao,Kiangan,FALSE,25.3,4.46,17.6284585,17.9633,32.6367,22.9,5.0,21.9,20.6,3.9,24.7
PH142704000,CAR,Ifugao,Lagawe,FALSE,17.6,2.9,16.47727273,12.8295,22.3705,19.9,3.5,17.4,27.4,3.2,15.1
PH142705000,CAR,Ifugao,Lamut,FALSE,17.21,2.9,16.85066822,12.4395,21.9805,18.2,3.3,18.3,20.4,3.2,20.0
PH142706000,CAR,Ifugao,Mayoyao,FALSE,34.34,4.45,12.95864881,27.01975,41.66025,34.1,4.1,11.9,38.5,4.8,18.0
PH142707000,CAR,Ifugao,Alfonso Lista (Potia),FALSE,21.51,4.1,19.06090191,14.7655,28.2545,37.1,4.5,12.2,30.6,4.3,19.1
PH142708000,CAR,Ifugao,Aguinaldo,FALSE,53.55,7,13.07189542,42.035,65.065,33.2,6.0,18.1,42.2,5.8,19.3
PH142709000,CAR,Ifugao,Hingyon,FALSE,29.9,5.96,19.93311037,20.0958,39.7042,25.2,5.7,22.7,25.4,5.2,26.5
PH142710000,CAR,Ifugao,Tinoc,FALSE,53.47,7.02,13.1288573,41.9221,65.0179,49.6,7.5,15.0,52.0,7.5,21.8
PH142711000,CAR,Ifugao,Asipulo,FALSE,55.29,8.17,14.7766323,41.85035,68.72965,47.5,9.3,19.5,55.0,7.8,22.2
PH143201000,CAR,Kalinga,Balbalan,FALSE,33.91,6.63,19.55175464,23.00365,44.81635,30.1,5.7,19.1,35.4,5.8,22.3
PH143206000,CAR,Kalinga,Lubuagan,FALSE,26.14,5.9,22.57077276,16.4345,35.8455,24.8,5.3,21.2,35.6,5.7,21.7
PH143208000,CAR,Kalinga,Pasil,FALSE,41.18,8.09,19.64545896,27.87195,54.48805,26.5,4.5,16.9,44.8,6.5,22.0
PH143209000,CAR,Kalinga,Pinukpuk,FALSE,31.92,5.72,17.9197995,22.5106,41.3294,29.9,4.3,14.5,33.9,5.1,20.4
PH143211000,CAR,Kalinga,Rizal (Liwan),FALSE,9.05,2.83,31.27071823,4.39465,13.70535,25.3,5.4,21.2,28.0,5.2,24.8
PH143213000,CAR,Kalinga,Tabuk,FALSE,8.79,1.87,21.2741752,5.71385,11.86615,17.3,2.8,16.3,18.1,3.2,22.3
PH143214000,CAR,Kalinga,Tanudan,FALSE,40.7,7.08,17.3955774,29.0534,52.3466,30.7,6.1,20.0,66.6,8.6,21.5
PH143215000,CAR,Kalinga,Tinglayan,FALSE,26.42,4.75,17.97880394,18.60625,34.23375,34.1,5.3,15.5,72.0,9.5,24.8
PH144401000,CAR,Mountain Province,Barlig,FALSE,16.66,3.93,23.58943577,10.19515,23.12485,27.4,8.3,30.4,20.2,4.6,33.7
PH144402000,CAR,Mountain Province,Bauko,FALSE,21.12,3.76,17.8030303,14.9348,27.3052,34.4,7.8,22.7,13.4,2.8,28.4
PH144403000,CAR,Mountain Province,Besao,FALSE,16.3,3.63,22.26993865,10.32865,22.27135,26.9,7.7,28.7,19.2,4.2,29.9
PH144404000,CAR,Mountain Province,Bontoc,FALSE,10.86,2.78,25.5985267,6.2869,15.4331,16.7,4.9,29.4,15.1,5.1,41.6
PH144405000,CAR,Mountain Province,Natonin,FALSE,39.74,5.88,14.79617514,30.0674,49.4126,37.4,9.2,24.5,59.2,9.5,25.4
PH144406000,CAR,Mountain Province,Paracelis,FALSE,40.56,6.02,14.84220907,30.6571,50.4629,46.7,10.0,21.4,43.1,5.5,17.5
PH144407000,CAR,Mountain Province,Sabangan,FALSE,10.91,2.72,24.93125573,6.4356,15.3844,26.0,8.1,31.1,11.4,3.0,36.3
PH144408000,CAR,Mountain Province,Sadanga,FALSE,42.67,7.85,18.39700023,29.75675,55.58325,39.0,10.9,27.8,55.1,8.2,23.2
PH144409000,CAR,Mountain Province,Sagada,FALSE,10.2,2.5,24.50980392,6.0875,14.3125,35.4,9.0,25.4,11.2,2.5,29.1
PH144410000,CAR,Mountain Province,Tadian,FALSE,21.63,3.77,17.42949607,15.42835,27.83165,36.2,7.2,20.0,23.9,3.9,23.5
PH148101000,CAR,Apayao,Calanasan (Bayag),FALSE,62.58,7.53,12.03259827,50.19315,74.96685,32.9,7.0,21.4,34.6,7.5,29.2
PH148102000,CAR,Apayao,Conner,FALSE,56.31,5.7,10.12253596,46.9335,65.6865,30.3,4.6,15.2,35.1,5.4,20.0
PH148103000,CAR,Apayao,Flora,FALSE,35.73,6.12,17.12846348,25.6626,45.7974,26.2,5.3,20.1,23.0,4.5,24.9
PH148104000,CAR,Apayao,Kabugao,FALSE,63.9,5.93,9.280125196,54.14515,73.65485,40.6,5.3,13.0,39.2,5.6,19.9
PH148105000,CAR,Apayao,Luna,FALSE,33.42,4.55,13.61460203,25.93525,40.90475,28.8,4.7,16.4,16.8,3.0,22.4
PH148106000,CAR,Apayao,Pudtol,FALSE,41.12,5.97,14.51848249,31.29935,50.94065,29.8,5.5,18.3,26.1,4.0,19.2
PH148107000,CAR,Apayao,Santa Marcela,FALSE,32.63,5.79,17.74440699,23.10545,42.15455,23.8,4.9,20.7,18.2,3.9,27.4
PH012801000,Region I,Ilocos Norte,Adams,TRUE,17.91,12.59,70.29592406,-2.80055,38.62055,29.4,1.1,8.5,39.9,0.4,33.3
PH012802000,Region I,Ilocos Norte,Bacarra,TRUE,11.41,2.11,18.49255039,7.93905,14.88095,13.2,2.3,11.7,11.7,0.5,16.4
PH012803000,Region I,Ilocos Norte,Badoc,TRUE,14.04,2.39,17.02279202,10.10845,17.97155,19.6,1.4,11.3,19.6,0.5,11.5
PH012804000,Region I,Ilocos Norte,Bangui,TRUE,11.97,2.41,20.1336675,8.00555,15.93445,12.6,2.1,13.6,24.5,0.4,12.0
PH012805000,Region I,Ilocos Norte,Batac,TRUE,11,1.88,17.09090909,7.9074,14.0926,15.3,1.6,9.6,11.2,0.4,15.4
PH012806000,Region I,Ilocos Norte,Burgos,TRUE,13.78,3.47,25.18142235,8.07185,19.48815,16.8,5.3,23.5,27.6,3.5,12.7
PH012807000,Region I,Ilocos Norte,Carasi,TRUE,14.27,6.52,45.69025929,3.5446,24.9954,22.6,1.3,8.7,26.4,8.0,30.1
PH012808000,Region I,Ilocos Norte,Currimao,TRUE,12.91,2.35,18.20294345,9.04425,16.77575,15.2,2.1,13.1,21.5,2.4,11.1
PH012809000,Region I,Ilocos Norte,Dingras,TRUE,14.52,2.49,17.14876033,10.42395,18.61605,16.3,2.6,9.8,19.5,2.2,11.4
PH012810000,Region I,Ilocos Norte,Dumalneg,TRUE,21.05,12.75,60.57007126,0.07625,42.02375,21.6,5.7,26.3,31.6,11.7,37.0
PH012811000,Region I,Ilocos Norte,Banna,TRUE,15.76,2.85,18.08375635,11.07175,20.44825,17.8,2.2,12.2,21.8,2.3,10.7
PH012812000,Region I,Ilocos Norte,Laoag City,TRUE,9.63,1.35,14.01869159,7.40925,11.85075,9.9,0.8,8.2,6.5,1.2,18.8
PH012813000,Region I,Ilocos Norte,Marcos,TRUE,15.5,3.58,23.09677419,9.6109,21.3891,18.7,2.0,10.9,27.8,3.7,13.1
PH012814000,Region I,Ilocos Norte,Nueva Era,TRUE,16.97,3.83,22.56923984,10.66965,23.27035,24.9,2.7,10.7,37.7,4.7,12.5
PH012815000,Region I,Ilocos Norte,Pagudpud,TRUE,15.78,3.4,21.54626109,10.187,21.373,20.2,1.3,6.3,29.6,3.1,10.3
PH012816000,Region I,Ilocos Norte,Paoay,TRUE,11.24,2.61,23.22064057,6.94655,15.53345,14.9,1.2,7.9,12.2,2.2,17.6
PH012817000,Region I,Ilocos Norte,Pasuquin,TRUE,12.75,2.32,18.19607843,8.9336,16.5664,14.1,1.6,11.4,22.2,2.5,11.2
PH012818000,Region I,Ilocos Norte,Paiddig,TRUE,13.97,2.77,19.82820329,9.41335,18.52665,16.3,2.6,16.1,20.6,2.1,10.2
PH012819000,Region I,Ilocos Norte,Painili,TRUE,14.17,2.49,17.57233592,10.07395,18.26605,17.6,2.3,13.0,21.9,2.6,11.7
PH012820000,Region I,Ilocos Norte,San Nicolas,TRUE,11.39,2.18,19.13959614,7.8039,14.9761,12.3,1.1,9.2,7.3,1.8,24.0
PH012821000,Region I,Ilocos Norte,Sarrat,TRUE,12.28,2.05,16.69381107,8.90775,15.65225,14.0,1.9,13.5,20.2,2.6,13.0
PH012822000,Region I,Ilocos Norte,Solsona,TRUE,13.33,2.55,19.12978245,9.13525,17.52475,15.0,1.3,8.7,21.6,2.5,11.4
PH012823000,Region I,Ilocos Norte,Vintar,TRUE,13.43,2.32,17.274758,9.6136,17.2464,16.8,2.0,12.0,18.7,2.1,11.0
PH012901000,Region I,Ilocos Sur,Alilim,TRUE,23.72,5.3,22.34401349,15.0015,32.4385,27.4,2.4,8.6,37.5,5.8,15.5
PH012902000,Region I,Ilocos Sur,Banayoyo,TRUE,18.72,3.88,20.72649573,12.3374,25.1026,20.9,2.6,12.6,19.2,3.2,16.9
PH012903000,Region I,Ilocos Sur,Bantay,TRUE,17.29,2.51,14.51706189,13.16105,21.41895,16.4,1.9,11.3,13.2,2.4,18.4
PH012904000,Region I,Ilocos Sur,Burgos,TRUE,17.86,2.71,15.17357223,13.40205,22.31795,26.5,3.2,12.2,26.4,2.6,9.9
PH012905000,Region I,Ilocos Sur,Cabugao,TRUE,18.68,2.58,13.81156317,14.4359,22.9241,20.7,2.4,11.4,23.5,2.2,9.2
PH012906000,Region I,Ilocos Sur,Candon City,TRUE,16.34,2.23,13.64749082,12.67165,20.00835,17.8,2.0,11.0,17.5,2.2,12.6
PH012907000,Region I,Ilocos Sur,Caoayan City,TRUE,14.76,2.65,17.95392954,10.40075,19.11925,14.4,1.4,9.9,12.5,2.1,17.1
PH012908000,Region I,Ilocos Sur,Cervantes,TRUE,22.28,4.18,18.76122083,15.4039,29.1561,24.5,3.6,14.6,38.2,5.1,13.2
PH012909000,Region I,Ilocos Sur,Galimuyod,TRUE,18.66,3.23,17.30975348,13.34665,23.97335,20.6,2.8,13.8,33.5,3.7,11.0
PH012910000,Region I,Ilocos Sur,Gregorio del Pilar,TRUE,19.3,4.88,25.28497409,11.2724,27.3276,26.1,3.4,13.1,29.3,6.2,21.0
PH012911000,Region I,Ilocos Sur,Lidlida,TRUE,18.35,3.8,20.70844687,12.099,24.601,17.3,3.4,19.9,21.6,3.6,16.4
PH012912000,Region I,Ilocos Sur,Magsingkal,TRUE,18.47,3.49,18.89550623,12.72895,24.21105,18.1,2.5,13.9,18.9,2.7,14.4
PH012913000,Region I,Ilocos Sur,Nagbukel,TRUE,17.41,3.49,20.0459506,11.66895,23.15105,28.4,4.6,16.0,26.0,4.4,16.7
PH012914000,Region I,Ilocos Sur,Narvacan,TRUE,16.82,2.47,14.68489893,12.75685,20.88315,17.7,1.9,11.0,17.2,2.0,11.7
PH012915000,Region I,Ilocos Sur,Quirino,TRUE,21.74,4.54,20.88316467,14.2717,29.2083,27.2,4.3,15.8,35.8,5.8,16.2
PH012916000,Region I,Ilocos Sur,Salcedo,TRUE,18.98,3.19,16.80716544,13.73245,24.22755,22.7,2.8,12.5,30.8,3.8,12.2
PH012917000,Region I,Ilocos Sur,San Emilio,TRUE,21.68,5.12,23.61623616,13.2576,30.1024,23.7,4.7,19.9,33.8,4.9,14.6
PH012918000,Region I,Ilocos Sur,San Esteban,TRUE,15.76,3.93,24.93654822,9.29515,22.22485,15.7,2.9,18.6,19.0,3.7,19.6
PH012919000,Region I,Ilocos Sur,San Ildefonson,TRUE,16.08,3.35,20.83333333,10.56925,21.59075,15.4,2.4,15.4,16.8,2.7,15.9
PH012920000,Region I,Ilocos Sur,San Juan,TRUE,16.12,2.48,15.38461538,12.0404,20.1996,18.0,2.3,12.8,13.9,2.3,16.7
PH012921000,Region I,Ilocos Sur,San Vicente,TRUE,13.82,4.13,29.88422576,7.02615,20.61385,12.9,2.8,21.5,10.7,2.7,24.8
PH012922000,Region I,Ilocos Sur,Santa,TRUE,14.76,2.6,17.61517615,10.483,19.037,13.6,2.3,16.9,20.0,2.4,12.0
PH012923000,Region I,Ilocos Sur,Santa Catalina,TRUE,14.62,3.53,24.14500684,8.81315,20.42685,11.7,2.3,19.6,6.3,2.2,35.2
PH012924000,Region I,Ilocos Sur,Santa Cruz,TRUE,18.78,2.49,13.25878594,14.68395,22.87605,24.0,2.3,9.7,33.2,2.3,7.0
PH012925000,Region I,Ilocos Sur,Santa Lucia,TRUE,19.34,2.74,14.16752844,14.8327,23.8473,25.1,2.8,11.2,21.8,2.3,10.6
PH012926000,Region I,Ilocos Sur,Santa Maria,TRUE,15.06,2.21,14.67463479,11.42455,18.69545,16.9,2.1,12.7,17.2,2.2,13.0
PH012927000,Region I,Ilocos Sur,Santiago,TRUE,17.9,3.02,16.87150838,12.9321,22.8679,20.9,2.4,11.4,24.0,2.7,11.1
PH012928000,Region I,Ilocos Sur,Santo Domingo,TRUE,16.17,2.36,14.59492888,12.2878,20.0522,16.4,2.0,12.3,17.1,2.0,11.5
PH012929000,Region I,Ilocos Sur,Sigay,TRUE,23.01,6.05,26.29291612,13.05775,32.96225,27.2,5.5,20.1,36.2,7.5,20.7
PH012930000,Region I,Ilocos Sur,Sinait,TRUE,17.79,2.77,15.57054525,13.23335,22.34665,18.7,2.5,13.2,16.7,2.6,15.5
PH012931000,Region I,Ilocos Sur,Sugpon,TRUE,21.43,5.35,24.96500233,12.62925,30.23075,35.4,7.4,20.9,51.7,7.2,14.0
PH012932000,Region I,Ilocos Sur,Suyo,TRUE,19.74,4.2,21.27659574,12.831,26.649,24.4,4.4,18.1,39.8,5.3,13.2
PH012933000,Region I,Ilocos Sur,Tagudin,TRUE,18.8,2.65,14.09574468,14.44075,23.15925,20.6,1.9,9.3,23.7,2.1,8.9
PH012934000,Region I,Ilocos Sur,Vigan City,TRUE,13.31,1.95,14.65063862,10.10225,16.51775,12.4,1.6,12.9,6.9,1.6,23.2
PH013301000,Region I,La Union,Agoo,TRUE,10.85,1.79,16.49769585,7.90545,13.79455,21.3,2.2,10.3,23.2,2.0,8.8
PH013302000,Region I,La Union,Aringay,TRUE,12.78,2.36,18.46635368,8.8978,16.6622,26.0,3.5,13.4,32.9,3.2,9.6
PH013303000,Region I,La Union,Bacnotan,TRUE,9.99,1.91,19.11911912,6.84805,13.13195,21.1,1.8,8.4,18.6,1.9,10.3
PH013304000,Region I,La Union,Bagulin,TRUE,16.21,4.29,26.46514497,9.15295,23.26705,35.1,3.6,10.2,49.5,5.5,11.2
PH013305000,Region I,La Union,Balaoan,TRUE,11.81,2.13,18.03556308,8.30615,15.31385,26.6,2.2,8.2,27.8,3.0,10.6
PH013306000,Region I,La Union,Bangar,TRUE,12.09,2.19,18.11414392,8.48745,15.69255,27.9,3.3,11.9,27.3,2.3,8.3
PH013307000,Region I,La Union,Bauang,TRUE,10.43,2.1,20.13422819,6.9755,13.8845,20.3,2.2,10.7,20.5,2.0,9.9
PH013308000,Region I,La Union,Burgos,TRUE,13.41,3.86,28.78448919,7.0603,19.7597,26.2,2.8,10.6,40.8,5.1,12.5
PH013309000,Region I,La Union,Caba,TRUE,11.48,2.82,24.56445993,6.8411,16.1189,25.2,1.8,7.2,29.6,3.5,11.7
PH013310000,Region I,La Union,Luna,TRUE,10.57,2.07,19.58372753,7.16485,13.97515,24.7,2.9,11.8,23.5,2.1,8.8
PH013311000,Region I,La Union,Naguilian,TRUE,10.91,1.92,17.59853346,7.7516,14.0684,21.9,2.8,12.9,27.0,2.4,9.0
PH013312000,Region I,La Union,Pugo,TRUE,12.38,2.95,23.82875606,7.52725,17.23275,27.4,2.6,9.4,27.6,3.4,12.2
PH013313000,Region I,La Union,Rosario,TRUE,12.26,2,16.3132137,8.97,15.55,24.8,3.6,14.4,26.0,2.1,8.2
PH013314000,Region I,La Union,San Fernando City,TRUE,8.76,1.74,19.8630137,5.8977,11.6223,15.0,1.3,8.9,14.4,1.7,11.7
PH013315000,Region I,La Union,San Gabriel,TRUE,13.73,3.18,23.1609614,8.4989,18.9611,29.7,4.0,13.6,39.9,4.0,10.0
PH013316000,Region I,La Union,San Juan,TRUE,10.67,1.85,17.33833177,7.62675,13.71325,22.7,2.8,12.3,25.6,2.3,9.1
PH013317000,Region I,La Union,Santo Tomas,TRUE,11.36,2.43,21.39084507,7.36265,15.35735,22.7,1.4,6.3,33.4,3.2,9.7
PH013318000,Region I,La Union,Santol,TRUE,14.52,3.71,25.55096419,8.41705,20.62295,32.7,3.2,9.8,39.7,5.1,12.8
PH013319000,Region I,La Union,Sudipen,TRUE,11.37,2.58,22.69129288,7.1259,15.6141,25.8,3.6,14.0,33.1,3.5,10.4
PH013320000,Region I,La Union,Tubao,TRUE,12.73,3.03,23.80204242,7.74565,17.71435,26.2,3.5,13.3,31.4,3.4,10.8
