city_municipality,Presence of Investment Promotion Unit,Active Establishments in the Locality,Productivity,Employment Generation,Poverty Incidents,Cluster_Id,Vulnerability
Alcantara (RN),0.79948,0.0010853656805701983,0.006135722174499936,0.0255963111848514,0.25609154996847716,0,medium
Alcoy,1.0,0.17207220520424452,0.2569723642913448,0.20854548501326772,0.2637334505091416,0,medium
Alegria (CU),1.0,0.20505062396003132,0.06572502397091458,0.07071211147469739,0.26755440077947384,0,medium
Alegria (SN),0.5,0.30031233484700026,0.09973148415839726,0.11656449625907148,0.4480306185481662,1,high
Aleosan,1.0,0.25597932127909445,0.10087543236042268,0.17282113702865498,0.5719567723159416,0,medium
Alfonso,0.7795200000000001,0.2792729385774857,0.06718095804621964,0.07955112540903457,0.039061574613606403,0,medium
Alfonso Castaneda,0.25,0.022041272282348645,0.010191538527135486,0.012614009468793676,0.2639881805271638,1,high
Alfonso Lista,1.0,0.8102672253795212,0.8567132080259402,0.451434222083908,0.18094619465194325,2,low
Aliaga,0.0,0.10928797506664535,0.017575204194754054,0.05165298767878286,0.057529500920212195,1,high
Alicia (BL),1.0,0.23919789806412448,0.10295533818228707,0.13884617721854645,0.3235950047443466,0,medium
Alicia (IA),1.0,0.16881610816253392,0.08007637414177883,0.10800170151018236,0.13267485623674607,0,medium
Alicia (ZS),0.53336,0.0018367726901957204,0.07269270847416026,0.09115233119785211,0.4472664284940998,1,high
Alilem,1.0,0.10594838835719861,0.05210164083770284,0.05671700607866354,0.08274777270440492,0,medium
Alimodian,1.0,0.2372776357061926,0.10784311686366836,0.12006327260807995,0.2741773812480497,0,medium
Alitagtag,1.0,0.4629502075970577,0.1588008094993458,0.26471005272103515,0.1758515942915003,0,medium
Allacapan,1.0,0.6056340497581707,0.2697637850958108,0.5700243257029317,0.11815524520948362,2,low
Allen,0.0,0.318930530752166,0.43636424142714797,0.4698488344471104,0.2773615064733266,1,high
Almagro,0.26668,0.07931518434936065,0.016119270119448983,0.02237375402129097,0.3573467321322813,1,high
Almeria,0.75,0.20613598964060154,0.22119798415527736,0.2551344542921699,0.18578606499436412,0,medium
Aloguinsan,0.75,0.12289679090764091,0.01695123244819474,0.031673133264708206,0.2611861503289201,0,medium
Aloran,0.7996400000000001,0.3519924391756889,0.12822619391793935,0.18092356646846405,0.27150271605881715,0,medium
Altavas,0.25,0.5046950414651422,0.22722971103868408,0.2941734325021591,0.158275223047972,1,high
Alubijid,1.0,0.49701399203341473,0.147985299225651,0.2500704358922892,0.16222353832731534,0,medium
Amadeo,1.0,0.551950193403814,0.3490081969088438,0.4311781484843853,0.03192913410898625,2,low
Amai Manabilang,1.0,0.09542869022244128,0.14912924742767641,0.1385699580330984,0.9367301581236586,0,medium
Ambaguio,1.0,0.2359418010224139,0.0847561622409737,0.23165582352908679,0.6528335530379739,0,medium
Amlan,0.25,0.21440146674648225,0.07061280265229587,0.06914686942382518,0.13382114131784575,1,high
Ampatuan,1.0,0.08440805408126696,0.06333313227577053,0.07973527153266659,0.7221201179399983,0,medium
Amulung,0.0,0.11104125808910491,0.010919505564788023,0.005432310647144722,0.1689738838049023,1,high
Anahawan,0.0,0.08407409541032229,0.0707167979433891,0.09732122633952493,0.27303109616695004,1,high
Anao,0.75,0.3514080115015358,0.1393536900649138,0.1948265988026819,0.038424749568551034,0,medium
Anda (BL),0.0,0.19060691144167408,0.18958341566293868,0.2735490666553723,0.13000019104751354,1,high
Anda (PS),0.0,0.6231668799827662,0.13904170419163417,0.22226437122385354,0.2955747027619102,1,high
Angadanan,1.0,0.30265004554361297,0.15360104494468485,0.24638751341964873,0.15432690776862873,0,medium
Angat,0.78976,0.13734050342599818,0.06707696275512642,0.09170476956874818,0.030782849027886573,0,medium
Angeles,1.0,0.37261438710652267,0.1058672063328972,0.09124440425966812,0.0,0,medium
Angono,1.0,0.525316989395976,0.3191615483650899,0.4682835923962383,0.02390513854128856,2,low
Anilao,1.0,0.1699014738431041,0.06811691566605861,0.08378648625257114,0.26003986524782047,0,medium
Anini-Y,0.25,0.4804830378216532,0.07175675085432129,0.09676878796862885,0.21100433677855684,1,high
Antequera,1.0,0.2639108397140305,0.10170739468916842,0.17134796803959876,0.1707569939310573,0,medium
Antipas,1.0,0.10795214038286666,0.03899823415995722,0.046957261526166236,0.33633150564545405,0,medium
Antipolo,1.0,1.0,0.9944029734333626,1.0,0.040589954721739305,2,low
Apalit,1.0,0.30315098355003,0.10742713569929549,0.15845773938535707,0.03192913410898625,0,medium
Aparri,1.0,0.15529078198927454,0.0534535796219147,0.12604802162612075,0.14120831184048804,0,medium
Araceli,0.25,0.0006679173418893528,0.007383665667618567,0.016020712755986127,0.21635366715702195,1,high
Arakan,1.0,0.06879548621460334,0.02672678981095735,0.0488907958243025,0.5082742678104044,0,medium
Arayat,1.0,0.2750984551906772,0.1058672063328972,0.15993090837441326,0.05358118564086889,0,medium
Argao,1.0,0.20688739665022704,0.0632291369846773,0.0812084405217228,0.17457794420138956,0,medium
Aringay,1.0,0.20421572728266965,0.04710986686522832,0.07872246785269046,0.027980818829642932,0,medium
Aritao,1.0,0.14669134621244911,0.06114923116281292,0.1293626518514972,0.17368638913831203,0,medium
Aroroy,0.25,0.06946340355649269,0.14008165710256631,0.07844624866724242,0.4466296034490444,1,high
Arteche,0.0,0.05602156705096947,0.04731785744741476,0.050824330122438754,0.7191907227327435,1,high
Asingan,1.0,0.20421572728266965,0.04305405051259277,0.0835102670671231,0.10478191926332078,0,medium
Asipulo,1.0,0.2915459197347025,0.07695651540898224,0.1867241693628728,0.3801450687452636,0,medium
Asturias,0.0,0.18401122769051673,0.4802502542684865,0.4169988969647194,0.30321660330257466,1,high
Asuncion,1.0,0.0937588968677179,0.024334898115813308,0.03333044837739643,0.20285297620184808,0,medium
Atimonan,1.0,0.17274012254613388,0.07581256720695684,0.090231600579692,0.04976023537053666,0,medium
Atok,0.0,0.22650746856822676,0.06395710402232985,0.05911090568587985,0.20973068668844608,1,high
Aurora (IA),1.0,0.27493147585520483,0.3007543818415901,0.35834835658791964,0.11509848499321781,0,medium
Aurora (ZR),0.25,0.11396339645987083,0.009463571489482953,0.03885483208635716,0.35161530672678293,1,high
Ayungon,0.25,0.1719052258687722,0.03286251198545729,0.051745060740598876,0.36053085735755813,1,high
Baao,1.0,0.2457100921475457,0.13300997730822745,0.14022727314578662,0.30576390348279614,0,medium
Babatngon,0.7996400000000001,0.09559566955791363,0.024542888697999744,0.07071211147469739,0.3939004897184596,0,medium
Bacacay,1.0,0.0035065660449191023,0.009047590325110074,0.014823762952377969,0.3733947232676767,0,medium
Bacarra,1.0,0.4704642776933129,0.3582637778161403,0.4174592622737995,0.015753777964579798,2,low
Baclayon,0.5,0.21790803279140136,0.14860927097221033,0.1301913094078413,0.11471638996618458,0,medium
Bacnotan,1.0,0.2565637489532477,0.08444417636769402,0.10708097089202223,0.0,0,medium
Baco,1.0,0.2666659987493241,0.07862044006647376,0.09133647732148413,0.1862955250304084,0,medium
Bacolod (LN),1.0,0.08733019245203288,0.05626145248143162,0.04714140764979827,0.2321469282743952,0,medium
Bacolod (NO),1.0,0.6076378017838387,0.20060691651881993,0.20734853520965957,0.05740213591120112,0,medium
Bacolod-Kalawi,0.25,0.04625327592583768,0.01799118535912693,0.04585238478437409,0.8205732699055588,1,high
Bacolor,1.0,0.6580655610964848,0.6411309695896967,0.7952350349048977,0.018301078144801277,2,low
Bacong,0.0,0.2755993931970942,0.1746080937455151,0.11905046892810382,0.14910494239917468,1,high
Bacoor,1.0,1.0,0.5651104118005534,0.6750796892350017,0.021739933388100287,2,low
Bacuag,0.79988,0.2715083994780219,0.11637073073331235,0.23911374153618375,0.37657884849295353,0,medium
Bacungan Leon B. Postigo,0.25,0.06771012053403315,0.021111044091923506,0.02016400053770668,0.6823822351285431,1,high
Badian,1.0,0.3363798713090253,0.19675909074837084,0.28542649162963796,0.3095848537531284,0,medium
Badiangan,1.0,0.21531985309158014,0.05740540068345703,0.10671267864475818,0.175342134255456,0,medium
Badoc,1.0,0.20788927266306106,0.15370504023577805,0.15615591283995675,0.04428353998306046,0,medium
Bagabag,1.0,0.13466883405844077,0.017471208903660832,0.03425117899555655,0.08262040769539385,0,medium
Bagac,1.0,0.24938363752793713,0.21745415367592147,0.26664358701917146,0.049378140343503435,0,medium
Bagamanoc,0.0,0.05710693273153967,0.0005199764554660963,0.0,0.26131351533793123,1,high
Baganga,1.0,0.07004783123064588,0.029638657961567488,0.054046887285999184,0.43503938762903666,0,medium
Baggao,1.0,0.33838362333469335,0.06676497688184675,0.12752119061517697,0.1436282470116985,0,medium
Bago,1.0,0.20246244426021007,0.07643653895351615,0.1293626518514972,0.13738736157015582,0,medium
Baguio,1.0,0.2359418010224139,0.0847561622409737,0.23165582352908679,0.023013583478211034,0,medium
Bagulin,1.0,0.2614061496819455,0.06936485915917724,0.1827650277047843,0.04211833482987219,0,medium
Bagumbayan,0.75,0.08332268840069676,0.018095180650220147,0.03857861290090912,0.3936457597004375,0,medium
Bais,1.0,0.038739205829582464,0.05314159374863504,0.019243269919546557,0.2624598004190309,0,medium
Bakun,0.5,0.12448309459462814,0.05896533004985532,0.08627245892160347,0.2003056760216266,1,high
Balabac,0.25,0.0,0.0,0.0025780457308483425,0.35085111667271646,1,high
Balabagan,1.0,0.07489023195934369,0.058029372430016345,0.07964319847085058,0.9075635710601226,0,medium
Balagtas,1.0,0.27952340758069416,0.2526045620654296,0.2491497052741291,0.015116952919524421,0,medium
Balamban,1.0,0.31926448942311064,0.061669207618279015,0.28395332264058176,0.21278744690471185,0,medium
Balanga,1.0,0.47505620941880217,0.1069071592438294,0.2740094319644524,0.015244317928535495,0,medium
Balangiga,0.0,0.1283236193104919,0.007071679794338909,0.012890228654241713,0.6097841799922307,1,high
Balangkayan,0.0,0.29112847139602166,0.073524670802906,0.11720900769178358,0.6142419553076183,1,high
Balaoan,1.0,0.27008907512650704,0.04544594220773682,0.08304990175804304,0.012824382757325083,0,medium
Balasan,1.0,0.34514628642132306,0.2540604961407346,0.21333328422770034,0.23622260856274951,0,medium
Balatan,0.25,0.08657878544240737,0.03286251198545729,0.0331463022537644,0.46102184946729585,1,high
Balayan,0.0,0.17816695094898488,0.12250645290781229,0.15385408629455644,0.10465455425430972,1,high
Balbalan,1.0,0.08733019245203288,0.04918977268709271,0.0534023758532871,0.1752147692464449,0,medium
Baleno,0.5,0.12222887356575157,0.053557574913007916,0.06389870490031249,0.39300893465538206,1,high
Baler,1.0,0.7901462154551044,0.7540698557169327,0.9082086817531447,0.06555349648790988,2,low
Balete (AK),1.0,0.19770353319924844,0.10108342294260911,0.1617723696107335,0.1918995854268957,0,medium
Balete (BS),0.26668,0.20045869223454202,0.22494181463463325,0.28284844589878955,0.13331168128180146,1,high
Baliangao,0.0,0.09818384925773486,0.0,0.0014731689890561958,0.31289634398741634,1,high
Baliguian,0.0,0.04550186891621216,0.005095769263567743,0.010588402108841407,0.6413707022269771,1,high
Balilihan,0.75,0.23953185673506916,0.046485895118669004,0.04355055823897379,0.2331658483464838,0,medium
Balindong,0.5,0.16055063105665318,0.03067861087249968,0.02716155323572361,0.8301256455813893,1,high
Balingasag,1.0,0.22700840657464377,0.01123149143806768,0.1317565514587135,0.22870807303109614,0,medium
Balingoan,1.0,0.23118288996145223,0.09172384674421938,0.1143547427754872,0.20731075151723566,0,medium
Baliwag,1.0,0.5890196058786731,0.5250722247296641,0.5790474857609009,0.022758853460188886,2,low
Ballesteros,1.0,0.16873261849479776,0.15370504023577805,0.13672849679677818,0.1380241866152112,0,medium
Baloi,1.0,0.1494465052477427,0.6557943056338407,1.0,0.3429544861140299,2,low
Balud,0.0,0.10219135330907098,0.01788719006803371,0.02421521525761122,0.37606938845690924,1,high
Balungao,0.79988,0.3959080044049139,0.1592167906637187,0.21563511077310066,0.09293697342529088,0,medium
Bamban,0.74876,0.10519698134757308,0.017263218321474396,0.06684504287842488,0.1032535391551879,0,medium
Bambang,0.5,0.3126688056719533,0.08361221403894828,0.09640049572136482,0.0768889822898955,0,medium
Banate,0.79988,0.22951309660672886,0.10888306977460056,0.09566391122683672,0.21151379681460114,0,medium
Banaue,1.0,0.21523636342384392,0.12209047174343941,0.157997374076277,0.21686312719306625,0,medium
Banaybanay,0.5,0.06253376113439066,0.017575204194754054,0.020808511970418764,0.3038534283476301,1,high
Banayoyo,1.0,0.09926921493830507,0.04554993749883003,0.06610845838389678,0.04912341032548129,0,medium
Banga (AK),0.75,0.0035065660449191023,0.1706562726839728,0.23902166847436776,0.22042934744537632,0,medium
Banga (SC),1.0,0.10695026437003262,0.0648930616421688,0.11647242319725548,0.1072018544345312,0,medium
Bangar,1.0,0.7480674229160752,0.2619641382638193,0.3794330877437864,0.02084837832502277,2,low
Bangued,1.0,0.44641925338529614,0.22109398886418416,0.3302660727340359,0.08529507288462641,0,medium
Bangui,1.0,0.2891247193703536,0.20216684588521822,0.19620769472992208,0.032438594145030544,0,medium
Bani,0.78976,0.11788741084347076,0.018927142978965906,0.030568256522916063,0.106819759407498,0,medium
Banisilan,0.75,0.08524295075862866,0.011751467893533775,0.042906046806261706,0.519737118621401,0,medium
Banna,1.0,0.23160033830013307,0.0967156207166939,0.1256797293788567,0.05014233039756988,0,medium
Bansalan,0.78976,0.12256283223669626,0.018199175941313372,0.039775562704517285,0.19228168045392888,0,medium
Bansud,0.0,0.09492775221602427,0.028806695632821733,0.03176520632652422,0.17839889447172178,1,high
Bantay,1.0,0.6540580570451487,1.0,0.8683410459868114,0.012569652739302935,2,low
Bantayan Island,1.0,0.15470635431512134,0.06957284974136368,0.08949501608516389,0.2713753510498061,0,medium
Banton,0.0,0.13692305508731734,0.0756045766247704,0.05625664076958348,0.1848945099312866,1,high
Baras (CT),1.0,0.0,0.0038478257704491125,0.0,0.05358118564086889,0,medium
Baras (RL),1.0,0.6222484936376683,0.4445798694235123,0.5582389737904822,0.29901355800520923,2,low
Barbaza,0.0,0.12356470824953027,0.024438893406906526,0.0534023758532871,0.22526921778779713,1,high
Barcelona,0.75,0.37754027750295666,0.16368858818072712,0.24647958648146476,0.33314738042017716,0,medium
Barili,1.0,0.17633017825878916,0.025790832191118374,0.040420074137229374,0.2713753510498061,0,medium
Barira,1.0,0.19085738044488257,0.012063453766813432,0.1264163138733848,0.8083462290404956,0,medium
Barlig,1.0,0.1496969742509512,0.0674929439194993,0.12862606735696908,0.15585528787676162,0,medium
Barobo,1.0,0.32719600785804676,0.2274377016208705,0.3635965211114323,0.39453731476351506,0,medium
Barotac Nuevo,1.0,0.13316602003918973,0.022774968749415016,0.054783471780527275,0.17152118398512378,0,medium
Barotac Viejo,0.53336,0.18576451071297626,0.1296821279932444,0.15357786710910842,0.22042934744537632,0,medium
Baroy,0.75,0.11287803077930061,0.11959458475720215,0.15707664345811687,0.18998911029172955,0,medium
Barugo,1.0,0.1608011000598617,0.08974793621344822,0.06656882369297686,0.30933012373510627,0,medium
Basay,1.0,0.18092210998427846,0.04794182919397408,0.06822613880566507,0.3426997560960078,0,medium
Basco,0.5,0.712918272799148,0.4597631819231223,0.4850408896467525,0.06135045119054443,2,low
Basey,0.78976,0.055520629044552454,0.005823736301220278,0.027069480173907597,0.31429735908653816,0,medium
Basilisa,0.5,0.2906275333896047,0.12053054237704112,0.18690831548650486,0.39517413980857036,1,high
Basista,0.0,0.3637644823264888,0.18240774057750658,0.25025458201592127,0.156492112921817,1,high
Basud (CN),1.0,0.14376920784168318,0.04191010231056736,0.05579627546050342,0.2569831050315547,0,medium
Batac,1.0,0.257231666295137,0.06884488270371114,0.07246149964920164,0.02479669360436607,0,medium
Batad,0.5332,0.1629718314210021,0.0788284306486602,0.11269742766279897,0.2748142062931051,0,medium
Batan,0.0,0.1813395583229593,0.04773383861178764,0.08875843159063579,0.15878468308401633,1,high
Batangas,1.0,1.0,1.0,0.7259040193574404,0.08096466257824989,2,low
Bataraza,1.0,0.1299099229974791,0.13633782662321045,0.14915836014193984,0.166808678651714,0,medium
Bato (CS),0.0,0.0,0.0025998822773304815,0.05846639425316777,0.3433365811410631,1,high
Bato (CT),1.0,0.2673339160912135,0.12209047174343941,0.09455903448504456,0.3649886326729458,0,medium
Bato (LE),1.0,0.3716125110936887,0.21558223843624352,0.29371306719307905,0.15738366798489453,0,medium
Batuan (BL),1.0,0.22116412983311198,0.09796356420981255,0.1258638755024887,0.2688280508695846,0,medium
Batuan (MS),0.0,0.07088272790800758,0.02464688398909296,0.04327433905352575,0.3449923262582071,1,high
Bauan,1.0,0.4470036810594494,0.1409136194313121,0.27465394339716453,0.0688649867221978,0,medium
Bauang,1.0,0.3506566044919102,0.1695123244819474,0.20338939355157104,0.011550732667214344,0,medium
Bauko,1.0,0.3156744337104554,0.13852172773616805,0.24997836283047323,0.24908647447286808,0,medium
Baungon,0.0,0.08933394447770093,0.000415981164372877,0.055704202398687404,0.413387336097154,1,high
Bautista,1.0,0.40258717782380743,0.1274982268802868,0.2069802429623955,0.16044042820116028,0,medium
Bay,0.75,0.08332268840069676,0.018095180650220147,0.03857861290090912,0.0,0,medium
Bayabas,0.7993600000000001,0.14560598053187893,0.060525259416253606,0.11021145499376665,0.3681727578982226,0,medium
Bayambang,1.0,0.2140675080755376,0.11418682962035474,0.1150913272700153,0.1589120480930274,0,medium
Bayang,1.0,0.008015008102672234,0.00031198587327965776,0.001196949803608159,0.8685898783027338,0,medium
Bayawan,1.0,0.36802245538103345,0.05366157020410114,0.11251328153916695,0.34779435645645074,0,medium
Baybay,1.0,0.23076544162277138,0.07685252011788903,0.07384259557644181,0.2629692604550752,0,medium
Bayog,1.0,0.26466224672365607,0.15744887071513397,0.15615591283995675,0.4542715039897089,0,medium
Bayombong,1.0,0.38012845720277794,0.093907747857177,0.2001668363880106,0.05893051601933402,0,medium
Bayugan,0.78732,0.1977870228669846,0.07269270847416026,0.08581209361252341,0.3732673582586656,0,medium
Belison,1.0,0.2781040832291793,0.08226027525473643,0.11306571991006303,0.1399346617503773,0,medium
Benito Soliven,1.0,0.2756828828648304,0.073524670802906,0.10072792962671738,0.22348610766164212,0,medium
Besao,1.0,0.1691500668334786,0.050645706762397776,0.07255357271101764,0.18387558985919797,0,medium
Bien Unido,0.79948,0.10411161566700287,0.0578213818478299,0.06435907020939256,0.3796356087092193,0,medium
Bilar,0.7996400000000001,0.1332495097069259,0.09234781849077871,0.12678460612064885,0.22807124798604084,0,medium
Biliran,0.0,0.009100373783242433,0.05594946660815196,0.08498343605617929,0.25761993007661005,1,high
Binalbagan,1.0,0.19135831845129958,0.04243007876603346,0.031949352450156246,0.18107355966095434,0,medium
Binalonan,1.0,0.15554125099248303,0.06811691566605861,0.09888646839039714,0.06020416610944476,0,medium
Binan,1.0,0.6594848854479998,1.0,1.0,0.02084837832502277,2,low
Binangonan,1.0,0.9088685229759369,0.36044767892909796,0.4748207797851751,0.4535073139356424,2,low
Bindoy,1.0,0.15478984398285753,0.09817155479199897,0.1693223606796465,0.2572378350495768,0,medium
Bingawan,1.0,0.3447288380826422,0.06614100513528745,0.11085596642647873,0.8606932477440471,0,medium
Binidayan,0.0,0.050594738648118476,0.0002079905821864385,0.0,0.05561902578504607,1,high
Binmaley,1.0,0.17499434357501045,0.023190949913787895,0.035263982675532685,0.18998911029172955,0,medium
Binuangan,0.75,0.07455627328839902,0.022047001711762482,0.04244568149718164,0.50419858752205,0,medium
Biri,0.0,0.04975984197075679,0.014975321917423573,0.01684937031233024,0.24717599933770196,1,high
Bislig,1.0,0.47697647177673413,0.06998883090573656,0.057913955882271696,0.0,0,medium
Boac,1.0,0.358421143591374,0.06842890153933827,0.08360234012893912,0.14324615198466525,0,medium
Bobon,0.0,0.05927766409268006,0.02350293578706755,0.042721900682629675,0.41275051105209865,1,high
Bocaue,0.76924,0.3687738623906589,0.21308635145000626,0.19003879958824926,0.06784606665010921,0,medium
Bogo,1.0,0.16088458972759787,0.06239717465593155,0.05303408360602305,0.1389157416782887,0,medium
Bokod,1.0,0.3386340923379019,0.27028376155127687,0.08903465077608383,0.09790420877672279,0,medium
Bolinao,0.0,0.11145870642778576,0.05085369734458421,0.062241389787624266,0.1794178145438104,1,high
Boliney,0.5,0.021957782614612474,0.008631609160737198,0.026609114864827536,0.3919900145832935,1,high
Boljoon,1.0,0.46077947623591725,0.10545122516852433,0.19979854414074655,0.2688280508695846,0,medium
Bombon,0.0,0.0,0.03411045547857592,0.03351459450102846,0.27494157130211616,1,high
Bongabon,1.0,0.14961348458321502,0.03723031421137249,0.0647273624566566,0.04173623980283897,0,medium
Bongabong,0.78976,0.13583768940674715,0.025270855735652277,0.0586505403767998,0.18221984474205402,0,medium
Bongao,0.0,0.07338741794009265,0.052309631419889285,0.0571773713877436,0.19228168045392888,1,high
Bonifacio,0.25,0.11529923114364954,0.03931022003323688,0.050548110936990714,0.41733565137649736,1,high
Bontoc (MP),1.0,0.19787051253472077,0.0475258480296012,0.10128036799761346,0.35021429162766116,0,medium
Bontoc (SL),0.0,0.27326168250048144,0.02641480393767769,0.060952366922200095,0.09955995389386674,1,high
Borbon,0.0,0.16614443879497653,0.0035358398971694544,0.002854264916296379,0.23571314852670527,1,high
Borongan,1.0,0.1656435007885595,0.0167432418660083,0.021545096464946865,0.44866744359322164,0,medium
Boston,0.75,0.03489868111371868,0.015079317208516792,0.02808228385388373,0.34753962643842856,0,medium
Botolan,1.0,0.11797090051120696,0.03629435659153352,0.07596027599821009,0.1344579663629011,0,medium
Braulio E. Dujali,1.0,0.28035830425805586,0.21506226198077744,0.17889795910851178,0.11726369014640609,0,medium
Buadiposo-Buntong,0.75,0.1515337469411469,0.001143948202025412,0.0024859726690323303,0.8238847601398467,0,medium
Bubong,0.5,0.07121668657895225,0.014871326626330355,0.07292186495828169,0.8285972654732564,1,high
Bucay,1.0,0.4340627825603432,0.38540654879147057,0.43394034033886564,0.23227429328340626,2,low
Bucloc,0.75,0.07797934966558194,0.012271444348999872,0.016665224188698216,0.2415719389412147,0,medium
Buenavista (AN),0.5,0.23160033830013307,0.049813744433652024,0.08912672383789984,0.3872775092498838,1,high
Buenavista (BL),1.0,0.16363974876289145,0.043262041094779206,0.057913955882271696,0.06109572117252228,0,medium
Buenavista (GS),0.75,0.1657269904562957,0.03931022003323688,0.07734137192545028,0.2223398225805424,0,medium
Buenavista (ME),0.5,0.30816036361420013,0.09172384674421938,0.16306139247615767,0.28933381732036756,1,high
Buenavista (QN),0.5,0.10093900829302845,0.06738894862840607,0.08406270543801918,0.28755070719421255,1,high
Bugallon,0.0,0.11463131380176018,0.023710926369253992,0.044655434980765935,0.16668131364270294,1,high
Bugasong,0.7989600000000001,0.15954875504381916,0.16836837627992196,0.21314913810406833,0.22590604283285254,0,medium
Buguey,1.0,0.41961907004198595,0.1592167906637187,0.22594729369649402,0.16668131364270294,0,medium
Buguias,1.0,0.6305139707435491,0.33340890324486094,0.4825549169777201,0.0923001483802355,2,low
Buhi,0.0,0.06078047811193111,0.004367802225915208,0.043366412115341764,0.3518700367448051,1,high
Bula,0.72824,0.08641180610693502,0.0046797880991948666,0.027713991606619682,0.2911169274465226,0,medium
Bulakan,0.75,0.15904781703740214,0.028598705050635297,0.08176087889261886,0.023013583478211034,0,medium
Bulalacao,0.79988,0.21256469405628653,0.14944123330095607,0.1377413004767543,0.2768520464372823,0,medium
Bulan,0.0,0.1883526904127975,0.05418154665956723,0.07596027599821009,0.3476669914474396,1,high
Buldon,1.0,0.11947371453045799,0.00405581635263555,0.010128036799761346,0.8228658400677581,0,medium
Buluan,0.25,0.15520729232153838,0.10420328167540568,0.09750537246315695,0.7860573524635576,1,high
Bulusan,0.0,0.10544745035078157,0.09536368193248206,0.13636020454951414,0.3410440109788638,1,high
Bunawan,1.0,0.05142963532548017,0.1058672063328972,0.08894257771426782,0.3583656522043699,0,medium
Burauen,1.0,0.06779361020176931,0.020175086472084536,0.02550423812303539,0.32601493991555697,0,medium
Burdeos,0.0,0.08265477105880742,0.021527025256296385,0.018414612363202448,0.2517611396621006,1,high
Burgos (IA),1.0,0.13942774511940242,0.05366157020410114,0.06481943551847262,0.20425399130096988,0,medium
Burgos (IN),1.0,0.1648086041111978,0.24553288227109066,0.12282546446256032,0.027471358793598636,0,medium
Burgos (IS),1.0,0.20805625199853342,0.0788284306486602,0.09271757324872432,0.373904183303721,0,medium
Burgos (LU),1.0,0.1618864657404319,0.06104523587171971,0.08618038585978746,0.023395678505244263,0,medium
Burgos (PS),0.0,0.3404708650280976,0.09609164897013459,0.13194069758234556,0.1280897159123474,1,high
Burgos (SN),0.75,0.15721104434720642,0.06468507105998238,0.15099982137826007,0.054600105712957495,0,medium
Buruanga,1.0,0.13491930306164926,0.046589890409762226,0.06527980082755268,0.18107355966095434,0,medium
Bustos,1.0,0.2718423581489666,0.0761245530802365,0.17806930155216766,0.026961898757554333,0,medium
